,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,dyn,gomez,astemizole,201.1,238.7,268.6,348.6,147.50000000000003,109.90000000000003,80.0,357.5,490.4,585.9,185.7,364.4,207.7,0.14286099261312338,1.1294520857065848,241.76735971738935,-87.7853246324243,40.24005797528258,9.180546611319018e-05,0.00025744309520827306,0.00016563762909508288,0.9865910930934615,False,False,False,72.93259645318403
1,dyn,gomez,astemizole,201.0,238.6,268.5,348.4,147.39999999999998,109.79999999999998,79.89999999999998,350.3,485.4,591.8,168.0,342.9,201.0,0.074392841023227,0.7898896847601743,241.72389457177016,-87.78335524462146,40.240589497199274,9.209607123311741e-05,0.0002591440429152783,0.00016704797168216092,0.7154968437369473,False,False,False,73.06521641574807
2,dyn,gomez,astemizole,200.8,238.4,268.5,349.0,148.2,110.6,80.5,354.3,488.2,573.6,193.7,366.7,236.5,0.24823725816989414,1.5954933563254772,241.91195265072705,-87.79069007255518,40.242917782107554,9.09738540063453e-05,0.00026277867862074675,0.00017180482461440146,1.347256098155583,False,False,False,72.3674780777338
3,dyn,gomez,astemizole,202.0,239.4,268.9,348.5,146.5,109.1,79.60000000000002,360.9,509.8,621.0,162.8,400.9,214.9,0.09346087854180056,0.7334682855748006,241.690177617776,-87.78361408536519,40.22208738281302,9.214879634136172e-05,0.0002513128798030454,0.0001591640834616837,0.6400074070330001,False,False,False,72.80527597559822
4,dyn,gomez,astemizole,200.6,238.3,268.4,348.9,148.29999999999998,110.59999999999997,80.5,351.3,479.0,569.4,184.0,356.0,218.2,0.16596442017530233,1.3216940491797753,241.8723362871169,-87.78877150547454,40.26158975142043,9.12456028153453e-05,0.00026367436264294495,0.00017242875982759965,1.155729629004473,False,False,False,72.01459643259544
5,dyn,gomez,astemizole,201.6,239.1,268.8,348.9,147.29999999999998,109.79999999999998,80.09999999999997,362.9,499.7,597.2,184.4,381.7,222.6,0.0894324867601416,0.839675752927133,241.78108733830177,-87.78672648722957,40.24253487111796,9.165134450080632e-05,0.0002541424052029731,0.0001624910607021668,0.7502432661669914,False,False,False,72.08580603954198
6,dyn,gomez,astemizole,201.0,238.6,268.5,348.6,147.60000000000002,110.00000000000003,80.10000000000002,354.0,485.2,584.5,179.0,364.0,200.9,0.11726971274956231,1.0431677628675238,241.77468454752696,-87.78532745763322,40.26045844186918,9.179131336073755e-05,0.0002591049523013649,0.00016731363894062734,0.9258980501179614,False,False,False,72.45789363128829
7,dyn,gomez,astemizole,200.3,238.1,268.2,348.7,148.39999999999998,110.6,80.5,347.4,480.4,569.2,203.5,396.7,213.9,0.2355139118261265,1.5200317152670484,241.92821470924247,-87.79057039564537,40.26159099885239,9.094234866032697e-05,0.00026627299035985024,0.0001753306416995233,1.284517803440922,False,False,False,72.82249254381476
8,dyn,gomez,astemizole,201.0,238.6,268.6,348.8,147.8,110.20000000000002,80.19999999999999,358.8,496.8,587.1,203.5,399.7,221.8,0.3234002012009426,1.7315919539523748,241.9160725674921,-87.79134589463351,40.25552400013789,9.089027263878279e-05,0.00025865205125189097,0.00016776177861310817,1.4081917527514323,False,False,False,72.66883546240848
9,dyn,gomez,astemizole,201.1,238.7,268.5,348.5,147.4,109.80000000000001,80.0,359.7,501.4,598.2,204.3,416.7,204.9,0.32284375469529686,1.569645929212362,241.84808975774934,-87.78880665640314,40.247849180091514,9.128246371622893e-05,0.00025581848767532395,0.00016453602395909503,1.246802174517065,False,False,False,73.72155171282975
