,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,iso,gomez,astemizole,206.9,243.3,270.4,345.6,138.70000000000002,102.3,75.20000000000005,470.2,690.3,809.7,186.8,434.1,283.9,0.4697935834705927,8.497629094540528,240.2028261520534,-87.7328623251433,40.04911994376357,0.0001002226978298,0.0001969067151832,9.668401735337268e-05,8.027835511069936,False,False,False,78.42385609496306,intermediate
1,1,iso,gomez,astemizole,205.2,242.0,269.8,346.4,141.2,104.39999999999998,76.59999999999997,439.3,641.7,762.5,160.6,363.5,264.3,0.107793014907993,3.219689727200852,240.93639339731857,-87.7602515502679,40.10815139137724,9.609514674375978e-05,0.0002101137086179,0.0001140185618741,3.1118967122928587,False,False,False,76.37781092432297,intermediate
2,2,iso,gomez,astemizole,206.4,242.9,270.2,345.8,139.4,102.9,75.60000000000002,460.8,676.7,797.2,211.5,453.5,327.8,1.1610041173832204,15.545884120077512,240.43538400298252,-87.74152991317357,40.06369890113211,9.89284300948332e-05,0.000200635212941,0.0001017067828461,14.384880002694292,False,False,False,78.01434355439686,intermediate
3,3,iso,gomez,astemizole,206.3,242.8,270.2,345.9,139.59999999999997,103.09999999999997,75.69999999999999,458.3,671.5,791.9,159.3,347.8,290.3,0.175626333683923,3.610113105907957,240.5437483674006,-87.74571083777745,40.076746575448624,9.831070298581789e-05,0.0002020175147123,0.0001037068117265,3.434486772224034,False,False,False,77.43242077192062,intermediate
4,4,iso,gomez,astemizole,206.1,242.7,270.1,346.1,140.00000000000003,103.40000000000003,76.0,454.8,665.0,785.5,189.8,418.1,303.4,0.5376362575663338,9.255274842858752,240.66037087710984,-87.75018047942218,40.09144523755675,9.764494072239771e-05,0.0002037057703866,0.0001060608296642,8.71763858529242,False,False,False,76.83811720440575,intermediate
5,5,iso,gomez,astemizole,206.3,242.8,270.2,346.0,139.7,103.2,75.80000000000001,458.9,671.3,791.5,191.9,434.8,289.3,0.1910833971433796,3.977055882345352,240.5685651983093,-87.74675489054985,40.08433364422497,9.816266746469018e-05,0.0002020285759687,0.000103865908504,3.785972485201972,False,False,False,77.07366133170385,intermediate
6,6,iso,gomez,astemizole,206.5,243.0,270.3,346.0,139.5,103.0,75.69999999999999,461.8,675.1,795.0,176.6,410.8,276.0,0.296237791274166,6.219614622785088,240.52130307871,-87.74505636161913,40.08460666479328,9.842384946252828e-05,0.0002009629596164,0.0001025391101539,5.923376831510922,False,False,False,77.01307824173304,intermediate
7,7,iso,gomez,astemizole,205.8,242.4,270.0,346.2,140.39999999999998,103.79999999999998,76.19999999999999,448.7,656.1,776.9,197.8,449.1,283.9,0.9081728515491344,11.771020730387278,240.76915404166783,-87.7541464810622,40.09641468078157,9.703604439253506e-05,0.000206143636918,0.0001091075925255,10.862847878838144,False,False,False,76.73117847996855,intermediate
8,8,iso,gomez,astemizole,207.8,244.0,270.8,345.4,137.59999999999997,101.39999999999998,74.59999999999997,485.9,710.6,827.3,229.7,505.2,307.1,2.6509389956335,19.416159135041397,239.82747787025744,-87.71900097143084,40.03636604450757,0.0001022765645115,0.0001912966334651,8.902006895361906e-05,16.765220139407894,False,False,False,78.55802608251378,intermediate
9,9,iso,gomez,astemizole,208.0,244.2,270.9,345.2,137.2,101.0,74.30000000000001,490.4,717.2,833.0,224.4,517.6,280.4,2.286464625663036,15.118563724565192,239.6492154867663,-87.71227983518187,40.02286153234069,0.0001032483996873,0.0001894240440125,8.617564432519631e-05,12.832099098902155,False,False,False,79.02725231956308,intermediate
10,10,iso,gomez,astemizole,208.5,244.6,271.1,345.0,136.5,100.4,73.89999999999998,499.2,728.5,842.4,234.4,528.1,290.9,3.934044779026484,23.326471653552087,239.34757307438252,-87.70106114318746,40.0084588497186,0.0001048652296765,0.0001861707832416,8.130555356505649e-05,19.392426874525604,False,False,False,79.42418297510868,intermediate
11,11,iso,gomez,astemizole,210.0,245.8,271.7,344.3,134.3,98.5,72.60000000000002,526.5,761.6,868.2,240.3,534.7,306.2,2.3177941847082404,13.593154003599064,238.0919511778326,-87.65494265644503,39.95067367752292,0.0001113126847765,0.0001758308323989,6.451814762236272e-05,11.275359818890822,False,False,False,81.23427889312309,intermediate
12,12,iso,gomez,astemizole,207.9,244.1,270.9,345.4,137.49999999999997,101.29999999999998,74.5,487.5,712.0,828.4,202.2,466.2,292.4,0.7694576139206315,9.496907079457484,239.81339302823065,-87.71854143418334,40.04018813933647,0.0001023493525334,0.0001909019777501,8.855262521671885e-05,8.727449465536854,False,False,False,78.3746506068398,intermediate
13,13,iso,gomez,astemizole,205.3,242.0,269.8,346.5,141.2,104.5,76.69999999999999,439.5,641.2,761.8,173.3,401.6,262.9,0.3952281290022997,7.838073853678041,240.9537673338286,-87.76097870881217,40.11342447840333,9.598982629549855e-05,0.0002101882320285,0.000114198405733,7.442845724675741,False,False,False,76.12511248974405,intermediate
14,14,iso,gomez,astemizole,208.3,244.4,271.0,345.2,136.89999999999998,100.79999999999998,74.19999999999999,495.0,722.6,837.5,239.1,523.4,307.0,3.162128678052109,18.273636981416807,239.52869222435595,-87.7078479499493,40.0207717028929,0.0001038943752727,0.0001878920924526,8.399771717984644e-05,15.111508303364698,False,False,False,79.0089332693653,intermediate
15,15,iso,gomez,astemizole,206.7,243.2,270.4,345.8,139.10000000000002,102.60000000000002,75.40000000000003,466.1,682.5,802.2,241.5,518.8,305.3,4.276908715249508,23.064655371699303,240.3795517240141,-87.73965000643658,40.06881103778938,9.922624095400236e-05,0.0001989939009877,9.97676600337177e-05,18.787746656449794,False,False,False,77.60468317240193,intermediate
16,16,iso,gomez,astemizole,205.0,241.8,269.7,346.5,141.5,104.7,76.80000000000001,435.5,635.9,756.7,172.3,395.9,266.5,0.4525909553345111,8.451117638018545,240.99438393293127,-87.76232595813524,40.11171310340728,9.577107721512996e-05,0.0002117352728068,0.0001159641955917,7.998526682684034,False,False,False,76.28886932256962,intermediate
17,17,iso,gomez,astemizole,209.4,245.3,271.5,344.6,135.20000000000002,99.3,73.10000000000002,515.9,748.9,858.6,275.2,562.2,320.3,5.0162875961879285,17.746311871646956,238.6704848857945,-87.67607724867345,39.97886109488977,0.0001083987012513,0.0001800145912563,7.161589000503542e-05,12.730024275459026,False,False,False,80.27837375330363,intermediate
18,18,iso,gomez,astemizole,207.2,243.6,270.6,345.5,138.3,101.9,74.89999999999998,475.9,697.3,815.7,196.7,462.0,281.2,1.0469480854730386,11.866805905328958,240.09716223174712,-87.72902890542296,40.04819816207362,0.0001007996411485,0.0001949903302798,9.419068913132587e-05,10.81985781985592,False,False,False,78.2890436621475,intermediate
19,19,iso,gomez,astemizole,206.5,243.0,270.3,345.9,139.39999999999998,102.89999999999998,75.59999999999997,462.5,677.2,797.3,229.0,497.6,309.2,1.164417994123991,9.760513170701037,240.46470710262224,-87.74282176762487,40.074020173031045,9.875013030229844e-05,0.0002004308702391,0.0001016807399368,8.596095176577045,False,False,False,77.45466295448637,intermediate
