,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,dyn,control,azimilide,180.5,206.5,227.4,287.1,106.60000000000002,80.60000000000002,59.70000000000002,182.3,284.7,346.8,158.6,303.8,119.2,0.05175075237327047,2.895601096828581,256.7205069413156,-87.97880374550627,38.640717759349556,7.74095674941457e-05,0.0006553259556484715,0.0005779163881543258,2.8438503444553103,True,True,False,436.01325703930866
1,dyn,control,azimilide,180.1,206.0,226.9,286.3,106.20000000000002,80.30000000000001,59.400000000000006,174.6,272.2,331.1,136.6,266.1,110.9,0.0222877955303272,2.425777685867611,256.77091725618374,-87.97885008587329,38.67595433119739,7.747930312071e-05,0.000689668679135298,0.0006121893760145879,2.403489890337284,True,True,False,434.94274049948694
2,dyn,control,azimilide,180.4,206.4,227.4,287.2,106.79999999999998,80.79999999999998,59.79999999999998,185.8,285.8,346.6,189.6,360.8,163.5,0.10915435732767574,3.0868240886485663,256.7395710161171,-87.98012629063005,38.66430771305846,7.668598811608703e-05,0.0006493185403325451,0.000572632552216458,2.9776697313208906,True,True,False,435.4846197406058
3,dyn,control,azimilide,180.5,206.4,227.3,287.0,106.5,80.6,59.69999999999999,186.5,285.3,346.3,142.5,292.3,134.4,0.02261000898031121,2.4055160546604126,256.7329662255693,-87.97908174927386,38.62901837985902,7.733273128804758e-05,0.0006459316711764304,0.0005685989398883829,2.3829060456801012,True,True,False,435.711101290334
4,dyn,control,azimilide,180.3,206.2,227.2,286.9,106.59999999999997,80.69999999999999,59.69999999999999,182.9,280.1,338.4,153.8,281.9,148.3,0.06693539545750586,2.7689928236808687,256.75995439027685,-87.97922981554726,38.646413032330905,7.729239770826447e-05,0.000664250907243496,0.0005869585095352314,2.702057428223363,True,True,False,434.97774432923654
5,dyn,control,azimilide,180.4,206.3,227.3,287.0,106.6,80.69999999999999,59.69999999999999,183.4,283.8,345.1,169.9,352.3,123.5,0.02843955067261143,2.33364962946947,256.7438238214346,-87.97956324656,38.627133070181856,7.706063783912476e-05,0.0006563432103715275,0.0005792825725324028,2.3052100787968586,True,True,False,435.59241917461236
6,dyn,control,azimilide,180.4,206.3,227.2,286.8,106.4,80.5,59.60000000000002,180.7,279.4,338.6,141.7,266.4,119.6,0.04124932724800799,2.6685229524150174,256.75032476694736,-87.97897937842133,38.629249770773896,7.741342314639887e-05,0.0006676884211584886,0.0005902749980120896,2.6272736251670095,True,True,False,435.38217134822884
7,dyn,control,azimilide,180.1,206.0,227.0,286.5,106.4,80.5,59.5,175.3,273.7,332.7,182.9,345.7,127.7,0.08485984501014696,3.052521531451135,256.77827521989855,-87.97941800586182,38.68819748676866,7.713744443502313e-05,0.000690395047371419,0.0006132576029363959,2.967661686440988,True,True,False,434.6665619449992
8,dyn,control,azimilide,180.7,206.6,227.6,287.5,106.80000000000001,80.9,59.900000000000006,187.7,290.4,352.1,186.4,335.9,139.7,0.12394119089031083,3.175901897196103,256.71737723344563,-87.97949182270236,38.61483189788262,7.701271278463003e-05,0.0006412626938255934,0.0005642499810409634,3.051960706305792,True,True,False,436.0414699703747
9,dyn,control,azimilide,180.7,206.7,227.6,287.4,106.69999999999999,80.69999999999999,59.79999999999998,184.5,289.7,352.7,174.2,313.8,112.4,0.11677037479221536,3.0568716455517873,256.69648662303734,-87.9787199773987,38.630482084771124,7.74126746107653e-05,0.0006447674694902595,0.0005673547948794942,2.940101270759572,True,True,False,436.51997152434956
10,dyn,control,azimilide,180.8,206.8,227.7,287.7,106.89999999999998,80.89999999999998,60.0,188.0,293.0,355.5,173.7,302.6,123.6,0.14472100940611618,3.29163443966775,256.68904088969833,-87.97879119411937,38.61547343567134,7.737760735677432e-05,0.0006351006450340673,0.0005577230376772929,3.146913430261634,True,True,False,436.62642541843286
11,dyn,control,azimilide,181.4,207.4,228.3,288.6,107.20000000000002,81.20000000000002,60.30000000000001,203.3,313.2,378.0,159.8,297.1,119.2,0.06086889443122206,2.684626002409478,256.61277847726467,-87.97859124578868,38.51967396611776,7.742822946945906e-05,0.0005833842585008461,0.000505956029031387,2.623757107978256,True,True,False,438.3511924951873
12,dyn,control,azimilide,180.7,206.6,227.6,287.5,106.80000000000001,80.9,59.900000000000006,188.5,290.9,352.7,157.3,296.4,123.6,0.057088850197196804,2.7898460397347575,256.70957937635933,-87.97908226625297,38.5886061896679,7.730614657276199e-05,0.0006371936425078083,0.0005598874959350463,2.7327571895375606,True,True,False,436.2938234411381
13,dyn,control,azimilide,180.0,205.9,226.8,286.1,106.10000000000002,80.20000000000002,59.30000000000001,171.6,268.2,326.2,149.2,276.6,114.5,0.055430029143704276,2.9186250175272246,256.79201394252266,-87.97900297543647,38.70168125372771,7.742172342501899e-05,0.0007064367937297748,0.0006290150703047559,2.8631949883835204,True,True,False,434.37827895664526
14,dyn,control,azimilide,180.8,206.8,227.7,287.7,106.89999999999998,80.89999999999998,60.0,191.2,295.2,357.7,183.1,327.8,138.2,0.13392771212568966,3.0692080352257567,256.6961775062994,-87.97926196488791,38.59825176622771,7.714006276015536e-05,0.0006277762308207541,0.0005506361680605988,2.9352803231000673,True,True,False,436.48873579651126
15,dyn,control,azimilide,180.3,206.3,227.2,286.9,106.59999999999997,80.59999999999997,59.69999999999999,180.3,280.9,341.1,212.0,379.8,145.9,0.2666171949450032,3.2728516569566284,256.7451129884227,-87.97941391838405,38.68684434874436,7.704889095425908e-05,0.0006672816136677664,0.0005902327227135073,3.006234462011625,True,True,False,435.3107434167156
16,dyn,control,azimilide,180.0,205.9,226.8,286.1,106.10000000000002,80.20000000000002,59.30000000000001,172.4,268.5,325.8,141.9,249.7,124.3,0.06147356622313063,2.897883472317507,256.7896171109762,-87.97888813118088,38.711121220241814,7.747388521792913e-05,0.0007031638944137558,0.0006256900091958266,2.8364099060943766,True,True,False,434.36527088239967
17,dyn,control,azimilide,181.3,207.2,228.2,288.4,107.09999999999997,81.19999999999999,60.19999999999999,200.4,309.9,376.8,214.0,393.9,137.1,0.17927758342122163,2.8540501586480893,256.64952470260687,-87.98090335647319,38.557817229698,7.617838580791636e-05,0.0005951476395394323,0.000518969253731516,2.674772575226868,True,True,False,437.65917091925706
18,dyn,control,azimilide,180.5,206.5,227.4,287.1,106.60000000000002,80.60000000000002,59.70000000000002,183.1,284.3,344.6,150.0,263.2,122.0,0.0748617663639101,2.9950158482862115,256.7209480255539,-87.97866706120931,38.63210496590419,7.750634146029075e-05,0.0006549491510274457,0.0005774428095671549,2.9201540819223015,True,True,False,435.9390958187648
19,dyn,control,azimilide,180.4,206.4,227.3,287.1,106.70000000000002,80.70000000000002,59.80000000000001,183.7,284.6,345.9,213.9,425.6,140.1,0.07523849088901294,2.745165208774932,256.75592553233304,-87.98102734434764,38.64444165527283,7.632173009641969e-05,0.0006572216609074648,0.0005808999308110451,2.669926717885919,True,True,False,435.42725646735755
20,dyn,control,azimilide,180.0,205.9,226.8,286.3,106.30000000000001,80.4,59.5,176.0,272.0,330.3,199.8,427.8,134.9,0.03651164183196091,2.3048175251059306,256.80113644943094,-87.9802208236529,38.69580714892213,7.679731300139193e-05,0.0006911947004736806,0.0006143973874722887,2.2683058832739698,True,True,False,434.2784100126959
21,dyn,control,azimilide,180.6,206.6,227.5,287.3,106.70000000000002,80.70000000000002,59.80000000000001,185.3,287.2,348.1,152.6,268.0,130.7,0.07863846521678237,3.004744483548619,256.7102049235668,-87.97864097804977,38.633010618699124,7.749826880207127e-05,0.0006461368625126681,0.0005686385937105969,2.926106018331837,True,True,False,436.1265916213372
22,dyn,control,azimilide,179.8,205.7,226.5,285.7,105.89999999999998,80.0,59.19999999999999,170.8,264.2,321.0,164.1,344.1,136.6,0.03337711361684499,2.663212174027495,256.8235376574229,-87.97952578360172,38.73340533809252,7.716625734418078e-05,0.0007158174160585682,0.0006386511587143874,2.62983506041065,True,True,False,433.59975086061576
23,dyn,control,azimilide,180.8,206.7,227.7,287.7,106.89999999999998,81.0,60.0,192.6,296.3,359.9,184.2,367.4,138.6,0.06345644673186736,2.746675876465271,256.7079309614209,-87.98052530027685,38.58901383461587,7.648320221618861e-05,0.0006244315836422337,0.0005479483814260451,2.6832194297334033,True,True,False,436.44786206608325
24,dyn,control,azimilide,179.8,205.7,226.6,285.8,106.0,80.10000000000002,59.20000000000002,167.8,263.3,320.4,195.9,363.4,130.9,0.19169882320000237,2.9624049164715185,256.8137017647448,-87.97922222225185,38.76986712140248,7.728223278927638e-05,0.0007240559312441031,0.0006467736984548268,2.770706093271516,True,True,False,433.7564839378906
25,dyn,control,azimilide,180.1,205.9,226.8,286.2,106.1,80.29999999999998,59.39999999999998,173.2,270.6,329.1,163.1,310.5,117.3,0.04737966910318682,2.684435679353269,256.7865869476809,-87.97913593265629,38.69180126104108,7.734032659246745e-05,0.0006990885639660264,0.0006217482373735589,2.637056010250082,True,True,False,434.50030905747906
26,dyn,control,azimilide,180.5,206.4,227.3,286.7,106.19999999999999,80.29999999999998,59.39999999999998,182.0,281.3,343.5,118.1,232.2,109.2,0.013678190960629211,2.1785643248668904,256.715335577692,-87.97840743866588,38.62277291316282,7.763921506581954e-05,0.0006528647016410526,0.0005752254865752331,2.1648861339062613,True,True,False,436.3354651418771
27,dyn,control,azimilide,180.1,206.0,226.9,286.2,106.1,80.19999999999999,59.29999999999998,173.4,270.6,328.5,131.4,238.7,111.0,0.04450108965546692,2.912161755799517,256.77182960344805,-87.97873332226462,38.6827020885853,7.752845330877357e-05,0.0006952329395251598,0.0006177044862163862,2.86766066614405,True,True,False,434.8920690710157
28,dyn,control,azimilide,180.3,206.2,227.1,286.7,106.39999999999998,80.5,59.599999999999994,177.8,277.0,336.7,148.3,278.3,117.2,0.05364489144961193,2.9966324834348423,256.75490819433685,-87.97890297035424,38.65538101763419,7.74287397546707e-05,0.0006776968804369102,0.0006002681406822395,2.94298759198523,True,True,False,435.24003478383463
29,dyn,control,azimilide,180.5,206.4,227.4,287.0,106.5,80.6,59.599999999999994,181.3,283.0,344.0,148.1,269.7,114.3,0.05260765836415347,2.7988036914535606,256.7202164154391,-87.97856184650423,38.64111950369234,7.754829308218509e-05,0.0006586853069716253,0.0005811370138894402,2.746196033089407,True,True,False,436.0102926849298
30,dyn,control,azimilide,180.2,206.1,227.0,286.6,106.40000000000003,80.50000000000003,59.60000000000002,177.6,276.1,335.5,159.3,301.8,130.3,0.058385874520625276,2.8159165902352816,256.7628176080933,-87.97900988139322,38.68451641139843,7.736422631445527e-05,0.000678947635986142,0.0006015834096716867,2.7575307157146565,True,True,False,434.981713546474
31,dyn,control,azimilide,179.9,205.8,226.7,286.1,106.20000000000002,80.30000000000001,59.400000000000034,171.3,267.5,325.3,174.5,325.1,137.4,0.08396333043836297,2.97121311127513,256.7991182348442,-87.97916878074312,38.74129730129597,7.730201126651775e-05,0.0007079006737235604,0.0006305986624570426,2.887249780836767,True,True,False,434.1013389565424
32,dyn,control,azimilide,180.5,206.4,227.3,286.9,106.39999999999998,80.49999999999997,59.599999999999966,183.1,283.1,343.5,128.1,248.5,111.4,0.023995752209845848,2.513576740111561,256.7219993575549,-87.97867455799641,38.6025962535447,7.75327869854201e-05,0.0006532406544374505,0.0005757078674520304,2.4895809879017152,True,True,False,436.13797506965705
33,dyn,control,azimilide,179.7,205.6,226.4,285.5,105.80000000000001,79.9,59.099999999999994,168.2,262.0,319.2,129.5,271.4,113.0,0.010367614471124328,2.044125816457841,256.81716714057256,-87.97900014375803,38.74827841850448,7.74518677620158e-05,0.0007213946124906812,0.0006439427447286655,2.033758201986717,True,True,False,433.8476175159981
34,dyn,control,azimilide,180.7,206.7,227.6,287.5,106.80000000000001,80.80000000000001,59.900000000000006,185.5,290.1,352.5,187.4,328.3,121.3,0.24019320461841326,3.2148926751541267,256.6978551990048,-87.97882241549739,38.63487377001637,7.737055816861384e-05,0.0006427215078378574,0.0005653509496692436,2.9746994705357133,True,True,False,436.42935636647496
35,dyn,control,azimilide,179.9,205.8,226.6,285.9,105.99999999999997,80.09999999999997,59.29999999999998,170.3,265.7,323.2,142.7,270.5,122.1,0.041494313923894556,2.7365428391643576,256.80174074587177,-87.97895583127224,38.73017390756955,7.744859817374216e-05,0.000712278691494771,0.0006348300933210288,2.695048525240463,True,True,False,434.1118350299778
36,dyn,control,azimilide,180.4,206.3,227.1,286.6,106.20000000000002,80.30000000000001,59.50000000000003,180.0,277.6,336.2,122.1,224.6,115.5,0.02779971973148087,2.4947794954129257,256.74135397483184,-87.97861771023126,38.63715360197122,7.75685402284682e-05,0.0006669911176905258,0.0005894225774620576,2.4669797756814447,True,True,False,435.63542678285967
