,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,dyn,gomez,azimilide,215.5,259.0,295.3,387.5,172.0,128.5,92.19999999999999,368.9,502.4,596.6,200.3,380.9,204.8,0.1460942714796277,1.1747383982910624,241.50045339830373,-87.77692368925933,40.39702824797165,9.295752280083256e-05,0.0002635124873069893,0.00017055496450615673,1.0286441268114348,False,False,False,-0.04058056662280762
1,dyn,gomez,azimilide,215.4,258.9,295.2,387.0,171.6,128.10000000000002,91.80000000000001,361.6,496.7,600.7,181.4,358.1,197.9,0.07647653704070037,0.8253594589700478,241.44920899697806,-87.7746714388461,40.397838807938456,9.328303901908814e-05,0.0002653720560013161,0.00017208901698222796,0.7488829219293475,False,False,False,0.1635667570363779
2,dyn,gomez,azimilide,215.1,258.8,295.3,387.9,172.79999999999998,129.09999999999997,92.59999999999997,365.8,500.2,585.0,205.8,380.2,235.6,0.25298612977042956,1.6516626885260064,241.65540879968725,-87.78256026334049,40.39701434781616,9.209588015367853e-05,0.0002688744013666518,0.00017677852121297325,1.398676558755577,False,False,False,-0.7621320021470268
3,dyn,gomez,azimilide,216.3,259.6,295.5,387.1,170.8,127.5,91.60000000000002,371.6,520.0,629.7,173.3,411.2,212.3,0.09640792398875285,0.7686846254263682,241.41757193319555,-87.77491141936112,40.38171585271119,9.333340925969338e-05,0.0002572525814877027,0.0001639191722280093,0.6722767014376153,False,False,False,-0.1418530868029677
4,dyn,gomez,azimilide,215.0,258.7,295.3,387.8,172.8,129.10000000000002,92.5,362.7,491.4,580.7,196.8,371.8,216.5,0.16930892607222822,1.3705077763154092,241.61498565526222,-87.78067342491458,40.41959524883039,9.235982306330238e-05,0.0002699015356546407,0.00017754171259133834,1.201198850243181,False,False,False,-1.0637957920285146
5,dyn,gomez,azimilide,215.9,259.3,295.5,387.8,171.9,128.5,92.30000000000001,374.4,511.1,607.0,197.6,395.7,220.5,0.09177548910180366,0.8746549584421732,241.51823784962485,-87.7783879859736,40.40334750611017,9.279313907953248e-05,0.0002600271439382649,0.00016723400485873244,0.7828794693403696,False,False,False,-0.9814054075346235
6,dyn,gomez,azimilide,215.3,258.9,295.2,387.4,172.09999999999997,128.5,92.19999999999999,365.5,497.2,594.9,193.5,380.7,197.9,0.11999701683614837,1.0853941028487362,241.50809453981998,-87.77694259659033,40.42081174896596,9.294113904054837e-05,0.0002652790766375562,0.00017233793759700785,0.9653970860125878,False,False,False,-0.49375360145261027
7,dyn,gomez,azimilide,214.7,258.5,295.1,387.5,172.8,129.0,92.39999999999998,358.9,492.7,580.8,216.5,411.3,211.7,0.24219299632833374,1.5700226212134916,241.66874616362432,-87.78238457519787,40.415870669344514,9.207458980796266e-05,0.0002725832063610153,0.00018050861655305266,1.3278296248851578,False,False,False,-0.17456833424600404
8,dyn,gomez,azimilide,215.4,259.0,295.4,387.8,172.4,128.8,92.40000000000003,370.6,509.1,599.1,217.0,414.6,220.0,0.33146022764369115,1.7821404639588205,241.65712260122956,-87.7831558217727,40.412126832429166,9.202553274075139e-05,0.000264429128658514,0.00017240359591776263,1.4506802363151294,False,False,False,-0.3224768310491726
9,dyn,gomez,azimilide,215.5,259.1,295.3,387.4,171.89999999999998,128.29999999999995,92.09999999999997,371.8,514.1,609.7,219.0,431.9,202.2,0.33052041953407535,1.6138637373627012,241.58280755134896,-87.7804583901313,40.403225819195164,9.243770802164919e-05,0.0002614800494479154,0.00016904234142626622,1.2833433178286258,False,False,False,0.853140774973042
10,dyn,gomez,azimilide,215.5,259.0,295.3,387.4,171.89999999999998,128.39999999999998,92.09999999999997,371.5,512.7,608.5,216.1,427.5,202.5,0.3856600145555749,1.86368585924065,241.59464797803386,-87.7808748458585,40.407317654200234,9.237127450632101e-05,0.0002619313007891019,0.00016956002628278088,1.4780258446850751,False,False,False,0.6969481568764451
11,dyn,gomez,azimilide,216.9,260.2,295.8,387.8,170.9,127.60000000000002,92.0,393.6,535.5,637.9,208.0,421.7,214.1,0.1889208296576911,1.1274796713256563,241.47192805872504,-87.77816585513361,40.41317776517286,9.286761406663756e-05,0.0002484308425682199,0.00015556322850158235,0.9385588416679652,False,False,False,-0.8735376055317943
12,dyn,gomez,azimilide,215.8,259.3,295.5,387.7,171.89999999999998,128.39999999999998,92.19999999999999,375.0,510.0,606.4,205.2,402.9,207.5,0.15826284018748232,1.2093768879150366,241.57171358913791,-87.78030928967848,40.42488458077098,9.246908845893634e-05,0.0002602890870407504,0.00016781999858181407,1.0511140477275542,False,False,False,-0.8917981407208231
13,dyn,gomez,azimilide,214.6,258.3,295.0,387.2,172.6,128.89999999999998,92.19999999999999,355.0,484.8,578.3,203.5,394.1,192.1,0.1573019007563698,1.3149676255690919,241.61401407810666,-87.7799189934038,40.42289109203052,9.241954916013991e-05,0.0002739463765557728,0.00018152682739563288,1.157665724812722,False,False,False,0.07523736381632773
14,dyn,gomez,azimilide,215.7,259.2,295.4,387.7,172.0,128.5,92.30000000000001,374.9,516.0,608.9,219.2,425.3,220.1,0.36436666596746514,1.7384626274094155,241.63065139039134,-87.78260075894309,40.4082322381142,9.213607326179279e-05,0.0002609408949643769,0.00016880482170258411,1.3740959614419503,False,False,False,-0.028637791633514098
15,dyn,gomez,azimilide,214.9,258.5,295.1,387.5,172.6,129.0,92.39999999999998,361.7,498.5,592.2,235.2,457.0,230.4,0.5893177424208207,2.191281862076048,241.66585267227228,-87.7826121323877,40.400124907026935,9.206874401091355e-05,0.0002699809054033446,0.00017791216139243106,1.6019641196552272,False,False,False,0.757826012213215
16,dyn,gomez,azimilide,214.5,258.2,294.9,387.1,172.60000000000002,128.90000000000003,92.20000000000005,352.4,481.5,575.2,199.9,387.5,192.1,0.17712283890680913,1.4031682043390608,241.6132711794121,-87.77963797965958,40.414870775931114,9.244711349699405e-05,0.00027583177451875255,0.00018338466102175852,1.2260453654322516,False,False,False,0.29279558613977485
17,dyn,gomez,azimilide,216.6,259.9,295.7,387.9,171.29999999999998,128.0,92.19999999999999,390.8,541.0,637.9,236.7,459.8,241.4,0.4158378800193166,1.6330995612255002,241.64419877001595,-87.78475316914349,40.39887710277584,9.190523586898394e-05,0.0002516089207144691,0.00015970368484548514,1.2172616812061836,False,False,False,-0.05249300666862666
18,dyn,gomez,azimilide,215.3,258.8,295.2,387.4,172.09999999999997,128.59999999999997,92.19999999999999,365.8,501.0,598.1,205.1,403.9,196.5,0.2215714201313997,1.4522791617814592,241.5783377559836,-87.77969456597816,40.4105664705113,9.251398472396224e-05,0.00026557245282015686,0.00017305846809619461,1.2307077416500596,False,False,False,0.262409187586087
19,dyn,gomez,azimilide,215.4,259.0,295.4,387.9,172.49999999999997,128.89999999999998,92.5,371.1,511.7,602.2,233.7,444.1,237.9,0.25166355041190036,1.423216740390886,241.72230520397054,-87.78581720827117,40.40723451121241,9.163772616990572e-05,0.0002650040292078945,0.0001733663030379888,1.1715531899789857,False,False,False,-0.5969737287935857
20,dyn,gomez,azimilide,215.1,258.7,295.3,387.9,172.79999999999998,129.2,92.59999999999997,364.8,499.1,590.9,218.1,440.3,232.8,0.09527427536896571,0.9685419807911017,241.69870217446555,-87.78432296650489,40.41081789526642,9.183274391167877e-05,0.00026927908019817664,0.00017744633628649788,0.8732677054221359,False,False,False,-1.099204768506425
