,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,iso,control,azimilide,185.1,211.2,231.5,291.3,106.20000000000002,80.10000000000002,59.80000000000001,236.3,389.1,481.8,126.7,260.3,152.5,0.062653116926814,34.3854806884085,256.10679948282234,-87.9743025645859,38.4322596449264,7.86169985404511e-05,0.0004715711551162,0.0003929541565757,34.32282757148169,False,False,False,438.1343703236033,high
1,1,iso,control,azimilide,183.1,209.2,229.8,289.9,106.79999999999998,80.69999999999999,60.099999999999966,214.9,347.5,426.6,108.5,225.8,135.5,0.0239888007155943,18.54173605048377,256.3074335286459,-87.97616693034902,38.52378981063795,7.809054209302156e-05,0.0005285910902196,0.0004505005481266,18.51774724976818,True,True,False,435.5861627395012,high
2,2,iso,control,azimilide,184.5,210.6,231.0,290.9,106.39999999999998,80.29999999999998,59.89999999999998,228.6,375.6,464.6,151.1,295.2,210.5,0.1545771046949816,38.505172536626176,256.1660723610825,-87.9748709514433,38.46598074978618,7.846599404198204e-05,0.0004891190653144,0.0004106530712724,38.3505954319312,False,True,False,437.4496035775319,high
3,3,iso,control,azimilide,184.2,210.3,230.8,290.7,106.5,80.39999999999998,59.89999999999998,228.0,371.2,457.5,117.7,239.3,173.5,0.0256789687241299,19.854540148906672,256.1985957281218,-87.97531891069721,38.46594625848449,7.833643432526797e-05,0.0004933092361307,0.0004149728018054,19.828861180182543,False,True,False,437.10145028636873,high
4,4,iso,control,azimilide,183.9,210.0,230.5,290.5,106.6,80.5,60.0,226.2,365.6,449.3,134.9,253.9,189.3,0.0803925777651127,26.130413398626764,256.2331546960546,-87.97575036016019,38.46859528454839,7.820752421952996e-05,0.000500028350758,0.0004218208265384,26.05002082086165,False,True,False,436.6970600047912,high
5,5,iso,control,azimilide,184.1,210.2,230.7,290.7,106.6,80.5,60.0,229.1,370.9,456.2,133.1,287.0,156.3,0.0338305349314373,17.472028404961403,256.20864832601546,-87.97554374529416,38.4567434819815,7.826620014936054e-05,0.0004926609514425,0.0004143947512932,17.438197870029967,False,True,False,437.0182705069808,high
6,6,iso,control,azimilide,184.2,210.3,230.8,290.8,106.60000000000002,80.5,60.0,231.5,374.2,460.0,121.1,241.2,150.5,0.0470529616267571,23.96420245678509,256.19841200231485,-87.97553741498447,38.44409976464836,7.825896347064586e-05,0.0004878042520616,0.000409545288591,23.917149495158338,False,True,False,437.173856804882,high
7,7,iso,control,azimilide,183.6,209.7,230.2,290.3,106.70000000000002,80.60000000000002,60.10000000000002,221.5,358.4,440.5,137.3,283.7,158.1,0.1044799002472104,35.13365828071076,256.2609096390159,-87.97588523108091,38.49173755610629,7.817238874578732e-05,0.0005110078422915,0.0004328354535457,35.02917838046355,False,True,False,436.28770529776847,high
8,8,iso,control,azimilide,186.1,212.1,232.3,291.9,105.79999999999998,79.79999999999998,59.599999999999966,251.0,411.7,509.3,161.2,319.2,180.3,0.191557059811379,42.28749628240786,256.01940153630727,-87.97353593291929,38.369705398471616,7.882368552767496e-05,0.0004439728482252,0.0003651491626975,42.09593922259648,False,False,False,439.06605031591056,high
9,9,iso,control,azimilide,186.6,212.6,232.7,292.2,105.6,79.6,59.5,255.0,420.6,521.5,153.1,316.7,142.2,0.2058527659999704,37.3663195279762,255.9701867214629,-87.97277953977124,38.35554322159912,7.906095938960395e-05,0.0004353411061939,0.0003562801468042,37.160466761976224,False,False,False,439.4620146030595,high
