,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,iso,gomez,azimilide,222.1,263.8,296.4,383.4,161.29999999999998,119.59999999999997,87.0,485.4,702.1,818.3,193.3,438.5,292.0,0.5165677505983929,9.151577431963945,239.77766208552245,-87.71975410672913,40.19755284594784,0.00010196314134373253,0.00019975681591299636,9.779367456926383e-05,8.635009681365553,False,False,False,7.068671995481218
1,iso,gomez,azimilide,220.2,262.4,296.0,384.7,164.5,122.30000000000001,88.69999999999999,454.4,654.6,772.9,169.6,373.5,269.5,0.11293302004033827,3.4740626467449447,240.5823798383723,-87.74917520397703,40.25787382613617,9.760200146883949e-05,0.00021327379856792044,0.00011567179709908095,3.3611296267046065,False,False,False,4.578385716835967
2,iso,gomez,azimilide,221.5,263.4,296.3,383.7,162.2,120.30000000000001,87.39999999999998,476.0,688.8,806.3,216.5,456.1,337.3,1.276296271212444,16.677870395895898,240.03220832495214,-87.72903809341526,40.21177602779919,0.00010059986665672943,0.00020355234853133372,0.00010295248187460429,15.401574124683453,False,False,False,6.535610449956948
3,iso,gomez,azimilide,221.3,263.3,296.3,384.0,162.7,120.69999999999999,87.69999999999999,473.5,683.8,801.3,165.9,352.4,298.7,0.1862442562852264,3.9695207613163968,240.15082855114773,-87.73349650699798,40.22636261064811,9.995106137912081e-05,0.00020496005041646253,0.00010500898903734171,3.7832765050311705,False,False,False,5.894225504181193
4,iso,gomez,azimilide,221.1,263.1,296.3,384.2,163.1,121.09999999999997,87.89999999999998,470.0,677.5,795.1,196.1,422.7,312.1,0.5849604207850698,9.908471570857342,240.27861085469905,-87.7382772424379,40.24257806538964,9.924988428818375e-05,0.00020668309545666174,0.000107433211168478,9.323511150072273,False,False,False,5.23133905925058
5,iso,gomez,azimilide,221.4,263.3,296.3,384.0,162.6,120.69999999999999,87.69999999999999,474.1,683.6,800.9,197.2,438.4,297.6,0.21100672270608473,4.30825396639739,240.17783041035065,-87.73459329643707,40.23536542506225,9.979743755199617e-05,0.00020496730327994062,0.00010516986572794445,4.097247243691306,False,False,False,5.523289296772553
6,iso,gomez,azimilide,221.5,263.5,296.4,384.0,162.5,120.5,87.60000000000002,477.0,687.4,804.3,184.5,417.3,283.1,0.3234980091182965,6.661382475955442,240.12590122656437,-87.73275478825752,40.23650135855528,0.00010007490252963245,0.00020387648132028078,0.00010380157879064832,6.337884466837146,False,False,False,5.491930290629412
7,iso,gomez,azimilide,220.8,262.9,296.1,384.4,163.59999999999997,121.5,88.29999999999995,463.8,668.8,786.8,204.6,453.9,291.1,0.9772659562707068,12.495489811885959,240.39829744394146,-87.74256656960115,40.246730863558795,9.860291575430765e-05,0.00020918596981332892,0.00011058305405902128,11.518223855615252,False,False,False,5.051747350578125
8,iso,gomez,azimilide,223.0,264.5,296.7,383.0,160.0,118.5,86.30000000000001,501.1,721.7,835.0,235.2,506.4,316.1,2.867842488287961,20.517251470728425,239.36792010748314,-87.70495032313411,40.1872690164507,0.00010411941115065056,0.00019407947252373216,8.99600613730816e-05,17.649408982440463,False,False,False,7.37923800302292
9,iso,gomez,azimilide,223.2,264.7,296.8,382.7,159.5,118.0,85.89999999999998,505.4,728.0,840.4,230.6,519.0,289.0,2.453199916290162,15.906167661551635,239.17415753588315,-87.69783222840597,40.17303664219904,0.0001051323754883057,0.00019219830726898354,8.706593178067784e-05,13.452967745261473,False,False,False,7.9210286013901055
10,iso,gomez,azimilide,223.8,265.1,296.9,382.4,158.59999999999997,117.29999999999995,85.5,514.1,738.8,849.3,240.7,528.9,299.9,4.234560406177989,24.500715328023045,238.84692073054163,-87.68596708082218,40.15895093647985,0.00010681470405045757,0.0001889387121614103,8.212400811095272e-05,20.266154921845057,False,False,False,8.432502333951255
11,iso,gomez,azimilide,225.4,266.4,297.4,381.3,155.9,114.90000000000003,83.90000000000003,540.5,770.0,873.3,244.0,532.2,316.7,2.5499137308999797,14.593559195065298,237.49593443927958,-87.63767067634693,40.10135349362991,0.00011346135473434374,0.00017867494971789905,6.521359498355532e-05,12.04364546416532,False,False,False,10.624605438043822
