,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,dyn,control,baseline,167.3,189.5,207.4,260.8,93.5,71.30000000000001,53.400000000000006,182.5,281.4,343.3,155.4,299.3,118.3,0.050656564440805456,2.8138256508871544,256.7780951030987,-87.98045217647642,38.2753963466434,7.668101743184758e-05,0.0006338775142063265,0.0005571964967744789,2.763169086446349,True,True,False,495.55468246170125
1,dyn,control,baseline,167.0,189.2,207.0,260.2,93.19999999999999,71.0,53.19999999999999,174.9,269.1,327.7,134.2,262.3,110.3,0.02178097559883262,2.337935444767156,256.81301766615104,-87.9804078946269,38.29977838694456,7.675763657447198e-05,0.0006669697904861683,0.0005902121539116963,2.3161544691683233,True,True,False,493.21076299099803
2,dyn,control,baseline,167.3,189.5,207.4,260.9,93.59999999999997,71.39999999999998,53.49999999999997,185.8,282.4,343.0,185.4,355.7,162.1,0.10719972049104277,3.0263192774731684,256.79155986764215,-87.98152808162634,38.30009620413904,7.600933935296902e-05,0.0006285114949342103,0.0005525021555812412,2.9191195569821256,True,True,False,494.8270446355969
3,dyn,control,baseline,167.3,189.5,207.4,260.9,93.59999999999997,71.39999999999998,53.49999999999997,186.6,282.3,343.0,139.8,288.2,133.0,0.021979524003158054,2.31412961851881,256.7850750887181,-87.98068615838781,38.2707938446548,7.66124616032102e-05,0.0006244615839219906,0.0005478491223187804,2.2921500945156517,True,True,False,495.18364391836076
4,dyn,control,baseline,167.2,189.4,207.3,260.7,93.5,71.29999999999998,53.39999999999998,183.0,276.8,334.7,150.5,277.7,146.9,0.06567023949487441,2.7042119979981747,256.80495302360066,-87.98079140551208,38.27800836828008,7.657169176718502e-05,0.0006430867229058621,0.0005665150311386771,2.6385417585033,True,True,False,493.80363018530204
5,dyn,control,baseline,167.3,189.5,207.4,260.8,93.5,71.30000000000001,53.400000000000006,183.6,280.7,341.7,167.0,347.6,122.6,0.02778083164663794,2.2495746775069523,256.7943909749489,-87.98108206060398,38.26432386913515,7.636353589270954e-05,0.0006346745481434384,0.0005583110122507289,2.221793845860314,True,True,False,494.8758752550212
6,dyn,control,baseline,167.2,189.4,207.3,260.6,93.40000000000003,71.20000000000002,53.30000000000001,180.8,276.1,334.9,138.9,262.5,118.7,0.040378685362018836,2.593410097597746,256.798704122302,-87.98058966973194,38.260757014860204,7.668386196424954e-05,0.0006461622616755685,0.000569478399711319,2.553031412235727,True,True,False,494.30055376334917
7,dyn,control,baseline,167.0,189.2,207.1,260.4,93.39999999999998,71.19999999999999,53.29999999999998,175.5,270.3,329.0,179.3,340.9,126.9,0.08347967898142117,2.9907443721340266,256.8194473668511,-87.98088243846331,38.30583117779294,7.643897976216172e-05,0.0006685181726837061,0.0005920791929215443,2.907264693152605,True,True,False,492.90183194272896
8,dyn,control,baseline,167.4,189.7,207.6,261.1,93.70000000000002,71.40000000000003,53.50000000000003,187.6,286.9,348.3,182.4,330.9,138.7,0.12203316762393664,3.1215056904403444,256.77672809228164,-87.98106801182523,38.25390055833034,7.630474360412411e-05,0.0006208880543712789,0.0005445833107671547,2.999472522816408,True,True,False,495.90381807552535
9,dyn,control,baseline,167.5,189.7,207.6,261.1,93.60000000000002,71.40000000000003,53.50000000000003,184.6,286.3,348.9,170.6,308.8,111.9,0.11378482218692006,2.9968153820428647,256.7621577983024,-87.98043192202344,38.26199271947365,7.66710710586806e-05,0.000624115503059923,0.0005474444320012424,2.8830305598559445,True,True,False,496.5720195666242
