,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,iso,control,baseline,171.1,193.6,210.9,263.9,92.79999999999998,70.29999999999998,52.99999999999997,234.5,385.0,477.4,124.6,256.3,151.7,0.06095356626937446,31.81556885421443,256.1894081911715,-87.97634723332732,38.10090376399094,7.781286559235844e-05,0.0004581360501363138,0.0003803231845439554,31.754615287945054,False,False,False,499.17970326681996
1,iso,control,baseline,169.2,191.7,209.2,262.6,93.40000000000003,70.90000000000003,53.400000000000034,213.8,343.3,422.2,107.4,222.9,134.8,0.02337962769388712,16.991366232815096,256.3348011900849,-87.97792227254997,38.16525333590257,7.732147012359515e-05,0.0005135747263985727,0.0004362532562749776,16.967986605121208,True,True,False,492.88011241650855
2,iso,control,baseline,170.5,193.0,210.4,263.5,93.0,70.5,53.099999999999994,227.0,371.5,460.1,147.1,290.2,209.0,0.15018588256409518,36.39019444970151,256.23278429943696,-87.97683176953755,38.12618087031354,7.767300179481842e-05,0.00047521588853413285,0.00039754288673931443,36.240008567137416,False,True,False,497.3936399131385
3,iso,control,baseline,170.2,192.7,210.1,263.3,93.10000000000002,70.60000000000002,53.20000000000002,226.4,367.0,453.1,115.2,236.1,171.9,0.024813670595455417,18.138959851767133,256.25649691186317,-87.97723338448418,38.12394475303483,7.754913701421092e-05,0.0004792516980297475,0.0004017025610155366,18.114146181171677,False,True,False,496.4990776668463
4,iso,control,baseline,169.9,192.4,209.9,263.1,93.20000000000002,70.70000000000002,53.20000000000002,224.7,361.4,444.8,131.3,249.0,187.9,0.07849831835109952,24.575928601067876,256.2815352532701,-87.97761585054796,38.1236931955184,7.742558293096726e-05,0.00048577066575416746,0.0004083450828232002,24.497430282716778,False,True,False,495.4954765129491
5,iso,control,baseline,170.2,192.6,210.1,263.3,93.10000000000002,70.70000000000002,53.20000000000002,227.5,366.7,451.8,131.2,284.0,155.4,0.03272852199451965,16.098688689349522,256.2638455145381,-87.97744349998548,38.115371670186725,7.748061835310248e-05,0.00047860501798359227,0.00040112439963048977,16.065960167355,False,True,False,496.2821001909167
6,iso,control,baseline,170.3,192.8,210.2,263.4,93.09999999999997,70.59999999999997,53.19999999999999,229.9,370.0,455.5,118.9,236.9,149.6,0.04587527408911061,22.366050899530897,256.2564988805891,-87.9774513447439,38.10541501486439,7.747175170330826e-05,0.00047387536168611494,0.0003964036099828067,22.320175625441788,False,True,False,496.66364055654765
7,iso,control,baseline,169.7,192.1,209.6,262.9,93.19999999999999,70.79999999999998,53.29999999999998,220.2,354.2,436.0,134.9,279.7,157.3,0.10221243466513118,33.1251128498332,256.30145332071766,-87.97771186352566,38.14140814042033,7.739514391219787e-05,0.0004964595381739126,0.00041906439426171477,33.02290041516807,False,True,False,494.5171814473266
8,iso,control,baseline,172.0,194.5,211.7,264.5,92.5,70.0,52.80000000000001,248.9,407.6,505.0,156.9,313.3,179.7,0.18273498204298388,40.30392825820662,256.12492458765087,-87.9757045423001,38.052874546865354,7.800073469574478e-05,0.0004312580777801171,0.0003532573430843723,40.12119327616363,False,False,False,501.7513246526737
9,iso,control,baseline,172.4,194.9,212.0,264.7,92.29999999999998,69.79999999999998,52.69999999999999,252.8,416.6,517.1,149.9,311.1,142.0,0.19729323225907083,35.389437295996146,256.0879473719486,-87.97502169461954,38.042926379250396,7.822516759886468e-05,0.000422870688192394,0.0003446455205935293,35.192144063737075,False,False,False,502.9408425390832
