,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,iso,gomez,baseline,205.7,241.6,268.3,342.5,136.8,100.9,74.19999999999999,468.9,689.3,809.0,186.3,433.8,283.2,0.4654523677162077,8.423690000445825,240.25525693300855,-87.73388691742088,40.03091473580589,0.0001000531463927201,0.00019656522480432525,9.651207841160514e-05,7.958237632729618,False,False,False,85.73585071221012
1,iso,gomez,baseline,204.0,240.2,267.6,343.2,139.2,103.0,75.59999999999997,438.0,640.5,761.6,160.0,362.8,263.7,0.10733370449676535,3.19369935679506,240.97289412770897,-87.761369754271,40.0842205600223,9.595516112032228e-05,0.00020978707487361302,0.00011383191375329074,3.0863656522982943,False,False,False,81.77011521001997
2,iso,gomez,baseline,205.2,241.2,268.1,342.7,137.5,101.5,74.59999999999997,459.5,675.6,796.4,211.1,453.3,327.0,1.1504941904575714,15.424256919833585,240.48322231635248,-87.74258034046845,40.04384308491351,9.876784679485415e-05,0.00020029889332401173,0.00010153104652915758,14.273762729376013,False,False,False,84.75709834529734
3,iso,gomez,baseline,205.0,241.1,268.0,342.8,137.8,101.70000000000002,74.80000000000001,457.0,670.4,791.1,158.8,347.5,289.6,0.17464317775479135,3.5716565657285764,240.5897116566544,-87.74676496991277,40.05619653117062,9.815402163440702e-05,0.0002016834405988809,0.00010352941896447388,3.397013387973785,False,False,False,83.96898710859229
4,iso,gomez,baseline,204.8,240.9,268.0,343.0,138.2,102.1,75.0,453.5,663.9,784.6,189.3,417.8,302.6,0.5333423850548953,9.185818843981172,240.70405054900067,-87.75124196403262,40.06995571663026,9.749266480296998e-05,0.00020337421916442623,0.00010588155436145625,8.652476458926277,False,False,False,83.12483868383376
5,iso,gomez,baseline,205.1,241.1,268.1,342.9,137.79999999999998,101.79999999999998,74.79999999999995,457.6,670.2,790.7,191.6,434.7,288.5,0.18928298862251025,3.9414469003122554,240.6142983290276,-87.74780422300003,40.06355898604284,9.800664917781919e-05,0.0002016951309510584,0.00010368848177323921,3.7521639116897454,False,False,False,83.60572169517167
6,iso,gomez,baseline,205.2,241.3,268.2,342.9,137.7,101.59999999999997,74.69999999999999,460.5,674.1,794.2,176.1,410.4,275.3,0.2937403214999567,6.170733752208188,240.56822224083433,-87.74609544183559,40.0642393834296,9.826574876438916e-05,0.00020062861164613574,0.00010236286288174657,5.876993430708231,False,False,False,83.70093301440686
7,iso,gomez,baseline,204.5,240.7,267.8,343.1,138.60000000000002,102.40000000000003,75.30000000000001,447.4,655.0,776.0,197.2,448.7,283.3,0.9019127622967305,11.694115604047713,240.81011655466838,-87.75522987018269,40.07407171701024,9.688853840398041e-05,0.00020581408035741537,0.00010892554195343496,10.792202841750983,False,False,False,82.67151632271732
8,iso,gomez,baseline,206.6,242.4,268.8,342.4,135.79999999999998,99.99999999999997,73.59999999999997,484.7,709.7,826.6,229.3,505.2,306.3,2.6301492991676163,19.2875842557665,239.88671742080888,-87.71997961951678,40.02049757461103,0.00010209323001194753,0.00019094589081867684,8.88526608067293e-05,16.657434956598884,False,False,False,86.77902349538005
9,iso,gomez,baseline,206.8,242.6,268.9,342.2,135.39999999999998,99.6,73.30000000000001,489.2,716.3,832.4,223.9,517.5,279.7,2.2702398479167685,15.023151898956133,239.71100269698272,-87.71324966061387,40.00801826815947,0.0001030593262700921,0.00018906898681344492,8.600966054335283e-05,12.752912051039365,False,False,False,87.5692808767131
10,iso,gomez,baseline,207.3,243.0,269.1,342.1,134.8,99.10000000000002,73.0,498.0,727.7,841.9,233.9,528.0,290.2,3.9043829102186787,23.181844570789842,239.41354631130343,-87.70200704300292,39.99518518237784,0.00010466668987696655,0.00018580814859821021,8.114145872124366e-05,19.277461660571163,False,False,False,88.54723731831096
11,iso,gomez,baseline,208.9,244.3,269.8,341.5,132.6,97.19999999999999,71.69999999999999,525.5,760.9,867.8,240.1,534.9,305.4,2.293783083131559,13.466104460122924,238.17106862002515,-87.6557817563545,39.94357213903123,0.00011108083085692303,0.00017543655835092683,6.43557274940038e-05,11.172321376991366,False,False,False,92.50968841585987
12,iso,gomez,baseline,206.7,242.5,268.8,342.4,135.7,99.89999999999998,73.59999999999997,486.3,711.1,827.7,201.7,466.0,291.7,0.7623243519729742,9.417287806446009,239.87303529245023,-87.71951395076734,40.024374151914,0.00010216535211001228,0.00019055091112541198,8.83855590153997e-05,8.654963454473034,False,False,False,86.66045871922834
13,iso,gomez,baseline,204.0,240.2,267.6,343.3,139.3,103.10000000000002,75.69999999999999,438.2,640.1,760.9,172.6,401.0,262.4,0.39257428468467764,7.786996700608809,240.99007503701634,-87.76209483940256,40.089398022246975,9.5850369471011e-05,0.00020986206969557817,0.00011401170022456718,7.394422415924132,False,False,False,81.5040086339146
14,iso,gomez,baseline,207.1,242.8,269.0,342.2,135.1,99.39999999999998,73.19999999999999,493.8,721.8,836.9,238.6,523.4,306.3,3.138703872463534,18.157229347998527,239.5923341699912,-87.70880353728975,40.006535772314265,0.00010370130039946794,0.0001875339450065438,8.383264460707587e-05,15.018525475534993,False,False,False,87.8196547948061
15,iso,gomez,baseline,205.5,241.5,268.2,342.7,137.2,101.19999999999999,74.5,464.8,681.5,801.4,241.1,518.7,304.6,4.25251781911,22.948807116000097,240.4290738893899,-87.74067990696258,40.049412305690154,9.906288034096292e-05,0.00019865625822852473,9.959337788756181e-05,18.696289296890097,False,False,False,84.59343146684958
16,iso,gomez,baseline,203.7,240.0,267.5,343.2,139.5,103.19999999999999,75.69999999999999,434.2,634.7,755.7,171.6,395.3,265.9,0.4497191027332774,8.399758327282601,241.02919309026368,-87.76345971162267,40.08721810200157,9.563385189426592e-05,0.00021140950892008941,0.0001157756570258235,7.950039224549323,False,False,False,81.4640691039695
17,iso,gomez,baseline,208.3,243.8,269.5,341.8,133.5,98.0,72.30000000000001,514.9,748.2,858.1,275.0,562.5,319.6,4.980994255395072,17.633830925661755,238.74432363004038,-87.67696754211109,39.96900915140613,0.00010818108544704866,0.00017963498093118575,7.145389548413709e-05,12.652836670266684,False,False,False,90.60907437086975
18,iso,gomez,baseline,206.0,241.9,268.5,342.5,136.5,100.6,74.0,474.6,696.3,815.0,196.1,461.7,280.5,1.038803295247962,11.784122745804755,240.15175354786982,-87.73003494091127,40.03066781866085,0.00010062587840066857,0.00019464619322219866,9.402031482153009e-05,10.745319450556792,False,False,False,85.90369284822677
19,iso,gomez,baseline,205.3,241.3,268.2,342.8,137.5,101.5,74.60000000000002,461.2,676.2,796.5,228.8,497.7,308.4,1.1557983646048982,9.69186801771942,240.51247867174524,-87.74386209579379,40.054020367893244,9.859012315807439e-05,0.0002000951289639838,0.00010150500580590941,8.536069653114522,False,False,False,84.226014297593
20,iso,gomez,baseline,203.3,239.7,267.3,343.4,140.09999999999997,103.69999999999999,76.09999999999997,426.2,621.0,741.2,200.2,447.6,292.3,0.20950621482420378,3.8285760486206146,241.17073842111984,-87.76882705273798,40.10192034751577,9.481419701187481e-05,0.000215204452137786,0.00012039025512591118,3.6190698337964107,False,False,False,80.32634757699904
21,iso,gomez,baseline,206.0,241.9,268.5,342.4,136.39999999999998,100.49999999999997,73.89999999999998,475.0,698.0,816.7,197.8,457.8,290.2,1.0306043815957506,12.493212531647123,240.08991091884627,-87.7275788322183,40.02174189606655,0.0001009770534581483,0.00019418377704615678,9.320672358800848e-05,11.462608150051372,False,False,False,86.40870829631093
22,iso,gomez,baseline,202.6,239.1,267.0,343.6,141.00000000000003,104.50000000000003,76.60000000000002,413.9,601.3,720.2,154.2,343.0,276.2,0.18241421912549388,4.264508347838967,241.32292061623002,-87.77436304710388,40.11335922639673,9.394850389023615e-05,0.00022092528324900966,0.0001269767793587735,4.082094128713472,False,False,False,79.16345310756716
23,iso,gomez,baseline,206.6,242.4,268.8,342.3,135.70000000000002,99.9,73.5,486.0,711.7,828.4,219.1,483.5,312.5,0.9278054803675752,10.068339052953156,239.83403983676544,-87.7179541084385,40.01623402961369,0.00010238418818442415,0.0001903921154782021,8.800792729377794e-05,9.140533572585582,False,False,False,87.0379056908809
24,iso,gomez,baseline,203.0,239.5,267.2,343.5,140.5,104.0,76.30000000000001,421.8,614.3,734.1,209.3,468.8,276.1,1.5943625869556013,12.143343210508927,241.22283833779136,-87.77071096097781,40.10452191199043,9.451903781020297e-05,0.00021715929991380175,0.00012264026210359879,10.548980623553327,False,False,False,79.99971065058482
25,iso,gomez,baseline,203.9,240.2,267.6,343.3,139.4,103.10000000000002,75.69999999999999,437.9,639.7,760.5,184.0,422.7,270.7,0.38055226491348654,6.282432759948398,240.99291755496031,-87.76219355190013,40.089139931146974,9.583465425572917e-05,0.00020997682258989142,0.00011414216833416225,5.901880495034911,False,False,False,81.50409344740805
26,iso,gomez,baseline,205.1,241.2,268.1,342.8,137.70000000000002,101.60000000000002,74.69999999999999,458.8,673.1,793.7,152.1,343.6,264.9,0.08735770316285449,2.2320251883386852,240.54915550060488,-87.745218231018,40.05374067196305,9.838476795245553e-05,0.00020093922056673317,0.00010255445261427764,2.1446674851758307,False,False,False,84.16202182220513
27,iso,gomez,baseline,204.4,240.6,267.8,343.1,138.70000000000002,102.50000000000003,75.30000000000001,445.7,652.7,773.8,160.1,374.0,259.6,0.22997952608557873,6.7547109268465855,240.83396305431555,-87.75610809465373,40.07424386588552,9.675373159427625e-05,0.00020647056076970226,0.00010971682917542601,6.524731400761007,False,False,False,82.59945439177386
28,iso,gomez,baseline,205.1,241.2,268.1,342.8,137.70000000000002,101.60000000000002,74.69999999999999,458.6,672.3,792.8,172.6,401.8,274.4,0.3533174112080816,8.52970424415172,240.57281331922667,-87.74616938896419,40.05786001636194,9.824670006731577e-05,0.0002011594356129388,0.00010291273554562303,8.176386832943638,False,False,False,83.93294351267774
29,iso,gomez,baseline,205.7,241.6,268.3,342.6,136.90000000000003,101.00000000000003,74.30000000000001,468.8,688.5,808.1,189.5,450.3,273.6,0.6158618757970182,8.089405245395305,240.2851472842165,-87.73508064832247,40.035376975700764,9.988177830882422e-05,0.00019679302210121768,9.691124379239345e-05,7.473543369598287,False,False,False,85.47422164589526
30,iso,gomez,baseline,204.4,240.6,267.8,343.0,138.6,102.4,75.19999999999999,446.4,654.6,775.9,184.1,420.6,281.4,0.45993596744366066,8.110111421905419,240.7955275094233,-87.754568746551,40.0678830205985,9.698026531059304e-05,0.00020597956263603215,0.00010899929732543911,7.650175454461758,False,False,False,82.98328922488628
31,iso,gomez,baseline,203.3,239.7,267.3,343.3,140.0,103.60000000000002,76.0,426.5,623.3,744.0,188.6,423.6,281.9,0.7171885748042869,10.556383537426234,241.12746830141194,-87.76704804672183,40.09179142452911,9.50763336602499e-05,0.00021468664005203582,0.00011961030639178593,9.839194962621947,False,False,False,80.94332474380806
32,iso,gomez,baseline,205.7,241.7,268.4,342.7,137.0,101.0,74.30000000000001,469.8,688.2,807.4,163.0,378.4,272.3,0.1576841585860162,4.046939474810066,240.32878174053582,-87.73689604460981,40.047127283781805,9.962610288444109e-05,0.00019683975402591062,9.721365114146953e-05,3.88925531622405,False,False,False,84.90075039090524
33,iso,gomez,baseline,202.1,238.6,266.7,343.7,141.6,105.1,77.0,404.8,586.5,703.9,142.1,314.9,251.6,0.05100891714237917,1.3524680520197443,241.41867091201445,-87.77773563720694,40.12120647771366,9.341209688989398e-05,0.00022543705102421723,0.00013202495413432326,1.3014591348773652,False,False,False,78.31294928053448
34,iso,gomez,baseline,207.0,242.7,268.9,342.2,135.2,99.5,73.30000000000001,491.8,719.1,834.6,244.3,544.0,285.4,4.5467187540616125,21.15784790388282,239.66404083942413,-87.71152829641223,40.010480521027006,0.00010331163400088959,0.00018829664354420197,8.498500954331238e-05,16.61112914982121,False,False,False,87.54851809904446
35,iso,gomez,baseline,203.1,239.5,267.2,343.4,140.29999999999998,103.89999999999998,76.19999999999999,423.7,618.2,738.5,162.0,366.6,263.6,0.18547605544669382,5.599668547410252,241.17982623569745,-87.7690420380538,40.09790411649778,9.477206720170097e-05,0.00021610226204995088,0.00012133019484824991,5.414192491963558,False,False,False,80.46722083840663
36,iso,gomez,baseline,205.0,241.1,268.0,342.9,137.89999999999998,101.79999999999998,74.89999999999998,456.4,668.7,789.4,160.9,378.4,265.7,0.1488830212532568,4.29469580567873,240.62847377254894,-87.74831536637245,40.06254902937214,9.7927821093369e-05,0.00020209870536400603,0.00010417088427063703,4.145812784425473,False,False,False,83.61054022924512
37,iso,gomez,baseline,207.3,243.0,269.1,342.0,134.7,99.0,72.89999999999998,498.5,728.7,842.7,209.9,480.9,300.4,1.109909163494438,12.04192793440284,239.37421660195596,-87.70049705931696,39.99127448670554,0.00010487866562051649,0.00018551490478065774,8.063623916014125e-05,10.932018770908403,False,False,False,88.76500650722448
38,iso,gomez,baseline,203.4,239.8,267.3,343.4,139.99999999999997,103.59999999999997,76.09999999999997,428.0,623.4,743.6,202.3,444.9,302.4,0.9499745604860523,13.743951720243077,241.15569039107677,-87.76831919455793,40.10307603030157,9.489640388008023e-05,0.0002144781668448319,0.00011958176296475169,12.793977159757024,False,False,False,80.34516848747991
39,iso,gomez,baseline,205.0,241.1,268.0,342.9,137.89999999999998,101.79999999999998,74.89999999999998,456.2,668.8,789.4,180.9,413.3,286.4,0.18283425687988608,4.235530897004699,240.62362776465037,-87.74810876155982,40.06098212250905,9.79570278816857e-05,0.0002021030967956027,0.000104146068913917,4.052696640124813,False,False,False,83.68673945512496
40,iso,gomez,baseline,204.9,241.0,268.0,342.9,137.99999999999997,101.89999999999998,74.89999999999998,454.8,666.0,786.7,177.9,421.3,266.0,0.5781378148614906,9.10317544296482,240.67148786967877,-87.74997986467638,40.06672895689328,9.768050703479537e-05,0.00020281582410091204,0.00010513531706611666,8.52503762810333,False,False,False,83.33602116187934
