,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,dyn,control,bepridil,181.9,208.4,229.8,290.6,108.70000000000002,82.20000000000002,60.80000000000001,182.3,285.1,347.2,158.8,304.1,119.3,0.0518156569030417,2.901886581741532,256.33214836743224,-87.97878973453929,38.68358550666315,7.745244641937512e-05,0.0006570440972454,0.000579591650826,2.85007092483849,True,True,False,428.6866447739996,high
1,1,dyn,control,bepridil,181.5,207.9,229.3,289.8,108.3,81.9,60.5,174.6,272.5,331.5,136.7,266.3,111.0,0.0223174243776047,2.4326208348849376,256.3844816859284,-87.97883934451018,38.71944264855492,7.752105877462103e-05,0.0006914910746921,0.0006139700159175,2.410303410507333,True,True,False,427.66037651713737,high
2,2,dyn,control,bepridil,181.8,208.3,229.8,290.7,108.89999999999998,82.39999999999998,60.89999999999998,185.7,286.2,347.1,189.9,361.2,163.6,0.1092693454845948,3.091411840413281,256.35133664234445,-87.98013464383936,38.706670216202,7.67261423605367e-05,0.0006509805562692,0.0005742544139087,2.982142494928686,True,True,False,428.15316781974303,high
3,3,dyn,control,bepridil,181.9,208.3,229.8,290.6,108.70000000000002,82.30000000000001,60.80000000000001,186.5,285.7,346.8,142.7,292.6,134.5,0.0226473603984237,2.412558405469224,256.344874641513,-87.97907150343113,38.67079159030956,7.737480620115234e-05,0.0006476418056137,0.0005702669994125,2.3899110450708005,True,True,False,428.3776913162429,high
4,4,dyn,control,bepridil,181.7,208.2,229.6,290.4,108.7,82.19999999999999,60.79999999999998,182.9,280.5,338.9,154.1,282.3,148.4,0.0670095144037005,2.7739491214673517,256.3726618798545,-87.97922134893822,38.68918800546105,7.733438129759288e-05,0.0006659442200181,0.0005886098387205,2.7069396070636507,True,True,False,427.6618251636981,high
5,5,dyn,control,bepridil,181.8,208.3,229.7,290.5,108.7,82.19999999999999,60.80000000000001,183.4,284.2,345.5,170.2,352.7,123.5,0.0284790693944126,2.340169049767571,256.3556103667539,-87.97956033608452,38.66953023644852,7.710153255377719e-05,0.0006580776850323,0.0005809761524785,2.311689980373158,True,True,False,428.2655460632169,high
6,6,dyn,control,bepridil,181.7,208.2,229.6,290.3,108.60000000000002,82.10000000000002,60.70000000000002,180.7,279.7,339.0,141.8,266.7,119.7,0.0413005293644357,2.674303691161532,256.362832753553,-87.978966129498,38.67227116360608,7.74560458683668e-05,0.0006694125584604,0.000591956512592,2.633003161797096,True,True,False,428.0715647158274,high
7,7,dyn,control,bepridil,181.5,208.0,229.4,290.0,108.5,82.0,60.6,175.3,274.1,333.2,183.2,346.0,127.8,0.0849402866567424,3.0572597017449072,256.3916134448473,-87.97941710302874,38.73235808237243,7.717812531858572e-05,0.0006921548962865,0.000614976770968,2.972319415088165,True,True,False,427.37829234359066,high
8,8,dyn,control,bepridil,182.0,208.5,230.0,291.0,109.0,82.5,61.0,187.6,290.8,352.6,186.7,336.3,139.8,0.124054666265707,3.180032973632776,256.3281369483399,-87.97948728341899,38.65734362683256,7.705494544470127e-05,0.0006428939694992,0.0005658390240545,3.0559783073670688,True,True,False,428.6940628268383,high
9,9,dyn,control,bepridil,182.1,208.6,230.1,291.0,108.9,82.4,60.900000000000006,184.5,290.1,353.1,174.5,314.4,112.4,0.1169474433409757,3.061476480933329,256.30719417200845,-87.97870274992141,38.67387723478166,7.74564104910441e-05,0.0006464237619781,0.0005689673514871,2.944529037592354,True,True,False,429.1795957599455,high
10,10,dyn,control,bepridil,182.2,208.7,230.2,291.2,109.0,82.5,61.0,187.9,293.4,355.9,174.1,303.2,123.6,0.1449343651414071,3.295542483360479,256.2993815513497,-87.97877334322526,38.65847990965719,7.742165777096483e-05,0.0006367109912511,0.0005592893334802,3.150608118219072,True,True,False,429.2742861046458,high
11,11,dyn,control,bepridil,182.9,209.4,230.8,292.2,109.29999999999998,82.79999999999998,61.39999999999998,203.2,313.6,378.4,160.1,297.6,119.2,0.0609466715930785,2.6909172701840864,256.2202898563841,-87.97856183052171,38.55971660758929,7.747426359002117e-05,0.0005849332561549,0.0005074589925649,2.629970598591008,True,True,False,430.9438205809039,high
12,12,dyn,control,bepridil,182.1,208.6,230.0,291.0,108.9,82.4,61.0,188.4,291.3,353.1,157.5,296.7,123.7,0.0571581411714061,2.795592928901413,256.3202927008019,-87.97906618095203,38.63071934041439,7.734975992834091e-05,0.0006388483439285,0.0005614985840001,2.7384347877300077,True,True,False,428.9438722731828,high
13,13,dyn,control,bepridil,181.4,207.8,229.2,289.6,108.20000000000002,81.80000000000001,60.400000000000034,171.5,268.6,326.7,149.5,277.0,114.5,0.0554876039083442,2.92396624193426,256.4061645482344,-87.97899486585592,38.74645475425729,7.746297985307952e-05,0.0007082423250478,0.0006307793451947,2.868478638025916,True,True,False,427.1117826169363,high
14,14,dyn,control,bepridil,182.2,208.7,230.2,291.3,109.10000000000002,82.60000000000002,61.10000000000002,191.1,295.6,358.1,183.4,328.2,138.3,0.1341243571599922,3.073368737188438,256.3063199735094,-87.9792506529014,38.64040959499695,7.718338706821144e-05,0.0006293708267374,0.0005521874396691,2.939244380028446,True,True,False,429.1279203049984,high
15,15,dyn,control,bepridil,181.7,208.2,229.7,290.5,108.8,82.30000000000001,60.80000000000001,180.2,281.3,341.6,212.3,380.2,146.0,0.2669058587232632,3.276083806316996,256.3574757349173,-87.97941505423802,38.730610954276926,7.70901276467573e-05,0.0006689513332838,0.000591861205637,3.009177947593733,True,True,False,427.9987850252611,high
16,16,dyn,control,bepridil,181.4,207.8,229.2,289.6,108.20000000000002,81.80000000000001,60.400000000000034,172.3,268.8,326.3,142.1,250.1,124.4,0.061534773861455,2.902665720548657,256.40391157176754,-87.97887966305552,38.75546522036484,7.751515929301378e-05,0.0007049496442652,0.0006274344849722,2.8411309466872017,True,True,False,427.0988801659887,high
17,17,dyn,control,bepridil,182.7,209.2,230.7,292.0,109.3,82.80000000000001,61.30000000000001,200.4,310.3,377.2,214.3,394.4,137.2,0.1795004488380281,2.8584588868953955,256.2571487211973,-87.98090634220132,38.598811215132464,7.622116397150647e-05,0.0005966825116006,0.0005204613476291,2.6789584380573674,True,True,False,430.26274992478784,high
18,18,dyn,control,bepridil,181.9,208.4,229.8,290.7,108.79999999999998,82.29999999999998,60.89999999999998,183.0,284.7,345.1,150.3,263.7,122.0,0.0749399760462498,2.9999145723562397,256.3327315063019,-87.9786497841816,38.675225344810485,7.754977878875485e-05,0.0006566269640877,0.0005790771852989,2.9249745963099896,True,True,False,428.6127745015543,high
19,19,dyn,control,bepridil,181.8,208.3,229.8,290.6,108.8,82.30000000000001,60.80000000000001,183.7,285.0,346.3,214.3,426.1,140.1,0.0753199143255861,2.750203349661552,256.3673065902175,-87.98103605790078,38.6872210279469,7.636153385960376e-05,0.000658912818116,0.0005825512842564,2.674883435335966,True,True,False,428.10013299003583,high
20,20,dyn,control,bepridil,181.4,207.8,229.2,289.8,108.4,82.0,60.60000000000002,176.0,272.4,330.8,200.1,428.2,135.0,0.0365740510267197,2.310639769495846,256.4147606857944,-87.98022884543283,38.7392646846035,7.683607250863197e-05,0.0006929864799692,0.0006161504074606,2.274065718469126,True,True,False,426.9963684259572,high
21,21,dyn,control,bepridil,182.0,208.5,229.9,290.8,108.8,82.30000000000001,60.900000000000006,185.3,287.6,348.5,153.0,268.4,130.7,0.0787245063782212,3.0096376975140187,256.321647563489,-87.97862354050369,38.675603230524494,7.75418702776795e-05,0.0006477965827704,0.0005702547124928,2.9309131911357973,True,True,False,428.7903724653265,high
22,22,dyn,control,bepridil,181.2,207.6,228.9,289.2,108.0,81.6,60.29999999999998,170.8,264.6,321.5,164.4,344.5,136.7,0.033424363415167,2.6696564263231246,256.4386177766276,-87.97953034822875,38.777585170345,7.720500584374586e-05,0.0007176684555841,0.0006404634497403,2.6362320629079576,True,True,False,426.350791201834,high
23,23,dyn,control,bepridil,182.2,208.7,230.2,291.3,109.10000000000002,82.60000000000002,61.10000000000002,192.5,296.6,360.3,184.4,367.8,138.7,0.0635340047668995,2.752384211120438,256.31769984180966,-87.9805311315879,38.6304840246904,7.652364608886951e-05,0.0006260558614901,0.0005495322154012,2.688850206353539,True,True,False,429.0820415576134,high
24,24,dyn,control,bepridil,181.1,207.6,229.0,289.3,108.20000000000002,81.70000000000002,60.30000000000001,167.7,263.7,320.9,196.2,363.9,130.9,0.1919076032138345,2.966113743227497,256.42867990833923,-87.97922284373824,38.815148181377815,7.732197879166e-05,0.0007258700967558,0.0006485481179642,2.7742061400136624,True,True,False,426.51311148751086,high
25,25,dyn,control,bepridil,181.4,207.9,229.3,289.8,108.4,81.9,60.5,173.2,270.9,329.5,163.2,310.8,117.4,0.0474279657082206,2.6899211017192006,256.4003920295625,-87.97912945121502,38.736124934565794,7.738148524299877e-05,0.0007008928818188,0.0006235113965758,2.64249313601098,True,True,False,427.22419205334006,high
26,26,dyn,control,bepridil,181.9,208.3,229.7,290.3,108.4,82.0,60.60000000000002,181.9,281.7,343.9,118.2,232.4,109.3,0.013700041083078,2.185873371835599,256.3273499423578,-87.97838954660145,38.66496948012905,7.768228917047053e-05,0.0006546077250738,0.0005769254359033,2.1721733307525213,True,True,False,429.0220946665996,high
27,27,dyn,control,bepridil,181.5,207.9,229.3,289.7,108.2,81.79999999999998,60.39999999999998,173.4,270.9,329.0,131.6,239.0,111.1,0.0445556402936662,2.917987668457714,256.3855264206014,-87.97872159923922,38.72696196606724,7.757034153656363e-05,0.0006970244201678,0.0006194540786313,2.873432028164048,True,True,False,427.6165269599495,high
28,28,dyn,control,bepridil,181.7,208.1,229.5,290.2,108.5,82.1,60.69999999999999,177.7,277.3,337.2,148.6,278.7,117.2,0.053711617973204,3.0026451874423006,256.3677338531576,-87.97889063326737,38.69906391937962,7.74711101301033e-05,0.0006794540820941,0.000601982971964,2.948933569469097,True,True,False,427.9384182435921,high
29,29,dyn,control,bepridil,181.9,208.4,229.8,290.6,108.70000000000002,82.20000000000002,60.80000000000001,181.2,283.4,344.4,148.3,270.1,114.4,0.0526658392329424,2.804359060905228,256.3321099994432,-87.9785441763358,38.684320745283785,7.759169620130294e-05,0.0006603952078516,0.0005828035116503,2.7516932216722854,True,True,False,428.6906604567587,high
30,30,dyn,control,bepridil,181.6,208.1,229.5,290.1,108.50000000000004,82.00000000000003,60.60000000000002,177.6,276.5,336.0,159.5,302.2,130.4,0.0584490899234547,2.821136657180345,256.3759627231059,-87.97900170114026,38.7281011339868,7.740587013688638e-05,0.0006806885277977,0.0006032826576608,2.76268756725689,True,True,False,427.684767528986,high
