,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,iso,gomez,bepridil,223.5,266.1,299.7,389.0,165.5,122.89999999999998,89.30000000000001,487.2,703.4,819.2,194.2,439.2,292.8,0.5209187805612311,9.189277385920676,239.4719975889609,-87.71865645957975,40.19970079402309,0.0001021159618313,0.0001999008735513,9.778491171998088e-05,8.668358605359446,False,False,False,-2.183287765873395,high
1,1,iso,gomez,bepridil,221.7,264.7,299.3,390.4,168.7,125.7,91.09999999999997,456.1,656.1,774.1,170.8,375.0,269.9,0.1134118900392309,3.4878807068951603,240.2568128588184,-87.74827019831604,40.259770548742495,9.773411218267382e-05,0.0002134336298363,0.0001156995176536,3.3744688168559294,False,False,False,-4.780672098305807,high
2,2,iso,gomez,bepridil,223.0,265.7,299.6,389.4,166.39999999999998,123.7,89.79999999999995,477.8,690.2,807.3,217.1,456.4,338.3,1.2871428190071612,16.749465737519664,239.72016080056227,-87.72799781124854,40.21370374030936,0.0001007467249214,0.0002036992430787,0.0001029525181573,15.462322918512502,False,False,False,-2.749375116969645,high
3,3,iso,gomez,bepridil,222.8,265.6,299.6,389.6,166.8,124.0,90.0,475.2,685.2,802.3,166.8,353.3,299.5,0.1872212028514038,3.990564828808308,239.8355307190867,-87.73248178946275,40.22851962022376,0.0001000952927747,0.0002051080120722,0.0001050127192974,3.803343625956905,False,False,False,-3.399572674643707,high
4,4,iso,gomez,bepridil,222.6,265.4,299.5,389.8,167.20000000000002,124.40000000000003,90.3,471.8,678.9,796.2,197.0,423.5,312.9,0.589372753613749,9.947647799534373,239.95988902365943,-87.73729164530435,40.244893798766704,9.939104652905326e-05,0.0002068327193898,0.0001074416728608,9.358275045920625,False,False,False,-4.074067009029349,high
5,5,iso,gomez,bepridil,222.8,265.6,299.6,389.7,166.89999999999998,124.09999999999997,90.09999999999997,475.9,685.0,801.9,198.0,439.1,298.4,0.2128893090185048,4.327793606070729,239.86159286188013,-87.73358310723829,40.23773720317004,9.99412601509101e-05,0.0002051149566534,0.0001051736965025,4.114904297052225,False,False,False,-3.767998399388439,high
6,6,iso,gomez,bepridil,223.0,265.7,299.6,389.6,166.60000000000002,123.90000000000003,90.0,478.8,688.8,805.3,185.5,418.2,283.8,0.3260296290320599,6.685934575283612,239.81080774406615,-87.73173114027226,40.2390582896638,0.0001002202085595,0.0002040228257576,0.0001038026171981,6.359904946251552,False,False,False,-3.7887584816637343,high
7,7,iso,gomez,bepridil,222.2,265.1,299.4,390.0,167.8,124.89999999999998,90.60000000000002,465.6,670.2,787.9,205.5,454.7,291.8,0.983690848672144,12.53663450278412,240.07684765546867,-87.74161218191179,40.24886967652434,9.874060617561954e-05,0.0002093391387087,0.0001105985325331,11.552943654111976,False,False,False,-4.274962749927887,high
8,8,iso,gomez,bepridil,224.4,266.8,300.0,388.5,164.1,121.7,88.5,502.8,723.0,835.9,236.1,506.8,316.9,2.887714461057486,20.5841668982418,239.0725181401848,-87.70376643507592,40.18998241778471,0.0001042808606707,0.0001942219362689,8.994107559815161e-05,17.696452437184313,False,False,False,-1.8170349330366165,high
9,9,iso,gomez,bepridil,224.7,267.0,300.0,388.2,163.5,121.2,88.19999999999999,507.2,729.3,841.3,231.6,519.4,289.8,2.4683061599014877,15.951435550429254,238.8840408635888,-87.69661322460746,40.17570862498387,0.0001052970751981,0.0001923415294022,8.70444542040968e-05,13.483129390527766,False,False,False,-1.2596294416869045,high
10,10,iso,gomez,bepridil,225.2,267.4,300.1,387.9,162.7,120.5,87.79999999999995,515.8,740.0,850.0,241.6,529.2,300.7,4.261670049314445,24.569978660917343,238.56559331643743,-87.68469128771514,40.16184602846992,0.0001069845185242,0.0001890840030868,8.209948456259938e-05,20.308308611602897,False,False,False,-0.7170318959581579,high
