,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,dyn,gomez,chlorpromazine,204.7,243.7,275.1,358.8,154.10000000000002,115.10000000000002,83.69999999999999,360.3,493.2,588.4,189.5,368.5,206.9,0.143746740967855,1.143090963698352,241.70985219254288,-87.7878930922513,40.30362917497448,9.212309431383764e-05,0.0002592755644879,0.0001671524701741,0.999344222730497,False,False,False,55.7167420946502,intermediate
1,1,dyn,gomez,chlorpromazine,204.6,243.6,275.0,358.5,153.9,114.9,83.5,353.0,488.0,593.8,171.6,346.6,200.1,0.0749606525867516,0.8005370504434801,241.66318714039133,-87.78580307286673,40.30423646335733,9.242254972851518e-05,0.000261022046604,0.0001685994968755,0.7255763978567286,False,False,False,55.86020640459674,intermediate
2,2,dyn,gomez,chlorpromazine,204.3,243.5,275.1,359.2,154.89999999999998,115.7,84.09999999999997,357.1,491.1,576.3,196.8,370.1,236.3,0.249540691859079,1.6125433305823436,241.8596757531972,-87.79342479171201,40.3057604297994,9.128427569685776e-05,0.0002646244680762,0.0001733401923793,1.3630026387232643,False,False,False,55.10199158940216,intermediate
3,3,dyn,gomez,chlorpromazine,205.5,244.4,275.5,358.6,153.10000000000002,114.20000000000002,83.10000000000002,363.4,512.1,622.8,165.5,403.2,214.2,0.0942575166104771,0.7440241421378803,241.63139709511788,-87.78610596002282,40.28637951405592,9.247263683465952e-05,0.0002531476441513,0.0001606750073167,0.6497666255274032,False,False,False,55.593522903865775,intermediate
4,4,dyn,gomez,chlorpromazine,204.2,243.4,275.0,359.1,154.90000000000003,115.70000000000002,84.10000000000002,354.1,482.0,572.0,187.2,359.9,217.8,0.1668872414388039,1.3364546357922045,241.81850791140667,-87.79146239030048,40.32543233346143,9.155484133734072e-05,0.0002655568570247,0.0001740020156874,1.1695673943534004,False,False,False,54.75812308460496,intermediate
5,5,dyn,gomez,chlorpromazine,205.1,244.1,275.4,359.1,154.00000000000003,115.00000000000004,83.70000000000005,365.7,502.4,599.4,187.8,385.1,222.1,0.0900667157727491,0.8502056389699514,241.72611333265465,-87.78936460615712,40.30713675951455,9.19646231170075e-05,0.0002559172510668,0.0001639526279498,0.7601389231972022,False,False,False,54.84723961896833,intermediate
6,6,dyn,gomez,chlorpromazine,204.5,243.6,275.1,358.8,154.3,115.20000000000002,83.69999999999999,356.8,488.0,586.9,182.8,368.1,200.1,0.1180181106491006,1.0558736331158614,241.71698204690185,-87.78789025517274,40.324919020658704,9.2108661015949e-05,0.0002609674190557,0.0001688587580398,0.9378555224667608,False,False,False,55.24251241834793,intermediate
7,7,dyn,gomez,chlorpromazine,203.9,243.1,274.9,358.9,154.99999999999997,115.79999999999998,84.0,350.2,483.4,572.0,206.8,400.3,213.3,0.2373548411258359,1.5352077224265317,241.87448032710557,-87.79326340998735,40.32447294095689,9.1256746353925e-05,0.0002681830571752,0.0001769263108213,1.2978528813006955,False,False,False,55.58647867087346,intermediate
8,8,dyn,gomez,chlorpromazine,204.5,243.7,275.2,359.0,154.5,115.3,83.80000000000001,361.7,499.8,590.0,206.9,403.4,221.3,0.3256181934263322,1.7469842076331965,241.8636809407566,-87.79408465455818,40.31900041439437,9.120455024885455e-05,0.0002604041932788,0.0001691996430299,1.4213660142068645,False,False,False,55.447304160152285,intermediate
9,9,dyn,gomez,chlorpromazine,204.7,243.7,275.1,358.7,154.0,115.0,83.59999999999997,362.7,504.5,601.0,208.0,420.4,204.2,0.3249554620546305,1.5831046189072346,241.7928282600488,-87.79145832846481,40.310990431074536,9.16018760610072e-05,0.0002575370175001,0.0001659351414391,1.2581491568526042,False,False,False,56.53911204326015,intermediate
