,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,iso,control,chlorpromazine,175.5,199.2,217.4,273.0,97.5,73.80000000000001,55.6,235.1,386.3,478.8,125.3,257.6,152.1,0.0615568205879631,32.84107796571521,256.0775608618873,-87.97918063271469,38.22634281221499,7.809936599919932e-05,0.0004634935682653,0.0003853942022661,32.77952114512725,False,False,False,478.4544934121781,intermediate
1,1,iso,control,chlorpromazine,173.7,197.3,215.8,271.8,98.10000000000002,74.5,56.0,214.2,344.6,423.7,107.8,223.8,135.1,0.0235852713261541,17.56913161817862,256.2741306449514,-87.98091565587308,38.31012067344066,7.758240826338399e-05,0.0005192090783489,0.0004416266700855,17.545546346852465,True,True,False,475.82379480896327,intermediate
2,2,iso,control,chlorpromazine,175.0,198.6,216.9,272.6,97.60000000000002,74.00000000000003,55.70000000000002,227.6,372.8,461.6,148.5,291.9,209.6,0.1517302742684778,37.22748454347517,256.1357668615227,-87.9797114452034,38.25749891947682,7.795161341244103e-05,0.0004806660886687,0.0004027144752562,37.07575426920668,False,True,False,477.74466922603176,intermediate
3,3,iso,control,chlorpromazine,174.7,198.3,216.7,272.4,97.7,74.09999999999997,55.69999999999999,227.0,368.4,454.5,116.1,237.1,172.6,0.0251138123814424,18.80280250478616,256.1674034476523,-87.9801416017277,38.25744379466782,7.78237132458469e-05,0.0004847137525933,0.0004068900393475,18.77768869240472,False,True,False,477.3914415608988,intermediate
4,4,iso,control,chlorpromazine,174.4,198.0,216.4,272.3,97.9,74.30000000000001,55.900000000000006,225.3,362.8,446.3,132.5,250.6,188.5,0.0791515910793722,25.17626120884535,256.2010877926699,-87.98055383472577,38.259765805711616,7.769617803017723e-05,0.0004912549020833,0.0004135587240531,25.097109617765977,False,True,False,476.9805569567883,intermediate
5,5,iso,control,chlorpromazine,174.6,198.2,216.6,272.4,97.79999999999998,74.19999999999999,55.79999999999998,228.1,368.1,453.2,131.9,285.1,155.7,0.0331142798808548,16.629658757445796,256.1770746701463,-87.98036265891119,38.24896467480269,7.77540476341606e-05,0.0004840531287784,0.0004062990811443,16.59654447756494,False,True,False,477.31179712930816,intermediate
6,6,iso,control,chlorpromazine,174.7,198.3,216.7,272.5,97.8,74.19999999999999,55.80000000000001,230.4,371.4,457.0,119.7,238.3,150.0,0.0462845560251589,22.98962182977056,256.1668932362518,-87.98036430442782,38.23746530273581,7.774657544828e-05,0.0004792928123505,0.0004015462369022,22.9433372737454,False,True,False,477.4754780105369,intermediate
7,7,iso,control,chlorpromazine,174.1,197.7,216.2,272.1,98.00000000000004,74.40000000000003,55.900000000000034,220.7,355.6,437.5,135.8,281.1,157.6,0.1029890245762508,33.89432143891771,256.22842171288846,-87.98066950645055,38.28090897359254,7.766209788440233e-05,0.0005020042222381,0.0004243421243537,33.791332414341454,False,True,False,476.553436969378,intermediate
8,8,iso,control,chlorpromazine,176.4,200.0,218.1,273.5,97.1,73.5,55.400000000000006,249.6,409.0,506.4,158.4,315.3,180.0,0.1859148656782207,41.12609567900485,255.9914794044904,-87.9784730246406,38.1688961313883,7.83000664064885e-05,0.0004364551055059,0.0003581550390994,40.94018081332663,False,False,False,479.4273401530972,intermediate
9,9,iso,control,chlorpromazine,176.9,200.4,218.5,273.8,96.9,73.4,55.30000000000001,253.4,417.9,518.6,151.1,313.0,142.1,0.2004105874931736,36.21413603326814,255.9433207409689,-87.97774625647516,38.15542021523922,7.853221043936839e-05,0.0004280281800748,0.0003494959696354,36.013725445774966,False,False,False,479.8369504813104,intermediate
10,10,iso,control,chlorpromazine,177.6,201.1,219.1,274.2,96.6,73.1,55.1,262.1,434.2,539.6,160.1,320.0,159.5,0.2984747090901967,48.00484880812102,255.8654642529653,-87.97662292612284,38.12504633112325,7.889834444528922e-05,0.0004126589972693,0.000333760652824,47.706374099030825,False,False,False,480.4555548020682,intermediate
11,11,iso,control,chlorpromazine,180.8,204.2,221.7,276.0,95.2,71.80000000000001,54.30000000000001,295.8,501.5,626.4,159.4,329.6,165.4,0.0956599231968747,31.62794575270119,255.45764558920607,-87.96806514236542,38.01764216435289,8.188597992960024e-05,0.0003609645642433,0.0002790785843137,31.53228582950432,False,False,False,482.41434028789297,intermediate
12,12,iso,control,chlorpromazine,176.4,200.0,218.2,273.5,97.1,73.5,55.30000000000001,251.1,410.3,507.6,136.1,273.8,160.9,0.0701430698273242,28.74359086889659,255.99153420695637,-87.97858539920412,38.16295569579334,7.826148798330277e-05,0.0004345984327961,0.0003563369448128,28.673447799069265,False,False,False,479.45280364339976,intermediate
13,13,iso,control,chlorpromazine,173.6,197.3,215.8,271.7,98.1,74.39999999999998,55.89999999999998,214.8,344.3,422.7,114.9,234.1,139.5,0.0622493444564703,28.99993613972992,256.2807657788129,-87.98104790352917,38.30326552091992,7.753731962050901e-05,0.0005189620639956,0.0004414247443751,28.93768679527345,True,True,False,475.7518854507863,intermediate
14,14,iso,control,chlorpromazine,177.1,200.7,218.7,273.9,96.79999999999998,73.19999999999999,55.19999999999999,258.0,425.0,527.2,163.0,328.2,179.5,0.2590515038699422,36.77533234800718,255.916090428063,-87.97747268109181,38.13937316946898,7.861792853086493e-05,0.0004207101255304,0.0003420921969995,36.51628084413724,False,False,False,480.08619417709576,intermediate
15,15,iso,control,chlorpromazine,175.1,198.7,217.0,272.7,97.6,74.0,55.69999999999999,233.2,378.5,467.1,168.5,342.6,182.3,0.5913690708650138,42.24698506328576,256.1277001626937,-87.97988986381247,38.23050607548161,7.788442050904344e-05,0.0004709883491523,0.0003931039286433,41.65561599242074,False,True,False,477.93537942643616,intermediate
16,16,iso,control,chlorpromazine,173.5,197.1,215.7,271.6,98.10000000000002,74.50000000000003,55.900000000000034,211.5,340.4,418.5,116.9,225.8,150.7,0.0694821252562768,26.9814155512758,256.29041875627,-87.98097774990507,38.32353362643576,7.756307472257787e-05,0.0005264093544761,0.0004488462797535,26.911933426019527,True,True,False,475.54209340016666,intermediate
17,17,iso,control,chlorpromazine,179.2,202.7,220.5,275.1,95.90000000000003,72.40000000000003,54.60000000000002,281.1,470.7,586.5,196.5,414.1,182.8,0.5188928634308648,30.99717549919596,255.6702576066181,-87.97307462059112,38.064648106897806,8.011456871282519e-05,0.0003826177725919,0.0003025032038791,30.47828263576509,False,False,False,481.60323551289946,intermediate
18,18,iso,control,chlorpromazine,175.8,199.4,217.6,273.1,97.3,73.70000000000002,55.50000000000003,240.7,393.6,487.2,132.3,259.6,154.0,0.0914451208208372,33.30049937011418,256.0555783812048,-87.97911266352779,38.20285400229631,7.811037940149532e-05,0.0004535017362064,0.0003753913568049,33.209054249293345,False,False,False,478.75162138198846,intermediate
19,19,iso,control,chlorpromazine,174.9,198.5,216.9,272.6,97.70000000000002,74.10000000000002,55.70000000000002,230.4,373.5,460.7,159.9,344.4,176.4,0.1137577051204328,24.88087252434545,256.14886697303626,-87.98006026176995,38.241745216522105,7.783938274427925e-05,0.000477359272434,0.0003995198896897,24.767114819225014,False,True,False,477.66191004371393,intermediate
20,20,iso,control,chlorpromazine,173.1,196.7,215.3,271.3,98.20000000000002,74.60000000000002,56.0,207.0,331.1,406.1,142.2,325.3,164.0,0.0479169530724786,14.453014538037548,256.3362373302358,-87.98131553137695,38.33981913873477,7.745238725539884e-05,0.0005416686052676,0.0004642162180122,14.405097584965068,True,True,False,474.7824197313776,intermediate
21,21,iso,control,chlorpromazine,175.9,199.6,217.8,273.2,97.29999999999998,73.6,55.39999999999998,240.2,395.6,490.9,135.7,261.7,166.7,0.0985973626653804,34.05087163628343,256.03542681522055,-87.97873140373376,38.20623285133463,7.823189135033846e-05,0.0004525930304145,0.0003743611390642,33.95227427361805,False,False,False,478.9152123628627,intermediate
