,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,dyn,control,cisapride,169.6,192.7,211.2,266.2,96.6,73.5,55.0,182.5,282.1,344.0,155.8,299.9,118.4,0.0508320126170254,2.822868325215464,256.7503971602362,-87.9817685683643,38.6019375161107,7.679846441385266e-05,0.0006361988807197,0.0005594004163059,2.772036312598438,True,True,False,479.1000287545294,intermediate
1,1,dyn,control,cisapride,169.2,192.3,210.8,265.6,96.40000000000003,73.30000000000001,54.80000000000001,174.8,269.7,328.3,134.5,262.8,110.3,0.0218586487567099,2.346518408566552,256.8008500309089,-87.98178854907114,38.63075039060539,7.686890582120054e-05,0.0006691590995817,0.0005922901937605,2.324659759809842,True,True,False,477.89516165837466,intermediate
2,2,dyn,control,cisapride,169.5,192.7,211.2,266.3,96.8,73.60000000000002,55.10000000000002,185.9,283.1,343.7,186.0,356.4,162.2,0.1075106425356309,3.032772075622535,256.7680511292556,-87.98290700103169,38.62793185618684,7.61195908976045e-05,0.0006306931788562,0.0005545735879586,2.925261433086904,True,True,False,478.60859520239984,intermediate
3,3,dyn,control,cisapride,169.6,192.7,211.2,266.2,96.6,73.5,55.0,186.7,282.9,343.7,140.1,288.8,133.1,0.022078926018171,2.3237999836695007,256.76049060377056,-87.98202172816166,38.59877279687638,7.67274173896943e-05,0.0006267032232438,0.0005499758058541,2.3017210576513296,True,True,False,478.8717194508917,intermediate
4,4,dyn,control,cisapride,169.4,192.5,211.1,266.1,96.70000000000002,73.60000000000002,55.00000000000003,183.0,277.4,335.4,151.0,278.3,147.0,0.0658668397037377,2.71070508688643,256.7882367148887,-87.98216043140002,38.608046468259566,7.668407876010552e-05,0.0006451884907284,0.0005685044119683,2.644838247182692,True,True,False,478.0618642350781,intermediate
5,5,dyn,control,cisapride,169.5,192.6,211.1,266.2,96.7,73.6,55.1,183.6,281.3,342.4,167.3,348.1,122.7,0.027883238646083,2.258385403073578,256.7718131321798,-87.98244053876877,38.59274503382662,7.647554165229387e-05,0.000636920554614,0.0005604450129617,2.230502164427495,True,True,False,478.7176139447947,intermediate
6,6,dyn,control,cisapride,169.4,192.5,211.1,266.0,96.6,73.5,54.900000000000006,180.8,276.7,335.6,139.3,263.1,118.7,0.0405143446301821,2.601131399304027,256.7794609362452,-87.98194166151482,38.59008872035592,7.679803966418668e-05,0.0006483387000464,0.0005715406603823,2.5606170546738447,True,True,False,478.4233461409781,intermediate
7,7,dyn,control,cisapride,169.3,192.4,210.9,265.8,96.5,73.4,54.900000000000006,175.4,271.0,329.7,179.8,341.5,126.9,0.0836916036035258,2.996794340666262,256.8082606830735,-87.98228527385535,38.63683160274624,7.654757829793433e-05,0.0006706273757687,0.0005940797974708,2.913102737062736,True,True,False,477.6277611257632,intermediate
8,8,dyn,control,cisapride,169.7,192.8,211.4,266.6,96.90000000000003,73.80000000000001,55.20000000000002,187.7,287.6,349.0,182.9,331.6,138.8,0.1223416007820653,3.127592913951775,256.7463660044951,-87.9823947633583,38.57999172470065,7.642011357449492e-05,0.0006231207635027,0.0005467006499282,3.0052513131697096,True,True,False,479.1914314065797,intermediate
9,9,dyn,control,cisapride,169.7,192.9,211.4,266.5,96.8,73.6,55.1,184.7,286.9,349.6,171.1,309.5,112.0,0.1142698893718252,3.003781622608314,256.72728264368726,-87.9817173364509,38.58609749426715,7.679205384296414e-05,0.0006264590972412,0.0005496670433982,2.889511733236489,True,True,False,479.6170913991302,intermediate
10,10,dyn,control,cisapride,169.8,193.0,211.5,266.7,96.89999999999998,73.69999999999999,55.19999999999999,188.0,290.1,352.3,170.3,298.2,122.9,0.141716043642457,3.2462401712184064,256.7195003034464,-87.98179600594183,38.57516346530018,7.675476053998611e-05,0.0006173049173947,0.0005405501568548,3.1045241275759494,True,True,False,479.7622421450171,intermediate
11,11,dyn,control,cisapride,170.3,193.5,212.0,267.4,97.09999999999997,73.89999999999998,55.39999999999998,203.1,310.6,375.0,157.2,293.3,118.5,0.0598119078650427,2.6131032626968227,256.6407459479276,-87.981672258476,38.51053763293682,7.680004865319181e-05,0.0005663530620989,0.0004895530134457,2.55329135483178,True,True,False,481.6970082499271,intermediate
12,12,dyn,control,cisapride,169.7,192.8,211.4,266.5,96.8,73.69999999999999,55.1,188.5,288.2,349.8,154.6,292.7,122.7,0.0561149042874187,2.723301886079073,256.7380878248391,-87.98206762745374,38.55883454655695,7.669021491874385e-05,0.0006187773701585,0.0005420871552397,2.6671869817916543,True,True,False,479.4650120281928,intermediate
13,13,dyn,control,cisapride,169.1,192.2,210.7,265.5,96.4,73.30000000000001,54.80000000000001,171.6,265.6,323.2,146.7,273.1,113.7,0.0545873979686982,2.855909177335344,256.82257615877063,-87.98192191907255,38.64455187953937,7.681456012396953e-05,0.0006860936241162,0.0006092790639923,2.801321779366646,True,True,False,477.26108003166553,intermediate
14,14,dyn,control,cisapride,169.8,193.0,211.5,266.7,96.89999999999998,73.69999999999999,55.19999999999999,191.1,292.3,354.6,179.8,323.6,137.4,0.1311692486911311,3.020882279614902,256.72528021793187,-87.98222364847307,38.56675928353685,7.652978414494158e-05,0.0006101043853609,0.000533574601216,2.889713030923771,True,True,False,479.6782072389161,intermediate
15,15,dyn,control,cisapride,169.4,192.6,211.1,266.1,96.70000000000002,73.50000000000003,55.00000000000003,180.3,278.0,337.9,208.3,375.4,145.1,0.2624653428057939,3.234819373689383,256.77560694404605,-87.98227658534358,38.63752984532673,7.645566406064156e-05,0.0006486470385425,0.0005721913744819,2.972354030883589,True,True,False,478.3319082697346,intermediate
16,16,dyn,control,cisapride,169.1,192.2,210.7,265.5,96.4,73.30000000000001,54.80000000000001,172.5,265.8,322.8,139.5,246.2,123.4,0.060574278648588,2.8416021619314327,256.8201737516343,-87.98181039343767,38.65722700001761,7.686525281450619e-05,0.0006830199024179,0.0006061546496034,2.781027883282845,True,True,False,477.2497429961434,intermediate
17,17,dyn,control,cisapride,170.2,193.4,211.9,267.3,97.10000000000002,73.9,55.400000000000006,200.2,307.1,373.8,210.5,389.3,136.7,0.1762346112709413,2.803502740589331,256.6778573843019,-87.9837367777844,38.53771544486074,7.559957345644523e-05,0.0005782624071398,0.0005026628336833,2.6272681293183897,True,True,False,480.9571122340418,intermediate
18,18,dyn,control,cisapride,169.6,192.7,211.2,266.3,96.70000000000002,73.60000000000002,55.10000000000002,183.2,281.6,341.5,147.2,259.2,121.2,0.0737461153129232,2.938046826471349,256.7510147128229,-87.98166035591717,38.59142692435013,7.688487575094464e-05,0.0006362500565916,0.0005593651808406,2.864300711158426,True,True,False,479.01118249221406,intermediate
19,19,dyn,control,cisapride,169.5,192.6,211.2,266.2,96.7,73.6,55.0,183.9,281.9,342.9,210.6,420.9,139.3,0.0741208771891069,2.68649297730875,256.7836671247681,-87.98380224883498,38.606136258283335,7.575615975221127e-05,0.0006383048795566,0.0005625487198044,2.612372100119643,True,True,False,478.535827622888,intermediate
20,20,dyn,control,cisapride,169.2,192.3,210.8,265.6,96.40000000000003,73.30000000000001,54.80000000000001,176.2,269.5,327.5,197.0,423.2,134.0,0.0356922626589904,2.2366915568850545,256.82921115090727,-87.98300573094076,38.64961325076566,7.622769921652194e-05,0.0006709125677057,0.0005946848684892,2.200999294226064,True,True,False,477.2597183331448,intermediate
21,21,dyn,control,cisapride,169.6,192.8,211.3,266.4,96.79999999999998,73.59999999999997,55.099999999999966,185.4,284.5,345.1,149.8,264.2,129.7,0.0774164458605715,2.9478070476963047,256.7400986575913,-87.98163591284852,38.596314049517765,7.687708821962888e-05,0.0006276569892243,0.0005507799010047,2.870390601835733,True,True,False,479.2364486436793,intermediate
22,22,dyn,control,cisapride,169.0,192.0,210.6,265.2,96.2,73.19999999999999,54.6,171.0,261.8,318.2,161.3,339.8,135.2,0.0326819733571299,2.5868261221395312,256.8527739068829,-87.98234629706585,38.68013010790822,7.658726359747286e-05,0.0006947509482506,0.0006181636846531,2.554144148782401,True,True,False,476.4673759530174,intermediate
23,23,dyn,control,cisapride,169.8,192.9,211.5,266.7,96.89999999999998,73.79999999999998,55.19999999999999,192.6,293.6,357.0,181.0,363.0,137.5,0.0623736791583422,2.680523241291208,256.73495880073074,-87.98331321678737,38.564017072527285,7.592635617140387e-05,0.0006063610993387,0.0005304347431672,2.618149562132866,True,True,False,479.6880306935392,intermediate
24,24,dyn,control,cisapride,169.0,192.0,210.6,265.2,96.2,73.19999999999999,54.6,167.8,260.6,317.2,192.9,359.5,130.3,0.1885970022340369,2.918573847066729,256.8450795601029,-87.9820783949651,38.70520132862062,7.668911739725262e-05,0.0007035643001517,0.0006268751827544,2.729976844832692,True,True,False,476.5556035141103,intermediate
