,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,dyn,gomez,cisapride,202.7,241.3,272.0,354.0,151.3,112.7,82.0,359.2,492.1,587.5,187.6,366.5,207.5,0.1432902531288883,1.1340835189069294,241.7425935820989,-87.7863510513734,40.38829198981942,9.19587595410171e-05,0.0002580615520334,0.0001661027924924,0.990793265778041,False,False,False,61.313120709399485,intermediate
1,1,dyn,gomez,cisapride,202.7,241.2,271.9,353.8,151.10000000000002,112.60000000000002,81.90000000000003,351.9,487.0,593.2,169.8,344.8,200.8,0.0746682185551234,0.7934823977644412,241.69759103415052,-87.78432580939345,40.38886502022753,9.225371853421054e-05,0.0002597753333098,0.0001675216147756,0.7188141792093177,False,False,False,61.45411554339428,intermediate
2,2,dyn,gomez,cisapride,202.4,241.0,271.9,354.4,151.99999999999997,113.39999999999998,82.5,356.0,489.9,575.2,195.2,368.4,236.6,0.2488706965335483,1.6013857791463233,241.8897258945233,-87.79179128158395,40.3910589044727,9.112380216724668e-05,0.0002634056084458,0.0001722818062786,1.352515082612775,False,False,False,60.724165339321104,intermediate
3,3,dyn,gomez,cisapride,203.6,241.9,272.3,353.9,150.29999999999998,111.99999999999996,81.59999999999997,362.5,511.3,622.3,164.2,402.2,214.8,0.09384865074944,0.7369905785086847,241.66470615279988,-87.78460136130383,40.37041749145566,9.230551842660086e-05,0.0002519338081991,0.0001596282897725,0.6431419277592446,False,False,False,61.19344906757868,intermediate
4,4,dyn,gomez,cisapride,202.3,240.9,271.9,354.3,152.0,113.4,82.40000000000003,353.0,480.8,571.0,185.6,358.0,218.2,0.1664110141043118,1.3267356037018994,241.84933251254324,-87.78985543391458,40.41008056099497,9.139473569230284e-05,0.00026431054192,0.0001729158062277,1.1603245895975876,False,False,False,60.374771712908384,intermediate
5,5,dyn,gomez,cisapride,203.2,241.6,272.3,354.3,151.10000000000002,112.70000000000002,82.0,364.6,501.3,598.6,186.1,383.4,222.6,0.0897418615466472,0.8432694801803697,241.7574900825124,-87.78778179880693,40.3910574560769,9.18029353832035e-05,0.0002547387095811,0.0001629357741979,0.7535276186337224,False,False,False,60.45358675104925,intermediate
6,6,dyn,gomez,cisapride,202.6,241.1,271.9,354.0,151.4,112.9,82.10000000000002,355.7,486.9,586.0,180.9,366.2,200.7,0.1176318428368631,1.047457091724585,241.749879285412,-87.78635261600253,40.40903619459288,9.19443520318476e-05,0.0002597306261504,0.0001677862741186,0.9298252488877216,False,False,False,60.83775644966383,intermediate
7,7,dyn,gomez,cisapride,201.9,240.6,271.7,354.1,152.20000000000002,113.50000000000004,82.40000000000003,349.1,482.2,570.9,205.1,398.5,213.9,0.2364028004173398,1.5252377343968957,241.9053206536269,-87.79165648733152,40.40983591841459,9.10936791454461e-05,0.0002669175000426,0.0001758238208971,1.2888349339795555,False,False,False,61.19476483855655,intermediate
8,8,dyn,gomez,cisapride,202.6,241.2,272.0,354.3,151.70000000000002,113.10000000000002,82.30000000000001,360.5,498.6,588.8,205.2,401.6,221.7,0.3244695623421434,1.736833667119255,241.89383905122344,-87.79245227533949,40.40382324524261,9.104144103028956e-05,0.0002592390116332,0.0001681975706029,1.4123641047771116,False,False,False,61.045129600317495,intermediate
9,9,dyn,gomez,cisapride,202.7,241.3,271.9,353.9,151.2,112.59999999999997,82.0,361.5,503.2,599.9,206.2,418.6,204.8,0.323861261198579,1.5741948600816484,241.82449720870468,-87.78987306788844,40.39597282223488,9.143609029978346e-05,0.0002563928563695,0.0001649567660697,1.2503335988830693,False,False,False,62.1186341208053,intermediate
10,10,dyn,gomez,cisapride,202.7,241.2,271.9,353.9,151.2,112.7,82.0,361.1,502.1,598.5,203.1,414.0,204.9,0.3780383927545239,1.819173143075778,241.83593328323064,-87.79027638738128,40.399740542577455,9.137104151502046e-05,0.0002568597925627,0.0001654887510477,1.4411347503212542,False,False,False,61.97121609250783,intermediate
11,11,dyn,gomez,cisapride,204.2,242.5,272.7,354.3,150.10000000000002,111.8,81.60000000000002,383.4,525.1,629.0,194.9,410.1,216.4,0.184241960573291,1.0946065719871432,241.71553107102451,-87.78768729299414,40.3961318523967,9.185745754868164e-05,0.0002438062487661,0.0001519487912174,0.9103646114138522,False,False,False,60.40321856317969,intermediate
12,12,dyn,gomez,cisapride,203.0,241.5,272.2,354.3,151.3,112.8,82.10000000000002,365.1,499.6,597.2,192.4,390.7,210.0,0.1537553074701559,1.1709135391444914,241.8119856236625,-87.78972660367803,40.41145582780681,9.147114883125824e-05,0.0002550985353452,0.0001636273865139,1.0171582316743355,False,False,False,60.450286839799645,intermediate
13,13,dyn,gomez,cisapride,201.8,240.5,271.6,353.8,152.0,113.3,82.19999999999999,345.3,474.4,568.9,192.0,381.2,194.8,0.1528070900414233,1.272451066070812,241.854537583611,-87.78929332444945,40.415897953791074,9.142432085882978e-05,0.0002681052970131,0.0001766809761542,1.1196439760293886,False,False,False,61.38287972920371,intermediate
14,14,dyn,gomez,cisapride,202.9,241.4,272.1,354.2,151.29999999999998,112.79999999999998,82.09999999999997,364.6,505.5,598.7,207.1,412.4,221.9,0.3571720913335759,1.6970755182680932,241.86892531069324,-87.7919437743131,40.39946274672279,9.11454727284512e-05,0.000255931664828,0.0001647861920996,1.3399034269345174,False,False,False,61.30904612350048,intermediate
15,15,dyn,gomez,cisapride,202.1,240.7,271.7,354.0,151.9,113.3,82.30000000000001,351.4,487.9,582.2,223.5,445.7,231.5,0.5789279975603581,2.149555821974966,241.9026180593091,-87.79186421753266,40.39702388493525,9.1089435709118e-05,0.0002646218360966,0.0001735324003875,1.5706278244146086,False,False,False,62.10624208451043,intermediate
16,16,dyn,gomez,cisapride,201.7,240.4,271.5,353.8,152.10000000000002,113.4,82.30000000000001,342.8,471.0,565.7,188.2,374.6,194.7,0.1723226105687728,1.3594161102345417,241.8540008255663,-87.78900472803157,40.40984450787716,9.14523630333512e-05,0.0002699536160228,0.0001785012529894,1.1870934996657687,False,False,False,61.59748902566372,intermediate
17,17,dyn,gomez,cisapride,203.8,242.1,272.5,354.3,150.5,112.20000000000002,81.80000000000001,380.4,530.5,627.5,225.9,448.3,241.8,0.4084091810967399,1.5979331070324525,241.87962257668005,-87.79403983581552,40.38791539386561,9.092498467522776e-05,0.0002470668766828,0.0001561418920076,1.1895239259357124,False,False,False,61.26757590075479,intermediate
18,18,dyn,gomez,cisapride,202.5,241.0,271.8,353.9,151.39999999999998,112.89999999999998,82.09999999999997,355.8,490.3,588.7,192.7,391.1,199.2,0.2161509085438283,1.4099158871818758,241.8202351935365,-87.78911619791491,40.40261223923965,9.151220466538889e-05,0.0002602146128565,0.0001687024081911,1.193764978638047,False,False,False,61.55105066209983,intermediate
19,19,dyn,gomez,cisapride,202.6,241.2,272.0,354.4,151.79999999999998,113.2,82.39999999999998,361.1,501.6,592.2,223.4,432.8,238.7,0.245986136118378,1.3846596512219354,241.9527271946905,-87.7949357229522,40.39951109292896,9.068127024504468e-05,0.0002597529537925,0.0001690716835474,1.1386735151035574,False,False,False,60.830569838236045,intermediate
20,20,dyn,gomez,cisapride,202.4,241.0,271.9,354.4,151.99999999999997,113.39999999999998,82.5,355.2,489.1,581.6,207.1,428.3,234.2,0.0930549318096276,0.9350062504174026,241.92648171449983,-87.79334378183161,40.40220443306605,9.089485240464572e-05,0.0002636676597813,0.0001727728073766,0.841951318607775,False,False,False,60.38877993240189,intermediate
21,21,dyn,gomez,cisapride,202.5,241.1,271.9,354.0,151.5,112.9,82.10000000000002,356.8,490.5,587.3,190.9,383.4,205.1,0.2021000160870867,1.4140767634064202,241.822805296374,-87.78928716752698,40.39596745936528,9.148936736945994e-05,0.0002601626761575,0.0001686733087881,1.2119767473193337,False,False,False,61.43983905586825,intermediate
22,22,dyn,gomez,cisapride,202.0,240.7,271.7,353.9,151.89999999999998,113.2,82.19999999999999,345.2,478.3,575.9,174.9,393.8,211.7,0.1143138276293949,0.915780416441602,241.8481251529317,-87.78938859695859,40.39888545541966,9.144054871894892e-05,0.0002675662475313,0.0001761256988124,0.8014665888122071,False,False,False,61.186453949402136,intermediate
23,23,dyn,gomez,cisapride,203.2,241.7,272.3,354.6,151.40000000000003,112.90000000000003,82.30000000000001,370.3,507.2,597.8,202.7,396.0,228.2,0.1626623670065779,1.1934433708306862,241.862540925765,-87.7922007562105,40.39909189376817,9.114213102114984e-05,0.0002540048267135,0.0001628626956923,1.0307810038241083,False,False,False,60.0575132606422,intermediate
