,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,iso,gomez,cisapride,208.7,245.9,273.8,350.8,142.10000000000002,104.9,77.0,472.3,692.0,810.9,187.5,434.6,285.2,0.4755907956838973,8.5707393251344,240.14788566468943,-87.73294250390818,40.194788707328236,0.00010044663653361941,0.00019720956563427165,9.676292910065224e-05,8.095148529450503,False,False,False,67.0899747252728
1,iso,gomez,cisapride,206.9,244.6,273.1,351.7,144.79999999999998,107.1,78.59999999999997,441.4,643.5,764.0,161.7,364.6,265.3,0.10844012093608942,3.2471650712499445,240.89694210102869,-87.76080714857855,40.25456182058555,9.629078038449157e-05,0.00021043834991560308,0.00011414756953111151,3.138724950313855,False,False,False,64.96807770869121
2,iso,gomez,cisapride,208.1,245.5,273.6,351.0,142.9,105.5,77.39999999999998,463.0,678.4,798.5,212.0,453.7,329.3,1.175267976775786,15.67642404057871,240.38531628602973,-87.74175753773747,40.209523939964576,9.914407311616433e-05,0.00020094184330275784,0.00010179777018659351,14.501156063802924,False,False,False,66.65977850567913
3,iso,gomez,cisapride,208.0,245.4,273.5,351.2,143.2,105.79999999999998,77.69999999999999,460.4,673.2,793.2,160.0,348.2,291.7,0.17696372122147253,3.649632651088931,240.4960536185599,-87.74600916904203,40.22278818293643,9.85224391836124e-05,0.00020232502411936248,0.00010380258493575008,3.4726689298674587,False,False,False,66.06681799015264
4,iso,gomez,cisapride,207.8,245.3,273.5,351.4,143.59999999999997,106.09999999999997,77.89999999999998,457.0,666.8,786.8,190.5,418.5,304.8,0.5435379197093159,9.32910748245065,240.61518347009584,-87.75055555858356,40.23769992723365,9.785226366698351e-05,0.00020401491784723808,0.00010616265418025457,8.785569562741335,False,False,False,65.4600247432219
5,iso,gomez,cisapride,208.0,245.5,273.6,351.3,143.3,105.80000000000001,77.69999999999999,461.0,673.0,792.8,192.5,435.2,290.6,0.19354678574265366,4.01403841658084,240.52142334238536,-87.74706996981553,40.23050003738219,9.837361660524603e-05,0.000202335071168308,0.00010396145456306197,3.8204916308381867,False,False,False,65.70522397163872
6,iso,gomez,cisapride,208.2,245.6,273.7,351.3,143.10000000000002,105.70000000000002,77.60000000000002,464.0,676.8,796.3,177.5,411.5,277.2,0.29963372623892154,6.268313589506128,240.47322399531805,-87.74534120492663,40.23080939652997,9.863669139761593e-05,0.0002012673740414369,0.00010263068264382099,5.968679863267207,False,False,False,65.64913606260832
7,iso,gomez,cisapride,207.5,245.0,273.4,351.5,144.0,106.5,78.10000000000002,450.8,657.9,778.3,198.6,449.6,285.1,0.9168492719287775,11.852274762483724,240.72621824036503,-87.75459236579076,40.242716084890084,9.723884281952933e-05,0.00020645817141331697,0.00010921932859378764,10.935425490554946,False,False,False,65.3412399682487
8,iso,gomez,cisapride,209.5,246.6,274.1,350.6,141.10000000000002,104.00000000000003,76.5,488.1,712.2,828.4,230.3,505.2,308.5,2.6779218299852143,19.543254857185254,239.7647866977412,-87.71885269108411,40.18193359350879,0.00010251263566503252,0.00019159747927754124,8.908484361250872e-05,16.865333027200037,False,False,False,67.2527495082024
9,iso,gomez,cisapride,209.8,246.8,274.2,350.4,140.59999999999997,103.59999999999997,76.19999999999999,492.5,718.7,834.1,225.0,517.6,281.8,2.3072962633839857,15.208249030048968,239.58280614154708,-87.71202528738377,40.16826095409352,0.00010348949137968873,0.00018972634987567217,8.623685849598344e-05,12.900952766664982,False,False,False,67.73472935963343
