,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,dyn,gomez,clarithromycin,200.6,238.0,267.6,347.3,146.70000000000002,109.3,79.69999999999999,357.1,490.0,585.6,185.2,363.8,207.8,0.1427327927456719,1.1274389063941497,241.7858914967991,-87.78563176023043,40.23122608929029,9.175939209363129e-05,0.0002571723451343,0.0001654129530407,0.9847061136484776,False,False,False,75.61126356077162,low/none
1,1,dyn,gomez,clarithromycin,200.5,237.9,267.6,347.1,146.60000000000002,109.20000000000002,79.5,349.9,485.0,591.6,167.5,342.4,201.1,0.074310833632835,0.7883205974358303,241.7426478187671,-87.78367287398667,40.23174099678826,9.204874469978488e-05,0.0002588666996,0.0001668179549002,0.7140097638029952,False,False,False,75.74283585953255,low/none
2,2,dyn,gomez,clarithromycin,200.3,237.7,267.6,347.6,147.3,109.90000000000003,80.0,353.9,487.8,573.2,193.3,366.3,236.5,0.2480483530763177,1.5929648864446957,241.93025181673303,-87.79098802097853,40.23420132204056,9.092875317194096e-05,0.0002625054802725,0.0001715767271006,1.344916533368378,False,False,False,75.05253960832766,low/none
3,3,dyn,gomez,clarithromycin,201.5,238.7,268.1,347.2,145.7,108.5,79.09999999999997,360.5,509.5,620.7,162.4,400.6,215.0,0.0933461834827489,0.7319175374274897,241.70878148977928,-87.78392924124016,40.21315430828228,9.210198562670756e-05,0.0002510367862771,0.0001589348006504,0.6385713539447407,False,False,False,75.48498805164203,low/none
4,4,dyn,gomez,clarithromycin,200.2,237.6,267.5,347.6,147.40000000000003,110.00000000000004,80.10000000000002,350.9,478.6,569.0,183.5,355.4,218.3,0.1658303782476414,1.3195092570457274,241.8906586580796,-87.7890695693498,40.25273341918968,9.120062401359246e-05,0.0002633958724759,0.0001721952484623,1.153678878798086,False,False,False,74.6985385732956,low/none
5,5,dyn,gomez,clarithromycin,201.1,238.4,267.9,347.6,146.50000000000003,109.20000000000002,79.70000000000005,362.5,499.3,596.9,183.9,381.2,222.7,0.0893411364924433,0.8381232997746879,241.79950833398897,-87.7870290319309,40.23354621938818,9.160599860162004e-05,0.0002538806256436,0.000162274627042,0.7487821632822446,False,False,False,74.7680300267462,low/none
6,6,dyn,gomez,clarithromycin,200.5,237.9,267.6,347.3,146.8,109.4,79.69999999999999,353.6,484.8,584.1,178.5,363.5,201.0,0.117161364993023,1.0412928501352268,241.7932541182529,-87.78563451847099,40.251493187031535,9.174526838660872e-05,0.0002588298141024,0.0001670845457158,0.9241314851422038,False,False,False,75.1365526503692,low/none
7,7,dyn,gomez,clarithromycin,199.8,237.4,267.3,347.3,147.5,109.9,80.0,347.0,480.0,568.9,203.0,396.2,214.0,0.2352465759427199,1.517780030234901,241.946653913434,-87.79087245135918,40.2528822897192,9.089658216027846e-05,0.0002659900625889,0.0001750934804287,1.2825334542921811,False,False,False,75.50324837609882,low/none
8,8,dyn,gomez,clarithromycin,200.5,237.9,267.6,347.5,147.0,109.6,79.89999999999998,358.4,496.4,586.7,203.0,399.3,221.8,0.3230787349290843,1.7293082224346423,241.93450422150417,-87.79164638353998,40.246718335012936,9.084462373264787e-05,0.0002583927155373,0.0001675480918047,1.406229487505558,False,False,False,75.34790291809018,low/none
9,9,dyn,gomez,clarithromycin,200.6,238.0,267.6,347.2,146.6,109.2,79.59999999999997,359.3,501.0,597.9,203.8,416.2,205.0,0.3225377119374911,1.5676500211162492,241.86668231654164,-87.78911252979918,40.239081113302525,9.12360837691892e-05,0.0002555640350518,0.0001643279512826,1.245112309178758,False,False,False,76.39539555974939,low/none
10,10,dyn,gomez,clarithromycin,200.6,238.0,267.6,347.2,146.6,109.2,79.59999999999997,359.0,499.9,596.5,200.7,411.6,205.1,0.3765231614691961,1.8118340700640143,241.877952277472,-87.78951042314385,40.24279834478647,9.117124490715956e-05,0.0002560340063469,0.0001648627614397,1.435310908594818,False,False,False,76.25053652575791,low/none
11,11,dyn,gomez,clarithromycin,202.1,239.2,268.4,347.6,145.50000000000003,108.40000000000003,79.20000000000005,381.3,522.9,627.1,192.6,408.1,216.5,0.1833234381386599,1.0893062027108695,241.75759956016284,-87.78693024179367,40.238268826649886,9.16582872514546e-05,0.0002430627107966,0.0001514044235452,0.9059827645722096,False,False,False,74.67892759470814,low/none
12,12,dyn,gomez,clarithromycin,200.9,238.3,267.9,347.5,146.6,109.2,79.60000000000002,363.0,497.5,595.3,190.1,388.5,210.2,0.1528651847292076,1.1646620495563151,241.85371579704668,-87.78895895852372,40.25375785597526,9.127283967766236e-05,0.0002542589915243,0.0001629861518466,1.0117968648271076,False,False,False,74.74893497079513,low/none
13,13,dyn,gomez,clarithromycin,199.7,237.3,267.2,347.1,147.40000000000003,109.8,79.90000000000003,343.2,472.3,567.0,189.6,378.8,195.2,0.1519114254672597,1.2654658773426393,241.89730368575303,-87.78855632815409,40.25881759762498,9.122457703504895e-05,0.0002671517055921,0.000175927128557,1.1135544518753795,False,False,False,75.68064608938394,low/none
14,14,dyn,gomez,clarithromycin,200.7,238.1,267.7,347.5,146.8,109.4,79.80000000000001,362.5,503.3,596.6,204.9,410.0,222.0,0.355743258274047,1.6902078564963186,241.90983897432125,-87.79114500919765,40.242369170346805,9.094775056567142e-05,0.0002551158908999,0.0001641681403343,1.3344645982222714,False,False,False,75.6022260781883,low/none
15,15,dyn,gomez,clarithromycin,199.9,237.4,267.3,347.2,147.29999999999998,109.79999999999998,79.89999999999998,349.3,485.8,580.2,221.3,443.7,231.5,0.5768518580968962,2.142409833632497,241.9438566617656,-87.79107264795658,40.24050204143906,9.089235651159092e-05,0.0002637403996422,0.0001728480431306,1.5655579755356008,False,False,False,76.40352756629144,low/none
16,16,dyn,gomez,clarithromycin,199.6,237.1,267.1,347.0,147.4,109.9,79.89999999999998,340.7,468.8,563.8,185.9,372.2,195.0,0.1713637123589831,1.3522205453430551,241.8970483508145,-87.78827423689609,40.25301127933059,9.125236695738643e-05,0.0002689911600707,0.0001777387931133,1.180856832984072,False,False,False,75.89419589494184,low/none
