,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,iso,control,clarithromycin,171.7,194.3,211.8,265.0,93.30000000000001,70.69999999999999,53.19999999999999,234.6,385.2,477.6,124.7,256.5,151.8,0.061058561051872726,32.010076506747346,256.15632260902504,-87.9761345646808,38.110897010254526,7.786342717572327e-05,0.0004591461721871261,0.00038128274501140287,31.949017945695473,False,False,False,494.3562900900464
1,iso,control,clarithromycin,169.9,192.5,210.2,263.9,93.99999999999997,71.39999999999998,53.69999999999999,213.8,343.5,422.4,107.5,223.0,134.8,0.02340480196460006,17.056166720777043,256.35436070463453,-87.97791346583669,38.190989840271676,7.73534424619909e-05,0.0005142159352154356,0.0004368624927534447,17.032761918812444,True,True,False,491.737147919735
2,iso,control,clarithromycin,171.1,193.8,211.3,264.7,93.6,70.89999999999998,53.39999999999998,227.1,371.7,460.4,147.3,290.5,209.1,0.15043584746969696,36.532352918331135,256.214998905604,-87.97667675447921,38.1407746418012,7.771804041579024e-05,0.00047613348615576485,0.0003984154457399746,36.38191707086144,False,True,False,493.64850087482534
3,iso,control,clarithromycin,170.9,193.5,211.1,264.6,93.70000000000002,71.10000000000002,53.50000000000003,226.5,367.2,453.3,115.4,236.3,172.0,0.02486033957964129,18.243377263620154,256.2465359791896,-87.97710839207119,38.140752920630746,7.759137197856469e-05,0.0004801126023954925,0.0004025212304169278,18.21851692404051,False,True,False,493.30037044161145
4,iso,control,clarithromycin,170.6,193.2,210.8,264.4,93.79999999999998,71.19999999999999,53.599999999999966,224.8,361.6,445.0,131.5,249.2,188.0,0.0785925994649231,24.66308381683347,256.28019409719985,-87.9775247116308,38.142969015668676,7.746473329775433e-05,0.0004865677821837034,0.00040910304888594907,24.584491217368548,False,True,False,492.8937530116326
5,iso,control,clarithromycin,170.8,193.4,211.0,264.5,93.69999999999999,71.1,53.5,227.6,366.9,452.0,131.3,284.2,155.4,0.0327864347479104,16.180688816444405,256.25595802772193,-87.9773269976231,38.1326901820686,7.752203294970848e-05,0.00047944791209286747,0.000401925879143159,16.147902381696493,False,True,False,493.22385758371365
6,iso,control,clarithromycin,170.9,193.5,211.1,264.6,93.70000000000002,71.10000000000002,53.50000000000003,230.0,370.2,455.8,119.0,237.1,149.7,0.045938387863046264,22.46540441671743,256.2455216629566,-87.97732313067662,38.12173640819165,7.751423841168992e-05,0.00047473664039471096,0.00039722240198302106,22.419466028854384,False,True,False,493.38828110070614
7,iso,control,clarithromycin,170.3,193.0,210.6,264.2,93.89999999999998,71.19999999999999,53.599999999999994,220.3,354.4,436.3,134.9,279.8,157.4,0.10231626509683286,33.22764519974665,256.3080132557899,-87.97765140753384,38.16313139354783,7.743159298496615e-05,0.0004972013961559331,0.000419769803170967,33.125328934649815,False,True,False,492.4666979964536
8,iso,control,clarithromycin,172.5,195.2,212.5,265.6,93.10000000000002,70.40000000000003,53.10000000000002,249.0,407.8,505.2,157.1,313.6,179.8,0.18336103942866191,40.485317680786345,256.06935063276694,-87.97540890349981,38.056027092134606,7.805996916760556e-05,0.0004323841978640133,0.0003543242286964078,40.301956641357684,False,False,False,495.3289220064016
9,iso,control,clarithromycin,172.9,195.6,212.8,265.8,92.9,70.20000000000002,53.0,252.8,416.8,517.4,150.1,311.3,142.1,0.197938808032606,35.58141077639077,256.021391560725,-87.97468561005911,38.04288851752824,7.828903004251795e-05,0.0004240554033029441,0.00034576637326042616,35.383471968358165,False,False,False,495.7354818182293
