,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,dyn,control,clozapine,170.2,193.3,211.9,266.8,96.60000000000002,73.5,54.900000000000006,182.5,282.1,344.0,155.2,299.1,118.2,0.0508184512165756,2.8040358700433257,256.6027984381785,-87.98046257669576,38.267096556356805,7.678994853548295e-05,0.0006314528709354,0.0005546629223999,2.75321741882675,True,True,False,483.72704221939017,intermediate
1,1,dyn,control,clozapine,169.9,192.9,211.5,266.2,96.29999999999998,73.29999999999998,54.69999999999999,174.8,269.8,328.4,134.0,262.2,110.1,0.0218524271600073,2.3260460000337955,256.6542289507236,-87.9804949245407,38.29714804279725,7.686031041649735e-05,0.000664024017299,0.0005871637068825,2.304193572873788,True,True,False,482.5636123055695,intermediate
2,2,dyn,control,clozapine,170.1,193.2,211.9,266.9,96.79999999999998,73.69999999999999,54.99999999999997,185.9,283.1,343.7,185.3,355.4,161.9,0.1074873429774517,3.018505233486199,256.62037991059657,-87.98158266080976,38.29311555736327,7.611951857885859e-05,0.0006260390221967,0.0005499195036178,2.911017890508748,True,True,False,483.2308624392567,intermediate
3,3,dyn,control,clozapine,170.2,193.2,211.9,266.9,96.7,73.69999999999999,54.99999999999997,186.7,283.0,343.7,139.6,288.1,132.7,0.0220713217702022,2.3027701595599885,256.61259958294346,-87.98071283021753,38.2626547071126,7.672015738757193e-05,0.0006219192661351,0.0005451991087475,2.280698837789786,True,True,False,483.5108458421933,intermediate
4,4,dyn,control,clozapine,170.0,193.1,211.7,266.7,96.7,73.6,55.0,183.0,277.4,335.4,150.4,277.7,146.7,0.0658517147097901,2.695511670370986,256.6411291282941,-87.98085979770724,38.27303192222237,7.667569428264576e-05,0.0006404488248746,0.0005637731305919,2.629659955661196,True,True,False,482.6996392100109,intermediate
5,5,dyn,control,clozapine,170.1,193.2,211.8,266.8,96.70000000000002,73.60000000000002,55.0,183.6,281.4,342.5,166.8,347.3,122.4,0.027870194867766,2.239121572158138,256.6238652563964,-87.98112510335972,38.25692759430878,7.647224723886805e-05,0.0006321094278922,0.0005556371806533,2.211251377290372,True,True,False,483.3583239782377,intermediate
6,6,dyn,control,clozapine,170.1,193.1,211.7,266.6,96.50000000000004,73.50000000000003,54.900000000000034,180.8,276.8,335.6,138.8,262.5,118.5,0.0405034142371987,2.5837261748503155,256.63227817734577,-87.98064084496863,38.2549143246525,7.678900743904868e-05,0.0006435448623781,0.0005667558549391,2.5432227606131166,True,True,False,483.0651351726759,intermediate
7,7,dyn,control,clozapine,169.9,192.9,211.5,266.4,96.49999999999996,73.49999999999997,54.89999999999998,175.4,271.0,329.7,179.2,340.7,126.7,0.0836738103278343,2.9821470292206094,256.66168120224586,-87.98098718931061,38.30394218768067,7.654187406811777e-05,0.0006656884953586,0.0005891466212905,2.898473218892775,True,True,False,482.2798683804612,intermediate
8,8,dyn,control,clozapine,170.3,193.4,212.0,267.2,96.89999999999998,73.79999999999998,55.19999999999999,187.7,287.6,349.0,182.4,330.9,138.5,0.1223194513926872,3.115008137648032,256.5983318128304,-87.98108050687112,38.24408650813857,7.641413464185356e-05,0.0006186489998172,0.0005422348651753,2.992688686255345,True,True,False,483.79463968009645,intermediate
9,9,dyn,control,clozapine,170.3,193.5,212.1,267.1,96.8,73.60000000000002,55.00000000000003,184.6,286.9,349.6,170.5,309.0,111.9,0.1142243966139092,2.9900290227012376,256.57942273668857,-87.98041031628449,38.25186560451685,7.678077236385658e-05,0.0006219335605512,0.0005451527881873,2.875804626087328,True,True,False,484.2194333414943,intermediate
10,10,dyn,control,clozapine,170.4,193.5,212.1,267.3,96.9,73.80000000000001,55.20000000000002,188.0,290.1,352.3,169.8,297.9,122.6,0.1416605608056483,3.2344144470810257,256.5714388563831,-87.98048634464635,38.24019567847948,7.674325066994992e-05,0.0006129183077397,0.0005361750570698,3.092753886275377,True,True,False,484.35360303139583,intermediate
11,11,dyn,control,clozapine,171.0,194.1,212.7,268.0,97.0,73.9,55.30000000000001,203.2,310.7,374.9,156.7,292.6,118.4,0.0597933837630747,2.5951870762882683,256.4906258939656,-87.98033885787467,38.169464419533305,7.678908723383752e-05,0.0005622399050219,0.000485450817788,2.5353936925251936,True,True,False,486.2613412990782,intermediate
12,12,dyn,control,clozapine,170.3,193.4,212.1,267.1,96.8,73.70000000000002,55.00000000000003,188.6,288.3,349.8,154.0,292.0,122.5,0.0561003053861252,2.706265358551344,256.58981141675247,-87.98075436737467,38.22170671726655,7.668126450001761e-05,0.0006142630190596,0.0005375817545596,2.6501650531652188,True,True,False,484.0756845463319,intermediate
13,13,dyn,control,clozapine,169.8,192.8,211.4,266.1,96.3,73.30000000000001,54.70000000000002,171.6,265.6,323.2,146.2,272.5,113.5,0.0545755094632439,2.8394602186422504,256.6764938649311,-87.98063294856166,38.31250720680191,7.680614066214898e-05,0.0006809962906676,0.0006041901500055,2.7848847091790065,True,True,False,481.9304892354573,intermediate
14,14,dyn,control,clozapine,170.4,193.5,212.2,267.4,96.99999999999996,73.89999999999998,55.19999999999999,191.1,292.3,354.5,179.3,323.1,137.1,0.1311257838694433,3.00835101464853,256.5769136216407,-87.98090923999311,38.230203066095086,7.652027450434735e-05,0.0006057531131338,0.0005292328386294,2.8772252307790867,True,True,False,484.2695101600552,intermediate
15,15,dyn,control,clozapine,170.0,193.1,211.8,266.7,96.7,73.6,54.89999999999998,180.2,278.0,337.9,207.7,374.7,144.9,0.2624048708527272,3.22473485712422,256.6286498276013,-87.98097404379902,38.30467994930837,7.644874841335093e-05,0.0006439855055903,0.000567536757177,2.9623299862714925,True,True,False,482.95788610259547,intermediate
16,16,dyn,control,clozapine,169.7,192.8,211.4,266.1,96.40000000000003,73.30000000000001,54.70000000000002,172.4,265.8,322.8,139.0,245.7,123.2,0.0605612614023339,2.8267711473107435,256.674210674504,-87.98052272101576,38.32510946227033,7.68564815602466e-05,0.0006779537001674,0.0006010972186072,2.7662098859084097,True,True,False,481.9166545377197,intermediate
