,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,dyn,gomez,clozapine,203.8,242.2,273.1,355.0,151.2,112.8,81.89999999999998,360.0,493.0,588.6,187.0,366.3,208.2,0.1428033851059872,1.116614518393917,241.62657903521617,-87.78497189492457,40.12031138696144,9.177854096936148e-05,0.0002556865370961,0.0001639079961267,0.9738111332879296,False,False,False,64.1480933640374,intermediate
1,1,dyn,gomez,clozapine,203.7,242.1,273.0,354.8,151.10000000000002,112.70000000000002,81.80000000000001,352.8,488.2,594.9,169.5,345.1,201.5,0.0743589481785157,0.7797618457625768,241.58362166629607,-87.7830033158243,40.12079680518134,9.206916162775796e-05,0.0002573293602298,0.0001652601986021,0.705402897584061,False,False,False,64.3116665435432,intermediate
2,2,dyn,gomez,clozapine,203.4,241.9,273.0,355.4,151.99999999999997,113.49999999999996,82.39999999999998,356.7,490.5,576.0,194.9,368.2,236.9,0.2481465131532517,1.579843076720216,241.7704274567569,-87.7903583351656,40.12347577549322,9.094392680001144e-05,0.0002610062235109,0.0001700622967109,1.3316965635669644,False,False,False,63.55534439683015,intermediate
3,3,dyn,gomez,clozapine,204.7,242.9,273.5,354.9,150.2,111.99999999999996,81.39999999999998,363.6,513.0,624.2,164.4,404.0,215.4,0.0934347226715166,0.7232104984023575,241.5480964745592,-87.78320986843114,40.10190973826054,9.212865731736316e-05,0.0002494613661608,0.0001573327088434,0.6297757757308409,False,False,False,64.0837819895089,intermediate
4,4,dyn,gomez,clozapine,203.3,241.9,273.0,355.3,152.0,113.4,82.30000000000001,353.7,481.5,572.1,185.6,358.1,218.5,0.1658903753403411,1.308013862135865,241.73143245334825,-87.78844063977789,40.14216872793136,9.121576180583014e-05,0.0002618849990677,0.0001706692372619,1.142123486795524,False,False,False,63.22411792396306,intermediate
5,5,dyn,gomez,clozapine,204.2,242.6,273.4,355.3,151.10000000000002,112.70000000000002,81.90000000000003,365.3,502.3,600.0,185.6,383.4,223.3,0.08941611876274,0.829870615143456,241.6385364745188,-87.78632782364127,40.12248496481247,9.163086584332771e-05,0.0002524271535519,0.0001607962877086,0.7404544963807159,False,False,False,63.30967901752912,intermediate
6,6,dyn,gomez,clozapine,203.6,242.1,273.0,355.0,151.4,112.9,82.0,356.4,487.9,587.2,180.4,366.1,201.4,0.1172184587822344,1.0312144535509462,241.633999153562,-87.78497558265848,40.14071943583757,9.176450027798596e-05,0.0002573283328565,0.0001655638325785,0.9139959947687116,False,False,False,63.68915564111711,intermediate
7,7,dyn,gomez,clozapine,202.9,241.6,272.8,355.1,152.20000000000002,113.50000000000004,82.30000000000001,349.8,482.9,571.8,204.9,398.4,214.5,0.235333722957841,1.5057785028428747,241.78782329874397,-87.79028433507591,40.142357497297546,9.090645398633544e-05,0.0002644364693981,0.0001735300154117,1.2704447798850338,False,False,False,64.02384049557693,intermediate
8,8,dyn,gomez,clozapine,203.6,242.1,273.1,355.3,151.70000000000002,113.20000000000002,82.19999999999999,361.2,499.3,589.6,204.9,401.4,222.3,0.3231965430460174,1.7169836167137955,241.774541766671,-87.79103295286092,40.13602641276975,9.085757562068716e-05,0.0002569417543123,0.0001660841786916,1.3937870736677782,False,False,False,63.86410068731021,intermediate
9,9,dyn,gomez,clozapine,203.7,242.2,273.0,354.9,151.2,112.7,81.89999999999998,362.2,503.8,600.7,205.9,418.5,205.5,0.3226444670057164,1.5565746020659603,241.7072285607046,-87.78849763268434,40.12827202765475,9.124908511436133e-05,0.0002541231692839,0.0001628740841695,1.2339301350602438,False,False,False,64.92240281080149,intermediate
10,10,dyn,gomez,clozapine,203.7,242.2,273.0,355.0,151.3,112.8,82.0,361.8,502.8,599.3,202.9,413.9,205.5,0.3766404739413609,1.7993785233994888,241.71843704425032,-87.78889582090102,40.13204882364941,9.118417980871314e-05,0.0002545996932154,0.0001634155134067,1.422738049458128,False,False,False,64.77653215921409,intermediate
11,11,dyn,gomez,clozapine,205.2,243.4,273.8,355.4,150.2,111.99999999999996,81.59999999999997,384.2,525.9,630.1,194.5,410.6,217.1,0.1834570642572509,1.0802205445017643,241.5958517779613,-87.78621419113465,40.127080418771165,9.168438808959509e-05,0.0002417543241882,0.0001500699360986,0.8967634802445135,False,False,False,63.239597257291095,intermediate
12,12,dyn,gomez,clozapine,204.0,242.5,273.3,355.3,151.3,112.8,82.0,365.8,500.4,598.4,192.0,391.2,210.6,0.152972024611029,1.1542924204597491,241.69312989880936,-87.7882948677628,40.14290418241594,9.12927321239448e-05,0.0002528271871251,0.0001615344550011,1.0013203958487202,False,False,False,63.292573920410405,intermediate
13,13,dyn,gomez,clozapine,202.8,241.5,272.7,354.9,152.09999999999997,113.39999999999998,82.19999999999999,346.1,475.2,570.0,191.9,381.5,195.5,0.1519785436774212,1.2540731763541055,241.7389975118425,-87.78796022521682,40.14834092486108,9.123566027516552e-05,0.0002655661679141,0.000174330507639,1.1020946326766845,False,False,False,64.22089141874184,intermediate
14,14,dyn,gomez,clozapine,203.9,242.4,273.2,355.2,151.29999999999998,112.79999999999998,82.0,365.3,506.2,599.5,206.9,412.3,222.4,0.3558696559697751,1.6788188012854923,241.74964821358003,-87.79052266763559,40.13160022335423,9.09616877738656e-05,0.0002536983687742,0.0001627366810003,1.3229491453157172,False,False,False,64.1219184675228,intermediate
15,15,dyn,gomez,clozapine,203.1,241.7,272.8,355.0,151.9,113.3,82.19999999999999,352.1,488.6,583.0,223.0,445.7,232.0,0.5769846284965879,2.1310907580824057,241.78531746656247,-87.79050079739214,40.12991737318382,9.0899525832682e-05,0.0002622280833469,0.0001713285575142,1.5541061295858176,False,False,False,64.9097830159315,intermediate
16,16,dyn,gomez,clozapine,202.7,241.4,272.6,354.8,152.10000000000002,113.4,82.19999999999999,343.5,471.8,566.8,188.2,375.0,195.2,0.1714249868566237,1.340475679245189,241.7391066808904,-87.7876876886503,40.142558628428645,9.126203410928958e-05,0.0002673935303704,0.0001761314962611,1.1690506923885653,False,False,False,64.43194742698033,intermediate
17,17,dyn,gomez,clozapine,204.8,243.1,273.6,355.4,150.59999999999997,112.29999999999998,81.79999999999995,381.1,531.2,628.1,225.5,447.8,242.5,0.407110985700216,1.5825110746564002,241.75698805758776,-87.79254088844203,40.11961035278104,9.074678632271124e-05,0.0002450023595686,0.0001542555732458,1.1754000889561842,False,False,False,64.07128817420471,intermediate
18,18,dyn,gomez,clozapine,203.5,242.0,272.9,354.9,151.39999999999998,112.89999999999998,82.0,356.5,491.1,589.7,192.7,391.5,199.7,0.2151632316906805,1.391416408251222,241.70369471251624,-87.78775102218627,40.134875339623775,9.132607416372044e-05,0.0002578586373981,0.0001665325632343,1.1762531765605415,False,False,False,64.37384326388703,intermediate
19,19,dyn,gomez,clozapine,203.6,242.2,273.1,355.4,151.79999999999998,113.2,82.29999999999995,361.9,502.3,593.0,223.2,432.5,239.3,0.2449880937859709,1.3680725153953164,241.8308850630668,-87.79345957163382,40.131663107229365,9.050234369456097e-05,0.000257421437314,0.0001669190936194,1.1230844216093454,False,False,False,63.65452405952482,intermediate
20,20,dyn,gomez,clozapine,203.4,242.0,273.1,355.4,151.99999999999997,113.39999999999998,82.29999999999995,356.0,490.0,582.7,206.5,428.0,234.8,0.0927151190428576,0.9207695032048556,241.80488846229667,-87.7918509334432,40.13420873984447,9.072261442748756e-05,0.0002612100919947,0.0001704874775672,0.8280543841619981,False,False,False,63.24136842906319,intermediate
21,21,dyn,gomez,clozapine,203.5,242.0,273.0,355.0,151.5,113.0,82.0,357.5,491.3,588.3,190.9,383.8,205.6,0.201134653642621,1.3949253083340496,241.70597434000337,-87.78791365326435,40.12830126628851,9.13040715568482e-05,0.0002578099890278,0.000166505917471,1.1937906546914283,False,False,False,64.26208647194476,intermediate
22,22,dyn,gomez,clozapine,203.1,241.6,272.8,354.9,151.79999999999998,113.29999999999998,82.09999999999997,346.0,479.5,577.4,174.6,394.8,212.4,0.1138308739121744,0.8981351105723687,241.73156404499255,-87.78803516124692,40.13120961539851,9.125503666547318e-05,0.0002649398808669,0.0001736848442015,0.7843042366601942,False,False,False,64.05391356636204,intermediate
23,23,dyn,gomez,clozapine,204.3,242.7,273.4,355.6,151.3,112.90000000000003,82.20000000000005,371.0,507.9,598.8,202.1,395.8,228.8,0.1621849440533416,1.1766104897148886,241.7397080073938,-87.79065153514864,40.130527608490766,9.097692605788332e-05,0.0002517581948981,0.0001607812688402,1.014425545661547,False,False,False,62.902563058698206,intermediate
24,24,dyn,gomez,clozapine,202.3,241.1,272.4,354.7,152.39999999999998,113.6,82.30000000000001,339.4,469.4,561.3,218.6,433.8,219.9,0.4479500528099814,1.7947020843505443,241.79275873145315,-87.78928315501004,40.140269444405504,9.100266714168064e-05,0.0002714250279461,0.0001804223608044,1.346752031540563,False,False,False,64.95269498625395,intermediate
25,25,dyn,gomez,clozapine,203.0,241.7,272.8,355.0,152.0,113.3,82.19999999999999,350.1,481.0,574.4,196.9,391.9,207.9,0.1499173096428185,1.1608911957223091,241.75069306425405,-87.78889258049452,40.14259329853508,9.112290873554806e-05,0.0002633956154741,0.0001722727067385,1.0109738860794906,False,False,False,63.97310720218678,intermediate
26,26,dyn,gomez,clozapine,204.8,243.0,273.4,354.4,149.59999999999997,111.39999999999998,81.0,363.2,515.9,640.5,161.1,363.6,201.1,0.0581244422052286,0.5805951342649781,241.3663470421268,-87.77592969996753,40.09348632002909,9.323562392234268e-05,0.0002455092659679,0.0001522736420456,0.5224706920597495,False,False,False,65.22436576354798,intermediate
27,27,dyn,gomez,clozapine,203.1,241.7,272.7,354.7,151.6,113.0,82.0,347.6,477.4,579.2,174.9,340.6,188.3,0.1271600972890831,1.0910551216977542,241.62800074247895,-87.78385333182861,40.13541422282587,9.187953444233096e-05,0.0002620160560828,0.0001701365216404,0.9638950244086713,False,False,False,64.55039910650285,intermediate
28,28,dyn,gomez,clozapine,203.4,241.9,272.9,354.9,151.49999999999997,112.99999999999996,82.0,353.4,482.8,582.5,180.1,346.5,199.7,0.1492717385470619,1.1524745313431015,241.64134857449704,-87.7849407057289,40.133825680308505,9.174536641378082e-05,0.0002592667540737,0.0001675213876599,1.00320279279604,False,False,False,64.08386600848287,intermediate
