,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,iso,control,clozapine,174.1,197.4,215.5,270.1,96.00000000000004,72.70000000000002,54.60000000000002,235.1,385.7,478.0,124.9,257.0,151.5,0.0611662871650444,31.536474510122584,255.9903826247232,-87.97625602326328,38.08438743008755,7.79210305627284e-05,0.0004567901166759,0.0003788690861132,31.47530822295754,False,False,False,485.7759469477984,intermediate
1,1,iso,control,clozapine,172.3,195.6,213.9,268.9,96.59999999999997,73.29999999999998,54.99999999999997,214.1,344.0,422.9,107.5,223.3,134.6,0.0234537589112521,16.7761593516063,256.1895792179215,-87.9780307208922,38.16501640383178,7.741681216059714e-05,0.0005115815596293,0.0004341647474687,16.752705592695047,True,True,False,483.2383501571568,intermediate
2,2,iso,control,clozapine,173.6,196.9,215.0,269.7,96.1,72.79999999999998,54.69999999999999,227.5,372.2,460.8,147.5,290.7,208.9,0.1506476443547645,36.132428414670905,256.0492871097758,-87.97679549856315,38.11448140473479,7.777792698840185e-05,0.000473710206692,0.0003959322797036,35.98178077031614,False,True,False,485.09299829140696,intermediate
3,3,iso,control,clozapine,173.3,196.6,214.8,269.6,96.3,73.00000000000003,54.80000000000001,227.0,367.7,453.7,115.4,236.6,171.6,0.024914484354405,17.92861760784369,256.0810242136134,-87.97722804079736,38.11432880829887,7.765186774203843e-05,0.0004776485809294,0.0003999967131873,17.903703123489286,False,True,False,484.75190700518857,intermediate
4,4,iso,control,clozapine,173.0,196.3,214.5,269.4,96.39999999999998,73.09999999999997,54.89999999999998,225.2,362.1,445.4,131.6,249.5,187.7,0.0787337461178614,24.370616132119235,256.11493107140825,-87.97764465295027,38.116436476581306,7.752560827598114e-05,0.0004840632546376,0.0004065376463616,24.29188238600137,False,True,False,484.3547333647237,intermediate
5,5,iso,control,clozapine,173.2,196.5,214.7,269.6,96.40000000000003,73.10000000000002,54.900000000000034,228.0,367.4,452.4,131.5,284.6,155.1,0.0328177670785468,15.928812230738044,256.0905390986484,-87.9774477744749,38.10607057606754,7.75825067299678e-05,0.0004769773267332,0.0003993948200032,15.895994463659497,False,True,False,484.67421667981546,intermediate
6,6,iso,control,clozapine,173.3,196.6,214.8,269.6,96.3,73.00000000000003,54.80000000000001,230.4,370.7,456.2,119.0,237.4,149.5,0.0460240445910011,22.16945130568343,256.08007921584186,-87.97744526116017,38.09496878981655,7.757408448363008e-05,0.0004722844353851,0.0003947103509015,22.12342726109243,False,True,False,484.831399003459,intermediate
7,7,iso,control,clozapine,172.7,196.0,214.3,269.2,96.5,73.19999999999999,54.89999999999998,220.7,354.9,436.7,135.2,280.3,157.1,0.1024715675598156,32.85274589640057,256.1428988815721,-87.9777697660836,38.136844045099394,7.749343970292199e-05,0.0004946497446533,0.0004171563049504,32.75027432884075,False,True,False,483.9431197763627,intermediate
8,8,iso,control,clozapine,175.0,198.3,216.2,270.6,95.60000000000002,72.30000000000001,54.400000000000034,249.6,408.4,505.6,157.4,314.0,179.6,0.1838324601714251,40.10213798226231,255.90319470770845,-87.97553811512039,38.02899780804721,7.811307478921584e-05,0.0004301154279268,0.0003520023531376,39.91830552209088,False,False,False,486.7079819613661,intermediate
9,9,iso,control,clozapine,175.4,198.7,216.5,270.9,95.49999999999996,72.19999999999999,54.39999999999998,253.5,417.3,517.8,150.4,311.9,141.9,0.1984061276795375,35.20743984518872,255.8551416597707,-87.97481648862791,38.01594166652456,7.834033983959887e-05,0.0004218222967536,0.000343481956914,35.00903371750918,False,False,False,487.1007321043859,intermediate
10,10,iso,control,clozapine,176.1,199.4,217.1,271.3,95.20000000000002,71.9,54.20000000000002,262.3,433.6,538.8,159.0,318.5,159.2,0.29518331224117,46.873534479963766,255.77740435377785,-87.97370540364548,37.9866781011945,7.869695093858899e-05,0.0004066730498103,0.0003279760988717,46.5783511677226,False,False,False,487.69111639911455,intermediate
11,11,iso,control,clozapine,179.2,202.3,219.7,273.0,93.8,70.69999999999999,53.30000000000001,296.2,501.3,626.0,158.7,328.4,165.1,0.0945902493700915,30.515190608406765,255.3769852970076,-87.96535719211356,37.88300634317636,8.161827010361934e-05,0.0003556866324823,0.0002740683623787,30.420600359036676,False,False,False,489.5453607779304,intermediate
