,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,dyn,control,diltiazem,167.6,190.0,208.0,261.9,94.29999999999998,71.89999999999998,53.89999999999998,182.5,281.5,343.4,155.3,299.2,118.3,0.05065155522755198,2.811571092050818,256.71210263349155,-87.98067506147768,38.33287379936272,7.667770960118239e-05,0.0006333175938283412,0.0005566398842271588,2.7609195368232657,True,True,False,496.19236304010985
1,dyn,control,diltiazem,167.3,189.7,207.7,261.3,94.0,71.60000000000002,53.60000000000002,174.9,269.2,327.8,134.2,262.3,110.2,0.021774462328251552,2.3343355495196536,256.7637027448403,-87.98070810337961,38.36149032864535,7.674831399923204e-05,0.0006660746513880934,0.0005893263373888614,2.312561087191402,True,True,False,494.9479970998707
2,dyn,control,diltiazem,167.6,190.0,208.0,262.0,94.4,72.0,54.0,185.8,282.5,343.1,185.4,355.6,162.0,0.10718710511656067,3.02439146055763,256.72939451026815,-87.98177540339361,38.358819828437305,7.600620503967888e-05,0.0006278980917408795,0.0005518918867012006,2.9172043554410694,True,True,False,495.7138852711526
3,dyn,control,diltiazem,167.6,190.0,208.0,261.9,94.29999999999998,71.89999999999998,53.89999999999998,186.6,282.4,343.1,139.7,288.2,132.9,0.021975759729172494,2.3113788663585986,256.7215489127889,-87.98092106743474,38.32952047154101,7.660828017646079e-05,0.0006238441540001142,0.0005472358738236535,2.2894031066294263,True,True,False,495.98449736990756
4,dyn,control,diltiazem,167.5,189.9,207.9,261.8,94.30000000000001,71.9,53.900000000000006,183.0,276.8,334.8,150.4,277.6,146.9,0.06565746762152173,2.7017748296123147,256.749964305681,-87.9810664153174,38.33859241688998,7.656439769690975e-05,0.000642343225232843,0.0005657788275359332,2.636117361990793,True,True,False,495.1561190013067
5,dyn,control,diltiazem,167.6,190.0,208.0,261.8,94.20000000000002,71.80000000000001,53.80000000000001,183.6,280.7,341.8,167.0,347.6,122.5,0.027775680620481562,2.246922979073101,256.73299559098785,-87.98132918001424,38.323396653226446,7.635933819433115e-05,0.0006340220481363894,0.0005576627099420583,2.2191472984526195,True,True,False,495.8196403055851
6,dyn,control,diltiazem,167.5,189.9,207.9,261.7,94.19999999999999,71.79999999999998,53.79999999999998,180.8,276.2,335.0,138.9,262.5,118.6,0.04037084434552079,2.590784615741532,256.7413407019615,-87.98085247563134,38.32062069445728,7.66772430297079e-05,0.0006454496627060532,0.0005687724196763453,2.5504137713960113,True,True,False,495.5059804990528
7,dyn,control,diltiazem,167.3,189.7,207.7,261.4,94.09999999999997,71.69999999999999,53.69999999999999,175.4,270.4,329.1,179.2,340.8,126.8,0.0834613667981283,2.988109972145782,256.77096196287823,-87.98119010157416,38.36739188233353,7.643018070223105e-05,0.0006676454081817956,0.0005912152274795646,2.9046486053476537,True,True,False,494.68590201273463
8,dyn,control,diltiazem,167.7,190.2,208.2,262.2,94.5,72.0,54.0,187.6,287.0,348.4,182.4,330.9,138.6,0.12202740810535966,3.120111155084674,256.7072506408059,-87.98127951323326,38.31067484778531,7.630293718065103e-05,0.0006204065506990137,0.0005441036135183627,2.9980837469793142,True,True,False,496.307637565658
9,dyn,control,diltiazem,167.7,190.2,208.2,262.1,94.40000000000003,71.90000000000003,53.900000000000034,184.6,286.3,349.0,170.6,308.8,111.9,0.11378041972167777,2.995512818459957,256.6887364614106,-87.9806214828255,38.316893920776224,7.66699678210834e-05,0.0006236971123113976,0.0005470271444903142,2.8817323987382792,True,True,False,496.71666950345775
10,dyn,control,diltiazem,167.8,190.3,208.3,262.3,94.5,72.0,54.0,187.9,289.5,351.7,169.7,297.4,122.8,0.14112910819963087,3.239162237272523,256.6805547205993,-87.98069637213993,38.30593672777472,7.66325907302062e-05,0.0006146303130014754,0.0005379977222712693,3.098033129072892,True,True,False,496.8755221165771
11,dyn,control,diltiazem,168.4,190.8,208.8,263.0,94.6,72.19999999999999,54.19999999999999,202.9,310.1,374.4,156.7,292.5,118.5,0.0596081399534896,2.6022991137287406,256.5994159805124,-87.98055203021168,38.24100918150352,7.667845567805249e-05,0.0005638463056991106,0.0004871678500210581,2.542690973775251,True,True,False,498.87630924680406
12,dyn,control,diltiazem,167.8,190.2,208.2,262.2,94.39999999999998,72.0,54.0,188.5,287.7,349.2,154.1,292.0,122.6,0.05592522232410523,2.7131155916984264,256.6987455634757,-87.9809641963195,38.28933943141675,7.65696914246224e-05,0.0006160389288738875,0.0005394692374492651,2.6571903693743213,True,True,False,496.586757496498
13,dyn,control,diltiazem,167.2,189.6,207.6,261.2,94.0,71.6,53.599999999999994,171.6,265.1,322.6,146.3,272.4,113.6,0.05442120662733928,2.846148959266654,256.7859027287297,-87.98084460413945,38.37499200778996,7.669431792410942e-05,0.00068302352945157,0.0006063292115274605,2.7917277526393147,True,True,False,494.2970392645685
14,dyn,control,diltiazem,167.8,190.3,208.3,262.4,94.59999999999997,72.09999999999997,54.099999999999966,191.0,291.7,353.9,179.2,322.8,137.3,0.1306306719863345,3.013443104641321,256.68578187145243,-87.98111138515144,38.29744469583386,7.641005358844581e-05,0.0006074673151828834,0.0005310572615944376,2.8828124326549864,True,True,False,496.80730334615566
15,dyn,control,diltiazem,167.5,189.9,207.9,261.8,94.30000000000001,71.9,53.900000000000006,180.3,277.4,337.3,207.7,374.6,145.0,0.2616452870864699,3.2288853516564453,256.7378754665938,-87.98117101865863,38.368304232726395,7.633775084626536e-05,0.000645830205258067,0.0005694924544118016,2.9672400645699755,True,True,False,495.4089977873434
16,dyn,control,diltiazem,167.2,189.6,207.6,261.2,94.0,71.6,53.599999999999994,172.5,265.2,322.2,139.0,245.5,123.3,0.060396743081963626,2.83284084775484,256.78359055583684,-87.98073494403684,38.38784992545527,7.674467233989958e-05,0.0006799770877907841,0.0006032324154508845,2.7724441046728767,True,True,False,494.2863577430686
17,dyn,control,diltiazem,168.2,190.7,208.7,262.8,94.60000000000002,72.10000000000002,54.10000000000002,200.1,306.5,373.2,209.9,388.5,136.6,0.17563942086556528,2.795800043486866,256.6367663498834,-87.98256730904225,38.26844456688604,7.548507635229155e-05,0.0005757558496512493,0.0005002707732989577,2.6201606226213006,True,True,False,498.12009666484244
18,dyn,control,diltiazem,167.6,190.0,208.1,261.9,94.29999999999998,71.89999999999998,53.79999999999998,183.1,281.0,340.9,146.7,258.5,121.1,0.0735275730835889,2.9292090259962262,256.7127580061907,-87.98057199591119,38.32222976587675,7.676275531442902e-05,0.0006334402591324995,0.0005566775038180705,2.8556814529126373,True,True,False,496.1032318596791
19,dyn,control,diltiazem,167.5,190.0,208.0,261.9,94.39999999999998,71.89999999999998,53.89999999999998,183.8,281.3,342.3,210.0,420.1,139.2,0.07390780114719041,2.677477850757363,256.7446398163016,-87.98266023181102,38.336810288195494,7.564341523411744e-05,0.0006354697157651763,0.0005598263005310589,2.6035700496101724,True,True,False,495.63616591190925
20,dyn,control,diltiazem,167.3,189.6,207.6,261.3,94.0,71.70000000000002,53.70000000000002,176.2,268.9,326.9,196.5,422.4,133.9,0.035544931086037415,2.226269865941466,256.79155238573395,-87.98189295421331,38.38016363908845,7.611386965473826e-05,0.0006678700186541554,0.0005917561489994171,2.1907249348554285,True,True,False,494.32071746192514
21,dyn,control,diltiazem,167.7,190.1,208.1,262.0,94.30000000000001,71.9,53.900000000000006,185.4,283.9,344.4,149.3,263.5,129.6,0.07717697371222802,2.9389615924112404,256.7016152129551,-87.98054482396421,38.32728302874748,7.67549406292389e-05,0.0006248786846041128,0.0005481237439748739,2.8617846186990126,True,True,False,496.3387129481139
22,dyn,control,diltiazem,167.1,189.4,207.4,260.9,93.79999999999998,71.49999999999997,53.49999999999997,171.0,261.2,317.6,160.8,339.1,135.0,0.03254626883310234,2.57502190805482,256.8162790181412,-87.9812582920728,38.4105809221961,7.647146346432319e-05,0.0006915815243841232,0.0006151100609198,2.5424756392217174,True,True,False,493.4956286186373
23,dyn,control,diltiazem,167.8,190.3,208.3,262.4,94.59999999999997,72.09999999999997,54.099999999999966,192.5,293.0,356.4,180.4,362.3,137.4,0.062163118844175025,2.6704178222047528,256.69477660462786,-87.9821618577125,38.29466894703043,7.581483424299355e-05,0.0006036764539274049,0.0005278616196844113,2.608254703360578,True,True,False,496.8286837795025
24,dyn,control,diltiazem,167.0,189.4,207.4,260.9,93.89999999999998,71.49999999999997,53.49999999999997,167.8,260.1,316.6,192.4,358.8,130.2,0.18798080778890344,2.911724157724645,256.8091858526025,-87.98100017379379,38.43566812006578,7.65706465538975e-05,0.0007004479679419347,0.0006238773213880372,2.7237433499357415,True,True,False,493.5669599248872
25,dyn,control,diltiazem,167.3,189.6,207.6,261.3,94.0,71.70000000000002,53.70000000000002,173.4,267.4,325.5,160.0,306.0,116.7,0.04653712512153997,2.6104934010020835,256.77969218103715,-87.98096108811465,38.36954134183873,7.661774899761742e-05,0.0006757239575108535,0.000599106208513236,2.5639562758805434,True,True,False,494.4751534893961
26,dyn,control,diltiazem,167.6,190.0,208.0,261.6,94.00000000000003,71.60000000000002,53.60000000000002,182.2,278.4,340.6,116.1,229.0,108.3,0.013305714677793899,2.0819363285357646,256.7067840005339,-87.98031511494342,38.320428382634034,7.689703064112908e-05,0.0006303897507412441,0.000553492720100115,2.068630613857971,True,True,False,496.463549872494
27,dyn,control,diltiazem,167.3,189.7,207.7,261.3,94.0,71.60000000000002,53.60000000000002,173.5,267.5,324.9,128.7,234.8,110.1,0.04355092701386031,2.833267205988057,256.7657173824706,-87.98060351188127,38.36148850816786,7.67942720739183e-05,0.0006720380722754817,0.0005952438002015634,2.789716278974197,True,True,False,494.83877758686583
28,dyn,control,diltiazem,167.4,189.8,207.8,261.6,94.20000000000002,71.80000000000001,53.80000000000001,177.9,273.8,333.2,145.1,274.0,116.2,0.05249720069002226,2.9154427699664476,256.7472348657659,-87.98077083352891,38.34028493804799,7.669497892363829e-05,0.0006550531616644448,0.0005783581827408065,2.8629455692764254,True,True,False,495.3145893581524
29,dyn,control,diltiazem,167.6,190.0,208.0,261.8,94.20000000000002,71.80000000000001,53.80000000000001,181.4,279.8,340.3,145.2,265.2,113.6,0.051616853827507275,2.724655104556022,256.7126323107728,-87.98046900998165,38.33007759386887,7.680523133861945e-05,0.0006367735634992371,0.0005599683321606176,2.6730382507285144,True,True,False,496.1432407754719
30,dyn,control,diltiazem,167.4,189.8,207.8,261.5,94.1,71.69999999999999,53.69999999999999,177.8,272.9,332.0,156.1,297.5,129.2,0.05729242668626512,2.7452984466987487,256.7552567569216,-87.9808455112913,38.36862821690271,7.663913827815856e-05,0.0006564492692035464,0.0005798101309253879,2.6880060200124833,True,True,False,495.0426355551626
31,dyn,control,diltiazem,167.1,189.5,207.5,261.1,94.00000000000003,71.60000000000002,53.60000000000002,171.4,264.3,321.6,171.1,320.6,136.3,0.08262782421738671,2.911249769178801,256.79333020022403,-87.98095972058168,38.41582741786795,7.658904416908841e-05,0.0006845826478887084,0.00060799360371962,2.828621944961414,True,True,False,494.00685495365406
32,dyn,control,diltiazem,167.6,190.0,208.0,261.8,94.20000000000002,71.80000000000001,53.80000000000001,183.2,280.1,340.3,125.7,245.0,110.4,0.02337555353104029,2.4176358106992146,256.71256124063945,-87.9805792269204,38.30136805058868,7.679046939316738e-05,0.0006310047556377063,0.0005542142862445388,2.3942602571681744,True,True,False,496.31076752650233
33,dyn,control,diltiazem,167.0,189.4,207.3,260.7,93.69999999999999,71.29999999999998,53.39999999999998,168.4,259.2,316.0,127.5,267.8,111.9,0.010102521650037609,1.9486325667676243,256.8113346131765,-87.98080850074037,38.42406418492794,7.673450894828823e-05,0.0006963859339354864,0.0006196514249871982,1.9385300451175866,True,True,False,493.6854181807338
34,dyn,control,diltiazem,167.7,190.2,208.2,262.1,94.40000000000003,71.90000000000003,53.900000000000034,185.5,286.6,348.6,183.3,322.9,120.7,0.23559478604487713,3.1674184257924964,256.69010244700235,-87.98071345108335,38.32228911945664,7.662797363129811e-05,0.0006220526603978872,0.0005454246867665891,2.9318236397476194,True,True,False,496.62435655806826
35,dyn,control,diltiazem,167.1,189.5,207.5,261.0,93.9,71.5,53.5,170.4,262.6,319.7,139.9,266.6,121.0,0.040665334934317524,2.6593922977389526,256.7960126008266,-87.98078398428228,38.405242507059086,7.672510007616314e-05,0.0006884636851521291,0.000611738585075966,2.6187269628046352,True,True,False,493.99203335017603
36,dyn,control,diltiazem,167.5,189.9,207.9,261.5,94.0,71.6,53.599999999999994,180.1,274.5,332.9,119.8,221.1,114.4,0.02715656883013634,2.4121318532744236,256.73323356775177,-87.98050908952597,38.328084243439314,7.682869466233676e-05,0.0006446584851903322,0.0005678297905279954,2.384975284444287,True,True,False,495.70864154294935
37,dyn,control,diltiazem,168.0,190.4,208.4,262.4,94.39999999999998,71.99999999999997,53.99999999999997,193.1,294.9,358.4,155.9,295.4,125.2,0.0630716790149408,2.8078894393005975,256.6651891470565,-87.98080397793964,38.2798733559923,7.659179072045812e-05,0.000597861936467554,0.0005212701457470959,2.744817760285657,True,True,False,497.36602960844687
