,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,dyn,gomez,diltiazem,199.8,236.9,266.2,345.6,145.8,108.70000000000002,79.40000000000003,356.6,489.5,585.2,184.1,362.7,208.2,0.1423636475186098,1.1200088743930798,241.76429810065173,-87.78558225397575,40.21187893296117,9.162540993839783e-05,0.0002561672252471,0.0001645418153087,0.97764522687447,False,False,False,89.73828606506663,low/none
1,1,dyn,gomez,diltiazem,199.7,236.8,266.1,345.3,145.60000000000002,108.5,79.19999999999999,349.4,484.6,591.5,166.5,341.5,201.5,0.0740754882631744,0.7825108635242678,241.72189887660232,-87.78365032847097,40.212413435774806,9.191132111752368e-05,0.0002578344894313,0.0001659231683138,0.7084353752610933,False,False,False,89.86917847736112,low/none
2,2,dyn,gomez,diltiazem,199.5,236.6,266.1,345.9,146.39999999999998,109.29999999999998,79.79999999999995,353.4,487.2,572.7,192.4,365.4,236.6,0.2474988657289182,1.5836614293641582,241.90783612074492,-87.7909292122227,40.2153353613443,9.079602967988748e-05,0.0002614855407414,0.0001706895110615,1.33616256363524,False,False,False,89.19569386685279,low/none
3,3,dyn,gomez,diltiazem,200.7,237.6,266.6,345.5,144.8,107.9,78.89999999999998,360.2,509.3,620.7,161.8,400.4,215.3,0.0930240827258474,0.7262108993345873,241.68671386105916,-87.78387916139258,40.19335315634793,9.196841142230166e-05,0.0002500142888845,0.0001580458774622,0.6331868166087399,False,False,False,89.62338352861784,low/none
4,4,dyn,gomez,diltiazem,199.3,236.5,266.1,345.8,146.5,109.3,79.69999999999999,350.4,478.0,568.6,182.7,354.5,218.4,0.16543980836225,1.3114426294844543,241.86855191544623,-87.78900828925417,40.2334062037954,9.10684979430396e-05,0.0002623593491774,0.0001712908512343,1.1460028211222042,False,False,False,88.84213915038893,low/none
5,5,dyn,gomez,diltiazem,200.3,237.3,266.5,345.9,145.59999999999997,108.59999999999997,79.39999999999998,362.0,498.8,596.6,183.0,380.3,223.0,0.0890841122537736,0.8324529435227315,241.7767302985005,-87.78695393409454,40.21358899699704,9.147569656610163e-05,0.0002529131006564,0.0001614374040903,0.7433688312689578,False,False,False,88.91030291066222,low/none
6,6,dyn,gomez,diltiazem,199.6,236.8,266.1,345.6,146.00000000000003,108.8,79.5,353.0,484.3,583.8,177.4,362.4,201.4,0.1168486552435615,1.0343696905739106,241.77173021459305,-87.78558590712379,40.23174162986007,9.16113377860182e-05,0.0002578093842128,0.0001661980464268,0.917521035330349,False,False,False,89.2671538513406,low/none
7,7,dyn,gomez,diltiazem,199.0,236.2,265.9,345.6,146.60000000000002,109.40000000000003,79.70000000000005,346.5,479.4,568.4,202.1,395.2,214.3,0.2344581573230418,1.5093894892796582,241.92508627119656,-87.79083767588817,40.23411833502942,9.076055084897272e-05,0.0002649281725571,0.0001741676217081,1.2749313319566165,False,False,False,89.63418884341945,low/none
8,8,dyn,gomez,diltiazem,199.6,236.8,266.2,345.8,146.20000000000002,109.0,79.60000000000002,357.8,495.8,586.1,202.2,398.3,222.0,0.3221390869743694,1.72084768970559,241.91212200646055,-87.79159417792921,40.22747543408997,9.071042447035012e-05,0.0002574234127302,0.0001667129882599,1.3987086027312206,False,False,False,89.47605330534117,low/none
9,9,dyn,gomez,diltiazem,199.8,236.9,266.1,345.4,145.59999999999997,108.49999999999996,79.29999999999995,358.7,500.3,597.3,202.9,415.3,205.3,0.321643751355972,1.5602074648126216,241.84497434161057,-87.78907327352563,40.21996979159589,9.109993114380672e-05,0.0002546105955121,0.0001635106643683,1.2385637134566496,False,False,False,90.5048682482132,low/none
10,10,dyn,gomez,diltiazem,199.7,236.9,266.1,345.5,145.8,108.6,79.39999999999998,358.4,499.3,595.9,199.6,410.5,205.5,0.3754979742186789,1.803465366144459,241.85619784186943,-87.78947001630787,40.22366272065305,9.103517276040716e-05,0.000255083536817,0.0001640483640566,1.42796739192578,False,False,False,90.3617443421258,low/none
11,11,dyn,gomez,diltiazem,201.2,238.1,266.9,345.9,144.7,107.79999999999998,79.0,380.7,522.4,626.7,191.4,407.3,216.9,0.1827271226585135,1.0833660688882458,241.7344035572561,-87.78684715166757,40.21744202696356,9.152797842074176e-05,0.0002422203249457,0.0001506923465249,0.9006389462297323,False,False,False,88.79678808858759,low/none
12,12,dyn,gomez,diltiazem,200.1,237.2,266.4,345.8,145.70000000000002,108.60000000000002,79.40000000000003,362.5,496.9,594.9,189.0,387.7,210.5,0.1522754637147094,1.1576408217069407,241.83126389533604,-87.78889814023563,40.23363870295544,9.114009871777215e-05,0.0002533047515595,0.0001621646528417,1.0053653579922313,False,False,False,88.88014070104643,low/none
13,13,dyn,gomez,diltiazem,198.9,236.1,265.8,345.4,146.49999999999997,109.29999999999998,79.59999999999997,342.7,471.7,566.6,188.8,377.9,195.5,0.1513008169058699,1.2575436708355452,241.8764192746122,-87.78853449066096,40.239973836298425,9.108700932215732e-05,0.0002660603861287,0.0001749733768065,1.1062428539296754,False,False,False,89.80611130140466,low/none
14,14,dyn,gomez,diltiazem,199.9,237.0,266.3,345.7,145.79999999999998,108.7,79.39999999999998,361.9,502.7,596.0,204.0,409.1,222.2,0.3547818454289524,1.682476367686339,241.88739297867303,-87.79109118686465,40.22303672757462,9.081352946235968e-05,0.0002541799211445,0.0001633663916821,1.3276945222573866,False,False,False,89.72421615723614,low/none
15,15,dyn,gomez,diltiazem,199.1,236.3,265.9,345.5,146.4,109.2,79.60000000000002,348.7,485.2,579.6,220.3,442.9,231.7,0.5754308709172484,2.134437700766744,241.92232369458475,-87.79103918717904,40.22219789080161,9.075570042668372e-05,0.0002627235820531,0.0001719678816265,1.5590068298494957,False,False,False,90.52180603047034,low/none
16,16,dyn,gomez,diltiazem,198.7,236.0,265.7,345.3,146.60000000000002,109.3,79.60000000000002,340.2,468.3,563.4,185.1,371.4,195.3,0.1707060435053066,1.3440320234472891,241.876418185664,-87.7882577972303,40.23448901059512,9.111407134424526e-05,0.0002678884520365,0.0001767743806922,1.1733259799419826,False,False,False,90.01693765064124,low/none
17,17,dyn,gomez,diltiazem,200.8,237.8,266.7,345.9,145.09999999999997,108.09999999999997,79.19999999999999,377.6,527.7,624.7,223.2,445.4,241.6,0.4059728079337614,1.585491580613533,241.89488076306003,-87.79310197854447,40.21083002502115,9.059962181527594e-05,0.0002454816540407,0.0001548820322254,1.1795187726797716,False,False,False,89.66598808431594,low/none
18,18,dyn,gomez,diltiazem,199.5,236.7,266.0,345.5,146.0,108.8,79.5,353.1,487.6,586.3,189.4,387.9,199.8,0.2143450214579564,1.395125838280345,241.8414348994152,-87.78833638098274,40.226408633698085,9.117581265765236e-05,0.0002583440486661,0.0001671682360085,1.1807808168223888,False,False,False,89.95633836462038,low/none
19,19,dyn,gomez,diltiazem,199.7,236.8,266.2,345.9,146.2,109.09999999999997,79.69999999999999,358.5,498.9,589.6,220.9,430.0,238.6,0.2441053961219514,1.370993552630245,241.9681831725124,-87.79399611592558,40.22326385674686,9.035870429340542e-05,0.0002579124632976,0.0001675537590042,1.1268881565082935,False,False,False,89.2828736925052,low/none
20,20,dyn,gomez,diltiazem,199.5,236.6,266.2,345.9,146.39999999999998,109.29999999999998,79.69999999999999,352.6,486.6,579.3,204.3,425.2,234.3,0.0923607275553984,0.9232379430206628,241.94197649665824,-87.79239651204922,40.22572459223394,9.057837986534312e-05,0.0002617073244785,0.0001711289446132,0.8308772154652645,False,False,False,88.87286577546422,low/none
21,21,dyn,gomez,diltiazem,199.6,236.7,266.1,345.5,145.9,108.8,79.39999999999998,354.1,487.7,584.9,187.7,380.2,205.6,0.2003302896470893,1.398730765246372,241.8436420430573,-87.78849856413679,40.21997881715641,9.115400581094115e-05,0.000258293347273,0.0001671393414621,1.1984004755992828,False,False,False,89.8540500464971,low/none
22,22,dyn,gomez,diltiazem,199.1,236.3,265.9,345.5,146.4,109.2,79.60000000000002,342.8,475.9,573.9,172.3,391.6,212.3,0.1133895770673033,0.9014837584939576,241.86928114032207,-87.78862978087885,40.22313865195188,9.110409032049052e-05,0.0002654665684029,0.0001743624780824,0.7880941814266541,False,False,False,89.64183311720019,low/none
23,23,dyn,gomez,diltiazem,200.3,237.3,266.6,346.1,145.8,108.8,79.5,367.7,504.5,595.3,199.5,392.6,228.4,0.1617234344594688,1.1798008396847544,241.87668940159855,-87.79119837803005,40.22137227745894,9.083254582945528e-05,0.0002522274700271,0.0001613949241976,1.0180774052252854,False,False,False,88.52235548289487,low/none
24,24,dyn,gomez,diltiazem,198.4,235.7,265.5,345.3,146.9,109.60000000000002,79.80000000000001,336.1,466.0,557.9,215.8,430.7,219.7,0.4467382901816262,1.7977442764777891,241.92935742798088,-87.78981463295882,40.23278887999117,9.08600108003805e-05,0.0002719294821804,0.00018106947138,1.3510059862961628,False,False,False,90.55467244903872,low/none
25,25,dyn,gomez,diltiazem,199.1,236.3,265.9,345.5,146.4,109.2,79.60000000000002,346.8,477.5,571.0,194.0,388.6,207.8,0.1492585019039937,1.163983802217916,241.88816644649316,-87.78946498776612,40.23421393415256,9.0974528934269e-05,0.0002638894012975,0.0001729148723632,1.014725300313922,False,False,False,89.5717025837186,low/none
26,26,dyn,gomez,diltiazem,200.9,237.7,266.5,345.0,144.1,107.3,78.5,359.7,512.2,637.1,158.0,359.8,201.0,0.0578592320455431,0.5834365012585122,241.5052549046565,-87.77664535420459,40.18507242149514,9.306933704110284e-05,0.0002460564079845,0.0001529870709434,0.525577269212969,False,False,False,90.7133029221071,low/none
27,27,dyn,gomez,diltiazem,199.2,236.4,265.8,345.2,146.0,108.79999999999998,79.39999999999998,344.3,473.8,575.9,171.8,336.8,188.4,0.1267536439927992,1.0945582357650854,241.76594457224343,-87.78447452373908,40.22708044635123,9.172478798226298e-05,0.000262511453102,0.0001707866651198,0.9678045917722862,False,False,False,90.11044583431384,low/none
28,28,dyn,gomez,diltiazem,199.5,236.6,266.0,345.5,146.0,108.9,79.5,350.0,479.2,579.1,177.2,343.0,199.7,0.1488026326689204,1.156083468944486,241.7794453700797,-87.7855648325619,40.22527427195537,9.15901879639896e-05,0.0002597551704249,0.0001681649824609,1.0072808362755656,False,False,False,89.66111252725554,low/none
29,29,dyn,gomez,diltiazem,199.6,236.8,266.1,345.4,145.79999999999998,108.59999999999997,79.29999999999995,354.5,489.9,590.5,190.0,391.6,200.0,0.1647591711443992,1.1863814854209689,241.8137424289249,-87.78740527120699,40.22005021335016,9.132832999680528e-05,0.0002570373461875,0.0001657090161907,1.0216223142765697,False,False,False,90.07249678762476,low/none
30,30,dyn,gomez,diltiazem,199.2,236.4,265.9,345.6,146.40000000000003,109.20000000000002,79.70000000000005,348.1,479.1,572.1,191.6,379.8,209.3,0.152202865029881,1.251606068905363,241.87789114648143,-87.78917744602197,40.226487466535104,9.102178280884724e-05,0.0002630891749561,0.0001720673921472,1.099403203875482,False,False,False,89.69403956510979,low/none
31,31,dyn,gomez,diltiazem,198.6,235.9,265.6,345.4,146.79999999999998,109.49999999999996,79.79999999999995,339.2,469.3,557.1,198.4,385.7,215.1,0.2330951945241536,1.541661480377163,241.92352383080507,-87.78992521585153,40.230921696554525,9.085556095389554e-05,0.0002701650693133,0.0001793095083594,1.3085662858530096,False,False,False,89.99532005230498,low/none
32,32,dyn,gomez,diltiazem,200.5,237.4,266.5,345.3,144.8,107.9,78.80000000000001,357.0,499.1,618.8,161.5,354.4,200.2,0.0880166947797794,0.7678084637918791,241.5985688915339,-87.77982417235668,40.207882252431645,9.25493967109867e-05,0.0002499307253069,0.0001573813285959,0.6797917690120996,False,False,False,89.68946789463989,low/none
33,33,dyn,gomez,diltiazem,199.7,236.7,266.1,345.1,145.40000000000003,108.40000000000003,79.0,347.5,491.2,600.8,154.8,364.0,204.7,0.0419241978835437,0.5060886614772205,241.74764071132367,-87.78470731174056,40.20356194799852,9.175809223517876e-05,0.0002579457722103,0.0001661876799752,0.4641644635936768,False,False,False,90.8203723015654,low/none
34,34,dyn,gomez,diltiazem,199.6,236.8,266.1,345.4,145.79999999999998,108.59999999999997,79.29999999999995,357.0,498.5,598.4,210.7,439.2,210.3,0.5102845558370896,1.936444202693372,241.86409047862412,-87.78968830669245,40.220128563403634,9.100693209673568e-05,0.0002557391653358,0.0001647322332391,1.426159646856282,False,False,False,90.72161097781613,low/none
35,35,dyn,gomez,diltiazem,198.8,236.1,265.7,345.3,146.5,109.20000000000002,79.60000000000002,340.4,467.5,562.3,176.2,345.1,198.5,0.1141173359838597,1.08536542160173,241.8285450095937,-87.78640323358502,40.22779494051966,9.140572647756576e-05,0.0002672829555905,0.000175877229113,0.9712480856178703,False,False,False,89.98554282583947,low/none
36,36,dyn,gomez,diltiazem,199.8,236.9,266.1,345.2,145.39999999999998,108.29999999999998,79.09999999999997,350.0,486.8,595.2,165.6,343.2,192.6,0.0894228095101468,0.8623334728765282,241.6685980643776,-87.78159195070982,40.217089296305055,9.2222816121888e-05,0.0002557234643104,0.0001635006481885,0.7729106633663814,False,False,False,90.010931689813,low/none
37,37,dyn,gomez,diltiazem,200.3,237.4,266.5,345.8,145.5,108.4,79.30000000000001,366.4,501.1,598.0,187.7,377.3,212.7,0.1664714705019919,1.177772521198883,241.76168179148027,-87.78642710928415,40.21849872420234,9.154619488778974e-05,0.0002507597141501,0.0001592135192623,1.0113010506968911,False,False,False,89.04395015196702,low/none
38,38,dyn,gomez,diltiazem,198.6,235.9,265.7,345.7,147.1,109.79999999999998,80.0,340.5,470.7,558.7,213.4,413.4,231.0,0.2500024176610141,1.6802958403748989,241.992671291268,-87.79280989251394,40.24358066351423,9.042781873273504e-05,0.0002707404934526,0.0001803126747198,1.4302934227138846,False,False,False,89.15990237631937,low/none
39,39,dyn,gomez,diltiazem,200.1,237.1,266.4,345.7,145.6,108.6,79.30000000000001,358.2,492.9,592.0,176.0,361.0,216.2,0.0917948372805673,0.8648032545732197,241.74522348241905,-87.7852913996338,40.21170529932467,9.170456884452826e-05,0.0002544486866198,0.0001627441177753,0.7730084172926524,False,False,False,89.17888415758722,low/none
40,40,dyn,gomez,diltiazem,199.1,236.3,265.8,345.3,146.20000000000002,109.0,79.5,346.1,477.4,576.3,186.3,381.3,191.3,0.1781930272622117,1.3170639539523878,241.8510028100864,-87.78796107428707,40.23676679710439,9.119452956986425e-05,0.0002628273494863,0.0001716328199164,1.1388709266901762,False,False,False,89.95124740887209,low/none
41,41,dyn,gomez,diltiazem,200.2,237.1,266.2,344.9,144.7,107.79999999999998,78.69999999999999,353.3,502.5,619.1,161.0,334.0,193.1,0.029001123324229,0.453866064618933,241.6376280168277,-87.78103627607209,40.20234173596223,9.235719853007256e-05,0.0002516156537146,0.0001592584551845,0.4248649412947039,False,False,False,91.141886114536,low/none
42,42,dyn,gomez,diltiazem,200.0,237.1,266.4,345.9,145.89999999999998,108.79999999999998,79.5,363.0,500.5,593.5,200.1,398.2,220.2,0.234655295377068,1.377262937472263,241.88514478713824,-87.79109051190161,40.22969736038812,9.08139578558122e-05,0.0002539067900739,0.0001630928322181,1.142607642095195,False,False,False,89.12426048287668,low/none
