,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,iso,gomez,diltiazem,205.5,241.5,268.1,342.6,137.10000000000002,101.10000000000002,74.5,468.8,689.2,808.9,186.3,433.8,283.1,0.46337412441529263,8.374402738246284,240.21782320796348,-87.7336114462793,40.02168303496098,9.996950521198603e-05,0.0001963028043413086,9.633329912932256e-05,7.911028613830991,False,False,False,94.90997405368125
1,iso,gomez,diltiazem,203.9,240.2,267.5,343.4,139.49999999999997,103.19999999999999,75.89999999999998,437.9,640.4,761.5,159.9,362.6,263.8,0.10707257153412682,3.168835222924494,240.9421120585377,-87.76077667287021,40.08061953330694,9.587224210561752e-05,0.0002094276669074295,0.00011355542480181198,3.0617626513903673,False,False,False,92.94719676935522
2,iso,gomez,diltiazem,205.0,241.1,267.9,342.8,137.8,101.70000000000002,74.90000000000003,459.4,675.5,796.3,211.0,453.2,326.9,1.1452685466208863,15.343361215319671,240.44749503803567,-87.74221263319177,40.036333931431955,9.868408795780817e-05,0.00020001053685968432,0.00010132644890187615,14.198092668698784,False,False,False,94.5227877858833
3,iso,gomez,diltiazem,204.9,241.0,267.9,343.0,138.1,102.0,75.10000000000002,456.8,670.3,791.0,158.7,347.6,289.5,0.1741401856982485,3.542932164132583,240.55440268293745,-87.74635928468368,40.04917396858746,9.807094621365237e-05,0.00020138638592414785,0.00010331543971049548,3.3687919784343348,False,False,False,93.95400569009249
4,iso,gomez,diltiazem,204.7,240.9,267.9,343.2,138.5,102.29999999999998,75.30000000000001,453.4,663.8,784.5,189.1,417.6,302.6,0.5310972853639903,9.134255213824673,240.6694216541809,-87.75079149566035,40.06356080213674,9.741023206067422e-05,0.00020306592923006556,0.00010565569716939134,8.603157928460682,False,False,False,93.37437196966721
5,iso,gomez,diltiazem,204.9,241.0,267.9,343.1,138.20000000000002,102.10000000000002,75.20000000000005,457.5,670.0,790.5,191.5,434.6,288.5,0.18838022643606075,3.9154125019537287,240.5787564581193,-87.74739401749181,40.05643248008619,9.792415184557956e-05,0.0002013990654171987,0.00010347491357161914,3.727032275517668,False,False,False,93.59958201535241
6,iso,gomez,diltiazem,205.1,241.2,268.0,343.1,138.00000000000003,101.90000000000003,75.10000000000002,460.4,673.9,794.1,176.0,410.3,275.3,0.29247734057389624,6.134008296486852,240.53203898384268,-87.74570861483856,40.05656189952459,9.818353994222375e-05,0.00020034075572522616,0.0001021572157830024,5.841530955912956,False,False,False,93.53482468881738
7,iso,gomez,diltiazem,204.4,240.6,267.7,343.3,138.9,102.70000000000002,75.60000000000002,447.3,654.9,775.9,197.2,448.6,283.3,0.8985580021635755,11.63115881127979,240.77688794762713,-87.75472435170947,40.06877199821239,9.680586505295264e-05,0.00020548671407153867,0.00010868084901858602,10.732600809116214,False,False,False,93.27957608182354
8,iso,gomez,diltiazem,206.4,242.2,268.5,342.5,136.1,100.30000000000001,74.0,484.6,709.5,826.5,229.2,505.0,306.3,2.621042558275952,19.216643773207036,239.84679512014972,-87.71984608056815,40.00838259461208,0.00010201085368678292,0.0001907207914150366,8.870993772825368e-05,16.595601214931083,False,False,False,95.01496588246644
9,iso,gomez,diltiazem,206.6,242.4,268.6,342.3,135.70000000000002,99.9,73.69999999999999,489.0,716.2,832.3,223.7,517.4,279.7,2.2632866675487504,14.970855960361053,239.6707078977452,-87.71317044429749,39.99501703070953,0.0001029768722759759,0.00018885458258029509,8.587771030431919e-05,12.707569292812302,False,False,False,95.46942680812641
