,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,dyn,control,disopyramide,176.3,201.1,221.0,279.3,103.0,78.20000000000002,58.30000000000001,182.4,283.6,345.6,157.8,302.6,119.1,0.0513794695710134,2.8798541753033398,256.6069818998667,-87.97981823452929,38.46191408745743,7.716271614314335e-05,0.0006510826361458,0.0005739199200027,2.828474705732326,True,True,False,467.5444180766375,high
1,1,dyn,control,disopyramide,175.9,200.6,220.6,278.6,102.70000000000002,78.00000000000003,58.00000000000003,174.7,271.1,329.9,136.1,265.2,110.8,0.0221131733463411,2.4084057930419656,256.65913682898866,-87.97987107394877,38.49562681469018,7.72314350691541e-05,0.000685093841999,0.0006078624069299,2.386292619695624,True,True,False,466.3600977495821,high
2,2,dyn,control,disopyramide,176.2,201.0,221.0,279.4,103.2,78.39999999999998,58.39999999999998,185.8,284.7,345.4,188.6,359.6,163.3,0.1084898696976424,3.0752287768121,256.6255159706471,-87.98109533138991,38.486633032094105,7.645071159686227e-05,0.0006452046810975,0.0005687539695006,2.966738907114457,True,True,False,467.0312107915744,high
3,3,dyn,control,disopyramide,176.2,201.0,221.0,279.3,103.10000000000002,78.30000000000001,58.30000000000001,186.5,284.3,345.1,141.9,291.4,134.1,0.0223956826894579,2.387890421197681,256.6185841128163,-87.98008646091932,38.45252305049268,7.70881051065059e-05,0.000641704969195,0.0005646168640885,2.365494738508223,True,True,False,467.26201711613953,high
4,4,dyn,control,disopyramide,176.1,200.8,220.9,279.2,103.1,78.39999999999998,58.29999999999998,182.9,279.0,337.1,153.0,280.9,148.0,0.0665034344113074,2.7564114272192124,256.6464759011784,-87.98023863455208,38.46752859972404,7.70467494298764e-05,0.0006600347865665,0.0005829880371366,2.689907992807905,True,True,False,466.4850722614164,high
5,5,dyn,control,disopyramide,176.2,200.9,221.0,279.3,103.10000000000002,78.4,58.30000000000001,183.5,282.7,343.9,169.3,351.3,123.3,0.0282192378805871,2.317311872490146,256.6297018350356,-87.98055474483112,38.44919289619942,7.682084753846995e-05,0.0006520511110735,0.000575230263535,2.289092634609559,True,True,False,467.1259350289192,high
6,6,dyn,control,disopyramide,176.1,200.9,220.9,279.1,103.00000000000004,78.20000000000002,58.20000000000002,180.8,278.2,337.3,141.1,265.5,119.4,0.0409526661221651,2.653940905532997,256.6370988191422,-87.97999617851913,38.44979130841159,7.716552627861317e-05,0.0006634034154732,0.0005862378891946,2.612988239410832,True,True,False,466.8714721884059,high
7,7,dyn,control,disopyramide,175.9,200.7,220.7,278.8,102.9,78.10000000000002,58.10000000000002,175.4,272.6,331.4,182.0,344.5,127.6,0.0843859097435979,3.040404240190345,256.66622641495366,-87.98041977862914,38.50616139445628,7.689564844193932e-05,0.000685977870449,0.0006090822220071,2.956018330446748,True,True,False,466.101560849729,high
8,8,dyn,control,disopyramide,176.4,201.2,221.2,279.7,103.29999999999998,78.5,58.5,187.7,289.2,350.8,185.4,334.7,139.5,0.1232972868755405,3.165565068233575,256.60258978013496,-87.98048238739236,38.43656608906554,7.677235189190704e-05,0.0006372615683547,0.0005604892164628,3.0422677813580346,True,True,False,467.6261272199224,high
9,9,dyn,control,disopyramide,176.4,201.3,221.3,279.7,103.29999999999998,78.39999999999998,58.39999999999998,184.6,288.6,351.4,173.3,312.5,112.3,0.1157689954413534,3.045437103331094,256.5824599474359,-87.97973609475004,38.45018744160052,7.716467507647701e-05,0.0006407184242181,0.0005635537491417,2.9296681078897406,True,True,False,468.0844685038034,high
10,10,dyn,control,disopyramide,176.5,201.4,221.4,279.9,103.39999999999998,78.49999999999997,58.49999999999997,188.0,291.8,354.2,172.8,301.2,123.4,0.1435219679974289,3.2819408809740813,256.57445104290707,-87.97980511829546,38.43604772025259,7.712956754645604e-05,0.0006311803709528,0.0005540508034063,3.138418912976652,True,True,False,468.22200917313614,high
11,11,dyn,control,disopyramide,177.2,202.0,222.0,280.7,103.5,78.69999999999999,58.69999999999999,203.1,312.1,376.8,159.2,296.0,119.0,0.0604527149494067,2.6694896906939225,256.4947024352078,-87.97959685638403,38.3467557246358,7.718126183003296e-05,0.0005797010126307,0.0005025197508006,2.6090369757445155,True,True,False,470.10242773960425,high
12,12,dyn,control,disopyramide,176.5,201.2,221.2,279.7,103.2,78.5,58.5,188.5,289.8,351.5,156.6,295.3,123.4,0.0566985561857868,2.7755665822840614,256.594533340795,-87.98009132854739,38.411156266635295,7.705956467282045e-05,0.000633143555289,0.0005560839906162,2.7188680260982747,True,True,False,467.8859230486489,high
13,13,dyn,control,disopyramide,175.8,200.5,220.5,278.4,102.59999999999997,77.89999999999998,57.89999999999998,171.6,267.1,324.9,148.6,275.6,114.3,0.0550863584485948,2.904912611175063,256.6808965017522,-87.98002403659947,38.5181263838712,7.717438188764517e-05,0.0007018763853192,0.0006247020034316,2.849826252726468,True,True,False,465.75701978716427,high
14,14,dyn,control,disopyramide,176.5,201.3,221.4,280.0,103.5,78.69999999999999,58.6,191.2,294.0,356.4,182.1,326.4,138.1,0.1328229600281883,3.058905230919892,256.5808436331753,-87.98026165755269,38.420737631762215,7.689603034030139e-05,0.0006239003830675,0.0005470043527272,2.926082270891704,True,True,False,468.1089857648349,high
15,15,dyn,control,disopyramide,176.1,200.9,220.9,279.2,103.1,78.29999999999998,58.29999999999998,180.3,279.7,339.7,210.8,378.4,145.8,0.2649335041909821,3.264652484391021,256.6323384947513,-87.98040806620263,38.50574751762447,7.680704380882133e-05,0.0006631421153056,0.0005863350714968,2.999718980200039,True,True,False,466.80354922430695,high
16,16,dyn,control,disopyramide,175.8,200.5,220.5,278.4,102.59999999999997,77.89999999999998,57.89999999999998,172.4,267.4,324.5,141.3,248.6,124.1,0.0611069381998151,2.8855916568395847,256.6785668094652,-87.97991037213326,38.528687974866536,7.722606889253002e-05,0.0006986529559526,0.0006214268870601,2.824484718639769,True,True,False,465.7458069166116,high
17,17,dyn,control,disopyramide,177.0,201.8,221.8,280.6,103.60000000000002,78.80000000000001,58.80000000000001,200.3,308.7,375.5,213.0,392.6,137.0,0.178055605599425,2.843367034795956,256.5318718326527,-87.98185856892556,38.38294793707615,7.594205945419214e-05,0.0005914880097008,0.0005155459502467,2.6653114291965307,True,True,False,469.37713566441846,high
18,18,dyn,control,disopyramide,176.3,201.1,221.1,279.4,103.09999999999997,78.29999999999998,58.29999999999998,183.1,283.2,343.3,149.3,261.9,121.8,0.0744139022481549,2.982727589592008,256.60743703504494,-87.97968762769538,38.452553620817696,7.725715780553078e-05,0.0006508080764858,0.0005735509186803,2.9083136873438526,True,True,False,467.4682957418705,high
19,19,dyn,control,disopyramide,176.2,201.0,221.0,279.3,103.10000000000002,78.30000000000001,58.30000000000001,183.8,283.4,344.6,213.1,424.4,139.9,0.0748100136117984,2.732469852734273,256.6414764574741,-87.9819908920063,38.465644071292,7.608801481214158e-05,0.0006530336248763,0.0005769456100641,2.6576598391224757,True,True,False,466.9630301821989,high
20,20,dyn,control,disopyramide,175.8,200.5,220.5,278.6,102.8,78.10000000000002,58.10000000000002,176.1,270.9,329.1,199.1,426.7,134.7,0.036227966325685,2.289910176994681,256.6887335969203,-87.98120242881308,38.515403276968776,7.656084000613315e-05,0.0006866758427046,0.0006101150026985,2.2536822106689964,True,True,False,465.7006324092521,high
21,21,dyn,control,disopyramide,176.3,201.2,221.2,279.5,103.2,78.30000000000001,58.30000000000001,185.3,286.1,346.8,151.9,266.8,130.5,0.0781480464904109,2.992492464402529,256.5963438492849,-87.97965978123662,38.45476494024921,7.724930635659177e-05,0.0006420509097191,0.0005648016033625,2.914344417912118,True,True,False,467.68170449508887,high
22,22,dyn,control,disopyramide,175.6,200.3,220.3,278.1,102.50000000000004,77.80000000000001,57.80000000000001,170.9,263.2,319.7,163.4,343.0,136.3,0.0330960213766044,2.646488332223501,256.7127385328658,-87.98052639147599,38.55131817615233,7.692615207869655e-05,0.0007110985222456,0.0006341723701669,2.6133923108468964,True,True,False,464.9416423129289,high
23,23,dyn,control,disopyramide,176.5,201.3,221.4,279.9,103.39999999999998,78.59999999999997,58.49999999999997,192.6,295.1,358.7,183.3,366.3,138.4,0.0630243862452873,2.732537226223229,256.5916789987004,-87.98148299485146,38.4131415824449,7.625081374713865e-05,0.0006204728102819,0.0005442219965348,2.669512839977941,True,True,False,468.08407791581897,high
24,24,dyn,control,disopyramide,175.6,200.3,220.3,278.1,102.50000000000004,77.80000000000001,57.80000000000001,167.8,262.2,319.0,195.1,362.2,130.7,0.1904256887355195,2.9527757127769703,256.70372824984474,-87.9802349091686,38.5850993276756,7.703841915005961e-05,0.0007194411645702,0.0006424027454202,2.7623500240414507,True,True,False,465.0800660018855,high
25,25,dyn,control,disopyramide,175.8,200.6,220.5,278.6,102.8,78.00000000000003,58.10000000000002,173.3,269.5,327.8,162.4,309.4,117.2,0.0470933472492947,2.670409980005505,256.6750140205082,-87.98015145969791,38.509359241982814,7.709453915235991e-05,0.0006945440588333,0.0006174495196809,2.6233166327562105,True,True,False,465.9048087087506,high
26,26,dyn,control,disopyramide,176.2,201.0,220.9,279.0,102.8,78.0,58.1,182.0,280.3,342.3,117.7,231.4,109.0,0.0135524663256005,2.1603584049429405,256.6020516052635,-87.9794286745571,38.44546536852762,7.738996115111222e-05,0.0006485598684862,0.0005711699073351,2.14680593861734,True,True,False,467.8297849868964,high
27,27,dyn,control,disopyramide,175.9,200.6,220.6,278.6,102.70000000000002,78.00000000000003,58.00000000000003,173.4,269.5,327.2,130.9,237.7,110.8,0.04417817058789,2.8972990304696395,256.66040165085855,-87.97975784832951,38.500465471945965,7.727969614917505e-05,0.0006907305702875,0.0006134508741383,2.853120859881749,True,True,False,466.29180800619713,high
28,28,dyn,control,disopyramide,176.1,200.8,220.8,278.9,102.79999999999998,78.09999999999997,58.099999999999966,177.8,275.9,335.5,147.6,277.3,117.0,0.0532561126315125,2.981394253390042,256.64233444976577,-87.97992214169388,38.4744949722211,7.71808443452689e-05,0.000673314113224,0.0005961332688787,2.9281381407585294,True,True,False,466.7063658212621,high
29,29,dyn,control,disopyramide,176.2,201.0,221.0,279.3,103.10000000000002,78.30000000000001,58.30000000000001,181.3,281.9,342.7,147.4,268.5,114.2,0.0522744271503808,2.7848827296578684,256.60704789034605,-87.97958439045168,38.46143139760145,7.729889296008929e-05,0.0006544602771453,0.0005771613841852,2.7326083025074874,True,True,False,467.5230087390128,high
30,30,dyn,control,disopyramide,176.0,200.7,220.7,278.9,102.89999999999998,78.19999999999999,58.19999999999999,177.7,275.0,334.3,158.5,300.8,130.1,0.058015011362559,2.8026232260227486,256.6505184613034,-87.98002362565335,38.50396411519379,7.711830151896456e-05,0.0006745899796343,0.0005974716781153,2.7446082146601896,True,True,False,466.43744510413865,high
31,31,dyn,control,disopyramide,175.7,200.4,220.4,278.4,102.7,77.99999999999997,57.99999999999997,171.4,266.4,323.9,173.7,324.0,137.2,0.0835079483596367,2.959873775265005,256.68832440143194,-87.98018049426469,38.558658749884,7.705814592925764e-05,0.0007033543140613,0.0006262961681321,2.876365826905369,True,True,False,465.4714715644251,high
32,32,dyn,control,disopyramide,176.3,201.0,221.0,279.2,102.89999999999998,78.19999999999999,58.19999999999999,183.2,282.0,342.3,127.6,247.7,111.2,0.0237867864922644,2.495581060085523,256.60823568841505,-87.97969388006985,38.4249563079262,7.728378660260372e-05,0.0006489766776164,0.0005716928910138,2.4717942735932583,True,True,False,467.6558656928006,high
33,33,dyn,control,disopyramide,175.5,200.2,220.2,277.9,102.39999999999998,77.69999999999999,57.69999999999999,168.2,261.0,318.0,129.1,270.6,112.8,0.0102767713484974,2.0257646677614587,256.7070941300919,-87.98001988039951,38.5661607354617,7.720599040502129e-05,0.0007165129735737,0.0006393069831687,2.015487896412961,True,True,False,465.15871208125617,high
34,34,dyn,control,disopyramide,176.4,201.3,221.3,279.7,103.29999999999998,78.39999999999998,58.39999999999998,185.5,288.9,351.1,186.3,326.8,121.2,0.2386564783320909,3.2060848562220605,256.5838130271819,-87.9798362367231,38.45498524610641,7.712277614526165e-05,0.0006387580644311,0.0005616352882858,2.967428377889969,True,True,False,467.9957117239653,high
35,35,dyn,control,disopyramide,175.7,200.4,220.4,278.2,102.5,77.79999999999998,57.79999999999998,170.3,264.6,321.9,142.1,269.6,121.9,0.0412108274249043,2.721891791166364,256.6911125280693,-87.97997680563996,38.54749756745695,7.7201719423995e-05,0.0007076345027439,0.0006304327833199,2.68068096374146,True,True,False,465.4633597169715,high
36,36,dyn,control,disopyramide,176.1,200.9,220.8,278.9,102.79999999999998,77.99999999999997,58.099999999999966,180.0,276.5,335.0,121.6,223.7,115.3,0.0275824269152473,2.4792478677850744,256.6285660220831,-87.97963897673512,38.45787234967029,7.731951253694708e-05,0.0006626959234964,0.0005853764109594,2.451665440869827,True,True,False,467.101225033289,high
37,37,dyn,control,disopyramide,176.7,201.5,221.5,280.1,103.40000000000003,78.60000000000002,58.60000000000002,193.1,297.0,360.6,158.4,298.8,126.2,0.0639719316183825,2.872789665805024,256.5606385101405,-87.97991546512482,38.397765566121,7.708266666643022e-05,0.0006145029637469,0.0005374202970805,2.8088177341866416,True,True,False,468.638441723826,high
38,38,dyn,control,disopyramide,175.7,200.4,220.4,278.4,102.7,77.99999999999997,57.99999999999997,172.4,266.1,323.0,211.5,421.4,151.1,0.1127897474738165,3.106940329596924,256.708955509208,-87.98149558468104,38.53747010976146,7.641605976409075e-05,0.0007051993143944,0.0006287832546303,2.994150582123108,True,True,False,465.1175483585564,high
39,39,dyn,control,disopyramide,176.2,200.9,221.0,279.2,103.0,78.29999999999998,58.19999999999999,184.3,282.5,343.1,152.0,305.6,128.7,0.0290583639437253,2.3740223880921447,256.6254708616154,-87.98014225281996,38.455325953736406,7.705620187990541e-05,0.0006493926488168,0.0005723364469369,2.3449640241484198,True,True,False,467.1256937377911,high
