,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,iso,control,disopyramide,180.7,205.7,225.0,283.3,102.60000000000002,77.60000000000002,58.30000000000001,235.7,387.7,480.4,126.1,259.1,152.4,0.0621302882142988,33.93863468043197,255.98183583417,-87.97528587778908,38.26276146307514,7.836822804625189e-05,0.0004692191605786,0.0003908509325323,33.87650439221767,False,False,False,470.0720368841654,high
1,1,iso,control,disopyramide,178.7,203.7,223.4,281.9,103.2,78.19999999999999,58.49999999999997,214.6,346.1,425.2,108.2,224.9,135.4,0.0237897073601149,18.243930485667104,256.1857450402966,-87.97716865089161,38.35112476771792,7.783950485634711e-05,0.0005257220189911,0.0004478825141348,18.220140778306988,True,True,False,467.392944394065,high
2,2,iso,control,disopyramide,180.0,205.1,224.5,282.9,102.89999999999998,77.79999999999998,58.39999999999998,228.1,374.3,463.2,150.0,293.8,210.2,0.1532510897426977,38.13192252088052,256.0421308545821,-87.97586018725966,38.29556724593875,7.821657756700216e-05,0.0004866167813373,0.0004084002037703,37.97867143113783,False,True,False,469.3489099845844,high
3,3,iso,control,disopyramide,179.7,204.7,224.3,282.7,103.0,78.0,58.39999999999998,227.5,369.8,456.1,117.0,238.3,173.3,0.0254081014082861,19.54237197228884,256.07480216464927,-87.97630871506873,38.29530856237963,7.808705304499441e-05,0.0004907508142473,0.0004126637612023,19.516963870880552,False,True,False,468.9874017943425,high
4,4,iso,control,disopyramide,179.4,204.4,224.0,282.5,103.1,78.1,58.5,225.7,364.2,447.9,133.8,252.4,189.1,0.0797882647239113,25.847093322221017,256.1096329407813,-87.97674165481767,38.29761929158649,7.795783457146398e-05,0.000497400140253,0.0004194423056816,25.767305057497104,False,True,False,468.5678014680168,high
5,5,iso,control,disopyramide,179.7,204.7,224.2,282.7,103.0,78.0,58.5,228.6,369.6,454.8,132.6,286.2,156.1,0.0335078422647777,17.22208587542869,256.0846959833313,-87.97653223234158,38.28617487522197,7.801716541258805e-05,0.0004900986654703,0.0004120815000577,17.18857803316391,False,True,False,468.9055952816326,high
6,6,iso,control,disopyramide,179.8,204.8,224.3,282.7,102.89999999999998,77.89999999999998,58.39999999999998,230.9,372.8,458.6,120.5,239.9,150.4,0.04668088260684,23.677346811389413,256.07406219075386,-87.97652327020602,38.27385210235801,7.801040931716033e-05,0.0004852810958527,0.0004072706865356,23.630665928782573,False,True,False,469.07217917398464,high
7,7,iso,control,disopyramide,179.1,204.1,223.8,282.3,103.20000000000002,78.20000000000002,58.5,221.1,357.1,439.1,136.7,282.5,157.9,0.1037600300357393,34.76237994045565,256.13813495596725,-87.97688126691817,38.3201052353516,7.792206627027821e-05,0.0005082880557397,0.0004303659894694,34.658619910419915,False,True,False,468.13398099626784,high
8,8,iso,control,disopyramide,181.6,206.5,225.8,283.8,102.20000000000002,77.30000000000001,58.0,250.2,410.4,508.0,160.0,317.4,180.3,0.1889152401330813,41.96551391105509,255.89260374202576,-87.97450864072391,38.20169222199872,7.857617467227725e-05,0.0004418491917635,0.0003632730170912,41.776598670922006,False,False,False,471.0657411479266,high
9,9,iso,control,disopyramide,182.1,207.0,226.2,284.1,102.00000000000004,77.10000000000002,57.900000000000034,254.1,419.3,520.1,152.2,315.0,142.2,0.2033084563574373,37.04879823101156,255.8431085007045,-87.97375214925047,38.1878776547028,7.881274863378282e-05,0.0004333002748157,0.0003544875261819,36.84548977465412,False,False,False,471.48325422317055,high
10,10,iso,control,disopyramide,182.8,207.7,226.8,284.5,101.7,76.80000000000001,57.69999999999999,262.9,435.5,541.0,161.7,322.4,159.7,0.3031474546805721,48.9295100283736,255.7630713171424,-87.97257678902189,38.15593389666183,7.918730043775161e-05,0.0004177281808556,0.0003385408804178,48.62636257369303,False,False,False,472.1152302525438,high
11,11,iso,control,disopyramide,186.2,210.9,229.5,286.4,100.2,75.49999999999997,56.89999999999998,296.4,502.5,627.5,160.9,331.8,165.5,0.097022850392789,32.534179990113095,255.34801556933135,-87.96379704629273,38.044333306277984,8.223518598639421e-05,0.000365358214705,0.0002831230287186,32.437157139720306,False,False,False,474.1014394440396,high
12,12,iso,control,disopyramide,181.6,206.5,225.8,283.9,102.29999999999998,77.39999999999998,58.099999999999966,251.7,411.7,509.2,137.2,275.7,161.2,0.070799796108074,29.56407730284265,255.89253152221744,-87.9746171201366,38.19503716591174,7.853783079277677e-05,0.0004399764007085,0.0003614385699158,29.493277506734582,False,False,False,471.0926245403781,high
13,13,iso,control,disopyramide,178.6,203.6,223.3,281.9,103.29999999999998,78.29999999999998,58.599999999999966,215.2,345.8,424.3,115.6,235.5,139.8,0.0626980068455605,29.84798760789879,256.19258555463267,-87.97730394229457,38.34388713338536,7.779420755647356e-05,0.0005254838212445,0.000447689613688,29.78528960105323,True,True,False,467.3187914968407,high
14,14,iso,control,disopyramide,182.4,207.2,226.4,284.3,101.9,77.10000000000002,57.900000000000006,258.7,426.4,528.7,164.6,330.3,179.8,0.263038037479258,37.52314583839925,255.8149726676893,-87.97345675133128,38.170610933206746,7.890139290538765e-05,0.000425893100058,0.0003469917071526,37.26010780092,False,False,False,471.7389046671015,high
15,15,iso,control,disopyramide,180.2,205.2,224.6,283.0,102.8,77.80000000000001,58.400000000000006,233.8,380.0,468.7,170.1,344.6,182.5,0.5983900242889488,42.98139298715829,256.0335081787823,-87.97602423226417,38.266726320476366,7.815031521439547e-05,0.000476849018342,0.0003986987031276,42.38300296286935,False,True,False,469.5419031478908,high
16,16,iso,control,disopyramide,178.5,203.5,223.2,281.8,103.3,78.30000000000001,58.60000000000002,211.8,341.9,420.1,117.7,227.4,151.1,0.0699620256401939,27.68536804221051,256.20275692474104,-87.97724742902358,38.36534951586752,7.781904631273493e-05,0.0005330149497163,0.0004551959034036,27.615406016570315,True,True,False,467.10793240779697,high
17,17,iso,control,disopyramide,184.6,209.4,228.2,285.5,100.9,76.1,57.30000000000001,281.8,471.9,587.8,198.2,416.3,182.8,0.5280624029326395,31.61992680953137,255.56352237155147,-87.96891011019872,38.092507455890896,8.04299333146334e-05,0.0003872948381083,0.0003068649047936,31.09186440659873,False,False,False,473.28485214587465,high
18,18,iso,control,disopyramide,180.9,205.9,225.3,283.4,102.49999999999996,77.49999999999997,58.099999999999966,241.3,395.1,488.7,133.4,261.6,154.3,0.0921553580335864,34.145639993161645,255.95891883131597,-87.97519658458953,38.23771887723334,7.838118460238269e-05,0.0004591165704927,0.0003807353858904,34.05348463512806,False,False,False,470.3749059683365,high
19,19,iso,control,disopyramide,180.0,204.9,224.5,282.8,102.8,77.9,58.30000000000001,230.9,375.0,462.3,160.9,345.7,176.7,0.1158851989355318,25.545627144856404,256.0554692727356,-87.97621095680333,38.27862220162952,7.810396309909979e-05,0.0004833054880954,0.0004052015249963,25.42974194592087,False,True,False,469.2630661530221,high
20,20,iso,control,disopyramide,178.0,203.1,222.8,281.4,103.39999999999998,78.29999999999998,58.599999999999966,207.2,332.6,407.7,142.9,326.2,164.4,0.0487338493355074,14.931996509480223,256.25044680076934,-87.97762644561894,38.38279874539462,7.770556581712625e-05,0.000548494287907,0.0004707887220899,14.883262660144718,True,True,False,466.3372500497238,high
