,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,dyn,control,dofetilide,168.6,191.7,210.0,264.6,96.00000000000004,72.90000000000003,54.60000000000002,182.5,281.9,343.8,155.4,299.3,118.3,0.0507322008659136,2.8113795425174675,256.8027279962537,-87.98053597555952,38.71291682474169,7.673184778846074e-05,0.0006332838107822,0.0005565519629937,2.760647341651554,True,True,False,480.60842771000927,high
1,1,dyn,control,dofetilide,168.3,191.3,209.7,264.0,95.7,72.69999999999999,54.30000000000001,174.9,269.6,328.2,134.2,262.4,110.2,0.0218118689256833,2.334061110678645,256.8537954881263,-87.98057105218336,38.74026447042374,7.680200652622252e-05,0.000666018153484,0.0005892161469577,2.3122492417529616,True,True,False,479.40421033393216,high
2,2,dyn,control,dofetilide,168.6,191.6,210.0,264.7,96.1,73.1,54.69999999999999,185.9,282.9,343.5,185.5,355.7,162.0,0.1073315600112125,3.024132943197987,256.8202940203675,-87.98164783014622,38.73891880528423,7.60596748134316e-05,0.0006278417833172,0.0005517821085038,2.9168013831867747,True,True,False,480.1181013955385,high
3,3,dyn,control,dofetilide,168.6,191.6,210.0,264.7,96.1,73.1,54.69999999999999,186.7,282.7,343.5,139.7,288.3,132.9,0.0220211410071527,2.3108979808306915,256.8125981052878,-87.9807878209254,38.711173180016885,7.666120142138164e-05,0.0006237499239559,0.0005470887225345,2.288876839823539,True,True,False,480.3896764267992,high
4,4,dyn,control,dofetilide,168.5,191.5,209.9,264.5,96.0,73.0,54.6,183.0,277.2,335.2,150.6,277.9,146.8,0.0657497731028148,2.7014254189958464,256.840800362111,-87.9809339658916,38.71908196977031,7.661724621463093e-05,0.0006422628188125,0.0005656455725978,2.6356756458930315,True,True,False,479.5718639563565,high
5,5,dyn,control,dofetilide,168.6,191.6,210.0,264.6,96.00000000000004,73.00000000000003,54.60000000000002,183.6,281.1,342.2,167.0,347.6,122.5,0.0278215709787064,2.2465499883622115,256.823971068937,-87.98119783250894,38.70467458466511,7.641242876961176e-05,0.0006339458554076,0.000557533426638,2.218728417383505,True,True,False,480.2327612012432,high
6,6,dyn,control,dofetilide,168.5,191.5,209.9,264.4,95.89999999999998,72.89999999999998,54.49999999999997,180.8,276.6,335.4,138.9,262.6,118.6,0.0404338901807819,2.5904415786805,256.8320373574298,-87.98071753821758,38.70128635417542,7.673035802399491e-05,0.0006453728337317,0.0005686424757077,2.550007688499718,True,True,False,479.9306964214512,high
7,7,dyn,control,dofetilide,168.3,191.3,209.7,264.2,95.89999999999998,72.89999999999998,54.5,175.4,270.8,329.5,179.3,341.0,126.8,0.0835638522441864,2.987914988862853,256.8611665183178,-87.9810573233212,38.74529840227448,7.648360729338623e-05,0.0006676043362782,0.0005911207289848,2.9043511366186663,True,True,False,479.1313356320472,high
8,8,dyn,control,dofetilide,168.7,191.8,210.2,264.9,96.2,73.09999999999997,54.69999999999999,187.7,287.4,348.8,182.5,331.1,138.6,0.1221671991685763,3.119880340421213,256.79844391669656,-87.9811480378668,38.692056459690725,7.635589108623569e-05,0.0006203508750921,0.0005439949840059,2.9977131412526368,True,True,False,480.6967297722773,high
9,9,dyn,control,dofetilide,168.8,191.8,210.2,264.9,96.09999999999997,73.09999999999997,54.69999999999999,184.7,286.7,349.4,170.7,309.1,111.9,0.1139962864239871,2.9953875342207104,256.77948317934954,-87.98048134275919,38.696084903930426,7.672385095514714e-05,0.0006236744767159,0.0005469506257607,2.8813912477967234,True,True,False,481.1179085111914,high
10,10,dyn,control,dofetilide,168.9,191.9,210.3,265.0,96.1,73.1,54.69999999999999,188.0,289.9,352.1,169.9,297.8,122.7,0.141386621224982,3.2390103962820027,256.7715777549814,-87.98055727393917,38.68605652314623,7.668621883096842e-05,0.000614596720161,0.0005379105013301,3.097623775057021,True,True,False,481.2630480676162,high
11,11,dyn,control,dofetilide,169.4,192.5,210.8,265.7,96.29999999999998,73.19999999999999,54.89999999999998,203.1,310.5,374.8,156.9,292.8,118.4,0.0596960328110822,2.601852634054221,256.691674955759,-87.98041467937503,38.62844663151521,7.67309229030598e-05,0.000563755556532,0.000487024633629,2.5421566012431387,True,True,False,483.20619127548673,high
12,12,dyn,control,dofetilide,168.8,191.8,210.2,264.9,96.09999999999997,73.09999999999997,54.69999999999999,188.5,288.1,349.6,154.2,292.1,122.6,0.0560083840891281,2.7127550303296144,256.79005649045723,-87.98082944251942,38.67221391953773,7.66226143735539e-05,0.0006159614807059,0.0005393388663323,2.656746646240486,True,True,False,480.9740792239223,high
13,13,dyn,control,dofetilide,168.2,191.2,209.6,263.9,95.7,72.69999999999999,54.29999999999998,171.6,265.4,323.0,146.5,272.7,113.5,0.0544953491886168,2.845942026036136,256.8757561351465,-87.98070815314804,38.75191420149655,7.674802557025778e-05,0.0006829795834949,0.0006062315579246,2.791446676847519,True,True,False,478.7629998078507,high
14,14,dyn,control,dofetilide,168.9,191.9,210.3,265.1,96.20000000000002,73.20000000000002,54.80000000000001,191.1,292.1,354.3,179.4,323.1,137.2,0.1308676403446051,3.0131903635676487,256.7771903326416,-87.98097793316538,38.67955676733037,7.646279558686378e-05,0.0006074055381643,0.0005309427425774,2.8823227232230435,True,True,False,481.183101620446,high
15,15,dyn,control,dofetilide,168.5,191.5,209.9,264.5,96.0,73.0,54.6,180.3,277.8,337.7,207.9,374.8,145.0,0.2620131749290109,3.228747912765652,256.82826043498767,-87.98103873056245,38.74609836706118,7.639127004740106e-05,0.0006458031204972,0.0005694118504498,2.966734737836641,True,True,False,479.83309046913456,high
16,16,dyn,control,dofetilide,168.2,191.2,209.6,263.9,95.7,72.69999999999999,54.29999999999998,172.4,265.6,322.6,139.1,245.7,123.3,0.0604760007884443,2.832650831460222,256.8734205358635,-87.9805978301579,38.764964409398885,7.679852620221836e-05,0.0006799348899448,0.0006031363637426,2.7721748306717777,True,True,False,478.7510309475903,high
17,17,dyn,control,dofetilide,169.2,192.3,210.7,265.6,96.40000000000003,73.30000000000001,54.900000000000034,200.2,306.9,373.6,210.1,388.8,136.6,0.1759065033003967,2.7955081707454794,256.72892397666845,-87.98244176628667,38.652934430902086,7.553821179997038e-05,0.0005756867105655,0.0005001484987655,2.6196016674450826,True,True,False,482.4631866277013,high
18,18,dyn,control,dofetilide,168.6,191.7,210.1,264.7,96.1,73.0,54.6,183.2,281.4,341.3,146.8,258.7,121.1,0.0736238297264708,2.9290091766155832,256.80343971227154,-87.9804329048368,38.70220958310859,7.68165628031162e-05,0.0006333964721833,0.0005565799093802,2.8553853468891126,True,True,False,480.51492868023286,high
