,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,iso,control,dofetilide,172.5,195.8,213.6,267.8,95.30000000000001,72.0,54.20000000000002,234.9,385.5,477.9,124.8,256.8,151.7,0.06108004928893477,31.79260332662487,256.19390199969075,-87.97629417827545,38.53304224388437,7.787451498981271e-05,0.000458078152040168,0.0003802036370503553,31.731523277335935,False,False,False,482.8670723717099
1,iso,control,dofetilide,170.7,194.0,212.1,266.7,96.0,72.69999999999999,54.599999999999994,214.0,343.8,422.7,107.5,223.2,134.7,0.02341398205357945,16.923235814242382,256.3924538037103,-87.97808552022491,38.61110318141674,7.736550401363884e-05,0.000512976922624805,0.0004356114186111661,16.899821832188803,True,True,False,480.2668265944485
2,iso,control,dofetilide,172.0,195.3,213.2,267.5,95.5,72.19999999999999,54.30000000000001,227.4,372.0,460.6,147.5,290.7,209.0,0.15047065785227556,36.348451193177596,256.25264438044485,-87.97683875657702,38.56190851939017,7.772980502166124e-05,0.0004750299395767114,0.0003973001345550501,36.19798053532532,False,True,False,482.16615384718335
3,iso,control,dofetilide,171.7,195.0,212.9,267.3,95.60000000000002,72.30000000000001,54.400000000000006,226.8,367.5,453.6,115.5,236.5,171.8,0.02486978961394715,18.09609097184418,256.2843819318706,-87.97727405352867,38.562615634832575,7.760284068091877e-05,0.00047897261673672455,0.00040136977605580577,18.071221182230232,False,True,False,481.8165480280993
4,iso,control,dofetilide,171.4,194.7,212.7,267.2,95.79999999999998,72.5,54.5,225.1,361.9,445.3,131.6,249.4,187.9,0.07861866118046881,24.524546324070936,256.3182367762911,-87.97769385120216,38.565389997863164,7.747582583264942e-05,0.0004853919120685198,0.00040791608623587036,24.44592766289047,False,True,False,481.4094845876099
5,iso,control,dofetilide,171.6,194.9,212.9,267.3,95.70000000000002,72.4,54.400000000000006,227.9,367.3,452.3,131.4,284.4,155.3,0.03278641445431501,16.06170459211039,256.293944080555,-87.97749482710114,38.555448822159015,7.753309872362681e-05,0.0004782924837186026,0.0004007593849949758,16.028918177656077,False,True,False,481.73683330956504
6,iso,control,dofetilide,171.7,195.0,212.9,267.4,95.69999999999999,72.39999999999998,54.49999999999997,230.3,370.5,456.0,119.0,237.3,149.6,0.04595357427954986,22.325180402004495,256.283562953587,-87.9774915347261,38.54529680684643,7.752487033549203e-05,0.0004735851061506326,0.0003960602358151406,22.279226827724944,False,True,False,481.8973587166254
7,iso,control,dofetilide,171.1,194.4,212.4,267.0,95.9,72.6,54.599999999999994,220.5,354.8,436.5,135.2,280.2,157.2,0.10234639506647387,33.050200894568825,256.3460261740576,-87.97782113260573,38.58447858357922,7.744313795144338e-05,0.0004960051565916301,0.00041856201864018665,32.94785449950235,False,True,False,480.9882294529769
8,iso,control,dofetilide,173.4,196.7,214.3,268.4,94.99999999999997,71.69999999999999,54.099999999999966,249.4,408.2,505.5,157.3,313.9,179.7,0.18343546474156633,40.308231934622526,256.1069892997162,-87.97556893752784,38.48121694308337,7.806885148646939e-05,0.00043134579881672064,0.00035327694733025127,40.12479646988096,False,False,False,483.82272611393853
9,iso,control,dofetilide,173.8,197.1,214.7,268.6,94.80000000000001,71.50000000000003,53.900000000000034,253.3,417.1,517.7,150.3,311.7,142.0,0.1980152584413878,35.41019149072586,256.05884979186976,-87.97484314750955,38.46787374716931,7.829760820613692e-05,0.0004230436013069203,0.0003447459931007834,35.21217623228447,False,False,False,484.2277052552572
10,iso,control,dofetilide,174.5,197.8,215.3,269.0,94.5,71.19999999999999,53.69999999999999,262.0,433.4,538.7,158.9,318.3,159.3,0.2946153938569352,47.106575366223986,255.9809936697363,-87.97372522880046,38.43965541191177,7.865664638218026e-05,0.000407868374072074,0.00032921172768989374,46.81195997236705,False,False,False,484.83587868508346
11,iso,control,dofetilide,177.6,200.8,217.9,270.8,93.20000000000002,70.0,52.900000000000006,295.8,501.1,625.8,158.5,328.2,165.2,0.09454712533703755,30.758284846477707,255.57789134302212,-87.96533793342779,38.337372865338615,8.159294508448576e-05,0.000356813128030868,0.0002752201829463823,30.66373772114067,False,False,False,486.76474450435444
12,iso,control,dofetilide,173.4,196.7,214.4,268.4,94.99999999999997,71.69999999999999,53.99999999999997,250.9,409.6,506.7,135.3,272.7,160.5,0.0695980558530487,27.953075684778117,256.10688495452035,-87.97567871468422,38.476598106172354,7.802993873002189e-05,0.0004294986936509344,0.0003514687549209125,27.883477628925068,False,False,False,483.84531407555266
13,iso,control,dofetilide,170.7,193.9,212.0,266.6,95.90000000000003,72.70000000000002,54.60000000000002,214.7,343.5,421.7,114.5,233.3,139.1,0.06187264952222401,28.177996662971722,256.3990434258699,-87.97821820869493,38.60500303073943,7.732036133969834e-05,0.0005127125560531772,0.0004353921947134788,28.116124013449497,True,True,False,480.19531709616456
14,iso,control,dofetilide,174.1,197.3,214.9,268.8,94.70000000000002,71.5,53.900000000000006,257.8,424.3,526.3,162.0,326.8,179.2,0.25576165313269117,36.04896300895374,256.0314549671054,-87.97456810913431,38.45380251070296,7.838063563266272e-05,0.00041580537471147956,0.0003374247390788168,35.79320135582105,False,False,False,484.47079504960476
15,iso,control,dofetilide,172.1,195.4,213.3,267.6,95.50000000000003,72.20000000000002,54.30000000000001,233.0,377.7,466.1,167.6,341.3,182.0,0.5855514316257612,41.528265571099794,256.2441302203845,-87.97700906999198,38.538154801190196,7.766145200163851e-05,0.00046541871681600775,0.00038775726481436924,40.942714139474035,False,True,False,482.35250922131985
16,iso,control,dofetilide,170.6,193.8,211.9,266.5,95.9,72.69999999999999,54.599999999999994,211.3,339.6,417.6,116.2,224.8,150.3,0.06907833723927456,26.29610067424405,256.40904297091674,-87.97815441925759,38.623282952570996,7.734694970110658e-05,0.0005200841907479409,0.0004427372410468343,26.227022337004776,True,True,False,479.98788321864873
17,iso,control,dofetilide,176.1,199.3,216.7,270.0,93.9,70.69999999999999,53.30000000000001,281.0,470.1,585.7,195.5,412.8,182.7,0.511356610758235,30.393945080405945,255.78715198500993,-87.97023190800805,38.38340115133176,7.985025171039525e-05,0.0003781967165504587,0.0002983464648400635,29.88258846964771,False,False,False,485.9624460865041
18,iso,control,dofetilide,172.8,196.1,213.8,268.0,95.19999999999999,71.9,54.19999999999999,240.5,392.9,486.2,131.4,258.3,153.7,0.09085474859290812,32.485124085800955,256.17152859234585,-87.97621806827621,38.51211230259588,7.788379938724363e-05,0.0004481815356789226,0.00037029773629167895,32.394269337208044,False,False,False,483.15828962446824
19,iso,control,dofetilide,171.9,195.2,213.1,267.5,95.6,72.30000000000001,54.400000000000006,230.2,372.7,459.8,159.2,343.6,176.1,0.11199364158402783,24.238592109576583,256.2655187713063,-87.97718561653981,38.54845197714627,7.761744014203768e-05,0.00047170470488675106,0.00039408726474471334,24.126598467992554,False,True,False,482.0830412634624
20,iso,control,dofetilide,170.2,193.4,211.6,266.3,96.10000000000002,72.9,54.70000000000002,206.8,330.3,405.2,141.8,324.9,163.5,0.047201535659061065,13.988548806855489,256.45546953208793,-87.97850814178005,38.638146731778306,7.72379081680746e-05,0.00053510442644384,0.0004578665182757654,13.941347271196427,True,True,False,479.236018908506
21,iso,control,dofetilide,172.9,196.2,214.0,268.1,95.20000000000002,71.90000000000003,54.10000000000002,240.0,394.8,490.0,134.8,260.4,166.3,0.09791666982828492,33.231541708258064,256.1514816053783,-87.9758378093644,38.51427481239012,7.800450969189242e-05,0.0004473201388341299,0.0003693156291422375,33.13362503842978,False,False,False,483.3217508073159
22,iso,control,dofetilide,169.7,193.0,211.2,265.9,96.19999999999999,72.89999999999998,54.69999999999999,199.0,317.7,389.5,112.9,249.8,166.8,0.036920985332195434,21.52642500320259,256.50906825478165,-87.97874495880785,38.67394334326496,7.717577576126248e-05,0.000559144973778284,0.00048196919801702157,21.489504017870395,True,True,False,478.2415728720223
23,iso,control,dofetilide,173.5,196.8,214.5,268.4,94.89999999999998,71.59999999999997,53.89999999999998,250.4,410.8,509.1,149.2,309.8,183.0,0.08626571977692361,27.258233651800712,256.09233131875226,-87.97534380271902,38.47763095824063,7.813960643346579e-05,0.000428938041177618,0.0003507984347441522,27.171967932023787,False,False,False,483.94803172071147
24,iso,control,dofetilide,170.0,193.3,211.4,266.1,96.10000000000002,72.80000000000001,54.70000000000002,203.8,325.8,399.8,145.2,303.2,154.9,0.2960653422105343,26.492909229126386,256.472739898304,-87.97855863113236,38.65293167946774,7.72270013676043e-05,0.0005435596684020326,0.0004663326670344283,26.19684388691585,True,True,False,478.91268561301996
25,iso,control,dofetilide,170.7,193.9,212.0,266.6,95.90000000000003,72.70000000000002,54.60000000000002,214.4,343.2,421.4,124.7,259.6,142.0,0.05214115105760219,21.439359513534146,256.3997329222994,-87.97821166247311,38.606398231416634,7.732292035317834e-05,0.0005132404561575757,0.00043591753580439734,21.387218362476546,True,True,False,480.1805493455173
26,iso,control,dofetilide,171.8,195.1,213.0,267.4,95.59999999999997,72.29999999999998,54.39999999999998,228.2,370.0,456.7,101.0,206.0,136.6,0.014261403578658294,13.759905049342047,256.27371028772416,-87.97718817830086,38.55743286254342,7.762366225787904e-05,0.0004757465062116078,0.0003981228439537288,13.745643645763389,False,True,False,481.95680653199963
27,iso,control,dofetilide,171.1,194.4,212.4,266.9,95.79999999999998,72.49999999999997,54.49999999999997,219.2,352.9,434.4,106.9,211.1,136.1,0.049252507117629574,28.911328284203908,256.35210084661907,-87.97782605289913,38.59085047764022,7.744389536859182e-05,0.0004990192765579088,0.00042157538118931697,28.86207577708628,False,True,False,480.88613044283125
28,iso,control,dofetilide,171.7,195.0,213.0,267.4,95.69999999999999,72.39999999999998,54.39999999999998,228.3,369.2,455.2,116.8,234.5,147.2,0.06192622065127725,34.29487115163381,256.2814564097694,-87.97732047378844,38.55549449095022,7.758368263246894e-05,0.00047627392629076397,0.00039869024365829503,34.232944930982526,False,True,False,481.8785754316974
29,iso,control,dofetilide,172.4,195.8,213.6,267.8,95.4,72.0,54.20000000000002,235.4,384.7,476.2,124.8,253.7,142.1,0.060325186610215374,26.151873926426443,256.2035991279315,-87.97647459339315,38.531163051619394,7.781793972698003e-05,0.00045819622794552987,0.00038037828821854984,26.09154873981623,False,False,False,482.7843118651453
30,iso,control,dofetilide,171.2,194.5,212.5,267.0,95.80000000000001,72.5,54.5,219.0,354.3,436.9,125.6,253.6,161.2,0.06676907276206345,25.4226708828285,256.3395004216412,-87.97764122287306,38.59418150579214,7.750496348937832e-05,0.000497915009432988,0.0004204100459436096,25.355901810066435,False,True,False,481.0352594557718
31,iso,control,dofetilide,170.3,193.6,211.7,266.3,96.0,72.70000000000002,54.60000000000002,205.6,331.4,407.9,130.9,264.8,165.5,0.09808293672168845,28.102488931363375,256.4390628636439,-87.97824053901442,38.65067559038946,7.732770274637243e-05,0.0005353323260593659,0.0004580046233129935,28.004405994641687,True,True,False,479.44995912735516
32,iso,control,dofetilide,172.3,195.6,213.4,267.7,95.39999999999998,72.1,54.29999999999998,237.1,384.0,473.8,108.3,219.6,141.4,0.026058398030815874,20.88894648293467,256.2205732057772,-87.97687588941719,38.52257962829803,7.768870991402312e-05,0.00045733150050547664,0.00037964279059145354,20.862888084903854,False,False,False,482.6566055302238
33,iso,control,dofetilide,169.4,192.6,210.9,265.6,96.20000000000002,73.00000000000003,54.70000000000002,193.1,308.6,378.3,98.0,214.9,134.0,0.010505217234824284,10.29262361446572,256.5472060379711,-87.97889044945292,38.702770299911705,7.714147999177358e-05,0.0005783603255083182,0.0005012188455165446,10.282118397230896,True,True,False,477.4853892799595
34,iso,control,dofetilide,173.9,197.2,214.8,268.7,94.79999999999998,71.5,53.89999999999998,256.0,420.4,521.3,168.6,345.9,152.0,0.5586936670875315,40.04339557485021,256.05061013037243,-87.97485250641593,38.459905432156624,7.828972311535607e-05,0.0004192935996451656,0.00034100387652980955,39.48470190776268,False,False,False,484.3191609742271
35,iso,control,dofetilide,170.1,193.4,211.6,266.2,96.1,72.79999999999998,54.599999999999994,204.4,328.2,403.4,110.2,221.6,147.7,0.04493766467725749,22.549672250175355,256.45711896037466,-87.9783947488805,38.65423199852701,7.727947327337668e-05,0.0005402389466687901,0.0004629594733954134,22.5047345854981,True,True,False,479.15846382454066
36,iso,control,dofetilide,171.6,194.9,212.8,267.3,95.70000000000002,72.4,54.5,226.9,366.1,451.0,107.5,209.1,144.2,0.029829578177584935,18.52014914868905,256.2967808048534,-87.97747150083771,38.560246028071596,7.754365566041446e-05,0.00048017340338443146,0.000402629747724017,18.490319570511467,False,True,False,481.68479826697694
37,iso,control,dofetilide,174.6,197.9,215.4,269.1,94.50000000000003,71.20000000000002,53.70000000000002,262.4,435.2,541.3,140.1,281.2,169.0,0.0854265815655972,34.18795674105476,255.96819977265892,-87.97346326098076,38.43746430993256,7.874455608526326e-05,0.00040661213457945727,0.000327867578494194,34.10253015948916,False,False,False,484.91693194743675
38,iso,control,dofetilide,170.2,193.5,211.6,266.3,96.10000000000002,72.80000000000001,54.70000000000002,208.2,331.9,406.9,142.2,305.3,186.1,0.15200860148080741,34.84062198147214,256.45118780442345,-87.97853893488946,38.6296702109098,7.722518392967591e-05,0.0005317846655499654,0.0004545594816202895,34.68861337999133,True,True,False,479.3311395638882
39,iso,control,dofetilide,171.6,194.9,212.8,267.3,95.70000000000002,72.4,54.5,226.6,366.1,451.2,122.6,255.0,162.3,0.032241909864384896,16.974615449132084,256.2948287606108,-87.977425530782,38.56184331550209,7.755856967502822e-05,0.00048033713505370336,0.00040277856537867515,16.9423735392677,False,True,False,481.700755440283
40,iso,control,dofetilide,171.5,194.8,212.7,267.2,95.69999999999999,72.39999999999998,54.5,225.9,363.7,447.8,118.4,232.2,142.5,0.07055207468070057,28.958741715985617,256.3089655874977,-87.97759907560676,38.56315770201553,7.750492520676833e-05,0.00048309760096290963,0.0004055926757561413,28.888189641304916,False,True,False,481.5299345440272
41,iso,control,dofetilide,169.9,193.2,211.4,266.1,96.20000000000002,72.90000000000003,54.70000000000002,203.9,324.3,397.1,90.9,192.3,110.7,0.008011871449802239,7.7557781916516975,256.4860407203854,-87.97874270687356,38.64615588820283,7.716647429189975e-05,0.000545405179587136,0.0004682387052952362,7.747766320201896,True,True,False,478.71561248419766
