,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,iso,gomez,dofetilide,207.6,244.7,272.2,348.5,140.9,103.80000000000001,76.30000000000001,471.5,691.3,810.4,187.2,434.4,284.8,0.4723691559488517,8.510015339286001,240.18537292988944,-87.7319560718556,40.24245379875064,0.00010032248912671804,0.00019692310698364335,9.660061785692531e-05,8.037646183337149,False,False,False,70.68683793938104
1,iso,gomez,dofetilide,205.9,243.3,271.6,349.4,143.49999999999997,106.09999999999997,77.79999999999995,440.6,642.8,763.4,161.2,364.1,265.0,0.10808632966735415,3.222631381487819,240.9240109124619,-87.75945573591012,40.302313749065355,9.618355519175822e-05,0.00021011579800723324,0.00011393224281547502,3.114545051820465,False,False,False,68.60431267832949
2,iso,gomez,dofetilide,207.1,244.3,272.0,348.7,141.6,104.39999999999998,76.69999999999999,462.1,677.7,797.9,211.8,453.6,328.7,1.167359743591575,15.57539900745846,240.41950107535223,-87.74065660628051,40.257281888247725,9.902499418678641e-05,0.0002006468795322075,0.00010162188534542109,14.408039263866884,False,False,False,70.2676636262854
3,iso,gomez,dofetilide,207.0,244.2,272.0,348.9,141.89999999999998,104.69999999999999,76.89999999999998,459.5,672.5,792.7,159.7,348.1,291.2,0.17622570237725607,3.6164664672493783,240.52863306333015,-87.7448531497044,40.27044908046161,9.840568677858804e-05,0.00020202665040229334,0.0001036209636237053,3.4402407648721223,False,False,False,69.67956526077546
4,iso,gomez,dofetilide,206.8,244.0,272.0,349.1,142.3,105.10000000000002,77.10000000000002,456.1,666.1,786.3,190.1,418.3,304.3,0.5402861096184746,9.26920529563835,240.64607317408584,-87.74934028915105,40.28523348829235,9.773811688413012e-05,0.00020371215131081887,0.00010597403442668875,8.728919186019876,False,False,False,69.0783644585118
5,iso,gomez,dofetilide,207.0,244.2,272.0,349.0,142.0,104.80000000000001,77.0,460.2,672.3,792.3,192.2,435.0,290.2,0.192185285611809,3.983533932831569,240.5536123020687,-87.74590058481198,40.27800813351013,9.825730893133753e-05,0.00020203680464377343,0.0001037794957124359,3.7913486472197597,False,False,False,69.31855867174049
6,iso,gomez,dofetilide,207.2,244.4,272.1,348.9,141.7,104.49999999999997,76.79999999999995,463.1,676.1,795.8,177.1,411.2,276.8,0.2977584491072718,6.2263653973125095,240.50604090437966,-87.74419465286903,40.278215512451126,9.851924439222195e-05,0.0002009719213270767,0.00010245267693485476,5.928606948205237,False,False,False,69.25965793139355
7,iso,gomez,dofetilide,206.5,243.8,271.8,349.2,142.7,105.39999999999998,77.39999999999998,450.0,657.2,777.7,198.1,449.3,284.8,0.912083956317424,11.783968018561543,240.75561537030308,-87.75332352157008,40.290376195670476,9.712739171503731e-05,0.00020614827867112005,0.00010902088695608274,10.871884062244119,False,False,False,68.96640028225248
8,iso,gomez,dofetilide,208.5,245.4,272.6,348.3,139.8,102.9,75.69999999999999,487.2,711.5,827.9,230.0,505.2,308.0,2.662805172291036,19.443389615605177,239.80759637019878,-87.71804626243028,40.22929063645598,0.0001023809024356807,0.00019132110882890926,8.894020639322856e-05,16.78058444331414,False,False,False,70.83365693998606
9,iso,gomez,dofetilide,208.7,245.6,272.7,348.1,139.40000000000003,102.50000000000003,75.40000000000003,491.7,718.1,833.7,224.6,517.5,281.4,2.295612408389904,15.135052673503544,239.6281841052716,-87.7113044572943,40.21564393162643,0.00010335459401645735,0.00018945255279482036,8.609795877836302e-05,12.839440265113641,False,False,False,71.3097640746625
10,iso,gomez,dofetilide,209.2,246.0,272.9,347.9,138.7,101.89999999999998,75.0,500.4,729.4,843.0,234.7,527.9,291.9,3.9503603519029595,23.35380128015412,239.32469622382288,-87.70005301211476,40.20096167797462,0.00010497418948793438,0.00018620603999989612,8.123185051196174e-05,19.40344092825116,False,False,False,71.71625769699135
