,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,dyn,control,domperidone,183.2,210.2,231.9,293.7,110.5,83.5,61.79999999999998,182.2,285.4,347.6,159.8,305.4,119.7,0.0519680609913661,2.930426099190633,256.4537042404968,-87.97859700815926,38.75482043463935,7.755264640235737e-05,0.0006648672430342,0.0005873145966318,2.8784580381992666,True,True,False,427.2312847047274,intermediate
1,1,dyn,control,domperidone,182.8,209.7,231.4,292.8,110.0,83.10000000000002,61.400000000000006,174.6,272.8,331.9,137.5,267.4,111.3,0.0223883279650404,2.4641603023821776,256.5057240470526,-87.97865307369916,38.79148973258464,7.762083412052155e-05,0.0006998975366004,0.0006222767024798,2.4417719744171373,True,True,False,426.17856650416775,intermediate
2,2,dyn,control,domperidone,183.2,210.1,231.9,293.7,110.5,83.6,61.79999999999998,185.7,286.6,347.5,191.1,362.7,164.2,0.1095415123837564,3.112715796459208,256.4731112262453,-87.97999248662009,38.77670212748728,7.6810958415385e-05,0.0006586371277761,0.0005818261693607,3.003174284075452,True,True,False,426.6985040618613,intermediate
3,3,dyn,control,domperidone,183.2,210.1,231.9,293.6,110.40000000000003,83.50000000000003,61.70000000000002,186.4,286.0,347.1,143.7,294.0,135.0,0.0227362582832976,2.445170058092139,256.466935853145,-87.97888425753763,38.73995950583686,7.747318703721213e-05,0.0006555480451058,0.0005780748580686,2.4224337998088417,True,True,False,426.9023454579735,intermediate
4,4,dyn,control,domperidone,183.0,209.9,231.7,293.4,110.39999999999998,83.49999999999997,61.69999999999999,182.9,280.9,339.3,155.0,283.4,148.9,0.0671863471765278,2.797079102377803,256.4941839784871,-87.97903451812697,38.759924548473,7.743431280144657e-05,0.0006737657932124,0.0005963314804109,2.7298927552012757,True,True,False,426.1956107052123,intermediate
5,5,dyn,control,domperidone,183.1,210.0,231.8,293.5,110.4,83.5,61.69999999999999,183.3,284.4,345.8,171.1,354.2,123.9,0.0285778621568046,2.370163068864202,256.4776997416444,-87.97939390574336,38.73987940015713,7.71920869750079e-05,0.0006660313761173,0.0005888392891423,2.3415852067073977,True,True,False,426.7925594657119,intermediate
6,6,dyn,control,domperidone,183.1,209.9,231.7,293.3,110.20000000000002,83.4,61.60000000000002,180.7,280.1,339.5,142.7,267.8,120.1,0.0414231425411513,2.700875376488735,256.48428805190446,-87.97877193159059,38.74361813013165,7.755797329911501e-05,0.0006773328174243,0.0005997748441252,2.659452233947584,True,True,False,426.60744107500005,intermediate
7,7,dyn,control,domperidone,182.8,209.7,231.5,293.0,110.2,83.30000000000001,61.5,175.3,274.4,333.6,184.3,347.4,128.1,0.0851334382769722,3.079120483701869,256.51277692078423,-87.97924959588858,38.80551679892612,7.727139890289678e-05,0.0007002461271573,0.0006229747282544,2.9939870454248965,True,True,False,425.9120415215708,intermediate
8,8,dyn,control,domperidone,183.4,210.3,232.1,294.1,110.70000000000002,83.80000000000001,62.00000000000003,187.6,291.2,353.0,187.8,337.6,140.2,0.1243192390933888,3.19890941587909,256.449890948901,-87.97930898506992,38.7279330738368,7.7149853241598e-05,0.0006503127424883,0.0005731628892467,3.074590176785701,True,True,False,427.2554848240232,intermediate
9,9,dyn,control,domperidone,183.4,210.4,232.2,294.1,110.70000000000002,83.70000000000002,61.900000000000034,184.5,290.5,353.6,175.5,315.5,112.6,0.1173728674187931,3.08226261014162,256.4286146673367,-87.97849798655275,38.74604718024254,7.756138778282481e-05,0.0006539039533432,0.0005763425655604,2.9648897427228267,True,True,False,427.7476713113141,intermediate
10,10,dyn,control,domperidone,183.5,210.5,232.3,294.3,110.8,83.80000000000001,62.0,187.9,293.9,356.4,175.0,304.2,124.0,0.1454480729124801,3.313214452494981,256.4208497124398,-87.97856564387612,38.72992521779421,7.752762054231606e-05,0.0006439855783307,0.0005664579577884,3.167766379582501,True,True,False,427.85010307278935,intermediate
