,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,dyn,control,droperidol,176.1,200.8,220.7,278.6,102.50000000000003,77.80000000000001,57.900000000000034,182.4,283.6,345.6,157.8,302.6,119.1,0.05140150563988336,2.878963237106526,256.66524920412377,-87.97943341292934,38.52121501705476,7.717749202632423e-05,0.0006508364487095726,0.0005736589566832484,2.8275617314666426,True,True,False,459.4072892019718
1,dyn,control,droperidol,175.7,200.4,220.3,277.9,102.19999999999999,77.49999999999997,57.599999999999966,174.7,271.1,329.9,136.1,265.1,110.8,0.022124291995489452,2.407548559768042,256.7167284477855,-87.97947879869947,38.55486593255101,7.724728282356371e-05,0.0006848620084530957,0.000607614725629532,2.3854242677725526,True,True,False,458.2456890307949
2,dyn,control,droperidol,176.0,200.7,220.7,278.7,102.69999999999999,78.0,58.0,185.8,284.7,345.4,188.6,359.6,163.2,0.10852970344194605,3.074600311258178,256.6837538341117,-87.980699245362,38.54575496890834,7.646545953892579e-05,0.0006449691316812047,0.0005685036721422789,2.966070607816232,True,True,False,458.8951249051632
3,dyn,control,droperidol,176.0,200.7,220.7,278.6,102.60000000000002,77.90000000000003,57.900000000000034,186.6,284.2,345.1,141.9,291.3,134.1,0.02240819587001418,2.386861676414217,256.6768714109461,-87.97970142044049,38.51190703285029,7.710272169268049e-05,0.0006414516469919508,0.0005643489252992704,2.3644534805442032,True,True,False,459.12271046297263
4,dyn,control,droperidol,175.9,200.6,220.6,278.5,102.6,77.9,57.900000000000006,183.0,279.0,337.1,153.0,280.9,148.0,0.066529842891121,2.7557504255569034,256.704430254777,-87.97984888491017,38.52695180976186,7.706181742053575e-05,0.0006597991572180422,0.0005827373397975064,2.6892205826657825,True,True,False,458.3577754975741
5,dyn,control,droperidol,176.0,200.7,220.6,278.6,102.60000000000002,77.90000000000003,58.00000000000003,183.5,282.7,343.9,169.2,351.2,123.3,0.028231532213113978,2.316384284513392,256.68795691557034,-87.98016482318674,38.50868206152564,7.683559992038601e-05,0.0006517996526942538,0.0005749640527738678,2.2881527523002783,True,True,False,458.989934563018
6,dyn,control,droperidol,175.9,200.6,220.5,278.4,102.49999999999997,77.79999999999998,57.89999999999998,180.8,278.2,337.3,141.0,265.4,119.4,0.040970550199954596,2.6531413908949917,256.69514193666555,-87.97960929301115,38.50935848791568,7.718053494137223e-05,0.0006631601890241963,0.0005859796540828241,2.612170840695037,True,True,False,458.74327768418
7,dyn,control,droperidol,175.7,200.4,220.3,278.1,102.40000000000003,77.70000000000002,57.80000000000001,175.4,272.5,331.4,182.0,344.4,127.6,0.08441596246382085,3.039829862943405,256.72387114004795,-87.98002217830687,38.56539425603925,7.691133292470137e-05,0.0006857558591128414,0.00060884452618814,2.955413900479584,True,True,False,457.9871784399802
8,dyn,control,droperidol,176.2,200.9,220.9,279.0,102.80000000000001,78.1,58.099999999999994,187.7,289.2,350.8,185.4,334.6,139.5,0.12333434309003956,3.1649505224729864,256.6611877391283,-87.98009521965852,38.49612066469647,7.678644857376882e-05,0.0006370128855314344,0.0005602264369576655,3.0416161793829466,True,True,False,459.4799204761104
9,dyn,control,droperidol,176.2,201.0,220.9,279.0,102.80000000000001,78.0,58.099999999999994,184.6,288.5,351.4,173.3,312.4,112.3,0.11582645497051933,3.0447480817253174,256.64111402313813,-87.9793551648414,38.50958801652351,7.717895899982492e-05,0.0006404671395703166,0.0005632881805704917,2.928921626754798,True,True,False,459.9385031354966
10,dyn,control,droperidol,176.3,201.1,221.0,279.2,102.89999999999998,78.1,58.19999999999999,188.0,291.8,354.1,172.7,301.2,123.4,0.14358930348358653,3.2813358413260776,256.6332346965626,-87.97942608912429,38.49555399039397,7.714352128387353e-05,0.0006309272141934803,0.0005537836929096068,3.137746537842491,True,True,False,460.07053090022225
11,dyn,control,droperidol,176.9,201.7,221.6,280.0,103.1,78.30000000000001,58.400000000000006,203.2,312.1,376.7,159.2,295.9,119.0,0.06047243638499811,2.668284776714329,256.5546590375032,-87.97923678141817,38.40701171938017,7.71930361710671e-05,0.0005794049553626001,0.000502211919191533,2.607812340329331,True,True,False,461.9126613911841
12,dyn,control,droperidol,176.2,200.9,220.9,279.0,102.80000000000001,78.1,58.099999999999994,188.5,289.8,351.4,156.6,295.3,123.4,0.056720437264830975,2.7746701491318184,256.65319184417694,-87.97971167683599,38.47095562979917,7.707348072495809e-05,0.0006328821145992952,0.0005558086338743371,2.7179497118669875,True,True,False,459.73623509483997
13,dyn,control,droperidol,175.6,200.2,220.2,277.7,102.1,77.5,57.5,171.6,267.1,324.9,148.6,275.5,114.3,0.055108831417244396,2.9042956221880925,256.73827107284677,-87.97962772031487,38.57736031191363,7.719063407381393e-05,0.0007016603553196404,0.0006244697212458264,2.849186790770848,True,True,False,457.6524706969577
14,dyn,control,droperidol,176.3,201.1,221.1,279.2,102.89999999999998,78.1,58.099999999999994,191.2,294.0,356.3,182.1,326.4,138.1,0.13288491789197746,3.058252083580095,256.6397041510148,-87.97988030061974,38.480374813465225,7.69097834874776e-05,0.0006236448910372079,0.0005467351075497303,2.9253671656881175,True,True,False,459.9543765657819
15,dyn,control,droperidol,175.9,200.6,220.6,278.5,102.6,77.9,57.900000000000006,180.3,279.7,339.7,210.8,378.3,145.8,0.2650380420728785,3.264237383345069,256.69036849040276,-87.9800120898758,38.56485785284246,7.68223132778919e-05,0.0006629156070908144,0.0005860932938129225,2.9991993412721905,True,True,False,458.67648815089905
16,dyn,control,droperidol,175.6,200.3,220.2,277.8,102.20000000000002,77.5,57.60000000000002,172.4,267.3,324.5,141.3,248.6,124.1,0.06113101830513579,2.8850475800115656,256.73589905637436,-87.97951423853931,38.58778210958596,7.724239134657048e-05,0.000698441050352337,0.0006211986590057665,2.82391656170643,True,True,False,457.64118527291953
17,dyn,control,droperidol,176.8,201.5,221.5,279.9,103.09999999999997,78.39999999999998,58.39999999999998,200.3,308.7,375.5,213.0,392.6,137.0,0.17811977753387767,2.842578718459667,256.5916604584105,-87.98147618865417,38.44279344325869,7.595490664287815e-05,0.0005912103851574528,0.0005152554785145747,2.664458940925789,True,True,False,461.19671363667874
18,dyn,control,droperidol,176.1,200.8,220.7,278.7,102.6,77.89999999999998,58.0,183.1,283.2,343.3,149.2,261.9,121.8,0.07444025582106355,2.9820273744492303,256.66571964964163,-87.97930468312954,38.51198160314305,7.72718544277903e-05,0.000650564126307933,0.0005732922718801427,2.9075871186281668,True,True,False,459.3314767778965
19,dyn,control,droperidol,176.0,200.7,220.7,278.6,102.60000000000002,77.90000000000003,57.900000000000034,183.8,283.4,344.6,213.0,424.3,139.9,0.07483180431109325,2.731777492738666,256.69974343622374,-87.98159512181768,38.52502504323667,7.610261237544518e-05,0.0006527932433309705,0.0005766906309555254,2.6569456884275726,True,True,False,458.82810105764395
20,dyn,control,droperidol,175.6,200.3,220.2,277.9,102.29999999999998,77.59999999999997,57.69999999999999,176.1,270.9,329.0,199.1,426.7,134.7,0.03623903434395732,2.289224301613178,256.74621772374206,-87.98080088518037,38.574579496289736,7.657668532509181e-05,0.0006864552989011403,0.0006098786135760485,2.2529852672692208,True,True,False,457.59055096436316
21,dyn,control,droperidol,176.1,200.9,220.8,278.8,102.70000000000002,77.9,58.0,185.4,286.1,346.8,151.8,266.8,130.5,0.078176533009489,2.991781206560829,256.6547298270689,-87.97927804812832,38.51408147491399,7.726381840422187e-05,0.0006418056376793351,0.0005645418192751132,2.91360467355134,True,True,False,459.5400065574931
22,dyn,control,droperidol,175.4,200.0,219.9,277.4,101.99999999999997,77.39999999999998,57.49999999999997,170.9,263.2,319.7,163.4,343.0,136.3,0.03311433303810971,2.645815471519191,256.76976172949315,-87.98012195059773,38.610360139032416,7.694284169225418e-05,0.0007108944206243834,0.0006339515789321292,2.612701138481081,True,True,False,456.84727379567914
23,dyn,control,droperidol,176.3,201.1,221.0,279.2,102.89999999999998,78.1,58.19999999999999,192.6,295.1,358.6,183.3,366.2,138.4,0.06304788106623536,2.7316273374330207,256.6506520108125,-87.98109487927967,38.47283207388234,7.626459328496984e-05,0.0006202099201046848,0.000543945326819715,2.6685794563667855,True,True,False,459.9263762110059
