,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,iso,control,droperidol,180.4,205.3,224.7,282.5,102.1,77.19999999999999,57.80000000000001,235.7,387.7,480.4,126.1,259.0,152.4,0.0621442637426399,33.883194483447824,256.0469538757436,-87.97498143508551,38.32136307191404,7.837557845108515e-05,0.0004689212367281324,0.00039054565827704725,33.821050219705185,False,False,False,461.8034075106427
1,iso,control,droperidol,178.4,203.4,223.0,281.2,102.79999999999998,77.79999999999998,58.19999999999999,214.6,346.1,425.2,108.2,224.9,135.4,0.023797564343560226,18.21568353560102,256.2488258626578,-87.97683829786882,38.409702276182315,7.784978045097508e-05,0.000525439940846853,0.0004475901603958779,18.19188597125746,True,True,False,459.1660834167263
2,iso,control,droperidol,179.8,204.8,224.2,282.1,102.30000000000001,77.30000000000001,57.900000000000034,228.1,374.3,463.2,149.9,293.7,210.2,0.15328052172568285,38.089826025554025,256.1066545423449,-87.97554787223628,38.35407500410064,7.822483338616306e-05,0.00048632289154250055,0.00040809805815633746,37.93654550382834,False,True,False,461.0924733258775
3,iso,control,droperidol,179.5,204.4,223.9,281.9,102.39999999999998,77.49999999999997,57.99999999999997,227.5,369.8,456.1,117.1,238.3,173.2,0.025416516490512416,19.50783906096675,256.1390980235408,-87.97599332103229,38.35396734738778,7.80955806136462e-05,0.000490458874060222,0.00041236329344657586,19.482422544476236,False,True,False,460.73545637259457
4,iso,control,droperidol,179.2,204.1,223.6,281.7,102.5,77.6,58.099999999999994,225.7,364.2,447.8,133.8,252.3,189.1,0.07980892037355951,25.816928833222015,256.1736418396375,-87.97642267491392,38.35641827938555,7.796679809733677e-05,0.0004971095996362814,0.00041914280153894465,25.737119912848456,False,True,False,460.32053787990947
5,iso,control,droperidol,179.4,204.4,223.8,281.9,102.49999999999997,77.49999999999997,58.099999999999966,228.6,369.5,454.8,132.6,286.1,156.1,0.03351113133511517,17.19429177139241,256.14897534830243,-87.97621640514618,38.34499922466266,7.802556921253118e-05,0.0004898058898788672,0.000411780320666336,17.160780640057297,False,True,False,460.65275559061604
6,iso,control,droperidol,179.6,204.5,223.9,282.0,102.4,77.5,58.099999999999994,231.0,372.8,458.6,120.5,239.8,150.4,0.04669250964166119,23.644603104904913,256.13850741136093,-87.97620936331268,38.332773353293035,7.801853777032377e-05,0.0004849864167933458,0.000406967879023022,23.59791059526325,False,True,False,460.8156193140436
7,iso,control,droperidol,178.9,203.8,223.4,281.5,102.6,77.69999999999999,58.099999999999994,221.1,357.0,439.1,136.7,282.5,157.9,0.10378514317661222,34.72453532871215,256.2017807572606,-87.97655814851146,38.37878700391699,7.793156950520184e-05,0.0005080009284439014,0.00043006935893869956,34.620750185535535,False,True,False,459.89474020197684
8,iso,control,droperidol,181.4,206.2,225.4,283.0,101.6,76.80000000000001,57.599999999999994,250.3,410.4,508.0,159.9,317.4,180.3,0.18896073528188323,41.919555108942944,255.9587082831128,-87.97421652655134,38.260697918945844,7.858181910472998e-05,0.0004415437192621438,0.0003629619001574138,41.73059437366106,False,False,False,462.7769823109187
9,iso,control,droperidol,181.8,206.7,225.8,283.3,101.5,76.60000000000002,57.5,254.2,419.2,520.1,152.2,314.9,142.2,0.20335333267124037,37.001269757401694,255.90954972156837,-87.97346552227317,38.24681727218378,7.881781838877912e-05,0.0004329930476326166,0.0003541752292438375,36.79791642473045,False,False,False,463.18856086903907
