,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,dyn,gomez,ibutilide,349.8,928.2,766.2,766.2,416.4,-162.0,0.0,476.8,549.6,549.6,272.1,387.9,212.4,0.1363633090919897,1.031305372525236,239.96372148288864,-87.770024992139,42.22731434745254,8.971229331766158e-05,0.0002437601639298,0.0001540478706121,0.8949420634332463,True,True,True,-1560.3254084867274,high
1,1,dyn,gomez,ibutilide,349.5,928.7,999.9,999.9,650.4,71.19999999999993,0.0,469.0,545.6,545.6,245.4,390.8,205.0,0.0700325856945075,0.7124578441015452,239.941316016636,-87.76917601059758,42.22190011438985,8.985161070467412e-05,0.0002447325355127,0.0001548809248081,0.6424252584070377,True,True,True,-1562.796518205992,high
2,2,dyn,gomez,ibutilide,349.5,892.9,999.9,999.9,650.4,107.0,0.0,469.4,545.9,545.9,277.7,397.2,241.2,0.2396058290566591,1.470601439890794,240.06720753648293,-87.77393297495506,42.211268614525146,8.913309588790284e-05,0.0002483909932288,0.0001592578973409,1.230995610834135,True,True,True,-1551.3753074478095,high
3,3,dyn,gomez,ibutilide,349.8,929.2,999.9,999.9,650.0999999999999,70.69999999999993,0.0,488.6,549.1,549.1,235.6,608.0,219.8,0.0874762332497905,0.6561702212326578,239.88726599100264,-87.76805843008891,42.216851916980325,9.00443358735931e-05,0.0002382623479553,0.0001482180120817,0.5686939879828673,True,True,True,-1570.6504223746238,high
4,4,dyn,gomez,ibutilide,349.2,924.2,766.2,766.2,417.00000000000006,-158.0,0.0,465.1,547.4,547.4,272.6,380.8,221.2,0.1595086097659196,1.2125041546144084,240.04696074795444,-87.77296766375443,42.24645716932151,8.92721179404812e-05,0.0002491750981427,0.0001599029802022,1.052995544848489,True,True,True,-1552.5919055187117,high
5,5,dyn,gomez,ibutilide,349.6,883.3,765.2,765.2,415.6,-118.09999999999992,0.0,482.7,553.0,553.0,267.6,589.6,229.4,0.0849145121919649,0.7709475005514741,239.9383483280179,-87.76956519151332,42.24311784582164,8.980398994752568e-05,0.0002417284086926,0.000151924418745,0.6860329883595091,True,True,True,-1564.2630023827735,high
6,6,dyn,gomez,ibutilide,349.4,929.5,765.6,765.6,416.2000000000001,-163.89999999999998,0.0,470.6,547.7,547.7,265.6,385.4,204.5,0.1118316260233569,0.9517845881241312,239.9702806632816,-87.77019986993005,42.25876868057414,8.968842824256249e-05,0.0002452943646426,0.0001556059364001,0.8399529621007743,True,True,True,-1559.3478429335528,high
7,7,dyn,gomez,ibutilide,349.4,918.7,999.9,999.9,650.5,81.19999999999993,0.0,462.3,542.7,542.7,300.0,397.3,219.3,0.2230327487409808,1.401528695366836,240.1027948712171,-87.7750391449105,42.23064587265577,8.896110680883744e-05,0.000250778488652,0.0001618173818432,1.178495946625855,True,True,True,-1548.35117204417,high
8,8,dyn,gomez,ibutilide,349.7,892.7,766.6,766.6,416.9,-126.10000000000002,0.0,479.4,548.8,548.8,307.4,393.0,226.4,0.309303833494826,1.6186784436456088,240.07643718801432,-87.77469825290808,42.244684280423776,8.902513352538023e-05,0.0002452778606061,0.0001562527270807,1.3093746101507828,True,True,True,-1553.239238691432,high
9,9,dyn,gomez,ibutilide,350.2,924.7,766.9,766.9,416.7,-157.80000000000007,0.0,486.2,548.2,548.2,318.5,390.9,209.5,0.3083589776508589,1.4675437375190636,240.0413529118265,-87.77340301710827,42.23690149809205,8.92187162394021e-05,0.0002424698312773,0.0001532511150379,1.1591847598682048,True,True,True,-1556.6404047700585,high
