,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,iso,gomez,ibutilide,357.3,952.6,768.8,768.8,411.5,-183.80000000000007,0.0,803.0,803.0,803.0,524.3,558.1,327.5,0.3386022337938565,7.786217619056885,238.93042814572715,-87.73454015434865,42.11070503735548,9.513184582189536e-05,0.0001910840266038,9.595218078196328e-05,7.447615385263028,True,True,True,-1647.5372862841546,high
1,1,iso,gomez,ibutilide,355.4,880.5,769.8,769.8,414.4,-110.70000000000005,0.0,800.3,800.3,800.3,270.3,583.9,289.6,0.0936278587221969,2.8396420798690167,239.4469427826635,-87.75498029129602,42.14514436993528,9.215098353158556e-05,0.0002031402380396,0.000110989254508,2.74601422114682,True,True,True,-1616.7171734620426,high
2,2,iso,gomez,ibutilide,356.8,483.6,769.1,769.1,412.3,285.5,0.0,801.9,801.9,801.9,550.4,550.4,384.8,0.8268811598078515,14.97790408584556,239.104196390462,-87.74146743874648,42.114450557480495,9.412983963827204e-05,0.0001944404747503,0.000100310635112,14.15102292603771,True,True,True,-1637.9505362685975,high
3,3,iso,gomez,ibutilide,356.5,686.3,769.3,769.3,412.8,83.0,0.0,803.1,803.1,803.1,270.9,564.1,330.6,0.143970976919037,3.232163353333116,239.17569518200796,-87.74441507176564,42.13233037835385,9.370465499748248e-05,0.0001958548250867,0.0001021501700893,3.088192376414079,True,True,True,-1634.3685061437773,high
4,4,iso,gomez,ibutilide,356.1,876.8,769.6,769.6,413.5,-107.19999999999992,0.0,804.0,804.0,804.0,478.5,555.9,347.2,0.4084442575853347,8.72389131647707,239.25221810872665,-87.74753185867591,42.15070722544301,9.325260132444006e-05,0.0001975317577658,0.0001042791564413,8.315447058891735,True,True,True,-1630.2096737545005,high
5,5,iso,gomez,ibutilide,356.4,686.3,769.5,769.5,413.1,83.20000000000005,0.0,804.5,804.5,804.5,438.2,564.5,335.5,0.1349485811067554,3.679824179516421,239.18761324336108,-87.74498323834753,42.14733865501426,9.362513905098362e-05,0.0001960064279231,0.0001023812888721,3.544875598409666,True,True,True,-1634.1486403083934,high
6,6,iso,gomez,ibutilide,356.4,686.4,769.5,769.5,413.1,83.10000000000002,0.0,805.5,805.5,805.5,433.9,568.1,310.0,0.2226603068101223,5.683437699382398,239.1506205988165,-87.74357172186289,42.15454734450248,9.38328454905866e-05,0.0001951170420987,0.0001012841966081,5.460777392572275,True,True,True,-1636.6197185053163,high
7,7,iso,gomez,ibutilide,355.9,878.2,769.6,769.6,413.7000000000001,-108.60000000000002,0.0,802.4,802.4,802.4,637.1,569.0,321.0,0.710567745669474,10.958261163825467,239.33101998439372,-87.75055544340307,42.14557845545414,9.28065192134058e-05,0.0001996469354447,0.0001068404162313,10.247693418155992,True,True,True,-1624.8744749353546,high
8,8,iso,gomez,ibutilide,358.0,956.2,768.6,768.6,410.6,-187.6,0.0,806.4,806.4,806.4,536.6,536.6,363.8,2.021659177589429,18.7066156838602,238.6258557052708,-87.72240653335476,42.12544531899698,9.686990304982266e-05,0.0001861979465843,8.932804353456526e-05,16.684956506270765,True,True,True,-1663.3140196559084,high
9,9,iso,gomez,ibutilide,358.3,687.4,768.3,768.3,410.0,80.89999999999998,0.0,805.6,805.6,805.6,544.6,544.6,329.4,1.8061819512686028,14.307637065868116,238.4837920684922,-87.7165851026226,42.111961065586456,9.76900413583812e-05,0.0001844082495882,8.671820822982392e-05,12.501455114599514,True,True,True,-1669.290827388856,high
