,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,dyn,control,loratadine,167.3,189.6,207.4,260.9,93.59999999999997,71.29999999999998,53.49999999999997,182.5,281.4,343.3,155.3,299.3,118.4,0.0506557334229248,2.8151760188867345,256.6790207875602,-87.98041966039727,38.27206071822112,7.66804354043746e-05,0.0006342191499012,0.0005575387144968,2.7645202854638096,True,True,False,494.5601120846655,low/none
1,1,dyn,control,loratadine,167.0,189.2,207.1,260.3,93.3,71.10000000000002,53.20000000000002,174.9,269.1,327.7,134.2,262.3,110.3,0.0217768801089647,2.338337699178532,256.7306416437758,-87.98044755750287,38.30116710608728,7.675176067757584e-05,0.0006670724537952,0.0005903206931176,2.3165608190695672,True,True,False,493.3142206016705,low/none
2,2,dyn,control,loratadine,167.3,189.5,207.4,261.0,93.7,71.5,53.6,185.8,282.4,343.0,185.5,355.7,162.1,0.1071948622646213,3.0271616535634718,256.6961754598666,-87.98151259718604,38.29781725344499,7.600717217040759e-05,0.0006287895471302,0.0005527823749598,2.91996679129885,True,True,False,494.08510647192537,low/none
3,3,dyn,control,loratadine,167.3,189.5,207.4,260.9,93.59999999999997,71.39999999999998,53.49999999999997,186.6,282.3,343.0,139.8,288.3,133.0,0.021978313748826,2.315467922540272,256.68836498142826,-87.98066449957625,38.26808018067728,7.661099623461176e-05,0.000624767564902,0.0005481565686674,2.293489608791446,True,True,False,494.3498496945998,low/none
4,4,dyn,control,loratadine,167.2,189.4,207.3,260.8,93.60000000000002,71.4,53.5,183.0,276.8,334.7,150.5,277.8,146.9,0.0656632735931881,2.704772877309616,256.71671983519946,-87.98080617019572,38.277730003979904,7.656767341683994e-05,0.0006432653774881,0.0005666977040713,2.6391096037164274,True,True,False,493.52889523931344,low/none
5,5,dyn,control,loratadine,167.3,189.5,207.4,260.8,93.5,71.30000000000001,53.400000000000006,183.6,280.7,341.7,167.0,347.7,122.6,0.0277793387821266,2.250667750306015,256.6998246133295,-87.981070105464,38.26224932435994,7.63612254741613e-05,0.0006349492895911,0.000558588064117,2.2228884115238885,True,True,False,494.1858529247607,low/none
6,6,dyn,control,loratadine,167.2,189.4,207.3,260.7,93.5,71.29999999999998,53.39999999999998,180.8,276.1,334.9,138.9,262.5,118.7,0.0403748451734581,2.5941900863103045,256.70816920242254,-87.98059439371433,38.25982797292072,7.668060671014805e-05,0.0006463791467139,0.0005696985400038,2.553815241136846,True,True,False,493.8755846380253,low/none
7,7,dyn,control,loratadine,167.0,189.2,207.1,260.4,93.39999999999998,71.19999999999999,53.29999999999998,175.4,270.3,329.0,179.3,340.9,126.9,0.0834681506056127,2.9909886001754864,256.73778945994144,-87.98092587431447,38.3074993883786,7.643295447896802e-05,0.0006686040401041,0.0005921710856251,2.9075204495698737,True,True,False,493.0584583729645,low/none
8,8,dyn,control,loratadine,167.4,189.7,207.6,261.2,93.79999999999998,71.5,53.6,187.6,286.9,348.3,182.4,330.9,138.7,0.1220343271270514,3.122536872660056,256.6740075103818,-87.98102084882255,38.24956291790081,7.63050417904441e-05,0.0006212566232083,0.0005449515814179,3.000502545533005,True,True,False,494.6797148066944,low/none
9,9,dyn,control,loratadine,167.4,189.7,207.6,261.1,93.70000000000002,71.40000000000003,53.50000000000003,184.6,286.3,348.9,170.6,308.7,112.0,0.1137926525718956,2.998116921433464,256.6556150952491,-87.98036770531935,38.25662997466789,7.667302453003729e-05,0.0006245449478456,0.0005478719233155,2.8843242688615685,True,True,False,495.0862231750813,low/none
10,10,dyn,control,loratadine,167.5,189.8,207.7,261.3,93.8,71.5,53.60000000000002,187.9,289.5,351.6,169.8,297.5,122.8,0.1411436255861248,3.2414045527411863,256.64738168312886,-87.98044320884438,38.2453467171563,7.663561473467109e-05,0.0006154513645744,0.0005388157498398,3.1002609271550616,True,True,False,495.2467029647954,low/none
