,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,dyn,gomez,loratadine,200.0,237.0,266.4,345.5,145.5,108.5,79.10000000000002,356.6,489.4,585.1,184.5,363.1,207.9,0.1425616772613892,1.124903776013976,241.7306787110504,-87.78604392721562,40.21638755339724,9.169791984756514e-05,0.000256831617857,0.0001651336980094,0.9823420987525868,False,False,False,79.14394111473172,low/none
1,1,dyn,gomez,loratadine,199.9,236.9,266.3,345.3,145.4,108.4,79.0,349.4,484.5,591.2,166.9,341.8,201.2,0.0742013159064506,0.7863473478374844,241.6882636542809,-87.78409881698367,40.21688326547787,9.19855885321413e-05,0.0002585179330007,0.0001665323444686,0.7121460319310338,False,False,False,79.27407429520565,low/none
2,2,dyn,gomez,loratadine,199.6,236.8,266.4,345.8,146.20000000000002,109.0,79.40000000000003,353.4,487.2,572.7,192.7,365.7,236.5,0.247796061763668,1.589773709852571,241.8734948154556,-87.79138790698863,40.2194719962129,9.08685839008577e-05,0.0002621617004203,0.0001712931165195,1.341977648088903,False,False,False,78.59385602751057,low/none
3,3,dyn,gomez,loratadine,200.9,237.7,266.8,345.4,144.49999999999997,107.7,78.59999999999997,360.1,509.1,620.4,161.9,400.2,215.1,0.0931929939155145,0.7299689422755993,241.65376895702047,-87.78435258378951,40.19821423820289,9.203948078937347e-05,0.0002506895347755,0.0001586500539861,0.6367759483600848,False,False,False,79.01879884155665,low/none
4,4,dyn,gomez,loratadine,199.5,236.7,266.3,345.8,146.3,109.10000000000002,79.5,350.4,478.1,568.5,182.9,354.8,218.3,0.1656516561667915,1.3167563106940094,241.83444158380345,-87.78946943841096,40.2378537082422,9.114063281301484e-05,0.0002630454843775,0.0001719048515645,1.151104654527218,False,False,False,78.23831645603482,low/none
5,5,dyn,gomez,loratadine,200.4,237.4,266.7,345.8,145.4,108.4,79.10000000000002,362.0,498.8,596.5,183.4,380.7,222.7,0.0892189992393711,0.8361654131550351,241.7434986705001,-87.78743526261984,40.21853956563768,9.15454475737249e-05,0.0002535511848127,0.000162005737239,0.746946413915664,False,False,False,78.30545489597142,low/none
6,6,dyn,gomez,loratadine,199.8,236.9,266.4,345.5,145.7,108.6,79.10000000000002,353.0,484.3,583.7,177.8,362.7,201.1,0.1170167528431744,1.0389331027207631,241.73811870908744,-87.78604653689976,40.23651418576237,9.1683828026386e-05,0.0002584836700404,0.000166799842014,0.9219163498775886,False,False,False,78.66924931806125,low/none
7,7,dyn,gomez,loratadine,199.2,236.4,266.1,345.5,146.3,109.1,79.39999999999998,346.5,479.5,568.4,202.4,395.5,214.1,0.234890447642068,1.514943026142476,241.8902842409288,-87.7912771941325,40.238160036715904,9.08356057943648e-05,0.0002656344632089,0.0001747988574145,1.2800525785004078,False,False,False,79.03877720232396,low/none
8,8,dyn,gomez,loratadine,199.8,237.0,266.4,345.7,145.89999999999998,108.7,79.30000000000001,357.8,495.8,586.2,202.4,398.6,221.9,0.3226503299067676,1.7264298058941787,241.8775516894276,-87.79204907078278,40.231907599857166,9.0783780421028e-05,0.0002580667382141,0.0001672829577931,1.4037794759874112,False,False,False,78.8812658947729,low/none
9,9,dyn,gomez,loratadine,199.9,237.0,266.4,345.4,145.49999999999997,108.39999999999998,79.0,358.7,500.4,597.3,203.1,415.6,205.1,0.3221297769244138,1.5651377780594666,241.81058307460697,-87.7895233462912,40.22432316436582,9.117425843172012e-05,0.0002552443133565,0.0001640700549248,1.2430080011350528,False,False,False,79.92147187888884,low/none
10,10,dyn,gomez,loratadine,199.9,237.0,266.4,345.4,145.49999999999997,108.39999999999998,79.0,358.4,499.3,595.9,199.9,410.8,205.3,0.3760559644452604,1.8090113002157504,241.8217685783112,-87.78992025517746,40.22803251119424,9.110947686815888e-05,0.0002557152317183,0.0001646057548502,1.4329553357704898,False,False,False,79.77735167459552,low/none
11,11,dyn,gomez,loratadine,201.4,238.3,267.2,345.8,144.4,107.5,78.60000000000002,380.7,522.4,626.7,191.8,407.5,216.6,0.1830412887610848,1.0872549658753492,241.7013570883202,-87.78734005993917,40.223100743954085,9.15969243727057e-05,0.0002427738474403,0.0001511769230676,0.9042136771142644,False,False,False,78.20381477140856,low/none
12,12,dyn,gomez,loratadine,200.2,237.3,266.6,345.7,145.5,108.39999999999998,79.09999999999997,362.4,496.9,594.8,189.4,387.9,210.3,0.1525914527344225,1.1622603944409815,241.7974158583096,-87.7893667466606,40.238705789079646,9.121162575960236e-05,0.0002539348661155,0.0001627232403559,1.0096689417065592,False,False,False,78.28083924026207,low/none
13,13,dyn,gomez,loratadine,199.0,236.3,266.0,345.3,146.3,109.0,79.30000000000001,342.7,471.7,566.5,189.0,378.1,195.3,0.1516356238710162,1.2627985787278009,241.841792291045,-87.78896817461646,40.24406279943042,9.116281478536528e-05,0.0002667859027802,0.0001756230879948,1.1111629548567847,False,False,False,79.21343956501795,low/none
14,14,dyn,gomez,loratadine,200.1,237.2,266.5,345.6,145.50000000000003,108.40000000000003,79.10000000000002,361.9,502.7,596.1,204.3,409.4,222.0,0.3553031367591368,1.6875759843328315,241.85297611832027,-87.79154968034045,40.22755553345692,9.08866411708685e-05,0.0002548010536435,0.0001639144124726,1.332272847573695,False,False,False,79.13283528563375,low/none
15,15,dyn,gomez,loratadine,199.3,236.5,266.1,345.4,146.09999999999997,108.89999999999998,79.29999999999995,348.7,485.2,579.6,220.7,443.2,231.5,0.5762122272290314,2.1397048946326054,241.88740809853783,-87.79147651598167,40.22592526667827,9.083136726283534e-05,0.000263402212907,0.0001725708456442,1.5634926674035738,False,False,False,79.93621848317864,low/none
16,16,dyn,gomez,loratadine,198.9,236.2,265.9,345.2,146.29999999999998,109.0,79.30000000000001,340.2,468.3,563.3,185.3,371.6,195.1,0.1710681302252971,1.3494704312219752,241.84166937548824,-87.78868681647647,40.23832907220146,9.119050753741569e-05,0.0002686223383007,0.0001774318307632,1.178402300996678,False,False,False,79.42688884198398,low/none
17,17,dyn,gomez,loratadine,201.0,237.9,266.9,345.8,144.8,107.9,78.90000000000003,377.6,527.8,624.8,223.4,445.7,241.5,0.4064917925316268,1.5897292909628251,241.8607898976252,-87.79358206267115,40.21577105282517,9.067010537284452e-05,0.0002460429457041,0.0001553728403313,1.1832374984311982,False,False,False,79.07617838450233,low/none
