,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,iso,gomez,loratadine,205.7,241.6,268.3,342.5,136.8,100.9,74.19999999999999,468.9,689.3,809.0,186.4,433.9,283.1,0.4657234850310198,8.431607685587112,240.18766889140937,-87.73398308595551,40.026404179936286,0.0001000639336995,0.0001966080308779,9.654409717840488e-05,7.965884200556093,False,False,False,84.46628219316244,low/none
1,1,iso,gomez,loratadine,204.0,240.3,267.7,343.3,139.3,103.0,75.60000000000002,438.1,640.6,761.6,160.1,362.8,263.7,0.1073412454458715,3.193742727378574,240.91006909449152,-87.76119322508893,40.08522471563594,9.59573666902839e-05,0.0002097844978184,0.0001138271311281,3.0864014819327026,False,False,False,82.46305251298959,low/none
2,2,iso,gomez,loratadine,205.2,241.2,268.1,342.7,137.5,101.5,74.59999999999997,459.5,675.7,796.4,211.1,453.3,327.0,1.151014999612803,15.433264030210854,240.41670188019785,-87.74259614031735,40.04095562921336,9.877590498502902e-05,0.0002003298261989,0.0001015539212139,14.28224903059805,False,False,False,84.06852003545563,low/none
3,3,iso,gomez,loratadine,205.0,241.1,268.1,342.9,137.89999999999998,101.79999999999998,74.79999999999995,457.0,670.4,791.1,158.8,347.5,289.6,0.1746873660632517,3.574330483272385,240.5234022908972,-87.7467517953211,40.05391081290288,9.816107626412187e-05,0.0002017096657363,0.0001035485894722,3.3996431172091333,False,False,False,83.49244700835781,low/none
4,4,iso,gomez,loratadine,204.9,241.0,268.0,343.1,138.20000000000002,102.10000000000002,75.10000000000002,453.6,664.0,784.6,189.4,417.8,302.6,0.5335090356858408,9.189659393425782,240.6381623722032,-87.75119345906022,40.06841621188126,9.749856728412524e-05,0.0002033945803324,0.0001058960130483,8.656150357739941,False,False,False,82.9048234145379,low/none
5,5,iso,gomez,loratadine,205.1,241.2,268.1,343.0,137.9,101.8,74.89999999999998,457.6,670.2,790.7,191.6,434.7,288.5,0.1893628978943721,3.9438737315954713,240.54775510358115,-87.7477903989345,40.06132736362497,9.801363702098042e-05,0.0002017211673886,0.0001037075303676,3.754510833701099,False,False,False,83.1350337716905,low/none
6,6,iso,gomez,loratadine,205.2,241.3,268.2,343.0,137.8,101.7,74.80000000000001,460.6,674.1,794.2,176.1,410.4,275.3,0.2938607172589537,6.174590928879804,240.50119703444747,-87.74610390510693,40.06156838548001,9.827341086555704e-05,0.0002006580658799,0.0001023846550144,5.88073021162085,False,False,False,83.07179853569724,low/none
7,7,iso,gomez,loratadine,204.5,240.7,267.9,343.2,138.7,102.5,75.30000000000001,447.4,655.1,776.1,197.3,448.7,283.3,0.9021072220904884,11.697019875768074,240.74533457319788,-87.7551316785703,40.07349806153517,9.68929935256962e-05,0.0002058260246968,0.0001089330311711,10.794912653677583,False,False,False,82.80474400271407,low/none
8,8,iso,gomez,loratadine,206.5,242.3,268.7,342.3,135.8,100.0,73.60000000000002,484.7,709.7,826.6,229.3,505.2,306.3,2.6318587328940977,19.305035034115303,239.8177825778864,-87.72020496118782,40.01345674272244,0.0001021085717056,0.000191005050037,8.889647833147906e-05,16.673176301221204,False,False,False,84.58416438498074,low/none
9,9,iso,gomez,loratadine,206.8,242.5,268.8,342.2,135.39999999999998,99.7,73.39999999999998,489.1,716.3,832.4,223.9,517.5,279.7,2.2716982893430164,15.03814119463056,239.64216620033915,-87.71352016367624,40.00005442847343,0.0001030765272616,0.0001891335855349,8.605705827324217e-05,12.766442905287544,False,False,False,85.04652894355388,low/none
10,10,iso,gomez,loratadine,207.3,242.9,269.0,342.0,134.7,99.1,73.0,497.9,727.7,841.8,233.9,527.9,290.2,3.907419869284796,23.20700373721017,239.3448807611715,-87.70236013074843,39.98558782887763,0.000104687233672,0.0001858816606143,8.119442694226519e-05,19.29958386792537,False,False,False,85.43275731690856,low/none
11,11,iso,gomez,loratadine,208.8,244.1,269.7,341.3,132.5,97.20000000000002,71.60000000000002,525.3,760.9,867.8,240.0,534.9,305.3,2.297321113356753,13.494588055392237,238.10665292980767,-87.65644451111258,39.92791277491545,0.000111115359891,0.0001755383030106,6.442294311959119e-05,11.197266942035482,False,False,False,87.20740374636037,low/none
12,12,iso,gomez,loratadine,206.6,242.4,268.8,342.4,135.79999999999998,99.99999999999996,73.59999999999997,486.2,711.1,827.7,201.8,466.1,291.6,0.762919318645943,9.428711551078967,239.8038826962446,-87.71974884073441,40.0171781823516,0.000102180962224,0.0001906110040788,8.843004185481256e-05,8.665792232433024,False,False,False,84.40020582715685,low/none
13,13,iso,gomez,loratadine,204.0,240.3,267.7,343.4,139.39999999999998,103.09999999999997,75.69999999999999,438.3,640.1,761.0,172.6,401.1,262.4,0.3926180188817163,7.787027938565878,240.9271454276189,-87.76191630529189,40.0904424312882,9.585252485302038e-05,0.0002098591432748,0.0001140066184218,7.394409919684161,False,False,False,82.2114838464068,low/none
14,14,iso,gomez,loratadine,207.0,242.7,268.9,342.1,135.10000000000002,99.40000000000003,73.20000000000005,493.7,721.8,836.9,238.7,523.4,306.2,3.140931209923667,18.175373924489293,239.5233875863132,-87.7091125551518,39.99783922299024,0.0001037199322959,0.0001876026093631,8.388267706724824e-05,15.034442714565625,False,False,False,85.02382587810347,low/none
15,15,iso,gomez,loratadine,205.5,241.5,268.3,342.8,137.3,101.3,74.5,464.8,681.5,801.4,241.1,518.8,304.6,4.253861109921175,22.958794547659195,240.361605166393,-87.7407308022473,40.04586938309593,9.90719854024062e-05,0.0001986922724814,9.96202870789998e-05,18.70493343773802,False,False,False,83.65574838788012,low/none
16,16,iso,gomez,loratadine,203.8,240.1,267.6,343.4,139.59999999999997,103.29999999999998,75.79999999999995,434.2,634.8,755.8,171.6,395.4,265.9,0.4497502828468668,8.399052725490758,240.96721439503744,-87.76325218011863,40.08880457912508,9.563519607944364e-05,0.000211400756199,0.0001157655601196,7.949302442643892,False,False,False,82.37846832086032,low/none
17,17,iso,gomez,loratadine,208.2,243.7,269.4,341.6,133.40000000000003,97.90000000000003,72.20000000000005,514.7,748.2,858.1,275.0,562.6,319.5,4.985467611301134,17.65525878476219,238.6773432224789,-87.67749375516628,39.95602470678447,0.0001082091217106,0.0001797248788077,7.151575709712869e-05,12.669791173461055,False,False,False,86.26637745189481,low/none
18,18,iso,gomez,loratadine,206.0,241.9,268.5,342.5,136.5,100.6,74.0,474.6,696.3,815.0,196.2,461.8,280.4,1.039370411647993,11.794237547080106,240.08348362286225,-87.73017423221613,40.02533366696383,0.0001006380985223,0.0001946946742001,9.40565756777896e-05,10.754867135432114,False,False,False,84.32652611854252,low/none
19,19,iso,gomez,loratadine,205.3,241.3,268.2,342.8,137.5,101.5,74.60000000000002,461.2,676.2,796.5,228.8,497.7,308.4,1.156229986025472,9.697090525625937,240.4455022736844,-87.74388222125626,40.05107011072667,9.859822264007244e-05,0.0002001265183391,0.0001015282956991,8.540860539600464,False,False,False,83.51029670991835,low/none
20,20,iso,gomez,loratadine,203.4,239.8,267.4,343.6,140.20000000000002,103.8,76.20000000000005,426.3,621.1,741.2,200.2,447.5,292.4,0.209509750758369,3.8275223399638154,241.11074278042307,-87.76854768706575,40.10495790856493,9.481363818213404e-05,0.0002151805781395,0.0001203669399574,3.6180125892054456,False,False,False,81.75397129656048,low/none
21,21,iso,gomez,loratadine,206.0,241.9,268.5,342.4,136.39999999999998,100.49999999999996,73.89999999999998,475.0,698.0,816.7,197.9,457.9,290.1,1.031227060290095,12.504618425032348,240.0218313310696,-87.72772824606095,40.01615801418429,0.000100989763999,0.0001942338311761,9.324406717707008e-05,11.473391364742252,False,False,False,84.75435498903951,low/none
22,22,iso,gomez,loratadine,202.7,239.2,267.1,343.8,141.10000000000002,104.60000000000002,76.69999999999999,414.1,601.4,720.3,154.2,343.0,276.3,0.182398554032392,4.2608000984845065,241.26634891369895,-87.77398132261062,40.11848275982269,9.394530133457968e-05,0.0002208770916739,0.0001269317903393,4.078401544452114,False,False,False,81.32396566004361,low/none
23,23,iso,gomez,loratadine,206.6,242.4,268.7,342.3,135.70000000000002,99.9,73.60000000000002,485.9,711.6,828.4,219.1,483.6,312.4,0.928582946947663,10.080627814157282,239.7651690028991,-87.71819258342587,40.00892179280571,0.0001024000743082,0.0001904529034729,8.805282916467967e-05,9.152044867209618,False,False,False,84.74727749196481,low/none
24,24,iso,gomez,loratadine,203.1,239.6,267.3,343.7,140.6,104.1,76.39999999999998,421.9,614.3,734.2,209.3,468.8,276.2,1.5943059246551183,12.14014513274838,241.16404961156888,-87.7703964127794,40.1082768101838,9.4517525381848e-05,0.0002171273473194,0.0001226098219376,10.54583920809326,False,False,False,81.68006800649385,low/none
25,25,iso,gomez,loratadine,204.0,240.3,267.7,343.4,139.39999999999998,103.09999999999997,75.69999999999999,438.0,639.7,760.6,184.1,422.8,270.7,0.3805939092287178,6.282513621265454,240.93008145970464,-87.7620128542412,40.09022783861021,9.583674921687107e-05,0.0002099734740396,0.0001141367248227,5.901919712036737,False,False,False,82.22697575108091,low/none
