,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,dyn,gomez,metoprolol,198.1,234.4,262.9,340.9,142.79999999999998,106.49999999999996,78.0,355.2,488.0,583.9,182.1,360.6,208.5,0.1418219444962468,1.1116902606085286,241.78121883755628,-87.78643054965954,40.11202974599556,9.143014849261624e-05,0.0002550463199849,0.0001636161714923,0.9698683161122816,False,False,False,105.7348883622972,low/none
1,1,dyn,gomez,metoprolol,198.0,234.3,262.8,340.7,142.7,106.39999999999998,77.89999999999998,348.0,483.3,590.5,164.7,339.6,201.9,0.0737299037671547,0.7760463185841794,241.7399542638028,-87.78453979533033,40.11253304303147,9.171095983531186e-05,0.000256687469559,0.0001649765097237,0.7023164148170247,False,False,False,105.86239717408314,low/none
2,2,dyn,gomez,metoprolol,197.7,234.1,262.9,341.3,143.60000000000002,107.20000000000002,78.40000000000003,351.9,485.6,571.3,190.8,363.8,236.6,0.2466967753777801,1.5731271203163482,241.9234156813257,-87.79174850346924,40.11589269666585,9.060394344124756e-05,0.00026034855107,0.0001697446076288,1.326430344938568,False,False,False,105.21667642506236,low/none
3,3,dyn,gomez,metoprolol,199.0,235.1,263.4,340.9,141.89999999999998,105.79999999999998,77.5,358.9,508.2,619.8,160.4,399.4,215.6,0.0925443538017352,0.719872354805252,241.7036498638533,-87.78474899976754,40.09307278272043,9.177144558656373e-05,0.0002488758725054,0.0001571044269189,0.6273280010035168,False,False,False,105.63090845510382,low/none
4,4,dyn,gomez,metoprolol,197.6,234.0,262.8,341.2,143.6,107.2,78.39999999999998,348.9,476.5,567.2,181.0,352.5,218.6,0.1648706907142848,1.3023777334611717,241.8844195926202,-87.78982669811299,40.133353933496686,9.087701429616345e-05,0.0002612040701345,0.0001703270558383,1.137507042746887,False,False,False,104.86140321928956,low/none
5,5,dyn,gomez,metoprolol,198.6,234.8,263.2,341.2,142.6,106.39999999999998,78.0,360.5,497.4,595.5,181.3,378.7,223.1,0.0887010470124316,0.8260580872062436,241.7925088650692,-87.7877769655132,40.11312361873744,9.12842623805298e-05,0.0002518337130927,0.0001605494507122,0.737357040193812,False,False,False,104.92729092438148,low/none
6,6,dyn,gomez,metoprolol,197.9,234.3,262.9,340.9,142.99999999999997,106.59999999999997,78.0,351.5,482.9,582.6,175.4,360.2,201.8,0.1163906661866099,1.0266371885471286,241.78868700968744,-87.78643402736252,40.13137162950793,9.14161871578127e-05,0.0002566726259943,0.0001652564388365,0.9102465223605188,False,False,False,105.26651730212905,low/none
7,7,dyn,gomez,metoprolol,197.3,233.7,262.6,340.9,143.59999999999997,107.2,78.29999999999995,345.0,477.9,566.9,200.3,393.4,214.6,0.2333210186370897,1.4999826232305051,241.94146654471484,-87.79167856673207,40.13461197623226,9.05651772113325e-05,0.0002637504327597,0.0001731852555484,1.2666616045934154,False,False,False,105.63592097798389,low/none
8,8,dyn,gomez,metoprolol,197.9,234.3,262.9,341.1,143.20000000000002,106.8,78.20000000000005,356.3,494.2,584.6,200.3,396.4,222.2,0.3207764440343333,1.711336235502749,241.92790739396685,-87.79242151685048,40.12760725069206,9.051639734320874e-05,0.0002563473781779,0.0001658309808347,1.3905597914684158,False,False,False,105.47432482741644,low/none
9,9,dyn,gomez,metoprolol,198.0,234.4,262.9,340.8,142.8,106.4,77.90000000000003,357.2,498.7,595.9,200.9,413.3,205.7,0.3203469756163167,1.5518959579633298,241.86174712238864,-87.78992268475041,40.12036675918071,9.090292817618912e-05,0.000253554084575,0.0001626511563988,1.2315489823470132,False,False,False,106.47809270611108,low/none
10,10,dyn,gomez,metoprolol,198.0,234.3,262.9,340.8,142.8,106.5,77.90000000000003,356.8,497.7,594.4,197.7,408.5,205.8,0.3740124063582428,1.7941229222768926,241.8729034313693,-87.79031730809437,40.1239721998604,9.083833886804788e-05,0.0002540303576716,0.0001631920188036,1.4201105159186498,False,False,False,106.3374135781001,low/none
11,11,dyn,gomez,metoprolol,199.5,235.6,263.7,341.3,141.8,105.70000000000002,77.60000000000002,379.2,520.8,625.5,189.5,405.7,217.1,0.1818431491521761,1.076701327015559,241.7502874818993,-87.78767146255134,40.11621326583281,9.133531768667631e-05,0.0002412795490826,0.0001499442313959,0.8948581778633828,False,False,False,104.78026832716702,low/none
12,12,dyn,gomez,metoprolol,198.3,234.6,263.1,341.2,142.89999999999998,106.6,78.09999999999997,361.0,495.4,593.6,187.1,386.0,210.8,0.1514117489491381,1.1497827554093598,241.847322168874,-87.78973026793005,40.132979858284166,9.094629655208612e-05,0.0002522423627289,0.0001612960661768,0.9983710064602216,False,False,False,104.8804383211788,low/none
13,13,dyn,gomez,metoprolol,197.1,233.6,262.5,340.7,143.6,107.1,78.19999999999999,341.3,470.2,565.3,187.0,376.1,195.9,0.1504205723796659,1.2487216068925096,241.89368559453035,-87.78939654619066,40.140346850187896,9.088922536679112e-05,0.0002648502119875,0.0001739609866207,1.0983010345128437,False,False,False,105.79926486318216,low/none
14,14,dyn,gomez,metoprolol,198.2,234.5,263.0,341.1,142.90000000000003,106.60000000000002,78.10000000000002,360.4,501.1,594.5,202.3,407.3,222.3,0.3533843767099918,1.673784759692028,241.90330162652265,-87.7919212348198,40.123129736895095,9.061900611683064e-05,0.0002531412465876,0.0001625222404707,1.320400382982036,False,False,False,105.71425296452122,low/none
15,15,dyn,gomez,metoprolol,197.4,233.8,262.6,340.8,143.4,107.0,78.19999999999999,347.2,483.6,578.1,218.7,441.4,231.6,0.5733855456602737,2.1253985607314774,241.93880172221205,-87.79187951920177,40.12322146085324,9.055991086673764e-05,0.0002615985282909,0.0001710386174241,1.5520130150712037,False,False,False,106.5094510456652,low/none
16,16,dyn,gomez,metoprolol,197.0,233.5,262.4,340.7,143.7,107.2,78.30000000000001,338.7,466.8,562.1,183.2,369.5,195.7,0.169760803487111,1.3349201583617272,241.8939065378241,-87.78912440814871,40.13522127161042,9.091567016057606e-05,0.0002666658990165,0.0001757502288559,1.1651593548746162,False,False,False,106.00749531501496,low/none
17,17,dyn,gomez,metoprolol,199.1,235.2,263.5,341.2,142.1,106.0,77.69999999999999,376.0,526.2,623.2,221.8,443.9,241.4,0.4045502204887792,1.5780500142023397,241.9095329063596,-87.79390022255016,40.110547794292174,9.040908262050706e-05,0.0002445404820164,0.0001541313993959,1.1734997937135605,False,False,False,105.64910950705354,low/none
18,18,dyn,gomez,metoprolol,197.8,234.1,262.8,340.8,143.0,106.70000000000002,78.0,351.6,486.0,585.0,187.6,386.1,200.1,0.213289229950804,1.3863595918829792,241.85841871195865,-87.78919062867573,40.12665568633709,9.097868322196412e-05,0.0002572358706467,0.0001662571874247,1.1730703619321752,False,False,False,105.9403976836141,low/none
19,19,dyn,gomez,metoprolol,197.9,234.3,263.0,341.2,143.29999999999998,106.89999999999998,78.19999999999999,357.0,497.4,588.1,219.5,428.5,238.5,0.2430073499044937,1.36285297181841,241.982737768538,-87.79478892872068,40.12349351524944,9.01696104131634e-05,0.0002568221708355,0.0001666525604223,1.1198456219139163,False,False,False,105.29329918011834,low/none
20,20,dyn,gomez,metoprolol,197.7,234.1,262.9,341.3,143.60000000000002,107.20000000000002,78.40000000000003,351.2,485.2,578.0,202.6,423.5,234.3,0.09195979382409,0.9162601069919152,241.9562358456549,-87.79317461015746,40.12578840872301,9.039277258322286e-05,0.0002605478456242,0.000170155073041,0.824300313167825,False,False,False,104.90221122131568,low/none
21,21,dyn,gomez,metoprolol,197.8,234.2,262.8,340.9,143.09999999999997,106.7,78.09999999999997,352.7,486.2,583.5,185.9,378.5,205.9,0.1992961757182844,1.389636238853591,241.86043049598857,-87.78934866587512,40.12035079813752,9.095753387395434e-05,0.0002571859157039,0.0001662283818299,1.1903400631353065,False,False,False,105.84323509826368,low/none
22,22,dyn,gomez,metoprolol,197.4,233.8,262.6,340.8,143.4,107.0,78.19999999999999,341.4,474.7,572.8,170.9,390.5,212.5,0.1128505789181484,0.8930562309647838,241.8861045782383,-87.7894925535595,40.12363887888735,9.090699899704228e-05,0.0002642254611505,0.0001733184621535,0.7802056520466354,False,False,False,105.65570260849871,low/none
23,23,dyn,gomez,metoprolol,198.6,234.8,263.3,341.4,142.79999999999998,106.59999999999997,78.09999999999997,366.2,502.9,593.9,197.8,390.8,228.4,0.1611750980824774,1.17170787704928,241.8902642421156,-87.79194656721334,40.12071403678871,9.06509063279138e-05,0.0002511746397554,0.0001605237334275,1.0105327789668026,False,False,False,104.5424023510088,low/none
