,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,iso,control,metoprolol,170.1,192.5,209.6,262.4,92.29999999999998,69.89999999999998,52.79999999999998,234.3,384.6,477.0,124.4,256.0,151.6,0.060801381134409,31.57233571952613,256.0622959104808,-87.97671016229921,38.0087972057643,7.77405604581533e-05,0.0004568700623778,0.0003791295019197,31.511534338391723,False,False,False,508.18830156768695,low/none
1,1,iso,control,metoprolol,168.4,190.7,208.1,261.3,92.9,70.60000000000002,53.20000000000002,213.7,342.9,421.9,107.3,222.6,134.7,0.0233101716761781,16.78411066453165,256.2616023282976,-87.97849241816978,38.08693950885316,7.723267781103139e-05,0.0005115689357102,0.0004343362578992,16.76080049285547,True,True,False,505.5461449649588,low/none
2,2,iso,control,metoprolol,169.6,191.9,209.2,262.1,92.50000000000004,70.20000000000002,52.900000000000034,226.9,371.2,459.8,146.7,289.7,208.9,0.1497681106710228,36.1609625236282,256.12134346700805,-87.97725329156734,38.03806939026179,7.759597056722936e-05,0.0004737526178026,0.0003961566472354,36.011194412957174,False,True,False,507.4727668183426,low/none
3,3,iso,control,metoprolol,169.3,191.6,208.9,261.9,92.59999999999997,70.29999999999998,52.99999999999997,226.3,366.7,452.7,115.0,235.8,171.7,0.0247279537915363,17.948079452731402,256.1529021767539,-87.97768447502068,38.03796604720174,7.746981551153718e-05,0.0004776916518798,0.0004002218363683,17.923351498939866,False,True,False,507.1240400790286,low/none
4,4,iso,control,metoprolol,169.1,191.4,208.7,261.8,92.70000000000002,70.4,53.10000000000002,224.6,361.1,444.5,130.9,248.5,187.8,0.0783013444237841,24.38950454583202,256.1866265782215,-87.97810051225541,38.04001997839122,7.73434554622219e-05,0.0004840981006306,0.0004067546451683,24.311203201408237,False,True,False,506.7161397484417,low/none
5,5,iso,control,metoprolol,169.3,191.6,208.9,261.9,92.59999999999997,70.29999999999998,52.99999999999997,227.4,366.4,451.4,131.1,283.8,155.2,0.0326178170085388,15.943581969963953,256.16221954130674,-87.97790230852155,38.02998095085493,7.740076834823413e-05,0.0004770253174059,0.0003996245490577,15.910964152955412,False,True,False,507.04919008177615,low/none
6,6,iso,control,metoprolol,169.4,191.7,208.9,262.0,92.6,70.30000000000001,53.1,229.7,369.7,455.2,118.6,236.5,149.5,0.0457583927605816,22.18768123065601,256.151610254634,-87.97789759252284,38.01927067809752,7.739295126895028e-05,0.0004723426446745,0.0003949496934055,22.14192283789543,False,True,False,507.2164504175637,low/none
7,7,iso,control,metoprolol,168.8,191.1,208.4,261.6,92.8,70.50000000000003,53.20000000000002,220.1,353.9,435.7,134.6,279.4,157.2,0.1019676635883753,32.87147032831812,256.2147550406285,-87.9782285485008,38.05974781761826,7.731043635715016e-05,0.0004946648033341,0.000417354366977,32.76950266472974,False,True,False,506.2837073331806,low/none
8,8,iso,control,metoprolol,171.0,193.3,210.3,263.0,92.0,69.69999999999999,52.69999999999999,248.7,407.3,504.6,156.5,312.8,179.7,0.1820542890931507,40.14596091826306,255.97457518409945,-87.97598333224872,37.955031195333895,7.793569899916566e-05,0.0004302647358033,0.0003523290368042,39.96390662916991,False,False,False,509.1751486381671,low/none
9,9,iso,control,metoprolol,171.4,193.7,210.7,263.2,91.79999999999998,69.5,52.5,252.6,416.3,516.8,149.7,310.7,142.0,0.1966714486672031,35.24893782885306,255.9265997963353,-87.97526223961871,37.94212139959579,7.816335163555881e-05,0.0004219905340975,0.0003438271824619,35.052266380185856,False,False,False,509.5852482974401,low/none
10,10,iso,control,metoprolol,172.1,194.3,211.3,263.6,91.50000000000004,69.30000000000001,52.30000000000001,261.3,432.6,537.8,158.1,317.2,159.3,0.2924997267174885,46.93233007993676,255.84873330677377,-87.97414879229153,37.91345949778371,7.852130789312162e-05,0.0004068817033729,0.0003283603954798,46.63983035321928,False,False,False,510.20996210643625,low/none
11,11,iso,control,metoprolol,175.1,197.3,213.8,265.4,90.29999999999998,68.09999999999997,51.599999999999966,295.1,500.3,625.0,157.7,327.1,165.2,0.0940126908584075,30.60904692381008,255.44816268801304,-87.96580467401377,37.81079129673211,8.144570988710021e-05,0.0003560475496458,0.0002746018397587,30.515034232951677,False,False,False,512.2061303144296,low/none
12,12,iso,control,metoprolol,171.0,193.3,210.3,263.0,92.0,69.69999999999999,52.69999999999999,250.2,408.7,505.8,134.8,271.8,160.4,0.0692925250001485,27.797363677188468,255.9742910689625,-87.9760909919899,37.94968207979302,7.78973481977192e-05,0.0004284331535971,0.0003505358053994,27.72807115218832,False,False,False,509.2032271635958,low/none
13,13,iso,control,metoprolol,168.4,190.6,208.1,261.3,92.9,70.70000000000002,53.20000000000002,214.3,342.6,420.9,114.1,232.6,139.1,0.0616437588636142,28.002331581618105,256.26805282704123,-87.97862302710345,38.08036303004816,7.718798968396461e-05,0.0005113137677606,0.0004341257780767,27.94068782275449,True,True,False,505.4777765366987,low/none
14,14,iso,control,metoprolol,171.6,193.9,210.9,263.3,91.70000000000002,69.4,52.400000000000006,257.1,423.4,525.4,161.1,325.7,179.2,0.2539569538923682,35.90855213100114,255.89897821014785,-87.97498647231404,37.92724193628717,7.824662399336109e-05,0.0004147903359107,0.0003365437119173,35.65459517710877,False,False,False,509.8388697388587,low/none
15,15,iso,control,metoprolol,169.7,192.0,209.2,262.2,92.5,70.19999999999999,53.0,232.5,376.8,465.3,166.8,340.3,182.0,0.5821870272435047,41.380363480824734,256.1122532261929,-87.97741894810387,38.01277322097455,7.752883792827174e-05,0.0004641974771857,0.0003866686392574,40.79817645358123,False,True,False,507.6741113258558,low/none
16,16,iso,control,metoprolol,168.3,190.5,208.0,261.2,92.89999999999998,70.69999999999999,53.19999999999999,211.0,338.8,416.7,115.7,223.9,150.3,0.0688307784757053,26.148151775357533,256.27839532005146,-87.97856111323495,38.099471499007365,7.72140369282785e-05,0.0005186467742414,0.0004414327373131,26.07932099688183,True,True,False,505.25978964883495,low/none
17,17,iso,control,metoprolol,173.6,195.9,212.6,264.5,90.9,68.6,51.900000000000006,280.3,469.2,584.9,194.5,411.6,182.8,0.5076338068927521,30.28602584336382,255.6555134805476,-87.97067163253298,37.85631011557186,7.971051340977876e-05,0.0003773432350077,0.0002976327215979,29.778392036471068,False,False,False,511.3745234109508,low/none
18,18,iso,control,metoprolol,170.4,192.7,209.8,262.6,92.20000000000002,69.90000000000003,52.80000000000001,239.9,392.0,485.4,130.8,257.3,153.7,0.0905103529617369,32.317383958387126,256.0395135274291,-87.97663174972143,37.98681167557519,7.775055198319378e-05,0.0004470243640744,0.0003692738120912,32.22687360542539,False,False,False,508.4923238627809,low/none
19,19,iso,control,metoprolol,169.5,191.8,209.1,262.1,92.60000000000002,70.30000000000001,53.00000000000003,229.7,371.9,458.9,158.6,342.8,176.0,0.1110995388652613,24.10560384853751,256.133797256648,-87.97759510339685,38.023279841985264,7.74847492737095e-05,0.000470457475197,0.0003929727259233,23.994504309672248,False,True,False,507.39867182961353,low/none
20,20,iso,control,metoprolol,167.9,190.1,207.6,260.9,92.99999999999996,70.79999999999998,53.29999999999998,206.5,329.5,404.3,141.3,324.3,163.5,0.0469200080850827,13.889176455613285,256.32502973805515,-87.97891051163815,38.1142688775586,7.710551600599439e-05,0.0005336194214972,0.0004565139054912,13.842256447528202,True,True,False,504.496666631113,low/none
21,21,iso,control,metoprolol,170.5,192.8,209.9,262.7,92.2,69.89999999999998,52.79999999999998,239.3,394.0,489.1,134.2,259.5,166.2,0.0975189830274671,33.061819148378795,256.0197331795652,-87.97625551496027,37.98985193321032,7.787029883840965e-05,0.0004461559454692,0.0003682856466308,32.964300165351325,False,False,False,508.6524412574154,low/none
22,22,iso,control,metoprolol,167.4,189.7,207.2,260.6,93.20000000000002,70.90000000000003,53.400000000000034,198.8,316.9,388.6,112.5,249.4,166.7,0.0367273554418868,21.35459678820285,256.37921356390564,-87.97914479158601,38.15091246847087,7.70435136594035e-05,0.0005575683184431,0.0004805248047837,21.317869432760965,True,True,False,503.4773959232066,low/none
23,23,iso,control,metoprolol,171.1,193.4,210.4,263.0,91.9,69.6,52.6,249.8,409.9,508.3,148.4,308.9,183.0,0.0858050716861118,27.1077625491154,255.959996085942,-87.9757598021356,37.95164677138664,7.800608163476432e-05,0.0004278642175501,0.0003498581359153,27.02195747742929,False,False,False,509.3015624437845,low/none
24,24,iso,control,metoprolol,167.7,190.0,207.5,260.8,93.10000000000002,70.80000000000001,53.30000000000001,203.5,325.0,398.9,144.8,302.5,154.8,0.2945667577568123,26.37518012147798,256.34254231449006,-87.97896079823965,38.12949907486301,7.709449684398955e-05,0.0005420392143437,0.0004649447174997,26.08061336372117,True,True,False,504.16365737654354,low/none
25,25,iso,control,metoprolol,168.4,190.6,208.0,261.3,92.9,70.70000000000002,53.30000000000001,214.0,342.3,420.6,124.4,259.0,141.9,0.0519535822036049,21.30367661613925,256.2687541873081,-87.97861664680282,38.08182356168501,7.719045467581468e-05,0.0005118386673782,0.0004346482127024,21.25172303393564,True,True,False,505.46209792006505,low/none
26,26,iso,control,metoprolol,169.4,191.7,209.0,262.0,92.6,70.30000000000001,53.0,227.6,369.1,455.8,100.9,205.5,136.5,0.0141879109056394,13.638743460791686,256.1421679926728,-87.97759885833169,38.03269540070326,7.749062529447931e-05,0.0004744784064595,0.0003969877811651,13.624555549886049,False,True,False,507.2668295705938,low/none
27,27,iso,control,metoprolol,168.8,191.0,208.4,261.6,92.8,70.60000000000002,53.20000000000002,218.7,352.1,433.5,106.7,210.4,136.0,0.0490414454784338,28.71812933494008,256.2209537792583,-87.97823408275505,38.06637037718923,7.731101783555558e-05,0.0004976642014601,0.0004203531836245,28.669087889461643,False,True,False,506.1776620691039,low/none
28,28,iso,control,metoprolol,169.4,191.7,208.9,262.0,92.6,70.30000000000001,53.1,227.8,368.3,454.3,116.3,233.7,147.2,0.0616523939034676,34.06145769802238,256.14980410978444,-87.97772955803087,38.03038831788227,7.745108196622207e-05,0.0004750088875598,0.0003975578055936,33.999805304118915,False,True,False,507.19054287810354,low/none
29,29,iso,control,metoprolol,170.1,192.4,209.5,262.4,92.29999999999998,69.99999999999997,52.89999999999998,234.8,383.8,475.3,124.4,252.8,142.1,0.0600928201811321,25.995060702728725,256.07185804250673,-87.97688881953877,38.00646969639638,7.76844613049098e-05,0.0004569930806612,0.0003793086193562,25.934967882547596,False,False,False,508.1073255133424,low/none
30,30,iso,control,metoprolol,168.8,191.1,208.5,261.6,92.8,70.50000000000003,53.10000000000002,218.5,353.5,436.1,125.1,252.7,161.2,0.066507348448784,25.272281880426192,256.2084677163086,-87.97805143152894,38.070190533338845,7.737162430162946e-05,0.000496556369537,0.0004191847452354,25.205774531977408,False,True,False,506.3249050739319,low/none
31,31,iso,control,metoprolol,168.0,190.3,207.7,261.0,93.0,70.69999999999999,53.30000000000001,205.3,330.6,407.0,130.3,264.0,165.5,0.0977451388140417,27.95566418862562,256.308889262135,-87.97864730627214,38.12767778240202,7.719446598412853e-05,0.0005338299172371,0.000456635451253,27.857919049811574,True,True,False,504.7060404528089,low/none
32,32,iso,control,metoprolol,170.0,192.2,209.4,262.3,92.3,70.10000000000002,52.900000000000006,236.5,383.2,472.9,108.0,218.9,141.4,0.0259277729280126,20.723531789315427,256.08842374296995,-87.9772847711592,37.99653851661241,7.755650022519648e-05,0.0004561488865506,0.0003785923863254,20.69760401638741,False,False,False,507.9879495958084,low/none
33,33,iso,control,metoprolol,167.1,189.4,207.0,260.3,93.20000000000002,70.9,53.30000000000001,193.0,307.8,377.5,97.9,214.6,133.9,0.0104540381709748,10.193301258981409,256.4178129818883,-87.97928855000042,38.18044677809358,7.700928134979236e-05,0.0005767109136799,0.0004997016323302,10.182847220810434,True,True,False,502.70026344028673,low/none
34,34,iso,control,metoprolol,171.5,193.8,210.7,263.3,91.8,69.5,52.60000000000002,255.3,419.6,520.4,167.7,344.7,152.1,0.5554362167396788,39.90551616729658,255.918109716587,-87.97526957344937,37.93332852970831,7.815599908643743e-05,0.0004182647571268,0.0003401087580404,39.3500799505569,False,False,False,509.6840455081583,low/none
35,35,iso,control,metoprolol,167.8,190.1,207.6,260.9,93.09999999999997,70.79999999999998,53.29999999999998,204.1,327.4,402.5,109.9,221.0,147.6,0.0447581859981978,22.39477298881525,256.3269675293731,-87.97879934034233,38.13110871665681,7.714656055660947e-05,0.000538723126825,0.0004615765662684,22.350014802817057,True,True,False,504.4109967979431,low/none
36,36,iso,control,metoprolol,169.3,191.5,208.8,261.9,92.59999999999997,70.39999999999998,53.099999999999966,226.4,365.2,450.1,107.2,208.4,144.1,0.0296960114673864,18.3910365437308,256.1651555252107,-87.97787966227757,38.03507691853071,7.741104498494942e-05,0.0004788952149522,0.0004014841699672,18.36134053226341,False,True,False,506.9940340323966,low/none
37,37,iso,control,metoprolol,172.2,194.4,211.3,263.6,91.40000000000003,69.20000000000002,52.30000000000001,261.7,434.3,540.4,139.5,280.3,168.9,0.0850135058582236,33.99589070847086,255.8360681670245,-87.97388885803669,37.91161321631468,7.860870218711052e-05,0.0004056270111835,0.0003270183089964,33.91087720261264,False,False,False,510.2907430159733,low/none
38,38,iso,control,metoprolol,167.9,190.2,207.7,261.0,93.1,70.80000000000001,53.30000000000001,207.9,331.1,406.0,141.6,304.6,186.0,0.1513265733514176,34.6586754743908,256.3205694326971,-87.97894033333462,38.105427224070965,7.709309695639027e-05,0.0005303171285619,0.0004532240316055,34.50734890103938,True,True,False,504.5968464355602,low/none
39,39,iso,control,metoprolol,169.3,191.6,208.8,261.9,92.59999999999997,70.29999999999998,53.099999999999966,226.1,365.3,450.4,122.2,254.4,162.2,0.032093124302671,16.850600234519085,256.16325751119115,-87.97783442656372,38.03685055881803,7.742587780202144e-05,0.0004790559664466,0.0004016300886446,16.818507110216412,False,True,False,507.0089489083712,low/none
40,40,iso,control,metoprolol,169.2,191.4,208.7,261.8,92.60000000000002,70.4,53.10000000000002,225.4,362.9,446.9,118.0,231.3,142.5,0.070292516012855,28.797083015645832,256.17734263704585,-87.97800651918679,38.03787185436372,7.737241649557049e-05,0.0004818107153248,0.0004044382988292,28.726790499632976,False,True,False,506.837880093024,low/none
41,41,iso,control,metoprolol,167.7,189.9,207.4,260.8,93.10000000000002,70.9,53.400000000000006,203.6,323.5,396.3,90.9,191.8,110.7,0.0079773057297471,7.68413911423249,256.35569188733854,-87.97914184595322,38.12219935326847,7.703454043212769e-05,0.0005438898981442,0.0004668553577121,7.676161808502743,True,True,False,503.9685735028381,low/none
42,42,iso,control,metoprolol,171.1,193.4,210.4,263.0,91.9,69.6,52.6,251.3,411.2,509.2,148.6,303.5,170.6,0.1007936624946152,30.03931562401558,255.961256923333,-87.97589972863176,37.946189492508736,7.795699068612702e-05,0.0004261051390113,0.0003481481483252,29.93852196152096,False,False,False,509.3178885547149,low/none
43,43,iso,control,metoprolol,168.2,190.4,207.9,261.1,92.90000000000003,70.70000000000002,53.20000000000002,209.8,336.6,413.9,100.0,209.2,125.4,0.0171304867334961,13.904999670299718,256.2884837914583,-87.97862673049688,38.10405230967463,7.719387347092e-05,0.0005221468928246,0.0004449530193537,13.887869183566222,True,True,False,505.0947043619813,low/none
44,44,iso,control,metoprolol,168.8,191.1,208.4,261.6,92.8,70.50000000000003,53.20000000000002,217.8,352.1,434.2,105.5,214.8,127.3,0.0374602853966344,22.41592040542351,256.21520592360764,-87.9781039946704,38.073003497286535,7.735566476811215e-05,0.0004985820326205,0.0004212263678524,22.37846012002688,False,True,False,506.2279157031719,low/none
45,45,iso,control,metoprolol,170.6,192.9,210.0,262.7,92.1,69.79999999999998,52.69999999999999,242.9,397.4,492.2,213.2,441.9,185.3,3.2537233589712105,41.01602430509757,256.0159944165994,-87.97639544070249,37.97568142391711,7.781743563361142e-05,0.0004409701363713,0.0003631527007377,37.762300946126366,False,False,False,508.7468528061145,low/none
46,46,iso,control,metoprolol,172.0,194.2,211.1,263.5,91.5,69.30000000000001,52.400000000000006,261.1,430.9,535.0,159.4,330.1,170.7,0.1364825333746697,30.327392873458887,255.86372288335383,-87.97448419567637,37.91470026180141,7.840853250907375e-05,0.000408013917635,0.0003296053851259,30.190910340084216,False,False,False,510.1167284535626,low/none
47,47,iso,control,metoprolol,169.7,192.0,209.3,262.2,92.5,70.19999999999999,52.89999999999998,231.0,376.2,465.3,129.7,249.6,183.9,0.0815713263440107,33.85018550286561,256.1076684031656,-87.97725511926492,38.02052224999525,7.758324213243368e-05,0.00046587806024,0.0003882948181076,33.768614176521595,False,True,False,507.68920549352407,low/none
48,48,iso,control,metoprolol,168.0,190.3,207.8,261.1,93.10000000000002,70.80000000000001,53.30000000000001,208.7,333.7,409.9,115.3,231.7,137.5,0.0807584061720801,33.09675784276871,256.3046266528468,-87.97877376619871,38.10618198370579,7.714699351430325e-05,0.0005264533416175,0.0004493063481032,33.01599943659663,True,True,False,504.8432031927385,low/none
49,49,iso,control,metoprolol,170.0,192.3,209.5,262.4,92.39999999999998,70.09999999999997,52.89999999999998,235.1,383.2,474.0,184.2,374.2,170.9,1.5830973340558454,38.925758741035935,256.0788752872291,-87.97702452938032,38.004411163617554,7.76416003482977e-05,0.0004571586614586,0.0003795170611103,37.34266140698009,False,False,False,508.0477084592485,low/none
50,50,iso,control,metoprolol,168.2,190.5,207.9,261.2,93.0,70.69999999999999,53.29999999999998,211.2,338.4,415.9,118.8,245.9,161.1,0.0648501366539428,29.09337766412419,256.28271538035483,-87.97862909923735,38.0967645495411,7.71909548280166e-05,0.0005188495256976,0.0004416585708696,29.02852752747025,True,True,False,505.20560380166216,low/none
