,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,iso,gomez,metoprolol,203.7,238.9,264.9,338.2,134.5,99.29999999999998,73.30000000000001,466.8,687.6,807.7,185.6,433.4,281.9,0.4563515966630399,8.257396256156968,240.25665469099408,-87.73507904456602,39.92378500136929,9.969030292303864e-05,0.0001957567892833,9.606648636031334e-05,7.801044659493928,False,False,False,110.58564654858074,low/none
1,1,iso,gomez,metoprolol,202.0,237.6,264.2,338.9,136.89999999999998,101.29999999999998,74.69999999999999,435.9,638.6,760.0,159.0,361.5,262.8,0.1062835186686425,3.1222288889317147,240.9703164045819,-87.7619654249229,39.982299181158055,9.562758011605098e-05,0.0002088219965474,0.0001131944164314,3.015945370263072,False,False,False,108.70416004254233,low/none
2,2,iso,gomez,metoprolol,203.2,238.5,264.7,338.3,135.10000000000002,99.8,73.60000000000002,457.4,673.8,795.0,210.4,453.0,325.5,1.1280413763629002,15.145069070257874,240.48305884234037,-87.74359637505427,39.93845337356427,9.841502628161652e-05,0.000199450534699,0.0001010355084174,14.017027693894974,False,False,False,110.2199319929062,low/none
3,3,iso,gomez,metoprolol,203.1,238.4,264.7,338.5,135.4,100.1,73.80000000000001,454.8,668.6,789.7,158.0,347.4,288.2,0.1725061673609531,3.479757842693493,240.58833097026152,-87.74770202570663,39.95096675125489,9.780690787986584e-05,0.0002008221413154,0.0001030152334355,3.30725167533254,False,False,False,109.66424828722916,low/none
4,4,iso,gomez,metoprolol,202.9,238.3,264.6,338.7,135.79999999999998,100.39999999999998,74.09999999999997,451.4,662.1,783.1,188.4,417.1,301.3,0.5239418586721972,9.018137053055844,240.7015802556088,-87.75208908173089,39.965104996053256,9.71517856044704e-05,0.0002024957347539,0.0001053439491494,8.494195194383648,False,False,False,109.09918557679374,low/none
5,5,iso,gomez,metoprolol,203.1,238.5,264.7,338.6,135.50000000000003,100.10000000000002,73.90000000000003,455.4,668.3,789.2,190.9,434.3,287.3,0.1854160558582358,3.856779634048131,240.61226184549787,-87.74872690677316,39.95803172929509,9.766131624044782e-05,0.0002008363011097,0.0001031749848692,3.671363578189895,False,False,False,109.31415977603945,low/none
6,6,iso,gomez,metoprolol,203.3,238.6,264.8,338.6,135.3,100.00000000000004,73.80000000000001,458.4,672.2,792.8,175.1,409.6,274.2,0.2883599309259587,6.05381602886116,240.56619352269743,-87.74705898637677,39.95800665573236,9.791854560169777e-05,0.0001997833441727,0.000101864798571,5.765456097935202,False,False,False,109.24541502397136,low/none
7,7,iso,gomez,metoprolol,202.5,238.0,264.5,338.7,136.2,100.7,74.19999999999999,445.3,653.1,774.5,196.4,448.2,282.2,0.8880107512297957,11.498920884996664,240.807510546457,-87.7559797161658,39.97037178631149,9.655272284376476e-05,0.0002049036362887,0.000108350913445,10.610910133766868,False,False,False,109.01599502865848,low/none
8,8,iso,gomez,metoprolol,204.5,239.6,265.4,338.0,133.5,98.4,72.60000000000002,482.6,708.0,825.4,228.5,504.9,305.0,2.588163782231056,19.020936123501205,239.89070840346025,-87.72143852615322,39.910218620253694,0.0001017169976692,0.0001901917907862,8.847479311700558e-05,16.432772341270148,False,False,False,110.66276157334327,low/none
9,9,iso,gomez,metoprolol,204.8,239.8,265.4,337.8,133.0,98.0,72.40000000000003,487.0,714.7,831.3,223.0,517.3,278.5,2.237785428760262,14.828350055810075,239.71708476910285,-87.71481946580937,39.89702217198988,0.0001026765378308,0.0001883284178939,8.565188006313769e-05,12.590564627049812,False,False,False,111.10286392241456,low/none
