,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,dyn,control,mexiletine,162.6,184.0,201.4,255.0,92.4,71.0,53.599999999999994,182.3,279.8,341.6,149.6,291.9,116.2,0.04898508040726791,2.6321473924084526,244.29336586192005,-87.98696458147197,37.1605562091614,7.555432275381536e-05,0.0005908006345263832,0.0005152463117725679,2.5831623120011846,True,True,False,561.7778597382695
1,dyn,control,mexiletine,162.3,183.7,201.1,254.4,92.1,70.70000000000002,53.30000000000001,174.7,267.7,326.3,129.5,256.0,108.7,0.020991351615741796,2.14306056294753,244.37210042434327,-87.98703008251073,37.186778309903346,7.561455003009466e-05,0.0006200868293760827,0.000544472279345988,2.1220692113317883,True,True,False,560.610085488365
2,dyn,control,mexiletine,162.6,184.0,201.4,255.1,92.5,71.1,53.69999999999999,185.5,280.5,340.9,178.5,346.9,158.6,0.10419116737521154,2.8873358705326617,244.3081559807907,-87.98786852755576,37.1866735002576,7.498950750173109e-05,0.0005862944564513562,0.0005113049489496251,2.78314470315745,True,True,False,561.2885610610438
3,dyn,control,mexiletine,162.6,184.0,201.5,255.1,92.5,71.1,53.599999999999994,186.5,281.0,341.6,134.8,281.5,129.6,0.021021927532872846,2.11442083584379,244.2969754074445,-87.98718003744332,37.15886021824075,7.549542252304382e-05,0.0005809569655709588,0.0005054615430479149,2.0933989083109172,True,True,False,561.7413553855366
4,dyn,control,mexiletine,162.5,183.9,201.3,254.9,92.4,71.0,53.599999999999994,182.5,274.8,332.7,145.1,271.2,143.6,0.06370481323797679,2.5572183057600446,244.34093796403747,-87.98736361042663,37.16492365601604,7.544080096043568e-05,0.0005998093444722378,0.0005243685435118022,2.4935134925220677,True,True,False,560.75867102286
5,dyn,control,mexiletine,162.6,184.0,201.4,255.0,92.4,71.0,53.599999999999994,183.4,279.3,340.4,161.7,339.1,120.4,0.02676732162843424,2.0667321074661595,244.30846279046702,-87.98752663474053,37.15097070939697,7.529078357143057e-05,0.000590820923837122,0.0005155301402656914,2.0399647858377254,True,True,False,561.5293467749232
6,dyn,control,mexiletine,162.5,183.9,201.3,254.8,92.30000000000001,70.9,53.5,180.4,274.3,332.9,134.0,256.5,116.3,0.039034532927654915,2.4251229047083713,244.3317584911339,-87.9871611094111,37.14677561583421,7.554259956711811e-05,0.0006023713183464483,0.0005268287187793301,2.3860883717807164,True,True,False,561.1118555942749
7,dyn,control,mexiletine,162.3,183.7,201.1,254.6,92.29999999999998,70.9,53.5,174.9,268.4,326.9,173.1,332.8,124.7,0.08130901343630347,2.8473327324495106,244.377569563264,-87.98746270277478,37.18931192702414,7.534025552338174e-05,0.0006233871218323867,0.000548046866309005,2.7660237190132073,True,True,False,560.2154518885493
8,dyn,control,mexiletine,162.7,184.1,201.6,255.3,92.60000000000002,71.20000000000002,53.70000000000002,187.1,284.7,345.9,176.1,323.3,136.2,0.11912004710727174,2.998289683045134,244.273345514427,-87.98751436033672,37.13790533830696,7.522317532071074e-05,0.0005802763071291382,0.0005050531318084274,2.8791696359378625,True,True,False,561.8119457441603
9,dyn,control,mexiletine,162.7,184.2,201.6,255.2,92.5,71.0,53.599999999999994,184.2,284.2,346.6,165.0,302.5,110.7,0.1092363505330719,2.863966642743442,244.26043557751433,-87.98693700367876,37.14038086754934,7.552697952125716e-05,0.0005832256730472048,0.0005076986935259476,2.75473029221037,True,True,False,562.1749222436966
