,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,dyn,gomez,mexiletine,190.5,222.6,247.5,320.9,130.39999999999998,98.29999999999998,73.39999999999998,349.5,483.0,582.6,167.2,346.9,213.4,0.13579515055742275,0.9775132219572602,231.8560950704739,-87.79214833859761,38.56190980441522,8.922494824746611e-05,0.0002365911398097471,0.000147366191562281,0.8417180713998375,False,False,False,247.13208429911472
1,dyn,gomez,mexiletine,190.6,222.6,247.5,320.7,130.1,98.1,73.19999999999999,343.4,481.6,594.0,152.0,331.3,207.8,0.06993163902797214,0.6688132840838019,231.84652871912166,-87.79065454818668,38.5617543441233,8.945767230368777e-05,0.00023727641260681958,0.0001478187403031318,0.5988816450558297,False,False,False,247.42392963815354
2,dyn,gomez,mexiletine,190.1,222.3,247.3,321.1,131.00000000000003,98.80000000000001,73.80000000000001,346.0,478.4,566.9,180.0,353.6,237.3,0.23771826641027882,1.4012793201265459,231.92052545027425,-87.79728042192137,38.56916092796338,8.841804629946537e-05,0.00024156816912053873,0.00015315012282107336,1.163561053716267,False,False,False,246.7428951399745
3,dyn,gomez,mexiletine,191.7,223.6,248.2,321.1,129.40000000000003,97.50000000000003,72.90000000000003,356.8,510.2,624.2,157.5,405.5,221.5,0.08736034795185627,0.6034435212603415,231.77089351266713,-87.79041872379075,38.53868405044514,8.95822984676469e-05,0.00022989988344711913,0.00014031758497947224,0.5160831733084852,False,False,False,247.50919172538613
4,dyn,gomez,mexiletine,190.0,222.2,247.3,321.0,131.0,98.80000000000001,73.69999999999999,342.9,470.3,563.9,168.5,340.3,220.7,0.1584431563708819,1.155080533455773,231.91789133919508,-87.79540026467632,38.58262558421279,8.869037466785965e-05,0.00024219724580826929,0.00015350687114040962,0.9966373770848911,False,False,False,246.45013593698863
5,dyn,gomez,mexiletine,191.2,223.2,248.0,321.3,130.10000000000002,98.10000000000002,73.30000000000001,354.9,493.9,596.3,169.2,370.1,226.2,0.0845624209385197,0.723974381842342,231.8235957938177,-87.79301669045539,38.55733994525143,8.914991525934769e-05,0.00023382953051325533,0.00014467961525390765,0.6394119609038222,False,False,False,246.6372324393726
6,dyn,gomez,mexiletine,190.4,222.5,247.4,320.9,130.49999999999997,98.39999999999998,73.49999999999997,345.0,478.5,581.2,160.9,346.6,206.9,0.11128365399266274,0.9019680348236336,231.86832492045212,-87.79217204210569,38.57738731769193,8.92101751408912e-05,0.00023799225032447807,0.00014878207518358687,0.7906843808309709,False,False,False,246.755411483797
7,dyn,gomez,mexiletine,189.6,221.9,247.0,320.7,131.1,98.79999999999998,73.69999999999999,339.2,471.3,562.3,189.2,382.5,218.3,0.22049502782582,1.345728336572653,231.95689640326944,-87.79761001283318,38.58835514622499,8.832288301024367e-05,0.00024434974272886933,0.00015602685971862566,1.125233308746833,False,False,False,247.01114395986804
8,dyn,gomez,mexiletine,190.2,222.4,247.4,321.0,130.8,98.6,73.6,349.9,487.6,578.9,188.9,385.3,224.7,0.3054521385779181,1.5528863202958787,231.9110636779196,-87.79808394757822,38.57854411774126,8.830308386300279e-05,0.00023842219691826586,0.00015011911305526306,1.2474341817179606,False,False,False,246.81147948780844
9,dyn,gomez,mexiletine,190.3,222.5,247.4,320.7,130.39999999999998,98.19999999999999,73.29999999999998,350.7,491.5,591.0,188.4,401.7,210.3,0.3057270131248239,1.4128325767202246,231.88491677862254,-87.79582850516756,38.573325069468964,8.865457945469814e-05,0.00023589318682334769,0.00014723860736864954,1.1071055635954006,False,False,False,247.5751012339851
