,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,iso,gomez,mexiletine,195.4,226.7,249.7,318.9,123.49999999999996,92.2,69.19999999999999,455.5,677.8,800.3,181.9,432.4,276.1,0.3833300210443751,6.538599129382964,231.07815938013627,-87.74709670455925,38.39693995792664,9.653401431739424e-05,0.000186056604324,8.952259000664303e-05,6.155269108338589,False,False,False,249.0711041451316,low/none
1,1,iso,gomez,mexiletine,193.8,225.4,248.9,319.4,125.59999999999997,93.99999999999996,70.49999999999997,424.6,627.9,751.1,153.8,354.5,258.8,0.0978894541119107,2.4154064032691243,231.3552436518759,-87.77105214039327,38.44928977169928,9.28719773067496e-05,0.0001979303491751,0.0001050583718684,2.3175169491572136,False,False,False,247.81854052821345,low/none
2,2,iso,gomez,mexiletine,194.9,226.3,249.4,319.0,124.1,92.7,69.6,446.0,663.7,787.1,205.4,450.7,317.3,0.9503303945779276,12.34904466333588,231.1655598626644,-87.75473072072768,38.41063463768616,9.53773167270493e-05,0.0001894330443662,9.40557276392134e-05,11.398714268757953,False,False,False,248.8533374888888,low/none
3,3,iso,gomez,mexiletine,194.8,226.2,249.4,319.1,124.3,92.90000000000003,69.70000000000002,443.4,658.3,781.6,152.8,352.9,280.9,0.1550598378313452,2.581464690581143,231.20089116910404,-87.75836562419495,38.42055570810152,9.483272873795688e-05,0.0001907095989874,9.58768702494538e-05,2.4264048527497977,False,False,False,248.43325503796447,low/none
4,4,iso,gomez,mexiletine,194.6,226.1,249.4,319.3,124.70000000000002,93.20000000000002,69.9,440.0,651.6,774.8,183.1,414.3,293.5,0.449577547460887,7.332629541165887,231.2404253725523,-87.7622467535536,38.43195118336123,9.424650936276756e-05,0.0001922571354006,9.801062603790005e-05,6.883051993705,False,False,False,248.0126556361855,low/none
5,5,iso,gomez,mexiletine,194.8,226.3,249.5,319.2,124.39999999999998,92.89999999999998,69.69999999999999,444.1,658.0,781.1,188.3,434.1,281.5,0.1550947551898081,3.0141253608038747,231.2054611108156,-87.75925126627071,38.42555384914014,9.47057732117004e-05,0.0001907481402175,9.604236700580458e-05,2.859030605614066,False,False,False,248.15175553455373,low/none
6,6,iso,gomez,mexiletine,195.0,226.4,249.6,319.2,124.2,92.79999999999998,69.6,447.0,662.0,784.8,170.2,407.0,268.6,0.2455476723899913,4.8409356359506965,231.1848928393508,-87.75774620130913,38.42468527776746,9.49405984359424e-05,0.0001898033841679,9.486278573200152e-05,4.595387963560706,False,False,False,248.07484287040973,low/none
7,7,iso,gomez,mexiletine,194.3,225.8,249.2,319.3,125.0,93.5,70.10000000000002,433.9,642.5,765.9,192.2,446.0,277.0,0.7773314427990389,9.504952456789828,231.28574471411733,-87.7657251756303,38.437664394601214,9.370470245874612e-05,0.0001944199321861,0.0001007152297274,8.72762101399079,False,False,False,247.99352795881708,low/none
8,8,iso,gomez,mexiletine,196.2,227.4,250.2,318.9,122.7,91.49999999999996,68.69999999999999,471.6,699.1,819.0,223.6,503.1,298.5,2.2389227133489102,16.148792047239628,230.93385059409653,-87.73474652234317,38.38217166873384,9.83910337146647e-05,0.0001809517318481,8.256069813351214e-05,13.909869333890718,False,False,False,249.01329661636015,low/none
9,9,iso,gomez,mexiletine,196.4,227.6,250.3,318.8,122.4,91.20000000000002,68.5,476.3,706.2,825.2,218.6,516.1,272.9,1.963296858082181,12.663220825573047,230.8726667385169,-87.72877590892088,38.37099652023652,9.926695015665772e-05,0.0001792042576642,7.993730750754553e-05,10.699923967490868,False,False,False,249.32836074502652,low/none
10,10,iso,gomez,mexiletine,196.8,227.9,250.5,318.7,121.89999999999998,90.79999999999998,68.19999999999999,485.4,718.2,835.3,227.4,526.0,282.6,3.3513946742393497,19.717594663835698,230.76424003392253,-87.71870740716054,38.3575203131177,0.0001007391938125,0.0001761806848341,7.544149102158701e-05,16.366199989596346,False,False,False,249.544692300539,low/none
11,11,iso,gomez,mexiletine,198.2,229.1,251.3,318.4,120.2,89.29999999999998,67.09999999999997,514.7,754.2,863.6,237.0,537.2,296.7,1.874173715408281,10.869087776071478,230.3159029708773,-87.67670512638057,38.30555427123157,0.0001066929194074,0.000166414048949,5.972112954162835e-05,8.994914060663197,False,False,False,250.6733870292724,low/none
