,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,dyn,control,nifedipine,163.6,185.4,203.0,255.7,92.1,70.29999999999998,52.69999999999999,183.2,281.1,342.8,147.7,289.6,115.5,0.04965133700197951,2.5450836486644786,256.98175441981834,-87.98387644955669,37.57816691628614,7.600894440498417e-05,0.0005716785910990199,0.0004956696466940358,2.495432311662499,True,True,False,520.3605868590571
1,dyn,control,nifedipine,163.3,185.1,202.7,255.2,91.89999999999998,70.1,52.5,175.5,269.1,327.8,128.2,254.4,108.1,0.021309733441475423,2.0534127811003957,257.0275190022178,-87.98387920875963,37.59822093031134,7.60806424842164e-05,0.0005995700946932206,0.0005234894522090042,2.03210304765892,True,True,False,519.4957203032606
2,dyn,control,nifedipine,163.5,185.3,203.1,255.8,92.30000000000001,70.5,52.70000000000002,186.5,281.7,342.1,176.2,343.7,157.3,0.10540994406894534,2.8204403551540063,256.9986609873441,-87.98471136747521,37.600314922646895,7.546297709592602e-05,0.0005676345329038146,0.0004921715558078887,2.7150304110850607,True,True,False,519.8457044929385
3,dyn,control,nifedipine,163.6,185.4,203.1,255.8,92.20000000000002,70.4,52.70000000000002,187.5,282.5,343.0,133.0,279.4,128.4,0.021399476853122858,2.021000725693289,256.9882161390988,-87.98409812713125,37.579245701402314,7.594947302108358e-05,0.000561611640206366,0.00048566216718528237,1.999601248840166,True,True,False,520.3361408898875
4,dyn,control,nifedipine,163.4,185.2,202.9,255.7,92.29999999999998,70.5,52.79999999999998,183.3,275.9,333.9,143.6,269.4,142.4,0.06449029210623884,2.4880352091497255,257.01779594970196,-87.98425318715017,37.582948269412796,7.589615284181491e-05,0.0005807393663665907,0.0005048432135247758,2.4235449170434866,True,True,False,519.425920130566
5,dyn,control,nifedipine,163.5,185.3,203.0,255.7,92.19999999999999,70.39999999999998,52.69999999999999,184.5,280.8,341.9,160.1,336.1,119.7,0.027133679212783837,1.9817049614154028,256.9994554011913,-87.98441828452998,37.57250449818733,7.575332645735134e-05,0.00057133625307852,0.0004955829266211687,1.9545712822026189,True,True,False,520.1551681950182
6,dyn,control,nifedipine,163.5,185.2,202.9,255.6,92.1,70.4,52.69999999999999,181.1,275.5,334.1,132.6,255.0,115.5,0.039565536737618166,2.3452213704233404,257.00909704507603,-87.98406302425667,37.56826423414962,7.599690725359939e-05,0.000582983806694961,0.0005069868994413615,2.3056558336857225,True,True,False,519.799583226658
7,dyn,control,nifedipine,163.3,185.0,202.8,255.3,92.0,70.30000000000001,52.5,175.6,269.5,328.2,171.2,330.2,124.0,0.08218539806148412,2.7791388261548375,257.0373814608494,-87.98429670152069,37.599202155988195,7.580778521873262e-05,0.0006036733482682222,0.0005278655630494896,2.6969534280933534,True,True,False,519.0382696602952
8,dyn,control,nifedipine,163.6,185.4,203.2,256.0,92.4,70.6,52.80000000000001,188.0,285.8,347.0,174.3,321.1,135.3,0.12028047019619012,2.937834745500394,256.98049486710005,-87.98445169904166,37.562210862653046,7.566877819203733e-05,0.0005621055585231065,0.00048643678033106916,2.8175542753042038,True,True,False,520.2365851606426
9,dyn,control,nifedipine,163.7,185.5,203.2,255.9,92.20000000000002,70.4,52.70000000000002,185.1,285.4,347.7,163.7,301.5,110.3,0.11097876994232271,2.799081360562702,256.9630123873209,-87.98388923617826,37.559220890187284,7.596781590485018e-05,0.0005648652690689797,0.0004888974531641294,2.6881025906203795,True,True,False,520.6191083809127
