,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,iso,control,nifedipine,166.9,188.8,206.0,258.3,91.4,69.5,52.30000000000001,235.5,382.5,473.6,122.4,253.6,148.7,0.0590281313228742,24.48141224164162,256.4202410992181,-87.98022588331669,37.42990950910352,7.692303264740077e-05,0.0004191671800869,0.0003422441474395,24.422384110318745,False,False,False,520.3161244677268,low/none
1,1,iso,control,nifedipine,165.3,187.2,204.7,257.3,92.0,70.10000000000002,52.60000000000002,214.2,340.7,418.7,105.6,220.6,132.3,0.0227344652778847,12.609265025303854,256.6016542698667,-87.98175823978335,37.48965355787051,7.65005695544779e-05,0.0004689390442766,0.0003924384747221,12.586530560025968,True,True,False,518.3785566520814,low/none
2,2,iso,control,nifedipine,166.4,188.3,205.6,258.0,91.6,69.69999999999999,52.400000000000006,227.7,368.9,456.4,142.5,284.8,204.5,0.1448486275440836,29.96712521487345,256.47373482590353,-87.98068097459712,37.45194867064359,7.680935814097024e-05,0.000434689690301,0.00035788033216,29.822276587329373,False,True,False,519.806815831983,low/none
3,3,iso,control,nifedipine,166.2,188.1,205.4,257.9,91.7,69.79999999999998,52.49999999999997,227.2,364.4,449.4,112.1,234.1,166.1,0.0238390558739013,13.325109736792344,256.5029022453938,-87.98107989203204,37.45279772152786,7.669467274933154e-05,0.0004380781830993,0.00036138351035,13.301270680918442,False,True,False,519.5435647885674,low/none
4,4,iso,control,nifedipine,165.9,187.8,205.2,257.7,91.79999999999998,69.89999999999998,52.5,225.4,358.8,441.2,127.3,244.1,183.1,0.0764401015365939,19.92898541220125,256.53403388468286,-87.98146295476208,37.455138198264,7.657641810312121e-05,0.0004438228660831,0.00036724644798,19.852545310664656,False,True,False,519.2338161206513,low/none
5,5,iso,control,nifedipine,166.1,188.0,205.3,257.9,91.79999999999998,69.89999999999998,52.599999999999966,228.3,364.1,448.1,129.7,282.4,152.0,0.0312514735745996,12.189030946135496,256.5118600056257,-87.98129510901786,37.447676408492384,7.662378056486531e-05,0.0004373692299214,0.0003607454493565,12.157779472560897,False,True,False,519.4775027505352,low/none
6,6,iso,control,nifedipine,166.2,188.1,205.4,257.9,91.7,69.79999999999998,52.49999999999997,230.7,367.4,451.9,115.8,233.2,146.3,0.0445899134040309,17.648336692515525,256.50254339598564,-87.98131025636545,37.440368627397774,7.661195065481115e-05,0.0004330504770384,0.0003564385263836,17.603746779111493,False,True,False,519.5913042412061,low/none
7,7,iso,control,nifedipine,165.7,187.6,205.0,257.6,91.90000000000003,70.00000000000003,52.60000000000002,220.8,351.6,432.5,132.5,276.8,154.5,0.0996541417743403,27.04318260604381,256.55930577401773,-87.98155134651847,37.4694405380087,7.655734805047563e-05,0.0004535087669588,0.0003769514189083,26.943528464269477,False,True,False,518.9223172495645,low/none
8,8,iso,control,nifedipine,167.6,189.5,206.6,258.7,91.1,69.19999999999999,52.1,250.3,405.4,501.4,152.4,307.5,177.2,0.17253349080601,34.18006446763103,256.3417575355987,-87.97966497059998,37.39230535498864,7.705997966711899e-05,0.0003945223250748,0.0003174623454076,34.00753097682502,False,False,False,520.9784546621788,low/none
9,9,iso,control,nifedipine,168.0,189.8,206.9,258.9,90.89999999999998,69.09999999999997,51.99999999999997,254.4,414.4,513.6,147.1,306.7,141.0,0.1874162084968029,29.49820743737217,256.2979626140563,-87.97902756720684,37.3816535958736,7.725779981113935e-05,0.0003869521363913,0.0003096943365802,29.310791228875367,False,False,False,521.2623298534069,low/none
10,10,iso,control,nifedipine,168.6,190.4,207.3,259.2,90.6,68.79999999999998,51.89999999999998,263.4,431.0,534.8,153.6,310.8,157.6,0.2771308536681709,40.26726151783269,256.2276688760492,-87.9780804877227,37.36108938398502,7.755668313732648e-05,0.0003730057433631,0.0002954490602258,39.990130664164525,False,False,False,521.6650272348578,low/none
11,11,iso,control,nifedipine,171.2,192.9,209.5,260.7,89.5,67.79999999999998,51.19999999999999,299.3,500.5,623.6,155.1,322.9,163.5,0.0888251127642817,24.288797533084715,255.8659944299442,-87.97085734143323,37.29472879418728,8.008495661166894e-05,0.0003258922509715,0.0002458072943598,24.19997242032043,False,False,False,522.8030494618433,low/none
12,12,iso,control,nifedipine,167.6,189.5,206.6,258.7,91.1,69.19999999999999,52.1,251.9,406.7,502.5,132.0,268.2,157.4,0.0671784669683824,22.27479129643058,256.3419465091687,-87.9797819342041,37.38993291111564,7.701843162265035e-05,0.0003927928045519,0.0003157743729293,22.2076128294622,False,False,False,520.9855488042454,low/none
13,13,iso,control,nifedipine,165.3,187.2,204.6,257.3,92.0,70.10000000000002,52.70000000000002,214.8,340.4,417.7,112.0,230.2,136.4,0.0603807516503501,22.4655787107257,256.6078313980954,-87.98188751583044,37.4848867885894,7.645666590645913e-05,0.0004686346365427,0.0003921779706363,22.405197959075352,True,True,False,518.3201581502705,low/none
14,14,iso,control,nifedipine,168.2,190.0,207.0,259.0,90.8,69.0,52.0,259.1,421.7,522.3,157.4,320.7,176.9,0.2409170424628484,30.617139825912027,256.27344564295544,-87.97881659051998,37.37230293357995,7.731825179778172e-05,0.0003802686683636,0.0003029504165659,30.37622278344918,False,False,False,521.4174929727957,low/none
