,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,dyn,control,nitrendipine,162.6,184.3,202.0,254.6,92.0,70.29999999999998,52.599999999999994,183.8,281.4,342.9,145.4,286.6,114.5,0.04923411791617959,2.4414082634960157,257.04313797686024,-87.98514380627991,37.35956284697623,7.572721970301334e-05,0.0005501134648531089,0.00047438624515009557,2.392174145579836,True,True,False,523.989413425077
1,dyn,control,nitrendipine,162.3,184.0,201.8,254.1,91.79999999999998,70.1,52.29999999999998,176.0,269.6,328.4,126.3,251.9,107.5,0.0211169297445188,1.9483504274677887,257.08680947226645,-87.9851307172692,37.37647131321805,7.580084316726416e-05,0.0005763401678412819,0.0005005393246740177,1.92723349772327,True,True,False,523.2742410032004
2,dyn,control,nitrendipine,162.5,184.3,202.1,254.7,92.19999999999999,70.39999999999998,52.599999999999994,187.1,281.8,342.2,173.1,339.5,155.7,0.10467110510020312,2.7393462997618863,257.0599627162054,-87.98589367497581,37.37858391627779,7.522675756550545e-05,0.0005466113492053885,0.000471384591639883,2.6346751946616833,True,True,False,523.4566414916867
3,dyn,control,nitrendipine,162.6,184.3,202.1,254.7,92.1,70.39999999999998,52.599999999999994,188.2,283.0,343.6,131.0,276.8,126.8,0.021160608632721102,1.9120836533538026,257.04859762347013,-87.98535819379177,37.36101710987751,7.567038025105414e-05,0.0005398731010625843,0.00046420272081153013,1.8909230447210814,True,True,False,524.0283087038496
4,dyn,control,nitrendipine,162.5,184.2,201.9,254.6,92.1,70.4,52.69999999999999,183.7,276.0,334.0,141.5,266.8,140.8,0.06400463636106443,2.4052673367828743,257.07853820714246,-87.98551066235378,37.364157712092855,7.561624560404657e-05,0.0005592555506597545,0.0004836393050557079,2.34126270042181,True,True,False,523.0919094029643
5,dyn,control,nitrendipine,162.6,184.3,202.0,254.6,92.0,70.29999999999998,52.599999999999994,185.1,281.3,342.3,158.0,332.4,118.8,0.026874671386867773,1.882631619225019,257.05976395783335,-87.98565287498053,37.35545303612215,7.549088684117771e-05,0.0005494200406177874,0.00047392915377660966,1.8557569478381513,True,True,False,523.8417080283275
6,dyn,control,nitrendipine,162.5,184.2,201.9,254.4,91.9,70.20000000000002,52.5,181.5,275.7,334.3,130.7,252.7,114.4,0.03923137003748101,2.250375021400699,257.0697350018653,-87.98532969497403,37.35187668989925,7.571244281814318e-05,0.0005611483697026836,0.00048543592688454046,2.211143651363218,True,True,False,523.4796064963099
7,dyn,control,nitrendipine,162.3,184.0,201.8,254.2,91.89999999999998,70.19999999999999,52.39999999999998,176.0,269.7,328.3,168.7,326.6,123.0,0.0816563027956496,2.6964002856995175,257.097498828149,-87.98552689754112,37.376957989197976,7.554371081775258e-05,0.0005813340774931651,0.0005057903666754125,2.614743982903868,True,True,False,522.7464024600561
8,dyn,control,nitrendipine,162.6,184.4,202.1,254.9,92.30000000000001,70.5,52.80000000000001,188.5,285.8,346.9,171.6,317.7,134.2,0.11954801117785274,2.864631484024589,257.0431319683936,-87.9857130205286,37.346950701670444,7.539784017776374e-05,0.0005417200844753561,0.0004663222442975923,2.745083472846736,True,True,False,523.7718318818677
9,dyn,control,nitrendipine,162.7,184.4,202.2,254.8,92.10000000000002,70.4,52.60000000000002,185.6,285.5,347.8,161.6,299.3,109.8,0.10981756766509984,2.7214074216112514,257.02607778343577,-87.9851804733718,37.34249367362476,7.567476303888095e-05,0.0005442677413655964,0.0004685929783267154,2.6115898539461515,True,True,False,524.1464808907059
10,dyn,control,nitrendipine,162.7,184.5,202.2,254.9,92.20000000000002,70.4,52.70000000000002,188.6,288.1,349.8,159.9,288.0,119.1,0.1363385895538887,2.9972175076190695,257.0203057370463,-87.98527638438009,37.33803144891028,7.562947276311126e-05,0.0005374891117689653,0.0004618596390058541,2.860878918065181,True,True,False,524.1492548230212
11,dyn,control,nitrendipine,163.2,185.0,202.7,255.5,92.30000000000001,70.5,52.80000000000001,204.9,310.0,372.9,148.8,282.8,115.5,0.05789842972430984,2.2506015294262447,256.9436264103202,-87.98524186081167,37.31978341219532,7.565115341543438e-05,0.0004904663454075029,0.00041481519199206853,2.192703099701935,False,True,False,525.8491505908621
12,dyn,control,nitrendipine,162.7,184.4,202.2,254.9,92.20000000000002,70.5,52.70000000000002,189.6,287.2,348.0,145.2,280.7,118.4,0.05440151765623586,2.3764594502831113,257.0330285294534,-87.98549212823906,37.33694405312244,7.559797099012153e-05,0.0005362426418216369,0.00046064467083151535,2.3220579326268753,True,True,False,524.1786514933028
13,dyn,control,nitrendipine,162.2,183.9,201.6,254.0,91.80000000000001,70.1,52.400000000000006,171.9,264.5,321.9,137.6,262.0,110.0,0.053130111439738774,2.5224119676842904,257.1098011071707,-87.9852419474526,37.37868787546961,7.575706655953959e-05,0.000594031393857587,0.0005182743272980474,2.4692818562445518,True,True,False,522.5594930934603
14,dyn,control,nitrendipine,162.8,184.5,202.3,255.0,92.19999999999999,70.5,52.69999999999999,191.9,290.6,352.4,169.9,312.3,133.0,0.1262894045924302,2.7622129449230917,257.0247245000582,-87.98565010847173,37.33952711528903,7.543944390714545e-05,0.0005308265010767488,0.0004553870571696033,2.6359235403306616,True,True,False,524.1142424366255
15,dyn,control,nitrendipine,162.4,184.2,201.9,254.5,92.1,70.30000000000001,52.599999999999994,180.6,276.1,335.7,197.2,362.1,141.0,0.2552588170651544,3.0270319579955767,257.0699240266653,-87.9855322019164,37.37615507147841,7.543767276018255e-05,0.0005644790611719084,0.0004890413884117258,2.7717731409304225,True,True,False,523.1262720840294
16,dyn,control,nitrendipine,162.2,183.9,201.7,254.0,91.80000000000001,70.1,52.30000000000001,172.7,264.4,321.1,130.7,236.8,119.1,0.059015133852360964,2.541479029290787,257.10782645270484,-87.98513640016162,37.390556004554455,7.580287334266653e-05,0.0005917455510596814,0.0005159426777170148,2.482463895438426,True,True,False,522.5150964858933
17,dyn,control,nitrendipine,163.1,184.8,202.6,255.4,92.30000000000001,70.6,52.80000000000001,201.7,306.0,372.1,200.1,375.1,134.5,0.17102775839963463,2.5402862514289466,256.98126539983366,-87.98676383098726,37.32711858669818,7.466461363598972e-05,0.0005026247564975228,0.0004279601428615331,2.369258493029312,True,True,False,525.0658186596349
18,dyn,control,nitrendipine,162.6,184.3,202.0,254.6,92.0,70.29999999999998,52.599999999999994,183.9,280.0,339.1,138.0,249.8,117.3,0.0717682403449235,2.6348304862942102,257.0460979071579,-87.98510186365026,37.351074095271784,7.57762165522376e-05,0.0005521855907452687,0.0004764093741930312,2.5630622459492867,True,True,False,523.7635051164277
19,dyn,control,nitrendipine,162.5,184.2,202.0,254.7,92.19999999999999,70.5,52.69999999999999,184.9,280.9,341.9,199.2,402.7,135.7,0.07192587488229926,2.3824905582335796,257.07271187922964,-87.98670971548731,37.362704998722485,7.486040376746286e-05,0.0005531250855634548,0.0004782646817959919,2.3105646833512803,True,True,False,523.4447822620278
20,dyn,control,nitrendipine,162.3,184.0,201.7,254.2,91.89999999999998,70.19999999999999,52.5,177.2,269.1,327.4,186.2,403.4,130.0,0.033696606234761846,1.893021264258092,257.1117093100752,-87.9860070262987,37.388865263840984,7.530919371128297e-05,0.0005789352506584293,0.0005036260569471463,1.85932465802333,True,True,False,522.6924216783293
21,dyn,control,nitrendipine,162.6,184.4,202.1,254.7,92.1,70.29999999999998,52.599999999999994,186.4,283.0,342.8,140.0,253.7,125.1,0.07525282203670546,2.643090604535758,257.0359087824459,-87.98507484575032,37.35645453129387,7.576972663667218e-05,0.0005445697870540162,0.00046880006041734404,2.5678377824990526,True,True,False,523.9301185439612
22,dyn,control,nitrendipine,162.1,183.8,201.5,253.8,91.70000000000002,70.0,52.30000000000001,171.6,261.3,318.1,149.7,322.2,128.5,0.031454149982861536,2.1862625343952375,257.1342691019694,-87.9854998653569,37.40784389428635,7.561911658012597e-05,0.0005988539940028901,0.0005232348774227641,2.154808384412376,True,True,False,522.1183490386273
23,dyn,control,nitrendipine,162.8,184.5,202.3,255.1,92.29999999999998,70.6,52.79999999999998,193.9,292.8,356.1,169.7,346.3,132.2,0.06046924659523792,2.335996120391225,257.02835077582773,-87.98623555468643,37.34182887134262,7.507770568288223e-05,0.0005252913696788937,0.0004502136639960115,2.2755268737959873,True,True,False,524.3375744308944
24,dyn,control,nitrendipine,162.1,183.8,201.5,253.8,91.70000000000002,70.0,52.30000000000001,167.7,259.1,315.7,183.8,347.9,127.3,0.183260683520868,2.684560675012076,257.1313389467069,-87.98531465490679,37.41727693770446,7.566854050834896e-05,0.000610366233195664,0.000534697692687315,2.5012999914912077,True,True,False,521.9316601430659
25,dyn,control,nitrendipine,162.3,184.0,201.7,254.1,91.79999999999998,70.1,52.400000000000006,174.0,267.1,325.3,151.5,294.1,113.9,0.04545270029865407,2.2886993546945393,257.1038541460929,-87.98535112786033,37.377806970318865,7.568947265724207e-05,0.0005870065100096722,0.0005113170373524301,2.243246654395885,True,True,False,522.7132635908166
