,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,iso,control,nitrendipine,165.7,187.5,204.7,256.9,91.2,69.39999999999998,52.19999999999999,236.1,381.8,472.5,122.1,253.1,147.6,0.0582483142060033,22.03900330092025,256.5007048110137,-87.9817436697542,37.22147380112542,7.654832268549008e-05,0.0004053665310886,0.0003288182084031,21.98075498671425,False,False,False,522.9825030187717,low/none
1,1,iso,control,nitrendipine,164.2,186.0,203.5,256.1,91.90000000000003,70.10000000000002,52.60000000000002,214.6,340.0,417.7,105.2,220.3,131.4,0.0224742264203852,11.220533861181677,256.6750264091983,-87.98316142887691,37.27407052007144,7.616336485580487e-05,0.0004534149549807,0.0003772515901249,11.19805963476129,True,True,False,521.3354732741811,low/none
2,2,iso,control,nitrendipine,165.2,187.0,204.3,256.7,91.5,69.69999999999999,52.39999999999998,228.3,368.2,455.3,141.1,283.2,202.9,0.1428073085873296,27.721194157307977,256.55200926926125,-87.98215960765005,37.24038616136951,7.644773327246135e-05,0.000420398373966,0.0003439506406936,27.578386848720648,False,True,False,522.5585267391447,low/none
3,3,iso,control,nitrendipine,165.0,186.8,204.2,256.5,91.5,69.69999999999999,52.30000000000001,227.7,363.8,448.3,111.2,233.9,164.0,0.0234549832031831,11.785383337953064,256.58018462177694,-87.98254337134216,37.24203634250663,7.633740931926877e-05,0.00042361783066,0.0003472804213407,11.76192835474988,False,True,False,522.3316922120018,low/none
4,4,iso,control,nitrendipine,164.8,186.6,204.0,256.4,91.59999999999997,69.79999999999998,52.39999999999998,225.9,358.1,440.2,126.0,242.7,181.4,0.0756043419097835,18.349363597501963,256.61024067301736,-87.98291045745455,37.24496394000933,7.622382197859598e-05,0.0004291401789553,0.0003529163569767,18.27375925559218,False,True,False,522.0632046919416,low/none
5,5,iso,control,nitrendipine,165.0,186.7,204.1,256.5,91.5,69.80000000000001,52.400000000000006,228.8,363.5,447.1,129.6,282.3,150.8,0.0307149152992653,10.916831990078204,256.58895361629766,-87.98275677489244,37.23852272444296,7.626644913610379e-05,0.0004229047263694,0.0003466382772333,10.88611707477894,False,True,False,522.2701185767984,low/none
6,6,iso,control,nitrendipine,165.0,186.8,204.2,256.6,91.60000000000002,69.80000000000001,52.400000000000034,231.3,366.8,450.8,115.0,232.2,145.2,0.044064353357918,16.048002268830984,256.58011160939816,-87.98278048667315,37.2328541279517,7.62523484164123e-05,0.0004187187979846,0.0003424664495682,16.003937915473067,False,True,False,522.3625320228206,low/none
7,7,iso,control,nitrendipine,164.6,186.4,203.8,256.3,91.70000000000002,69.9,52.5,221.2,351.0,431.4,131.9,276.1,153.6,0.0986433573243638,24.953490732503543,256.6344003961686,-87.98298098463778,37.25681234420136,7.621084996024747e-05,0.0004385096679484,0.0003622988179882,24.854847375179183,False,True,False,521.8007060001128,low/none
8,8,iso,control,nitrendipine,166.4,188.1,205.2,257.3,90.9,69.20000000000002,52.10000000000002,251.2,404.8,500.3,151.0,305.6,176.4,0.1688069636938233,31.94684430782561,256.42586993437465,-87.98125439919606,37.19134929737543,7.666102313894874e-05,0.0003814406830792,0.0003047796599402,31.77803734413179,False,False,False,523.5111369126988,low/none
9,9,iso,control,nitrendipine,166.7,188.4,205.5,257.5,90.8,69.1,52.0,255.2,413.9,512.5,146.5,305.5,140.7,0.1834026732884381,27.39373446172101,256.3838074612712,-87.98065310201633,37.18154525259672,7.68466430604629e-05,0.0003741153383554,0.000297268695295,27.210331788432573,False,False,False,523.7410512325437,low/none
10,10,iso,control,nitrendipine,167.3,188.9,205.9,257.8,90.5,68.9,51.900000000000006,264.4,430.5,533.7,152.2,308.7,157.0,0.2705325912874846,37.74291783570907,256.3166463589783,-87.97977576559279,37.16464607074133,7.712159896726523e-05,0.0003605834867594,0.0002834618877922,37.47238524442159,False,False,False,524.050325908071,low/none
11,11,iso,control,nitrendipine,169.7,191.2,207.9,259.0,89.30000000000001,67.80000000000001,51.1,301.1,500.7,623.0,154.4,321.6,163.0,0.0867641173059363,22.027392846129604,255.9715189572433,-87.9730066745988,37.11194406908695,7.949347229392315e-05,0.0003147959613967,0.0002353024891027,21.94062872882367,False,False,False,524.8183674475355,low/none
