,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,iso,gomez,nitrendipine,205.8,240.3,266.5,338.4,132.59999999999997,98.09999999999997,71.89999999999998,466.7,686.6,806.9,184.3,434.9,284.9,0.3876870607543754,6.170293366799507,240.87564292085543,-87.75362547902957,38.62721640025564,9.674689400585226e-05,0.0001831578186594,8.641092465364119e-05,5.782606306045132,False,False,False,105.17424715851256,low/none
1,1,iso,gomez,nitrendipine,204.2,239.1,265.9,339.0,134.8,99.9,73.10000000000002,435.9,637.7,759.3,156.8,358.4,267.1,0.0986102704975647,2.253044757210395,241.5066606757404,-87.77718973201506,38.684578457032686,9.311376232654096e-05,0.000194547442406,0.0001014336800795,2.15443448671283,False,False,False,103.47195236952965,low/none
2,2,iso,gomez,nitrendipine,205.3,239.9,266.3,338.5,133.2,98.6,72.19999999999999,457.2,672.8,794.1,206.4,451.3,325.4,0.9614550220465556,11.819939177192,241.076433557411,-87.76112138376578,38.642693417213145,9.560130344771105e-05,0.0001863937546914,9.07924512437552e-05,10.858484155145444,False,False,False,104.82646570328332,low/none
3,3,iso,gomez,nitrendipine,205.2,239.8,266.3,338.7,133.5,98.89999999999998,72.39999999999998,454.7,667.5,788.8,154.6,357.8,289.2,0.1563013043301823,2.394397777550218,241.1686201321686,-87.76469514108497,38.65276723268726,9.506142617401627e-05,0.0001876167275953,9.255530142135216e-05,2.238096473220036,False,False,False,104.3372023280958,low/none
4,4,iso,gomez,nitrendipine,205.0,239.7,266.3,338.8,133.8,99.10000000000002,72.5,451.3,661.0,782.3,184.8,416.6,301.4,0.455096277993235,6.982376478202139,241.26793088863087,-87.76851339747385,38.6643055748813,9.447990384856812e-05,0.0001890994784588,9.46195746102484e-05,6.527280200208904,False,False,False,103.84086290386608,low/none
5,5,iso,gomez,nitrendipine,205.2,239.9,266.4,338.7,133.5,98.79999999999998,72.30000000000001,455.3,667.3,788.3,190.2,436.1,290.4,0.1571583483867936,2.8406187384662647,241.1889066865477,-87.76556596030392,38.65723363837007,9.493564971591022e-05,0.0001876523714593,9.271672174348916e-05,2.683460390079471,False,False,False,104.03695049090712,low/none
6,6,iso,gomez,nitrendipine,205.4,240.0,266.4,338.7,133.29999999999998,98.7,72.30000000000001,458.3,671.2,791.9,172.8,410.3,277.1,0.24857548823123,4.5634415684910765,241.1475701308485,-87.76408539887807,38.65559936874579,9.516868311826602e-05,0.0001867456927694,9.157700965117776e-05,4.314866080259846,False,False,False,103.9869493305354,low/none
7,7,iso,gomez,nitrendipine,204.7,239.5,266.1,338.9,134.2,99.39999999999998,72.79999999999995,445.2,652.1,773.7,194.4,447.9,285.5,0.7860381008262278,9.066728684857315,241.3622276855672,-87.77193863490496,38.67132047382837,9.39417498920868e-05,0.0001911756299513,9.723388005930649e-05,8.280690584031088,False,False,False,103.75530760334264,low/none
8,8,iso,gomez,nitrendipine,206.6,241.0,266.9,338.2,131.6,97.2,71.30000000000001,482.7,707.3,824.9,224.7,502.1,307.2,2.255903226902339,15.558097042491276,240.5486959890408,-87.74152135934682,38.60872641499204,9.858296460811743e-05,0.0001782689342052,7.968596959717611e-05,13.302193815588936,False,False,False,105.30982062333904,low/none
9,9,iso,gomez,nitrendipine,206.8,241.1,267.0,338.1,131.3,97.00000000000004,71.10000000000002,487.2,714.2,830.8,220.3,515.1,282.1,1.9760587733455264,12.18042411463808,240.39488482310497,-87.7356789009626,38.59681316648303,9.944760558561509e-05,0.0001765970550401,7.714944945448528e-05,10.204365341292553,False,False,False,105.71467068127178,low/none
10,10,iso,gomez,nitrendipine,207.3,241.5,267.2,337.9,130.59999999999997,96.39999999999998,70.69999999999999,496.3,725.9,840.6,228.6,524.2,291.7,3.3703112830405053,19.02275584888545,240.13220465128407,-87.72583797115057,38.581341060222094,0.0001008995111581,0.0001737041519988,7.280464084073499e-05,15.652444565844943,False,False,False,106.07444140878916,low/none
11,11,iso,gomez,nitrendipine,208.7,242.6,267.8,337.4,128.7,94.79999999999998,69.59999999999997,525.1,760.8,867.7,237.7,534.5,306.2,1.8771356839847244,10.425314744726355,239.0305483658716,-87.68490983035582,38.5228235043141,0.0001067556386185,0.0001643613444287,5.760570581026112e-05,8.548179060741631,False,False,False,107.729926185337,low/none
12,12,iso,gomez,nitrendipine,206.7,241.0,267.0,338.3,131.60000000000002,97.3,71.30000000000001,484.2,708.8,826.0,198.9,465.8,292.6,0.6362279562125761,7.133436858306393,240.5356531279245,-87.74109640310792,38.61034351241545,9.865167972477026e-05,0.0001779365810433,7.928490131855164e-05,6.497208902093817,False,False,False,105.15928157956556,low/none
13,13,iso,gomez,nitrendipine,204.2,239.1,266.0,339.1,134.90000000000003,100.00000000000004,73.10000000000002,436.2,637.2,758.6,169.2,400.6,265.5,0.3425970846189516,5.865271904753923,241.52097146532097,-87.77779625509551,38.68777213018687,9.302428557968236e-05,0.0001946298478557,0.000101605562276,5.522674820134972,False,False,False,103.26078913714768,low/none
14,14,iso,gomez,nitrendipine,207.1,241.3,267.1,338.1,131.00000000000003,96.8,71.0,491.9,719.8,835.4,234.4,520.7,307.2,2.716312188447102,14.87823678887736,240.28918048076247,-87.7317726764735,38.592454270927576,0.0001000305221678,0.0001752504227086,7.521990054075931e-05,12.16192460043026,False,False,False,105.7115664430224,low/none
15,15,iso,gomez,nitrendipine,205.6,240.2,266.5,338.6,133.00000000000003,98.40000000000003,72.10000000000002,462.6,678.7,799.2,236.5,515.3,306.0,3.799893403114859,19.31424107481057,241.0263066262279,-87.75944638821512,38.64266225517866,9.58728775636422e-05,0.000185012134722,8.913925715838573e-05,15.514347671695711,False,False,False,104.48331186609298,low/none
16,16,iso,gomez,nitrendipine,204.0,238.9,265.8,339.1,135.10000000000002,100.20000000000002,73.30000000000001,432.2,631.9,753.5,167.0,393.9,268.4,0.394861064368523,6.417843030768697,241.55693782272292,-87.77897550243439,38.68919748971875,9.282831357462688e-05,0.0001959116199319,0.0001030833063573,6.022981966400175,False,False,False,103.40493289685662,low/none
17,17,iso,gomez,nitrendipine,208.1,242.2,267.5,337.6,129.50000000000003,95.40000000000003,70.10000000000002,513.8,747.3,857.5,272.5,560.6,321.4,4.343761806702384,14.789596098982432,239.5395103919508,-87.70374873795132,38.549931634146624,0.0001040974728004,0.000168176670396,6.407919759563805e-05,10.445834292280049,False,False,False,106.86246356335404,low/none
18,18,iso,gomez,nitrendipine,206.1,240.5,266.7,338.4,132.29999999999998,97.89999999999998,71.69999999999999,472.4,693.7,813.0,191.9,460.1,282.0,0.8911137068915176,9.18477856182493,240.78300841766884,-87.75026668124137,38.62297369095718,9.726447256711074e-05,0.000181506077311,8.424160474394247e-05,8.29366485493341,False,False,False,105.06627670445602,low/none
19,19,iso,gomez,nitrendipine,205.4,240.0,266.4,338.6,133.20000000000002,98.60000000000002,72.20000000000005,458.9,673.3,794.2,227.0,497.3,310.0,0.9986575393178332,7.627453064453028,241.0998943925819,-87.76218875807085,38.64832939425308,9.545161703209984e-05,0.0001862571805831,9.080556355101536e-05,6.628795525135195,False,False,False,104.35608666205276,low/none
20,20,iso,gomez,nitrendipine,203.6,238.6,265.7,339.2,135.6,100.6,73.5,424.4,618.3,739.1,199.2,448.8,294.6,0.1777523397945676,2.806584167179182,241.68208128011705,-87.78353518283326,38.70431846729769,9.21060446176748e-05,0.0001991205545961,0.0001070145099784,2.6288318273846145,False,False,False,102.8924270291744,low/none
21,21,iso,gomez,nitrendipine,206.1,240.5,266.6,338.3,132.20000000000002,97.8,71.69999999999999,472.8,695.4,814.8,193.4,456.2,290.9,0.8735374552629539,9.651530919470808,240.7301541346045,-87.74816770932604,38.61658378058356,9.757256585473735e-05,0.0001810781257377,8.350555988305144e-05,8.777993464207855,False,False,False,105.42935806662916,low/none
