,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,dyn,gomez,ondansetron,209.3,250.2,283.6,370.5,161.2,120.30000000000001,86.89999999999998,364.3,497.5,592.5,193.2,373.0,206.8,0.14428668278987897,1.1409488601619202,241.64428298085843,-87.7812956228513,40.240522077841845,9.231034044668479e-05,0.00025896774966563206,0.00016665740921894726,0.9966621773720412,False,False,False,34.864662775800596
1,dyn,gomez,ondansetron,209.2,250.1,283.5,370.1,160.90000000000003,120.00000000000003,86.60000000000002,357.1,492.3,597.8,175.1,351.1,200.0,0.07531077222911464,0.7987565344576546,241.59715433173332,-87.77920329301813,40.241166934145824,9.261609393705552e-05,0.000260692967760823,0.0001680768738237675,0.72344576222854,False,False,False,35.045976774194216
2,dyn,gomez,ondansetron,209.0,249.9,283.5,370.9,161.89999999999998,120.99999999999997,87.39999999999998,361.1,495.2,580.3,199.9,373.6,236.5,0.25032914887291835,1.6101954759972767,241.79453592284037,-87.78679467255945,40.24239476822758,9.146362966389179e-05,0.00026431131709296645,0.00017284768742907466,1.3598663271243585,False,False,False,34.20559565869401
3,dyn,gomez,ondansetron,210.2,250.8,283.8,370.2,160.0,119.39999999999998,86.39999999999998,367.4,516.4,626.9,168.6,407.4,214.2,0.0947698679757478,0.7420338177789086,241.56399360053592,-87.77942630680596,40.22339718419295,9.267104448370288e-05,0.0002527920931127331,0.0001601210486290302,0.6472639498031608,False,False,False,34.79012453575859
4,dyn,gomez,ondansetron,208.8,249.8,283.5,370.8,162.0,121.0,87.30000000000001,358.1,486.2,576.2,190.8,364.4,217.7,0.16743430035896098,1.3343285315313682,241.7540643683402,-87.78488344765441,40.26271769737396,9.173298270688559e-05,0.0002652528285225454,0.0001735198458156598,1.1668942311724073,False,False,False,33.888933720093576
5,dyn,gomez,ondansetron,209.8,250.5,283.8,370.8,161.0,120.30000000000001,87.0,369.7,506.5,603.4,191.0,388.9,222.3,0.09047802595555601,0.8486045661878384,241.6595588796143,-87.78270035905683,40.24443810378982,9.215507502268811e-05,0.00025560653116990533,0.00016345145614721722,0.7581265402322824,False,False,False,33.98318820021579
6,dyn,gomez,ondansetron,209.1,250.1,283.5,370.4,161.29999999999998,120.29999999999998,86.89999999999998,360.8,492.3,591.0,186.6,372.9,199.9,0.1184712350337123,1.0538889571041945,241.65165001491454,-87.78130394739391,40.2623799770015,9.2295578880672e-05,0.00026066183570610905,0.00016836625682543704,0.9354177220704822,False,False,False,34.40835958721091
7,dyn,gomez,ondansetron,208.5,249.6,283.3,370.5,162.0,120.9,87.19999999999999,354.2,487.6,576.1,210.3,404.4,213.3,0.23841930765144012,1.5328654891918936,241.80988989386026,-87.78667836532493,40.26127071726728,9.143308510117516e-05,0.00026785604848579087,0.0001764229633846157,1.2944461815404535,False,False,False,34.725990509609815
8,dyn,gomez,ondansetron,209.2,250.1,283.6,370.7,161.5,120.6,87.09999999999997,365.7,503.9,594.1,210.5,407.4,221.4,0.32691290725033784,1.7444938416953295,241.79801073410522,-87.78743846208502,40.25597577396084,9.138389305782183e-05,0.0002600831875034397,0.00016869929444561786,1.4175809344449917,False,False,False,34.578148327111506
9,dyn,gomez,ondansetron,209.3,250.2,283.5,370.4,161.09999999999997,120.19999999999999,86.89999999999998,366.8,508.7,605.0,212.0,424.7,204.1,0.32618545702856006,1.5806889059945695,241.72693315938082,-87.78483196593037,40.24772397470474,9.1784436049995e-05,0.00025720735892073083,0.00016542292287073583,1.2545034489660094,False,False,False,35.692757748220515
