,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,dyn,control,pimozide,169.2,191.9,210.2,264.5,95.30000000000001,72.6,54.30000000000001,182.5,281.9,343.8,155.9,300.0,118.5,0.050827084649503404,2.8289940005977323,256.76027072416423,-87.9801674881644,38.32785576588775,7.679498130072724e-05,0.0006377492694870853,0.000560954288186358,2.778166915948229,True,True,False,486.9541472338973
1,dyn,control,pimozide,168.9,191.5,209.8,263.9,94.99999999999997,72.39999999999998,54.099999999999966,174.8,269.5,328.1,134.6,262.9,110.4,0.02185678038606238,2.353254125703378,256.8113938143322,-87.98019890997817,38.35799736080042,7.686615088600288e-05,0.0006708533955615992,0.0005939872446755963,2.3313973453173156,True,True,False,485.72262099128807
2,dyn,control,pimozide,169.1,191.9,210.2,264.6,95.50000000000003,72.70000000000002,54.400000000000034,185.9,282.9,343.5,186.1,356.5,162.4,0.10750174187326184,3.037461332973381,256.7777350808423,-87.98129804905693,38.35354199050766,7.611297735807015e-05,0.0006322254544183297,0.0005561124770602596,2.929959591100119,True,True,False,486.4695048122546
3,dyn,control,pimozide,169.2,191.9,210.2,264.6,95.40000000000003,72.70000000000002,54.400000000000034,186.6,282.7,343.4,140.3,289.0,133.2,0.022076899013157517,2.3308535398533503,256.77014120354795,-87.98041716968018,38.32292083195965,7.672440697680347e-05,0.0006283111403037906,0.0005515867333269871,2.308776640840193,True,True,False,486.725754986744
4,dyn,control,pimozide,169.0,191.7,210.1,264.4,95.39999999999998,72.69999999999999,54.29999999999998,183.0,277.2,335.2,151.0,278.4,147.2,0.06586272703229155,2.7158045409870506,256.7980814562029,-87.98055988636786,38.333618841317694,7.668165633236673e-05,0.0006467784157448087,0.000570096759412442,2.6499418139547593,True,True,False,485.91653693310957
5,dyn,control,pimozide,169.1,191.8,210.1,264.5,95.4,72.69999999999999,54.400000000000006,183.6,281.1,342.2,167.5,348.5,122.7,0.027882651708790004,2.264816127172696,256.7815403842095,-87.98083496192149,38.317527052928085,7.647082030967668e-05,0.0006385281249641692,0.0005620573046544925,2.236933475463906,True,True,False,486.56879533412916
6,dyn,control,pimozide,169.1,191.7,210.1,264.3,95.20000000000002,72.60000000000002,54.20000000000002,180.8,276.5,335.4,139.4,263.2,118.8,0.04051168467485513,2.6069435538697814,256.7893983298339,-87.98034242965134,38.31568235702296,7.679580516861474e-05,0.0006499440650164839,0.0005731482598478691,2.5664318691949264,True,True,False,486.27164511053974
7,dyn,control,pimozide,168.9,191.6,209.9,264.1,95.20000000000002,72.50000000000003,54.20000000000002,175.4,270.8,329.5,179.9,341.7,127.0,0.08368642302998393,3.001591619236009,256.81860835415733,-87.9806906169679,38.365177608440135,7.654346588822568e-05,0.000672248572243549,0.0005957051063553233,2.917905196206025,True,True,False,485.4668872086846
8,dyn,control,pimozide,169.3,192.0,210.4,264.8,95.5,72.80000000000001,54.400000000000006,187.7,287.4,348.8,183.0,331.7,138.9,0.1223331902968272,3.1317533208685306,256.7556962267737,-87.9807813697309,38.30477947702707,7.641593400901598e-05,0.0006246017903072227,0.0005481858562982067,3.0094201305717037,True,True,False,487.06404277768496
9,dyn,control,pimozide,169.3,192.1,210.4,264.8,95.5,72.70000000000002,54.400000000000006,184.6,286.7,349.4,171.2,309.6,112.0,0.11425936680148437,3.008227257217002,256.7368884448686,-87.98011010188407,38.313194391823494,7.678942663233256e-05,0.0006279260739846896,0.0005511366473523571,2.8939678904155177,True,True,False,487.4831714666743
