,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,iso,gomez,pimozide,207.8,244.6,272.0,347.9,140.09999999999997,103.29999999999998,75.89999999999998,471.1,691.0,810.2,187.2,434.4,284.4,0.4726858184042039,8.544241025387716,240.18264516498127,-87.73192136059433,40.05968464465439,0.0001003343936524,0.0001971151233852,9.678072973276216e-05,8.071555206983513,False,False,False,75.46154303027723,intermediate
1,1,iso,gomez,pimozide,206.2,243.2,271.4,348.8,142.60000000000002,105.60000000000002,77.40000000000003,440.2,642.5,763.1,161.2,364.1,264.6,0.1081107740435331,3.237857203191371,240.92187933914587,-87.75944750278155,40.11879467613647,9.619142695131278e-05,0.0002103423392854,0.0001141509123341,3.1297464291478376,False,False,False,73.3887098063573,intermediate
2,2,iso,gomez,pimozide,207.3,244.1,271.8,348.1,140.8,104.00000000000004,76.30000000000001,461.7,677.4,797.7,211.8,453.7,328.4,1.1681086488351593,15.625624811167896,240.4169864548347,-87.74063111710208,40.07422242382246,9.903552749708662e-05,0.0002008479023313,0.0001018123748342,14.457516162332736,False,False,False,75.04468337689264,intermediate
3,3,iso,gomez,pimozide,207.2,244.1,271.7,348.3,141.10000000000002,104.20000000000002,76.60000000000002,459.2,672.2,792.5,159.7,348.0,290.9,0.1762906668922429,3.635395572494868,240.5261727286813,-87.74483107525494,40.0874102978944,9.841571340344196e-05,0.0002022319387635,0.0001038162253601,3.4591049056026253,False,False,False,74.45938272170014,intermediate
4,4,iso,gomez,pimozide,207.0,243.9,271.7,348.5,141.5,104.6,76.80000000000001,455.8,665.8,786.0,190.1,418.3,304.0,0.5405560622480586,9.301604300749643,240.64367566215083,-87.74932191944634,40.10217061096791,9.774758555906091e-05,0.0002039225104009,0.0001061749248418,8.761048238501585,False,False,False,73.86106874966441,intermediate
5,5,iso,gomez,pimozide,207.2,244.1,271.8,348.4,141.2,104.29999999999998,76.59999999999997,459.8,672.0,792.0,192.2,435.0,289.8,0.1923074594725764,4.000499129477059,240.55116809588625,-87.74587884996335,40.09504253830713,9.826729149170336e-05,0.0002022428257844,0.0001039755342927,3.8081916700044816,False,False,False,74.10010560106873,intermediate
6,6,iso,gomez,pimozide,207.4,244.2,271.9,348.3,140.9,104.10000000000002,76.40000000000003,462.8,675.9,795.6,177.0,411.1,276.5,0.2979226095200626,6.251318698787917,240.50353892155843,-87.74417088883666,40.095386803926566,9.852953928758722e-05,0.0002011756232638,0.0001026460839762,5.953396089267854,False,False,False,74.04137050099826,intermediate
7,7,iso,gomez,pimozide,206.7,243.6,271.6,348.6,141.90000000000003,105.00000000000004,77.0,449.6,656.9,777.5,198.2,449.3,284.4,0.9124571760882716,11.823016997382256,240.75330285274663,-87.75330937500166,40.10712927264853,9.713620091842072e-05,0.0002063645642251,0.0001092283633067,10.910559821293983,False,False,False,73.74953994369088,intermediate
8,8,iso,gomez,pimozide,208.7,245.3,272.4,347.7,139.0,102.39999999999998,75.30000000000001,486.9,711.3,827.7,230.0,505.2,307.7,2.664518136802806,19.494939384607665,239.80447475684895,-87.71799549997057,40.0470755784127,0.0001023951689433,0.0001915009254814,8.910575653812755e-05,16.83042124780486,False,False,False,75.60628622446734,intermediate
9,9,iso,gomez,pimozide,209.0,245.5,272.5,347.5,138.5,102.0,75.0,491.3,717.9,833.5,224.7,517.6,281.0,2.296965253171517,15.175432874054222,239.6249195078913,-87.71124671757997,40.03353493488499,0.000103369849369,0.000189627708584,8.625785921502038e-05,12.878467620882704,False,False,False,76.07965218528088,intermediate
10,10,iso,gomez,pimozide,209.4,245.9,272.7,347.3,137.9,101.4,74.60000000000002,500.1,729.2,842.8,234.7,528.1,291.5,3.953009543206405,23.411137831421357,239.32112080492087,-87.69998256593759,40.01911922677938,0.0001049912301882,0.0001863739766845,8.138274649634858e-05,19.458128288214947,False,False,False,76.48307189611995,intermediate
11,11,iso,gomez,pimozide,211.0,247.1,273.3,346.6,135.60000000000002,99.50000000000004,73.30000000000001,527.3,762.1,868.5,240.4,534.4,306.9,2.332473980798186,13.663619635336053,238.0572054759938,-87.65370580224312,39.961347627379055,0.0001114530849551,0.0001760379441244,6.458485916927701e-05,11.331145654537863,False,False,False,78.31410422577278,intermediate
12,12,iso,gomez,pimozide,208.8,245.4,272.4,347.7,138.89999999999998,102.29999999999998,75.30000000000001,488.4,712.7,828.8,202.5,466.3,293.0,0.7741123032552699,9.54527672583432,239.79029294481543,-87.71753315868034,40.05092266855681,0.0001024682737135,0.0001911059626857,8.863768897223554e-05,8.77116442257905,False,False,False,75.42338178563382,intermediate
13,13,iso,gomez,pimozide,206.2,243.2,271.4,348.8,142.60000000000002,105.60000000000002,77.40000000000003,440.5,642.0,762.5,173.8,402.0,263.3,0.3970665264749713,7.873767457532144,240.9393848312248,-87.76017748515277,40.12415781227981,9.608579534455528e-05,0.0002104168723047,0.0001143310769602,7.476700931057172,False,False,False,73.13546322363622,intermediate
14,14,iso,gomez,pimozide,209.2,245.7,272.6,347.5,138.3,101.8,74.89999999999998,495.9,723.3,837.9,239.3,523.3,307.6,3.1772289409028183,18.34340107646941,239.50350578816912,-87.7067958575021,40.031460941166,0.0001040177600961,0.0001880953591639,8.407759906770877e-05,15.16617213556659,False,False,False,76.06410247757402,intermediate
15,15,iso,gomez,pimozide,207.6,244.4,271.9,348.2,140.6,103.79999999999998,76.30000000000001,467.0,683.3,802.7,241.7,518.8,305.9,4.293238694239166,23.13939095409544,240.36067468593308,-87.73873926869446,40.079479386410014,9.93346961492272e-05,0.0001992043515307,9.986965538148696e-05,18.846152259856275,False,False,False,74.63739269803521,intermediate
16,16,iso,gomez,pimozide,205.9,243.0,271.3,348.8,142.9,105.8,77.5,436.4,636.7,757.3,172.9,396.4,266.8,0.4545881303564691,8.487471762442995,240.98032693710792,-87.76153376575934,40.12235388360374,9.58659426938042e-05,0.0002119674189859,0.0001161014762921,8.032883632086525,False,False,False,73.29682153694193,intermediate
17,17,iso,gomez,pimozide,210.4,246.6,273.0,346.9,136.49999999999997,100.29999999999998,73.89999999999998,516.8,749.5,858.9,275.3,562.0,320.9,5.038319682685286,17.811293902932675,238.63941906227063,-87.67490729210685,39.98957011589615,0.0001085333398287,0.0001802191305998,7.168579077110723e-05,12.77297422024739,False,False,False,77.34963049340178,intermediate
18,18,iso,gomez,pimozide,208.2,244.8,272.1,347.9,139.7,103.09999999999997,75.79999999999995,476.8,698.0,816.2,197.1,462.2,281.7,1.0523242529853167,11.917990711371626,240.07614121769447,-87.72806870377848,40.05881878111485,0.0001009134497725,0.000195196964617,9.42835148445242e-05,10.86566645838631,False,False,False,75.33005715835357,intermediate
19,19,iso,gomez,pimozide,207.4,244.2,271.9,348.2,140.79999999999998,104.0,76.30000000000001,463.4,678.0,797.8,229.2,497.5,309.8,1.1702373719364447,9.805391503163236,240.44652141591808,-87.74192675042453,40.08469554968136,9.885685094425384e-05,0.0002006430715367,0.0001017862205924,8.635154131226791,False,False,False,74.4845860046789,intermediate
20,20,iso,gomez,pimozide,205.5,242.7,271.1,349.1,143.60000000000002,106.40000000000003,78.0,428.4,623.0,742.8,200.8,447.9,293.5,0.2124278054845804,3.879625878104672,241.127181316416,-87.76689657417562,40.13863859261802,9.503620277283376e-05,0.0002157686208101,0.0001207324180373,3.667198072620092,False,False,False,72.65299262226692,intermediate
21,21,iso,gomez,pimozide,208.2,244.8,272.1,347.8,139.60000000000002,103.0,75.69999999999999,477.2,699.7,817.9,198.8,458.4,291.4,1.045041791218413,12.643950629128604,240.0130466604801,-87.72559984248792,40.04945473035193,0.0001012675505476,0.0001947355744477,9.346802390004458e-05,11.59890883791019,False,False,False,75.7619892368668,intermediate
22,22,iso,gomez,pimozide,204.8,242.1,270.8,349.3,144.5,107.20000000000002,78.5,416.2,603.3,721.9,155.2,343.6,277.3,0.1837869110417212,4.3299066994239945,241.2862696068832,-87.77240604750726,40.1519961113205,9.415840384829036e-05,0.0002215023400131,0.0001273439361649,4.146119788382273,False,False,False,72.19804090950232,intermediate
23,23,iso,gomez,pimozide,208.8,245.3,272.4,347.6,138.8,102.3,75.20000000000005,488.1,713.2,829.5,219.6,483.6,313.9,0.943189117577332,10.213758142526247,239.7506528825705,-87.71596378300505,40.042480624772566,0.0001026887284536,0.0001909482067901,8.825947833652333e-05,9.270569024948916,False,False,False,75.77276559399857,intermediate
24,24,iso,gomez,pimozide,205.3,242.5,271.0,349.1,143.8,106.60000000000002,78.10000000000002,424.0,616.2,735.8,210.3,469.5,277.1,1.6064115919973745,12.237458275105832,241.18164126545764,-87.76877165352812,40.1418473738311,9.473680620815408e-05,0.0002177277661861,0.000122990959978,10.631046683108456,False,False,False,72.57082204958313,intermediate
25,25,iso,gomez,pimozide,206.2,243.2,271.4,348.8,142.60000000000002,105.60000000000002,77.40000000000003,440.1,641.6,762.1,185.0,423.5,271.7,0.3848433944618033,6.352648749819725,240.94235030029455,-87.76027550042626,40.12392067097165,9.606983912574817e-05,0.0002105318539915,0.0001144620148657,5.967805355357921,False,False,False,73.15052603991319,intermediate
26,26,iso,gomez,pimozide,207.3,244.1,271.8,348.3,141.0,104.20000000000002,76.5,461.0,674.9,795.1,153.2,344.8,266.0,0.0880982501184412,2.268003025903824,240.48439523199508,-87.7432819458025,40.08464939832883,9.8649009509521e-05,0.0002014875435398,0.0001028385340303,2.179904775785383,False,False,False,74.54400865828028,intermediate
27,27,iso,gomez,pimozide,206.6,243.6,271.5,348.6,142.00000000000003,105.00000000000004,77.10000000000002,447.9,654.6,775.3,161.3,375.1,260.6,0.2330749518353432,6.83993715251122,240.77806298134573,-87.75418607436501,40.10748981452921,9.69996345437267e-05,0.0002070218609617,0.000110022226418,6.606862200675876,False,False,False,73.76767652319866,intermediate
28,28,iso,gomez,pimozide,207.3,244.1,271.8,348.3,141.0,104.20000000000002,76.5,460.8,674.1,794.1,173.6,402.6,275.5,0.3585507303960721,8.647269190991336,240.50860034211792,-87.74423804181284,40.08898796405284,9.850968690224671e-05,0.0002017074738705,0.0001031977869682,8.288718460595264,False,False,False,74.34776014708447,intermediate
29,29,iso,gomez,pimozide,207.8,244.6,272.0,348.0,140.2,103.4,76.0,471.0,690.2,809.3,190.5,451.0,274.7,0.6239025719063094,8.184966368183433,240.21314548791943,-87.73312156624038,40.06438419563643,0.0001001615863536,0.0001973424974289,9.718091107535124e-05,7.561063796277124,False,False,False,75.23465267960943,intermediate
30,30,iso,gomez,pimozide,206.6,243.6,271.5,348.5,141.9,104.9,77.0,448.6,656.5,777.4,184.9,421.2,282.6,0.4657705347901802,8.20758626622075,240.7386170187904,-87.75264052530888,40.10079927627241,9.722836387516483e-05,0.0002065309198285,0.0001093025559533,7.741815731430569,False,False,False,74.08202475367386,intermediate
31,31,iso,gomez,pimozide,205.5,242.7,271.1,348.9,143.39999999999998,106.2,77.79999999999995,428.7,625.2,745.7,189.6,424.3,283.0,0.7246676812627108,10.664254444793595,241.0827484042858,-87.76510993975828,40.12795344496051,9.530075650595072e-05,0.0002152508003515,0.0001199500438455,9.939586763530889,False,False,False,73.19859545493333,intermediate
32,32,iso,gomez,pimozide,207.9,244.6,272.1,348.1,140.20000000000002,103.50000000000004,76.0,472.0,689.9,808.7,164.0,379.5,273.5,0.1590755202966938,4.1112750726345215,240.2574806784019,-87.73495130073015,40.076517273797656,9.990412762667844e-05,0.0001973880379866,9.748391036000246e-05,3.952199552337828,False,False,False,74.67054017743874,intermediate
33,33,iso,gomez,pimozide,204.3,241.7,270.6,349.4,145.09999999999997,107.7,78.79999999999995,407.0,588.5,705.7,143.4,315.8,252.3,0.0513543019400318,1.3724600305070662,241.38695887353305,-87.77575002221268,40.16132113598847,9.361391107255328e-05,0.0002260257284163,0.0001324118173438,1.3211057285670345,False,False,False,71.88206205397552,intermediate
34,34,iso,gomez,pimozide,209.1,245.6,272.5,347.5,138.4,101.9,75.0,493.9,720.6,835.7,245.0,543.9,286.7,4.592174816595525,21.331087255696257,239.57677568316595,-87.70952682213678,40.03581135626438,0.0001036246981527,0.0001888563678097,8.523166965697866e-05,16.73891243910073,False,False,False,75.92621385401034,intermediate
35,35,iso,gomez,pimozide,205.4,242.6,271.0,349.0,143.6,106.4,78.0,425.9,620.1,740.2,163.1,367.7,264.5,0.1876772832216829,5.6673303300324855,241.1370561630525,-87.7671023774373,40.13468284192198,9.499278865091382e-05,0.000216668957897,0.0001216761692461,5.479653046810802,False,False,False,72.90320686316265,intermediate
36,36,iso,gomez,pimozide,207.2,244.0,271.8,348.4,141.2,104.39999999999998,76.59999999999997,458.6,670.6,790.8,162.0,379.3,266.8,0.1510264721831018,4.35310841101147,240.5658910279981,-87.74638859421765,40.09412167388252,9.818740770249529e-05,0.0002026467940913,0.0001044593863888,4.202081938828368,False,False,False,74.16243726600086,intermediate
