,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,dyn,control,quinidine,229.2,278.4,321.7,430.9,201.7,152.5,109.2,179.7,295.3,379.9,163.2,315.0,120.2,0.0516962252212131,3.028513013286219,235.11574853450904,-87.98968089368304,40.1547043375272,7.736200495185705e-05,0.0006943008706159,0.000616938865664,2.976816788065006,True,True,False,289.4333208396845,high
1,1,dyn,control,quinidine,228.5,277.7,320.6,428.9,200.4,151.2,108.29999999999995,172.3,280.3,361.9,139.6,274.0,111.6,0.0222059180503597,2.572325910350977,235.1815734897118,-87.98991730671817,40.196299927061744,7.734739448151564e-05,0.0007308236706478,0.0006534762761663,2.550119992300617,True,True,False,289.916593389655,high
2,2,dyn,control,quinidine,229.0,278.1,321.5,430.8,201.8,152.7,109.3,183.2,297.1,381.7,196.1,373.6,165.1,0.1090101602922905,3.18096279596946,235.13457327296084,-87.99113197933069,40.16971498617618,7.676674316721949e-05,0.0006865327207314,0.0006097659775642,3.071952635677169,True,True,False,288.9562383440468,high
3,3,dyn,control,quinidine,229.0,278.1,321.4,430.3,201.3,152.2,108.90000000000003,183.9,295.6,379.1,146.4,302.4,136.2,0.0225630154426871,2.5558040548571515,235.13117875017144,-87.99004805146429,40.1231536575958,7.72681322733278e-05,0.000684621467496,0.0006073533352227,2.5332410394144644,True,True,False,289.380370473999,high
4,4,dyn,control,quinidine,228.7,277.7,320.9,429.5,200.8,151.8,108.60000000000002,180.6,290.0,371.5,158.7,293.5,149.8,0.0667801150386448,2.871938719666124,235.16772501295236,-87.99033444607159,40.15513539412186,7.719224628741275e-05,0.000702236245166,0.0006250439988786,2.805158604627479,True,True,False,289.1761427885383,high
5,5,dyn,control,quinidine,229.0,278.1,321.4,430.5,201.5,152.39999999999998,109.10000000000002,180.9,293.8,378.8,174.2,362.7,124.4,0.0284598810885576,2.473068793366137,235.1365099566065,-87.99056805355876,40.13139318023479,7.703915179489614e-05,0.0006955652690272,0.0006185261172323,2.44460891227758,True,True,False,289.28058120863034,high
6,6,dyn,control,quinidine,228.8,277.9,321.0,429.6,200.8,151.70000000000005,108.60000000000002,178.5,288.7,369.9,145.1,276.1,120.7,0.0411590627091202,2.790763113897045,235.1528846132289,-87.989939863959,40.14122039187351,7.732611300209589e-05,0.0007067223239143,0.0006293962109122,2.7496040511879247,True,True,False,289.66184059746763,high
7,7,dyn,control,quinidine,228.4,277.6,320.7,429.3,200.9,151.7,108.60000000000002,173.2,282.7,366.0,188.3,358.6,128.6,0.084639000204852,3.150442402129018,235.18748648339007,-87.99060654759181,40.21842212016781,7.705943172490249e-05,0.0007298289191402,0.0006527694874153,3.065803401924166,True,True,False,289.31043487112333,high
8,8,dyn,control,quinidine,229.4,278.5,322.0,431.6,202.2,153.10000000000002,109.60000000000002,185.2,302.1,386.5,193.2,352.1,140.7,0.123965077376958,3.2615916899987827,235.1033747651919,-87.99042091002188,40.12162383589101,7.70544373281761e-05,0.0006781896886347,0.0006011352513065,3.1376266126218244,True,True,False,288.9329485891634,high
9,9,dyn,control,quinidine,229.6,278.8,322.3,431.9,202.3,153.09999999999997,109.59999999999997,182.0,301.2,386.8,179.2,338.9,112.7,0.1165221346656497,3.154343730644227,235.08205166831388,-87.98960235107764,40.1489405628186,7.734555526680117e-05,0.0006825434593647,0.0006051979040979,3.037821595978577,True,True,False,289.36196119371266,high
