,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,iso,control,quinidine,236.8,285.4,329.5,444.7,207.89999999999998,159.3,115.19999999999999,234.2,417.9,511.9,128.5,273.1,153.3,0.06376699005756685,39.657578314020164,234.2719727010949,-87.98332915137726,39.89620863043487,7.889476006488003e-05,0.000500135105611962,0.0004212403455470819,39.5938113239626,False,False,False,284.5309728990694
1,iso,control,quinidine,233.7,282.8,327.0,440.6,206.90000000000003,157.8,113.60000000000002,211.7,373.9,460.5,109.2,232.2,136.1,0.02414774755452922,21.773347846904237,234.5335513587871,-87.98593354405125,40.00971700943562,7.821583067924922e-05,0.0005600674828903341,0.0004818516522110849,21.749200099349707,True,True,False,283.78007968155686
2,iso,control,quinidine,235.9,284.7,328.8,443.6,207.70000000000002,158.90000000000003,114.80000000000001,225.9,404.4,495.7,160.5,314.8,211.6,0.1590652029422155,42.54656307144049,234.34832888897515,-87.98413096932262,39.93779121821197,7.868610248871463e-05,0.0005186147308261633,0.00043992862833744866,42.38749786849827,False,False,False,284.2898800307369
3,iso,control,quinidine,235.4,284.3,328.5,443.1,207.70000000000002,158.8,114.60000000000002,225.2,399.8,489.3,120.8,247.0,175.7,0.026209512123976705,23.403729215605065,234.38642547946267,-87.98468046103793,39.93733244389523,7.853626410257655e-05,0.0005230685302858944,0.0004445322661833179,23.377519703481088,False,True,False,284.16471469091437
4,iso,control,quinidine,234.9,283.8,328.1,442.5,207.6,158.7,114.39999999999998,223.3,393.9,481.8,141.3,272.1,190.7,0.08114859337843049,29.190290805941565,234.42837156249857,-87.9852188294805,39.94043840676091,7.839365710684427e-05,0.0005301802890760582,0.00045178663196921397,29.109142212563135,False,True,False,284.03054869460414
5,iso,control,quinidine,235.3,284.1,328.4,443.0,207.7,158.89999999999998,114.60000000000002,226.3,399.5,488.3,135.0,296.8,157.2,0.035053807720251004,20.30778164382575,234.3956720567607,-87.98492342874465,39.92549535694085,7.846559225154166e-05,0.000522443062903913,0.0004439774706523714,20.2727278361055,False,True,False,284.1249082360318
6,iso,control,quinidine,235.5,284.3,328.6,443.3,207.8,159.0,114.69999999999999,228.9,402.9,491.9,123.4,254.3,151.4,0.04753781529652585,27.18804215249427,234.37951219121263,-87.98486794992435,39.909297533564605,7.847245603166762e-05,0.0005173772442433896,0.00043890478821172196,27.140504337197743,False,True,False,284.1645275384643
7,iso,control,quinidine,234.5,283.4,327.7,441.8,207.3,158.40000000000003,114.10000000000002,218.5,386.2,473.5,140.4,299.1,158.6,0.10589459642542305,39.0881596141712,234.46831903499634,-87.98546536082418,39.96955596486502,7.833437449407023e-05,0.0005416662392419844,0.00046333186474791416,38.982265017745775,True,True,False,283.9320389225827
8,iso,control,quinidine,238.1,286.4,330.5,446.2,208.1,159.8,115.69999999999999,250.2,440.2,538.2,170.0,344.0,180.5,0.19946529972410665,46.10866372982659,234.15758702301684,-87.98216734305487,39.816912609680955,7.920520785062659e-05,0.00047110546834535234,0.00039190026049472576,45.909198430102485,False,False,False,284.90637417588573
9,iso,control,quinidine,238.7,286.9,330.9,446.7,208.0,159.8,115.80000000000001,254.7,448.6,549.5,157.0,341.7,141.8,0.21249346785178283,41.313790534183035,234.10445363019934,-87.98120887390371,39.80052886751555,7.949054666742983e-05,0.0004619127929639949,0.00038242224629656506,41.10129706633125,False,False,False,285.10059464605536
10,iso,control,quinidine,239.8,287.8,331.5,447.5,207.7,159.7,116.0,264.7,464.1,569.2,171.0,353.1,159.6,0.3191150966349815,53.52255314704263,234.0182958239065,-87.97966594378855,39.76005255567453,7.995936783113583e-05,0.00044525009379498356,0.00036529072596384773,53.20343805040765,False,False,False,285.4085800688954
11,iso,control,quinidine,244.2,291.1,333.8,449.6,205.40000000000003,158.5,115.80000000000001,302.8,526.8,650.1,168.7,359.0,165.1,0.10472368502824125,37.11614600310321,233.6837228452978,-87.96868891280094,39.62484892773043,8.356082321140483e-05,0.0003887900925050712,0.00030522926929366643,37.01142231807497,False,False,False,286.54338773206746
12,iso,control,quinidine,238.1,286.4,330.5,446.2,208.1,159.8,115.69999999999999,251.8,441.6,539.4,142.0,295.5,161.9,0.07292131289817153,33.77787535759863,234.15404258082904,-87.98226301730931,39.8070621591253,7.917264994103923e-05,0.000469170181389388,0.00038999753144834876,33.70495404470046,False,False,False,284.91225387496456
13,iso,control,quinidine,233.6,282.7,327.0,440.5,206.9,157.8,113.5,212.3,373.5,459.7,117.1,247.4,140.7,0.0634409094985351,34.13364315786367,234.540724079993,-87.98608481366536,40.00096145557983,7.817093871892958e-05,0.0005598448869725991,0.0004816739482536695,34.070202248365135,True,True,False,283.7530762403466
14,iso,control,quinidine,239.1,287.2,331.1,447.1,208.00000000000003,159.90000000000003,116.0,259.8,455.5,557.7,175.0,358.5,179.9,0.2776523368471047,41.247846055093625,234.07020681117064,-87.98077618078591,39.77730374368767,7.961659862178175e-05,0.0004540489875666143,0.00037443238894483257,40.97019371824652,False,False,False,285.2174819211782
15,iso,control,quinidine,236.0,284.8,329.0,444.0,208.0,159.2,115.0,232.0,410.2,501.2,181.0,371.6,182.7,0.6199371184297942,46.556647804469385,234.33082807351852,-87.98423830774257,39.9004100301737,7.864055544162579e-05,0.0005083587332982541,0.00042971817785662835,45.93671068603959,False,False,False,284.32650483996656
16,iso,control,quinidine,233.5,282.6,326.8,440.1,206.60000000000002,157.5,113.30000000000001,208.9,369.1,455.7,120.5,242.2,152.1,0.07067679168386412,31.179285973940402,234.5573788913281,-87.98607973184816,40.02794352272525,7.818094504972745e-05,0.0005677530446817295,0.000489572099632002,31.108609182256536,True,True,False,283.73356833692543
17,iso,control,quinidine,242.1,289.5,332.8,448.9,206.79999999999998,159.39999999999998,116.09999999999997,286.4,498.4,613.2,212.7,444.6,181.5,0.5783860834822057,34.72117803662007,233.83390604713244,-87.97498238444888,39.68026218313874,8.146320923425139e-05,0.0004125510074778258,0.0003310877982435744,34.14279195313786,False,False,False,286.0560699282979
18,iso,control,quinidine,237.1,285.7,329.8,445.2,208.1,159.5,115.39999999999998,240.3,425.2,520.0,137.7,283.9,154.8,0.09390790961349839,38.44633699477088,234.23945513773748,-87.98313489828652,39.8636078689273,7.893777954473557e-05,0.0004894649613453753,0.0004105271818006397,38.35242908515738,False,False,False,284.62994520547574
19,iso,control,quinidine,235.7,284.5,328.8,443.5,207.8,159.0,114.69999999999999,228.9,405.2,495.2,167.0,363.0,177.1,0.12648202954696683,28.914139771728625,234.35946090488653,-87.9845061368334,39.91579812678991,7.857389646582227e-05,0.0005152054068891672,0.00043663151042334496,28.787657742181658,False,False,False,284.2393741733962
20,iso,control,quinidine,232.8,281.9,326.1,438.9,206.09999999999997,157.0,112.79999999999995,204.2,357.7,444.2,145.4,334.3,165.6,0.052725702751968924,17.339305644698882,234.62084571550656,-87.98663075097174,40.051589548195025,7.803617080122788e-05,0.0005840823803333463,0.0005060462095321184,17.286579941946915,True,True,False,283.60311630547005
21,iso,control,quinidine,237.4,285.9,330.0,445.4,207.99999999999997,159.5,115.39999999999998,239.8,427.1,523.3,143.0,286.7,167.7,0.10156837820919579,39.16633268361695,234.218980708588,-87.98267839487099,39.86958154838995,7.907323604010555e-05,0.0004883734733497917,0.00040930023730968614,39.064764305407756,False,False,False,284.7066266542383
22,iso,control,quinidine,231.9,281.2,325.2,437.3,205.4,156.10000000000002,112.10000000000002,196.3,341.8,429.4,116.7,256.5,170.7,0.03869590705176677,27.213092963822156,234.69718147465244,-87.98711201499101,40.10573566687877,7.792101661061782e-05,0.000610068073412448,0.0005321470568018301,27.17439705677039,True,True,False,283.5046725351883
23,iso,control,quinidine,238.3,286.6,330.6,446.3,208.0,159.7,115.69999999999999,251.4,442.6,541.5,158.9,331.8,185.0,0.09395492783418778,32.803797882836044,234.1414495822251,-87.9818741308229,39.81285717131992,7.929212848646475e-05,0.00046843053579879686,0.0003891384073123321,32.709842955001854,False,False,False,284.96563066376643
24,iso,control,quinidine,232.5,281.7,325.8,438.4,205.89999999999998,156.7,112.59999999999997,201.2,352.3,439.1,150.9,326.0,155.6,0.3066335265312055,30.269094172030695,234.64600378014003,-87.98676314332747,40.07356896217569,7.800656203510254e-05,0.0005932087000457534,0.0005152021380106508,29.96246064549949,True,True,False,283.57027953778965
25,iso,control,quinidine,233.6,282.7,327.0,440.5,206.9,157.8,113.5,212.1,373.1,459.4,127.5,274.5,142.9,0.05358019436041762,26.064375405500908,234.54192450277773,-87.9860825087545,40.00303914694731,7.817223020564004e-05,0.0005604101366629838,0.00048223790645734375,26.01079521114049,True,True,False,283.75142181746486
26,iso,control,quinidine,235.6,284.4,328.6,443.3,207.70000000000002,158.90000000000003,114.69999999999999,226.7,402.3,492.3,103.0,215.0,139.0,0.014845488413619878,18.1809243807463,234.37208482830476,-87.98455032244459,39.92967483118591,7.856797674974078e-05,0.0005195567117602529,0.0004409887350105121,18.16607889233268,False,False,False,284.20703778259474
27,iso,control,quinidine,234.4,283.4,327.6,441.6,207.20000000000002,158.20000000000005,114.0,217.0,384.2,471.4,110.2,224.6,137.6,0.05073192325262148,35.48812858558467,234.47752930591918,-87.98549941520236,39.97916703315934,7.832792449359673e-05,0.0005449143089709512,0.0004665863844773545,35.43739666233205,True,True,False,283.91305479839144
28,iso,control,quinidine,235.5,284.3,328.6,443.2,207.7,158.89999999999998,114.59999999999997,226.8,401.5,490.9,120.4,249.5,149.0,0.06415292505472804,42.52501328205414,234.38070926011704,-87.98470673912519,39.92620840282147,7.852425396197792e-05,0.0005201863551139624,0.00044166210115198447,42.46086035699941,False,True,False,284.17626893618376
