,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,iso,gomez,quinidine,262.1,327.5,403.0,582.6,320.5,255.1,179.60000000000002,544.4,745.2,848.5,235.8,478.3,302.8,0.6310055156594441,9.50122957859627,223.0652545933208,-87.66828887340033,39.93307777003688,0.0001054504847781,0.0002008371321074,9.538664732927312e-05,8.870224062936826,False,False,False,18.434055241423035,high
1,1,iso,gomez,quinidine,259.8,326.1,404.8,585.8,325.99999999999994,259.69999999999993,180.99999999999997,515.3,704.8,811.9,212.2,431.9,271.8,0.1252949290515668,3.529914595911323,223.31533268053636,-87.70578974929896,39.991678792380114,0.0001003697921612,0.0002137040629231,0.0001133342707618,3.404619666859756,False,False,False,15.869426309595,high
2,2,iso,gomez,quinidine,261.4,327.1,403.5,583.6,322.20000000000005,256.5,180.10000000000002,535.8,734.0,838.9,250.9,483.0,354.8,1.5672660001317058,17.43018149057175,223.143533767699,-87.6800062017302,39.94547653082956,0.0001038789539531,0.0002044219364668,0.0001005429825136,15.862915490440043,False,False,False,17.82835700691999,high
3,3,iso,gomez,quinidine,261.2,326.9,403.7,584.1,322.90000000000003,257.20000000000005,180.40000000000003,533.4,729.8,835.0,202.3,396.7,309.6,0.2109727927684093,4.137856026881623,223.1737182932085,-87.68541960435604,39.96166141527361,0.0001031547784839,0.000205780916286,0.000102626137802,3.926883234113214,False,False,False,17.25002789588188,high
4,4,iso,gomez,quinidine,260.9,326.8,404.0,584.6,323.70000000000005,257.8,180.6,530.2,724.5,830.0,234.8,460.7,325.6,0.6982565983921629,10.24232797030295,223.208105495631,-87.69131732451062,39.97948749474799,0.0001023606219384,0.0002074419283134,0.0001050813063749,9.544071371910787,False,False,False,16.64404753426366,high
5,5,iso,gomez,quinidine,261.2,326.9,403.8,584.2,323.00000000000006,257.30000000000007,180.40000000000003,534.0,729.7,834.7,234.5,474.7,310.4,0.2618225931196191,4.473774548919033,223.17647286686957,-87.68659854709944,39.972598823828,0.000103001200655,0.0002058090806748,0.0001028078800198,4.211951955799414,False,False,False,16.951406729111362,high
6,6,iso,gomez,quinidine,261.3,327.1,403.7,584.0,322.7,256.9,180.3,536.8,733.0,837.5,229.9,464.8,289.8,0.3883861257355949,6.849785960167769,223.1571700143111,-87.68413023444249,39.97505927385984,0.0001033386948148,0.0002047846468727,0.0001014459520578,6.461399834432174,False,False,False,16.974085964968822,high
7,7,iso,gomez,quinidine,260.5,326.5,404.3,585.1,324.6,258.6,180.8,524.4,717.0,823.3,247.6,494.0,299.9,1.1400330152721498,12.76432694790027,223.25033082925853,-87.69700498179967,39.98198415584374,0.0001015806187788,0.0002098127998673,0.0001082321810885,11.62429393262812,False,False,False,16.39939669992174,high
8,8,iso,gomez,quinidine,263.1,328.2,402.3,581.0,317.9,252.8,178.7,558.7,761.8,862.0,273.7,527.7,332.2,3.39145896479942,21.342267363310373,222.93568376763545,-87.64965778297437,39.928492109212414,0.0001079248638182,0.0001955299067553,8.76050429371442e-05,17.950808398510954,False,False,False,18.971091139685008,high
9,9,iso,gomez,quinidine,263.5,328.4,402.0,580.3,316.79999999999995,251.9,178.29999999999995,562.6,767.0,866.2,276.4,545.1,300.5,2.843000011964968,16.441375539803357,222.88290338870647,-87.64112361195046,39.91437928835549,0.0001090374732064,0.0001937630757971,8.472560259074129e-05,13.598375527838389,False,False,False,19.51014281487982,high
10,10,iso,gomez,quinidine,264.1,328.8,401.5,579.1,315.0,250.3,177.60000000000002,570.4,776.0,873.2,284.0,549.5,314.0,4.940351605411744,25.4175987612799,222.78812346711908,-87.62681413600806,39.90265146704196,0.0001108928358194,0.0001907357548268,7.98429190074379e-05,20.47724715586816,False,False,False,20.10604437552616,high
11,11,iso,gomez,quinidine,266.2,330.1,400.0,574.8,308.6,244.69999999999996,174.79999999999995,593.8,801.3,891.9,278.3,541.6,337.7,3.112479178052122,15.712012993300718,222.40042116991472,-87.570407857647,39.85284373850138,0.0001180011705345,0.0001813425889591,6.334141842458948e-05,12.599533815248597,False,False,False,22.521717009142005,high
12,12,iso,gomez,quinidine,263.2,328.2,402.2,581.0,317.8,252.8,178.8,560.1,763.0,862.9,249.4,499.8,315.6,1.0290584291617886,10.65847880910493,222.92773456476948,-87.64890577333031,39.934501534598056,0.0001080274339891,0.0001951653363634,8.713790237433201e-05,9.62942037994314,False,False,False,18.851197026632327,high
13,13,iso,gomez,quinidine,259.8,326.1,404.9,585.9,326.1,259.79999999999995,181.0,515.5,704.4,811.4,229.5,464.5,269.8,0.4907573964975065,8.44133999052443,223.3178620364164,-87.70664933404221,39.99938929389973,0.0001002552990095,0.0002137931141016,0.000113537815092,7.9505825940269235,False,False,False,15.655553069703508,high
14,14,iso,gomez,quinidine,263.8,328.6,401.8,579.8,315.99999999999994,251.19999999999996,177.99999999999994,566.7,771.4,869.6,281.9,540.0,333.0,3.973018979309821,20.04785779124918,222.8418881419365,-87.63530892368448,39.91511231021504,0.0001097973376072,0.0001923394602213,8.254212261405588e-05,16.074838811939358,False,False,False,19.619457846373976,high
15,15,iso,gomez,quinidine,261.7,327.3,403.3,583.4,321.7,256.1,180.09999999999997,540.7,739.0,842.9,285.0,540.3,328.3,5.145415960949904,24.73545584970105,223.1147352575296,-87.67701531768743,39.956734260975,0.0001042918638303,0.0002028671176862,9.85752538558891e-05,19.59003988875115,False,False,False,17.601780460259995,high
16,16,iso,gomez,quinidine,259.6,326.0,405.0,586.0,326.4,260.0,181.0,511.6,699.8,807.2,229.4,460.2,273.0,0.5538177243536342,9.04976354513284,223.33999196214472,-87.70887389680804,39.99396653902816,9.994082477711212e-05,0.0002152966987059,0.0001153558739288,8.495945820779207,False,False,False,15.70496344519131,high
17,17,iso,gomez,quinidine,265.4,329.6,400.6,576.7,311.30000000000007,247.1,176.10000000000002,584.9,791.8,885.1,304.9,559.5,351.6,6.17278763323019,19.640537398538065,222.57725004105944,-87.5957654450734,39.878621521443165,0.0001148470253639,0.0001851012663299,7.025424096593133e-05,13.467749765307875,False,False,False,21.3462243327921,high
18,18,iso,gomez,quinidine,262.4,327.7,402.8,582.1,319.70000000000005,254.40000000000003,179.3,549.6,751.0,853.2,252.3,504.8,297.8,1.335319950534998,12.966137094552584,223.0249083879032,-87.66293387548517,39.93639575416526,0.0001061691984308,0.0001990227076743,9.28535092435232e-05,11.630817144017586,False,False,False,18.46332450159204,high
19,19,iso,gomez,quinidine,261.5,327.1,403.5,583.7,322.20000000000005,256.6,180.20000000000005,537.4,734.6,839.1,266.9,519.0,334.8,1.4893618759800615,10.794420264678,223.14385048409648,-87.6813414045698,39.96111714723443,0.000103708952616,0.0002042525888394,0.0001005436362234,9.30505838869794,False,False,False,17.376707620437244,high
20,20,iso,gomez,quinidine,259.0,325.6,405.5,586.6,327.6,261.0,181.1,503.6,688.1,795.5,240.6,485.3,312.2,0.2802207336453376,4.255324112199185,223.39675117206136,-87.71656914648993,40.01170653414762,9.88720230498232e-05,0.0002190652495748,0.000120193226525,3.975103378553847,False,False,False,14.979788648975363,high
21,21,iso,gomez,quinidine,262.5,327.7,402.7,581.9,319.4,254.2,179.2,549.9,752.2,854.4,250.1,497.6,310.8,1.3506906993961183,13.867627388600496,223.01058404343397,-87.65994463534501,39.92418952028904,0.0001065592580185,0.0001985682960355,9.200903801703942e-05,12.516936689204377,False,False,False,18.856189913161707,high
22,22,iso,gomez,quinidine,258.2,325.1,406.1,587.1,328.90000000000003,262.0,181.0,490.9,671.0,778.4,195.5,395.4,287.8,0.212579990055583,4.749515074218796,223.47247999598312,-87.72506916923453,40.02283157587202,9.7670985166658e-05,0.0002247420655249,0.0001270710803583,4.536935084163213,False,False,False,14.353221558675756,high
23,23,iso,gomez,quinidine,263.2,328.2,402.2,580.8,317.6,252.6,178.59999999999997,559.8,763.3,863.3,257.6,505.2,341.9,1.2847010563245682,11.588684788440831,222.9201877407067,-87.64709406166729,39.92348697129815,0.0001082594839629,0.0001950062071259,8.674672316294966e-05,10.303983732116263,False,False,False,19.15214044746341,high
24,24,iso,gomez,quinidine,258.7,325.4,405.7,586.8,328.1,261.4,181.1,499.1,682.2,789.8,263.4,516.6,288.2,1.8534237414558064,12.846037181579891,223.4231619735672,-87.71948972008214,40.01336750559986,9.845955116232044e-05,0.0002209958577254,0.0001225363065631,10.992613440124083,False,False,False,14.82076612475356,high
25,25,iso,gomez,quinidine,259.8,326.1,404.9,585.9,326.1,259.79999999999995,181.0,515.2,704.1,811.1,237.0,478.0,282.3,0.4762353106785715,6.827591352064129,223.3195155743913,-87.706812105997,39.99885667861368,0.0001002322611835,0.0002139043179035,0.0001136720567199,6.351356041385557,False,False,False,15.661626398765364,high
26,26,iso,gomez,quinidine,261.3,327.0,403.6,583.9,322.6,256.9,180.29999999999995,535.1,732.1,837.0,205.1,411.9,275.7,0.1031072712118556,2.52753661158853,223.15933807328315,-87.6832994480625,39.95925056984511,0.0001034417382215,0.000205060665954,0.0001016189277324,2.4244293403766743,False,False,False,17.36982241406569,high
27,27,iso,gomez,quinidine,260.4,326.4,404.4,585.2,324.80000000000007,258.80000000000007,180.80000000000007,522.8,715.0,821.5,217.9,442.4,265.8,0.29811381593007,7.407004228890858,223.26100144585587,-87.69830770601521,39.98128832720925,0.0001014003477537,0.0002104496170781,0.0001090492693244,7.108890412960788,False,False,False,16.375014958012436,high
28,28,iso,gomez,quinidine,261.3,327.0,403.7,584.0,322.7,257.0,180.3,534.9,731.4,836.3,225.4,457.3,288.8,0.4724059389635423,9.513404325626428,223.1648508284005,-87.68448374147678,39.965045280334834,0.0001032844877359,0.0002052820053671,0.0001019975176312,9.040998386662888,False,False,False,17.192014803547462,high
29,29,iso,gomez,quinidine,262.1,327.5,403.0,582.7,320.6,255.20000000000005,179.70000000000005,544.3,744.6,847.9,246.6,498.4,288.3,0.7929887083424871,8.904414509478492,223.07197655402172,-87.66974537325092,39.9393253207188,0.0001052594743868,0.0002010635698981,9.580409551133668e-05,8.111425801136004,False,False,False,18.229109805100133,high
30,30,iso,gomez,quinidine,260.5,326.5,404.3,585.0,324.5,258.5,180.7,523.4,716.6,823.1,235.0,471.6,297.0,0.5914716149558866,8.907603204619207,223.25100227942812,-87.69633162563166,39.97238021545293,0.0001016665900401,0.0002099550217897,0.0001082884317495,8.31613158966332,False,False,False,16.665514566350623,high
31,31,iso,gomez,quinidine,259.1,325.6,405.4,586.4,327.29999999999995,260.79999999999995,181.0,504.0,689.9,797.7,240.0,476.9,295.1,0.8824726082163411,11.38085761034877,223.38700720288077,-87.71432867193806,39.99651772218057,9.917622650883757e-05,0.000218516401273,0.0001193401747641,10.498385002132428,False,False,False,15.4567595692901,high
32,32,iso,gomez,quinidine,262.0,327.5,403.1,582.9,320.9,255.4,179.79999999999995,545.3,744.5,847.6,216.5,441.5,287.1,0.1899969957779299,4.606315201464279,223.07766164407116,-87.67179972304646,39.95629917777219,0.0001049943501138,0.0002011307173734,9.613636725960232e-05,4.416318205686349,False,False,False,17.758038085684348,high
33,33,iso,gomez,quinidine,257.6,324.8,406.5,587.4,329.79999999999995,262.6,180.9,481.1,658.0,764.9,185.0,378.4,253.8,0.058132352141742,1.4874943355577528,223.52699329127844,-87.73048460346088,40.03038484969957,9.689626656240687e-05,0.0002292344673773,0.0001323382008149,1.4293619834160107,False,False,False,13.928524642014697,high
34,34,iso,gomez,quinidine,263.6,328.5,401.9,580.1,316.5,251.6,178.20000000000005,565.0,769.3,867.9,294.8,564.2,307.1,5.5030435513206335,22.78947964697277,222.8641189581398,-87.63876237702591,39.91920511623028,0.0001093491978384,0.0001930503054599,8.370110762155746e-05,17.286436095652135,False,False,False,19.44445755783904,high
