,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,dyn,control,ranolazine,178.2,203.4,224.0,283.7,105.5,80.29999999999998,59.69999999999999,181.2,282.3,344.4,161.8,307.6,120.5,0.0482033499723879,3.010945517632819,186.4929887921821,-87.98787683489782,38.020626183443056,7.500974232753909e-05,0.0006883394981826,0.0006133297558551,2.962742167660431,True,True,False,429.6779426858719,low/none
1,1,dyn,control,ranolazine,177.8,203.0,223.5,282.9,105.09999999999997,79.89999999999998,59.39999999999998,173.8,269.7,328.6,139.2,269.2,111.9,0.0206145367501138,2.555867732605269,186.53150996772328,-87.98802078656395,38.06484335245941,7.505232360014883e-05,0.0007255186252347,0.0006504663016345,2.535253195855156,True,True,False,428.1565389915312,low/none
2,2,dyn,control,ranolazine,178.2,203.4,224.0,283.8,105.60000000000002,80.4,59.80000000000001,184.6,283.4,344.2,193.2,366.0,165.4,0.1027489893292845,3.172075125873263,186.50647039739565,-87.98905172168418,38.03325757875261,7.433025522742582e-05,0.0006817739796411,0.0006074437244136,3.0693261365439786,True,True,False,429.1575944298677,low/none
3,3,dyn,control,ranolazine,178.2,203.4,224.0,283.7,105.5,80.29999999999998,59.69999999999999,185.3,282.7,343.6,145.8,296.4,136.4,0.0205797981347252,2.538442359153087,186.5019077236788,-87.98813185385677,37.99050802556451,7.49346966484036e-05,0.0006793759608109,0.0006044412641625,2.517862561018362,True,True,False,429.3029311663876,low/none
4,4,dyn,control,ranolazine,178.1,203.2,223.8,283.5,105.4,80.30000000000001,59.69999999999999,182.0,277.9,336.1,156.0,284.7,150.2,0.0627825732521101,2.8625257904832813,186.5208180089981,-87.98828963328556,38.020851849811294,7.489927250798786e-05,0.0006975507767992,0.0006226515042912,2.799743217231171,True,True,False,428.4851208310844,low/none
5,5,dyn,control,ranolazine,178.2,203.3,223.9,283.6,105.40000000000003,80.30000000000001,59.70000000000002,182.3,281.1,342.2,173.0,357.5,124.7,0.026432923214957,2.4562551412168485,186.5100758578913,-87.98856907786647,37.99868852620232,7.467688629901447e-05,0.0006900426601178,0.0006153657738188,2.429822218001892,True,True,False,429.15469557848985,low/none
6,6,dyn,control,ranolazine,178.1,203.2,223.8,283.4,105.29999999999998,80.19999999999999,59.599999999999966,179.9,277.1,336.5,144.1,268.9,121.0,0.0384185428710888,2.7767040933103866,186.51425723337968,-87.98806256111095,38.0089427832364,7.500876377248982e-05,0.0007013626388829,0.0006263538751104,2.7382855504392976,True,True,False,428.8769510483341,low/none
7,7,dyn,control,ranolazine,177.8,203.0,223.6,283.1,105.3,80.10000000000002,59.50000000000003,174.6,271.4,330.3,185.9,349.8,128.9,0.0802864623948344,3.1410988071792154,186.53550591860943,-87.98848672952562,38.08362019327057,7.475420440649677e-05,0.0007249371372446,0.0006501829328381,3.060812344784381,True,True,False,427.9986361277325,low/none
8,8,dyn,control,ranolazine,178.4,203.6,224.2,284.1,105.70000000000002,80.50000000000003,59.900000000000034,186.6,288.1,349.9,189.0,339.2,141.0,0.1177598808723129,3.251316284818871,186.4885550405181,-87.9883993266662,37.98632539390669,7.467604577366978e-05,0.0006726267041747,0.0005979506584011,3.133556403946558,True,True,False,429.9181241149885,low/none
9,9,dyn,control,ranolazine,178.3,203.6,224.2,284.1,105.8,80.50000000000003,59.900000000000034,183.5,287.4,350.5,176.4,315.2,113.0,0.1072901240376408,3.1409408193879296,186.47455972387127,-87.98774351534449,38.01432196312719,7.503011512700899e-05,0.0006764669316545,0.0006014368165274,3.0336506953502886,True,True,False,430.3863300333524,low/none
10,10,dyn,control,ranolazine,178.5,203.7,224.3,284.3,105.8,80.60000000000002,60.0,186.9,290.9,353.5,176.1,303.9,124.6,0.1333815834223505,3.3625373170939685,186.46819250534557,-87.98778161979759,37.99271358645453,7.500268472132693e-05,0.0006659317394203,0.000590929054699,3.229155733671618,True,True,False,430.6064578258357,low/none
11,11,dyn,control,ranolazine,179.1,204.4,225.0,285.2,106.1,80.79999999999998,60.19999999999999,201.3,310.8,376.4,162.1,299.2,120.1,0.0569788076979887,2.7969738706563625,186.4093816803812,-87.98740759342422,37.8565852590658,7.509202888595029e-05,0.0006121644783319,0.0005370724494459,2.7399950629583736,True,True,False,432.89530439955496,low/none
12,12,dyn,control,ranolazine,178.4,203.6,224.2,284.1,105.70000000000002,80.50000000000003,59.900000000000034,187.3,288.6,350.4,159.9,299.4,125.0,0.053385987852522,2.8952388032536454,186.48284502033815,-87.98805433762095,37.95507579392935,7.493227559054453e-05,0.0006689147326164,0.0005939824570258,2.8418528154011238,True,True,False,430.1663630729289,low/none
13,13,dyn,control,ranolazine,177.7,202.8,223.4,282.7,105.0,79.89999999999998,59.29999999999998,171.0,266.0,323.8,151.8,279.2,115.6,0.052102922710726,3.0193904024184595,186.54630586682876,-87.98818138675809,38.105762699300776,7.499687179597914e-05,0.000742110937251,0.000667114065455,2.9672874797077333,True,True,False,427.5294302256015,low/none
14,14,dyn,control,ranolazine,178.5,203.7,224.4,284.4,105.89999999999998,80.69999999999999,59.99999999999997,189.9,292.9,355.5,185.3,330.0,139.5,0.1234434472145852,3.1455325163028114,186.4728918986037,-87.98818099935895,37.96391687650162,7.479195260705279e-05,0.0006584277375596,0.0005836357849526,3.022089069088226,True,True,False,430.49822374463525,low/none
15,15,dyn,control,ranolazine,178.0,203.3,223.8,283.6,105.60000000000002,80.30000000000001,59.80000000000001,179.5,278.7,338.8,214.5,382.8,147.1,0.250342170180338,3.333219266828206,186.51121173641937,-87.98843053208091,38.07440581225939,7.467757472016977e-05,0.0006999849802178,0.0006253074054977,3.082877096647868,True,True,False,428.8717607017142,low/none
16,16,dyn,control,ranolazine,177.7,202.9,223.4,282.7,105.0,79.79999999999998,59.29999999999998,171.8,266.3,323.5,144.2,251.0,125.6,0.0579151093339117,2.988468485927146,186.54461449879133,-87.98808409552605,38.10995112106318,7.504307427928844e-05,0.0007385446032175,0.0006635015289382,2.930553376593235,True,True,False,427.5249427969096,low/none
17,17,dyn,control,ranolazine,178.9,204.2,224.8,285.1,106.20000000000002,80.90000000000003,60.30000000000001,198.6,307.3,374.3,216.5,397.6,137.7,0.1675849671728539,2.9345859843239297,186.4383796820393,-87.98961136409326,37.9073031855856,7.3863157179958e-05,0.0006243524593593,0.0005504893021793,2.767001017151076,True,True,False,432.04638425380455,low/none
