,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,iso,control,ranolazine,182.6,208.2,228.1,287.9,105.29999999999998,79.69999999999999,59.79999999999998,232.9,386.7,480.0,126.3,258.4,153.5,0.0581618344051723,38.42337751070048,186.04346789323225,-87.98298982826356,37.77252139101938,7.627124771231008e-05,0.000492786105265,0.0004165148575527,38.36521567629531,False,False,False,434.2167256199606,low/none
1,1,iso,control,ranolazine,180.5,206.1,226.3,286.5,106.0,80.4,60.19999999999999,212.5,345.3,425.0,108.6,224.5,136.4,0.0221701756296082,21.04581222929868,186.19191703133689,-87.98503639596613,37.881014096584416,7.571374738864801e-05,0.0005524119111643,0.0004766981637757,21.02364205366907,True,True,False,430.8751619359748,low/none
2,2,iso,control,ranolazine,181.9,207.5,227.6,287.5,105.6,80.0,59.900000000000006,225.5,373.4,462.9,151.1,294.4,211.5,0.1447132936512122,41.65492748976471,186.0876751491505,-87.98362536002489,37.81233653145171,7.61006681103058e-05,0.0005110584307421,0.0004349577626318,41.510214196113495,False,False,False,433.29727402763103,low/none
3,3,iso,control,ranolazine,181.6,207.2,227.3,287.3,105.70000000000002,80.10000000000002,60.0,225.0,368.9,455.8,117.9,238.3,175.6,0.0234150149503377,22.58586328193572,186.11124832695248,-87.98407353236269,37.81175045062115,7.597037802027098e-05,0.0005155145867151,0.0004395442086948,22.56244826698538,False,True,False,432.8582365882975,low/none
4,4,iso,control,ranolazine,181.3,206.9,227.0,287.1,105.8,80.20000000000002,60.10000000000002,223.3,363.4,447.6,134.6,252.7,190.8,0.0749476126529777,28.51511533899576,186.1363487280724,-87.98451023307568,37.81456049769035,7.584830929670604e-05,0.0005225903680151,0.0004467420587184,28.440167726342786,False,True,False,432.3491833754287,low/none
5,5,iso,control,ranolazine,181.6,207.1,227.3,287.3,105.70000000000002,80.20000000000002,60.0,226.1,368.7,454.5,132.4,285.3,157.5,0.0317696391649043,19.650415717199238,186.11819358770543,-87.98427761513534,37.8002859164652,7.590553249040115e-05,0.0005148931946971,0.0004389876622067,19.61864607803433,False,True,False,432.771704691839,low/none
6,6,iso,control,ranolazine,181.7,207.3,227.4,287.4,105.7,80.09999999999997,59.99999999999997,228.4,371.9,458.3,121.2,239.8,151.6,0.0436918318775493,26.44522945101253,186.1102851841285,-87.98424117424119,37.78465411624383,7.590661280882762e-05,0.000509853108107,0.0004339464952982,26.40153761913498,False,True,False,432.9926277729405,low/none
7,7,iso,control,ranolazine,181.0,206.6,226.8,286.9,105.89999999999998,80.29999999999998,60.099999999999966,218.9,356.2,438.8,136.8,281.8,158.9,0.098377429839328,38.21885156887561,186.1572592455884,-87.98469472575974,37.84252179674594,7.580637760961564e-05,0.0005340353770363,0.0004582289994267,38.12047413903628,False,True,False,431.7986963904567,low/none
8,8,iso,control,ranolazine,183.6,209.1,229.0,288.6,105.00000000000004,79.50000000000003,59.60000000000002,247.0,409.1,507.4,160.7,317.4,180.9,0.1707689681329142,45.253941279343,185.97726050561536,-87.9820769716436,37.69608438169917,7.652100666677936e-05,0.0004641680330867,0.0003876470264199,45.08317231121009,False,False,False,435.53408652615695,low/none
9,9,iso,control,ranolazine,184.1,209.6,229.4,288.9,104.79999999999998,79.29999999999998,59.49999999999997,250.7,417.9,519.5,152.1,314.0,142.3,0.1845200558175111,40.404231737022,185.9408253591786,-87.98129583015711,37.68039221470311,7.676786485955893e-05,0.0004551721874724,0.0003784043226128,40.219711681204494,False,False,False,436.0690083669713,low/none
10,10,iso,control,ranolazine,184.9,210.4,230.1,289.4,104.49999999999996,78.99999999999997,59.29999999999998,259.1,433.9,540.3,162.5,322.3,160.0,0.2743319727367915,52.5877540284941,185.8811587589679,-87.98004200169017,37.64106937196821,7.717126555468566e-05,0.0004388756600284,0.0003617043944738,52.313422055757314,False,False,False,436.9203218430789,low/none
11,11,iso,control,ranolazine,188.5,213.9,233.1,291.4,102.89999999999998,77.49999999999997,58.29999999999998,291.2,499.8,626.0,160.5,330.3,165.7,0.0920070590170078,36.32491198777412,185.56582428594265,-87.97086736695108,37.506541378255406,8.03950069326859e-05,0.000384198291898,0.0003038032849653,36.23290492875711,False,False,False,439.7570476610608,low/none
12,12,iso,control,ranolazine,183.6,209.1,229.0,288.6,105.00000000000004,79.50000000000003,59.60000000000002,248.4,410.5,508.6,137.6,275.2,162.2,0.0665258131803223,32.876949713747734,185.97695256966017,-87.98216171209621,37.686400184931216,7.648925833852502e-05,0.0004622432133357,0.0003857539549972,32.810423900567415,False,False,False,435.58775711492297,low/none
13,13,iso,control,ranolazine,180.5,206.0,226.3,286.5,106.0,80.5,60.19999999999999,213.2,345.0,424.0,116.0,235.0,140.9,0.0590925603377975,33.278540543957455,186.19670971627,-87.98515859177864,37.87256296682181,7.567244988345037e-05,0.0005522095361833,0.0004765370862999,33.21944798361966,True,True,False,430.7931677548879,low/none
14,14,iso,control,ranolazine,184.4,209.9,229.6,289.1,104.70000000000002,79.20000000000002,59.50000000000003,255.1,424.9,528.0,164.9,329.8,180.3,0.2390094011669842,40.483085821866894,185.91963553840452,-87.98095148355753,37.6577370493609,7.687231727507735e-05,0.0004474500549488,0.0003705777376737,40.24407642069991,False,False,False,436.4279956223796,low/none
15,15,iso,control,ranolazine,182.1,207.7,227.7,287.6,105.50000000000004,79.90000000000003,59.900000000000034,231.1,379.0,468.3,170.4,343.9,183.1,0.5510321872220579,45.82729145415921,186.08090693717244,-87.98373148631752,37.776330998532565,7.605049825568967e-05,0.0005009210456913,0.0004248705474357,45.27625926693715,False,False,False,433.56768945760473,low/none
16,16,iso,control,ranolazine,180.3,205.9,226.2,286.3,106.0,80.4,60.10000000000002,209.9,341.2,419.9,118.5,227.4,152.3,0.0660337904200865,30.50541952776708,186.204340174708,-87.9851361273707,37.898507523385774,7.568854001285644e-05,0.0005600931481184,0.0004844046081056,30.439385737347,True,True,False,430.51961801942,low/none
17,17,iso,control,ranolazine,186.8,212.2,231.6,290.5,103.7,78.30000000000001,58.900000000000006,277.3,469.8,586.6,197.8,415.0,182.3,0.4926233722217496,34.13236548851949,185.73059272088128,-87.9761776452749,37.562316477368206,7.849487553416643e-05,0.0004070940857392,0.000328599210205,33.63974211629774,False,False,False,438.5661503323222,low/none
18,18,iso,control,ranolazine,182.9,208.4,228.4,288.1,105.20000000000002,79.70000000000002,59.70000000000002,238.3,394.0,488.3,133.9,261.3,155.1,0.0870037967321195,37.5307255056852,186.0263470794068,-87.98284708269698,37.7411375474878,7.629979404881286e-05,0.0004822537274347,0.0004059539333859,37.443721708953085,False,False,False,434.6229575852007,low/none
19,19,iso,control,ranolazine,181.9,207.4,227.5,287.5,105.6,80.1,60.0,228.3,374.1,462.0,160.4,344.4,177.4,0.1080511046034617,28.21091921035069,186.0970190912792,-87.98394229530575,37.79106141570956,7.599689193588699e-05,0.0005077093389974,0.0004317124470615,28.102868105747227,False,True,False,433.2133183252423,low/none
20,20,iso,control,ranolazine,179.9,205.4,225.8,286.0,106.1,80.6,60.19999999999999,205.5,331.9,407.4,142.5,325.3,165.8,0.0483335530794353,16.889843770598592,186.2387316343265,-87.9855394311029,37.92119084173235,7.557114715360428e-05,0.0005765082389941,0.0005009370918405,16.841510217519158,True,True,False,429.5799874266001,low/none
21,21,iso,control,ranolazine,183.0,208.6,228.5,288.2,105.2,79.6,59.69999999999999,237.8,395.9,492.0,137.9,263.9,168.0,0.0935798613219013,38.273546946007976,186.011435075155,-87.98246934596925,37.74701253047144,7.64202828536714e-05,0.000481188867814,0.0004047685849603,38.17996708468608,False,False,False,434.8202580541178,low/none
22,22,iso,control,ranolazine,179.4,204.9,225.3,285.5,106.1,80.6,60.19999999999999,197.8,319.3,391.7,114.7,250.9,170.8,0.0352400485147775,26.507413383742986,186.2785950249984,-87.98586749823714,37.97335482785181,7.54895961762624e-05,0.0006026253627275,0.0005271357665513,26.47217333522821,True,True,False,428.3386311419928,low/none
23,23,iso,control,ranolazine,183.7,209.3,229.1,288.7,105.0,79.39999999999998,59.6,248.0,411.7,511.0,151.5,312.1,185.2,0.084018911292063,31.965572092589767,185.96620100935203,-87.98183773020688,37.692229630994646,7.65964358218791e-05,0.0004615503704187,0.0003849539345968,31.881553181297704,False,False,False,435.6968875177594,low/none
24,24,iso,control,ranolazine,179.7,205.2,225.6,285.8,106.10000000000002,80.60000000000002,60.20000000000002,202.6,327.5,402.1,146.6,304.4,156.0,0.2783365684696925,29.79121361447904,186.2516203198192,-87.98562524424773,37.94234531866833,7.555228269334388e-05,0.0005856590950707,0.0005101068123773,29.512877046009347,True,True,False,429.1729239609629,low/none
25,25,iso,control,ranolazine,180.5,206.0,226.3,286.5,106.0,80.5,60.19999999999999,212.9,344.7,423.7,125.9,260.9,143.2,0.0499580990001354,25.39818275920937,186.1972208498125,-87.98515531918672,37.87456156032432,7.567413515244247e-05,0.0005527738140028,0.0004770996788504,25.34822466020923,True,True,False,430.7734185644511,low/none
26,26,iso,control,ranolazine,181.8,207.3,227.4,287.4,105.59999999999997,80.09999999999997,59.99999999999997,226.3,371.4,458.9,102.5,207.4,139.1,0.0134126814744141,17.46707198675598,186.1032623311765,-87.98397122904959,37.80440975843535,7.59957205276182e-05,0.0005120271630511,0.0004360314425235,17.453659305281565,False,True,False,433.0409744836246,low/none
