,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,dyn,gomez,risperidone,200.3,237.5,267.0,346.4,146.09999999999997,108.89999999999998,79.39999999999998,356.9,489.7,585.4,184.8,363.4,207.9,0.1426272093829226,1.1255435731857322,241.79163184425724,-87.78587980464751,40.22137977572892,9.172131280987577e-05,0.0002569168139365,0.0001651955011267,0.9829163638028096,False,False,False,77.54839907138424,intermediate
1,1,dyn,gomez,risperidone,200.2,237.4,266.9,346.1,145.90000000000003,108.70000000000002,79.20000000000005,349.6,484.8,591.4,167.2,342.0,201.2,0.0742433508728161,0.7868416104504508,241.74859543166264,-87.78392919572515,40.22188208872888,9.200965076653584e-05,0.0002586047033665,0.0001665950526,0.7125982595776346,False,False,False,77.67981607673136,intermediate
2,2,dyn,gomez,risperidone,199.9,237.2,267.0,346.7,146.79999999999998,109.5,79.69999999999999,353.7,487.5,573.0,193.0,366.0,236.5,0.2478925671703962,1.5905927976160603,241.93563824987652,-87.79122898506583,40.22445217152366,9.089140114977672e-05,0.0002622476515956,0.0001713562504458,1.342700230445664,False,False,False,76.9942892461034,intermediate
3,3,dyn,gomez,risperidone,201.2,238.2,267.4,346.3,145.10000000000002,108.10000000000002,78.90000000000003,360.3,509.4,620.6,162.1,400.4,215.1,0.0932523197811449,0.7304507576256128,241.71460303408492,-87.78418288975783,40.20322439665152,9.206345630725384e-05,0.0002507749645758,0.0001587115082686,0.637198437844468,False,False,False,77.42429481787832,intermediate
4,4,dyn,gomez,risperidone,199.8,237.1,266.9,346.6,146.8,109.50000000000004,79.70000000000005,350.7,478.3,568.8,183.2,355.1,218.3,0.1657198237233481,1.317457286221709,241.8961146686924,-87.78931052100744,40.24286956514893,9.1163386719608e-05,0.0002631334182457,0.0001719700315261,1.151737462498361,False,False,False,76.63980417521469,intermediate
5,5,dyn,gomez,risperidone,200.8,237.9,267.3,346.7,145.89999999999998,108.79999999999998,79.39999999999998,362.3,499.1,596.7,183.6,380.9,222.7,0.0892665233231297,0.8366632086548618,241.8050117407216,-87.78727231445168,40.2235687961959,9.156866119303742e-05,0.0002536332045308,0.0001620645433378,0.7473966853317321,False,False,False,76.70825535541357,intermediate
6,6,dyn,gomez,risperidone,200.1,237.4,267.0,346.4,146.29999999999998,108.99999999999996,79.39999999999998,353.3,484.6,583.9,178.1,363.1,201.1,0.1170720296074905,1.039527894762076,241.79900025805645,-87.7858824322722,40.24154212777981,9.170720728116524e-05,0.0002585703370962,0.0001668631298151,0.9224558651545852,False,False,False,77.07390911291364,intermediate
7,7,dyn,gomez,risperidone,199.5,236.9,266.7,346.4,146.89999999999998,109.49999999999996,79.69999999999999,346.7,479.8,568.6,202.6,395.8,214.1,0.2350253622245674,1.5156618860910938,241.9522189466905,-87.79111749231195,40.243140217282665,9.0858589627031e-05,0.000265723109131,0.000174864519504,1.2806365238665265,False,False,False,77.44184924518221,intermediate
8,8,dyn,gomez,risperidone,200.1,237.4,267.0,346.6,146.50000000000003,109.20000000000002,79.60000000000002,358.1,496.1,586.5,202.6,398.9,221.9,0.3228128113826958,1.727155755570598,241.93997930055332,-87.79188952988352,40.23689553475612,9.08067767180309e-05,0.0002581473778264,0.0001673406011083,1.4043429441879025,False,False,False,77.28488769515698,intermediate
9,9,dyn,gomez,risperidone,200.3,237.5,267.0,346.2,145.89999999999998,108.7,79.19999999999999,359.0,500.7,597.6,203.4,415.8,205.1,0.3222844570696471,1.5657630881335856,241.87238660882787,-87.78936088339505,40.2292907020142,9.119762972085486e-05,0.0002553229693814,0.0001641253396605,1.2434786310639383,False,False,False,78.32811139351196,intermediate
