,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,iso,control,risperidone,171.3,193.9,211.3,264.4,93.09999999999997,70.49999999999997,53.099999999999966,234.5,385.0,477.5,124.6,256.4,151.8,0.06101063349795455,31.91375014072113,256.1549259670704,-87.97619870836503,38.099691108690806,7.784052794083009e-05,0.00045864400312128467,0.0003808034751804546,31.852739507223177,False,False,False,495.80443960388845
1,iso,control,risperidone,169.6,192.1,209.8,263.3,93.70000000000002,71.20000000000002,53.5,213.8,343.4,422.3,107.4,222.9,134.8,0.023387506209669697,16.997127728231007,256.35286474809493,-87.97797440847957,38.179394189462535,7.733136358872767e-05,0.0005136407308999794,0.00043630936731125174,16.973740222021338,True,True,False,493.18809886747965
2,iso,control,risperidone,170.8,193.4,210.8,264.1,93.30000000000001,70.70000000000002,53.30000000000001,227.0,371.6,460.2,147.2,290.3,209.1,0.15030793215930266,36.451367148196155,256.21356011255057,-87.97673989669998,38.12944595536893,7.769540742905455e-05,0.00047561074145649056,0.000397915334027436,36.301059216036855,False,True,False,495.09721970963346
3,iso,control,risperidone,170.5,193.1,210.6,263.9,93.39999999999998,70.79999999999998,53.29999999999998,226.5,367.1,453.2,115.3,236.2,171.9,0.024835041123300653,18.178787567861818,256.24507908776354,-87.97717104647286,38.12943195814367,7.756885052008577e-05,0.00047958196034446777,0.000402013109824382,18.153952526738518,False,True,False,494.7499181534538
4,iso,control,risperidone,170.3,192.8,210.3,263.8,93.5,71.0,53.5,224.8,361.5,444.9,131.3,249.0,188.0,0.07853860801373158,24.603497279346882,256.278692021744,-87.97758673914649,38.13163583390372,7.744235287947278e-05,0.0004860272842755157,0.00040858493139604295,24.524958671333152,False,True,False,494.3438982115214
5,iso,control,risperidone,170.5,193.0,210.5,263.9,93.39999999999998,70.89999999999998,53.39999999999998,227.6,366.8,451.9,131.2,284.1,155.4,0.0327543484690288,16.128804935583982,256.2544667002122,-87.97738933364631,38.12139568243162,7.749960329232979e-05,0.0004789166160859755,0.0004014170127936457,16.096050587114952,False,True,False,494.6736195374551
6,iso,control,risperidone,170.6,193.1,210.6,264.0,93.4,70.9,53.400000000000006,229.9,370.1,455.6,118.9,236.9,149.7,0.04590476069260457,22.40460863114679,256.2440451550227,-87.97738566928774,38.110520308555266,7.749172408736299e-05,0.00047421086736277386,0.00039671914327541087,22.358703870454185,False,True,False,494.83790644516426
7,iso,control,risperidone,170.0,192.6,210.1,263.6,93.60000000000002,71.00000000000003,53.50000000000003,220.2,354.3,436.1,134.9,279.8,157.3,0.10225202899850457,33.15027692245335,256.3064889050993,-87.97771295795005,38.151693269236254,7.740934785164914e-05,0.000496647921470526,0.00041923857361887684,33.048024893454844,False,True,False,493.9171371064233
8,iso,control,risperidone,172.2,194.7,212.0,264.9,92.69999999999999,70.19999999999999,52.89999999999998,248.9,407.7,505.1,156.9,313.4,179.8,0.1831073949735389,40.41019110094883,256.0679939471693,-87.97547493949871,38.045109630685054,7.803647805950279e-05,0.0004319124025726809,0.00035387592451317806,40.22708370597529,False,False,False,496.7761496304639
9,iso,control,risperidone,172.6,195.1,212.4,265.2,92.6,70.1,52.79999999999998,252.8,416.7,517.3,150.0,311.2,142.1,0.19769728688398033,35.50745258635567,256.0200609098678,-87.97475276841813,38.03200623908868,7.826522119382969e-05,0.0004235944397825406,0.0003453292185887109,35.30975529947169,False,False,False,497.1821448159083
10,iso,control,risperidone,173.3,195.8,212.9,265.6,92.30000000000001,69.80000000000001,52.70000000000002,261.5,433.0,538.2,158.5,317.8,159.4,0.2941314510386564,47.219535438908316,255.94240768277362,-87.97363768135432,38.002925492110776,7.862499324591126e-05,0.0004084104671731827,0.0003297854739272714,46.92540398786966,False,False,False,497.7982387893946
