,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,iso,gomez,risperidone,206.0,242.1,268.9,343.4,137.39999999999998,101.29999999999998,74.5,469.3,689.6,809.2,186.5,433.9,283.4,0.4666013424956923,8.442042110090714,240.23681772335297,-87.73373157770439,40.03109303039535,0.0001000982008504,0.0001966486329861,9.65504321357287e-05,7.975440767595022,False,False,False,82.91117152371405,intermediate
1,1,iso,gomez,risperidone,204.4,240.8,268.3,344.2,139.79999999999998,103.39999999999998,75.89999999999998,438.4,640.9,761.9,160.2,363.0,263.9,0.1074395265619095,3.197566162772432,240.966041237523,-87.76098033033145,40.08999405534201,9.598722658670116e-05,0.0002098273055914,0.0001138400790047,3.090126636210522,False,False,False,80.8968891351061,intermediate
2,2,iso,gomez,risperidone,205.5,241.7,268.7,343.6,138.10000000000002,101.90000000000003,74.90000000000003,459.9,675.9,796.6,211.2,453.4,327.2,1.1531707465723535,15.452334303740695,240.46802707887105,-87.74235637637139,40.04566473927998,9.880886657452024e-05,0.0002003705935646,0.0001015617269901,14.299163557168344,False,False,False,82.51029087563215,intermediate
3,3,iso,gomez,risperidone,205.4,241.6,268.7,343.7,138.29999999999998,102.1,75.0,457.3,670.7,791.3,158.9,347.6,289.8,0.1748904946414883,3.579946515725448,240.57575499506893,-87.74651725343469,40.058637666916844,9.819345384645936e-05,0.0002017505530686,0.0001035570992221,3.40505602108396,False,False,False,81.93275397570964,intermediate
4,4,iso,gomez,risperidone,205.2,241.5,268.6,343.9,138.7,102.39999999999998,75.29999999999995,453.9,664.3,784.9,189.4,417.8,302.9,0.5344020290008812,9.200331324523075,240.6916786556968,-87.75096487547815,40.07317086016208,9.75302784279581e-05,0.000203435673355,0.000105905394927,8.665929295522194,False,False,False,81.3435631360176,intermediate
5,5,iso,gomez,risperidone,205.4,241.6,268.7,343.8,138.4,102.20000000000002,75.10000000000002,458.0,670.5,790.9,191.6,434.7,288.8,0.1897353363915299,3.949182555282287,240.60042572283604,-87.7475569515561,40.06607249984921,9.804591303289514e-05,0.0002017620063483,0.0001037160933154,3.759447218890757,False,False,False,81.5751380159207,intermediate
6,6,iso,gomez,risperidone,205.6,241.8,268.8,343.8,138.20000000000002,102.0,75.0,460.9,674.4,794.4,176.3,410.5,275.5,0.2943749275615864,6.181495667672223,240.55343835833023,-87.74586765044569,40.06631308749449,9.830599996714568e-05,0.0002006987515266,0.0001023927515594,5.887120740110637,False,False,False,81.51264106813474,intermediate
7,7,iso,gomez,risperidone,204.9,241.2,268.5,344.0,139.1,102.8,75.5,447.8,655.3,776.3,197.4,448.8,283.5,0.9034233294072396,11.708630688083252,240.79980459522895,-87.75490923682717,40.07825138309345,9.692398521003276e-05,0.0002058676617888,0.0001089436765787,10.805207358676013,False,False,False,81.24157724435089,intermediate
8,8,iso,gomez,risperidone,206.9,242.8,269.3,343.2,136.29999999999998,100.39999999999998,73.89999999999998,485.0,709.9,826.8,229.5,505.2,306.5,2.635958490077841,19.323637047466583,239.86348020057736,-87.71993539891163,40.01813576415017,0.0001021447825226,0.000191046149757,8.890136723439328e-05,16.687678557388743,False,False,False,83.03364454570425,intermediate
9,9,iso,gomez,risperidone,207.1,243.0,269.4,343.0,135.9,100.0,73.60000000000002,489.5,716.6,832.6,224.0,517.5,279.9,2.2748671348400165,15.051083059659437,239.68618979222472,-87.71324305847926,40.00471722835475,0.000103113510222,0.0001891750667139,8.606155649194908e-05,12.776215924819418,False,False,False,83.4977417819899,intermediate
