,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,dyn,control,sotalol,171.2,194.5,213.3,268.5,97.3,74.0,55.19999999999999,182.5,282.4,344.3,156.5,300.8,118.7,0.0509909359155422,2.844607068771724,256.5735619675382,-87.98015631989306,38.40152127416047,7.690429418621164e-05,0.0006417838990104,0.0005648796048242,2.793616132856182,True,True,False,476.4047784806387,high
1,1,dyn,control,sotalol,170.9,194.2,212.9,267.9,96.99999999999996,73.69999999999999,54.99999999999997,174.8,270.0,328.6,135.1,263.6,110.5,0.0219331580764799,2.370197243604993,256.62562127650705,-87.98018836553004,38.43282221927407,7.697521132222801e-05,0.0006751832038536,0.0005982079925313,2.348264085528513,True,True,False,475.1914004190815,high
2,2,dyn,control,sotalol,171.2,194.5,213.3,268.6,97.40000000000003,74.10000000000002,55.30000000000001,185.9,283.4,344.0,186.9,357.5,162.6,0.1077952933195371,3.049087137774687,256.5912877573788,-87.98132495322683,38.426974173782334,7.621328873707312e-05,0.0006361557356733,0.0005599424469362,2.94129184445515,True,True,False,475.9108523458432,high
3,3,dyn,control,sotalol,171.2,194.5,213.3,268.6,97.40000000000003,74.10000000000002,55.30000000000001,186.6,283.1,343.9,140.8,289.7,133.5,0.0221711849845839,2.3482820681205365,256.58394352396544,-87.98041145267318,38.395375631108806,7.683241692225467e-05,0.0006323596256618,0.0005555272087396,2.3261108831359527,True,True,False,476.15692610516913,high
4,4,dyn,control,sotalol,171.1,194.4,213.1,268.4,97.29999999999998,73.99999999999997,55.29999999999998,183.0,277.7,335.8,151.7,279.2,147.4,0.066053223143776,2.728281808528523,256.61214536317874,-87.98055342887616,38.40736992785799,7.679037799583651e-05,0.000650795953294,0.0005740055752982,2.662228585384747,True,True,False,475.3610291809874,high
5,5,dyn,control,sotalol,171.2,194.4,213.2,268.5,97.3,74.1,55.30000000000001,183.6,281.5,342.6,168.0,349.3,122.9,0.0279824540311465,2.280864827653774,256.59520135146863,-87.98084148617635,38.39056447862055,7.657487965908864e-05,0.0006426202372514,0.0005660453575923,2.252882373622628,True,True,False,476.0084725370043,high
6,6,dyn,control,sotalol,171.1,194.4,213.1,268.3,97.20000000000002,73.9,55.20000000000002,180.8,277.0,336.0,139.9,263.9,119.0,0.0406426282213036,2.621372468938802,256.60322722594543,-87.98033028168402,38.38946755202087,7.690580798012077e-05,0.0006540205669922,0.0005771147590121,2.5807298407174986,True,True,False,475.7257126069329,high
7,7,dyn,control,sotalol,170.9,194.2,212.9,268.1,97.20000000000002,73.90000000000003,55.20000000000002,175.4,271.3,330.0,180.5,342.5,127.2,0.0838951524323283,3.0135876541518227,256.63266669411377,-87.98069386969591,38.44100730029727,7.6648696654707e-05,0.0006764244477488,0.0005997757510941,2.9296925017194946,True,True,False,474.9356915485956,high
8,8,dyn,control,sotalol,171.4,194.7,213.4,268.9,97.49999999999996,74.19999999999999,55.49999999999997,187.7,287.9,349.4,183.7,332.6,139.1,0.1226191284984152,3.142138544931846,256.56871717152643,-87.98078407228239,38.37782477113228,7.652173052765174e-05,0.0006284239231827,0.0005519021926551,3.0195194164334307,True,True,False,476.5040938883755,high
9,9,dyn,control,sotalol,171.4,194.7,213.5,268.8,97.4,74.10000000000002,55.30000000000001,184.6,287.3,350.0,171.8,310.4,112.1,0.1147066124382918,3.0196374969915176,256.54958690674846,-87.98009441876104,38.38779636836888,7.690080490022722e-05,0.0006317891050987,0.0005548883001985,2.9049308845532256,True,True,False,476.9358441182152,high
10,10,dyn,control,sotalol,171.5,194.8,213.6,269.0,97.5,74.19999999999999,55.400000000000006,188.0,290.5,352.7,171.1,299.1,123.1,0.1422426440545605,3.2598685932018685,256.54141004890124,-87.98016879765561,38.37525888079792,7.686421153933172e-05,0.0006224896880496,0.0005456254765102,3.117625949147308,True,True,False,477.08423957149967,high
11,11,dyn,control,sotalol,172.0,195.4,214.1,269.7,97.7,74.29999999999998,55.6,203.1,310.9,375.4,157.9,294.1,118.7,0.0599974766540012,2.634365572292404,256.46072443802547,-87.98001888887998,38.2980893427144,7.691057783102769e-05,0.0005713150919749,0.0004944045141439,2.5743680956384027,True,True,False,479.0105194957537,high
12,12,dyn,control,sotalol,171.4,194.7,213.5,268.9,97.49999999999996,74.19999999999999,55.39999999999998,188.5,288.5,350.1,155.3,293.5,123.0,0.0562848175491483,2.743240769135056,256.56042579369387,-87.98044379453343,38.354455922032365,7.679788738525903e-05,0.0006241666558503,0.0005473687684651,2.686955951585908,True,True,False,476.77038136575777,high
13,13,dyn,control,sotalol,170.8,194.0,212.8,267.8,97.0,73.80000000000001,55.0,171.6,265.9,323.5,147.4,273.9,113.9,0.0547338380414323,2.874786832311725,256.647612635912,-87.9803270776397,38.45082861168984,7.692027258896438e-05,0.0006920678227861,0.0006151475501971,2.8200529942702928,True,True,False,474.568888246755,high
14,14,dyn,control,sotalol,171.5,194.8,213.6,269.1,97.60000000000002,74.30000000000001,55.50000000000003,191.1,292.7,354.9,180.5,324.4,137.7,0.1316499475188482,3.035399266751311,256.54707294070874,-87.98059946033521,38.36331336149933,7.663639367931803e-05,0.0006152684099232,0.0005386320162439,2.903749319232463,True,True,False,476.99196170487664,high
15,15,dyn,control,sotalol,171.1,194.4,213.2,268.4,97.29999999999998,73.99999999999997,55.19999999999999,180.3,278.4,338.3,209.1,376.3,145.4,0.2631843812895635,3.2462918282842246,256.5991361668314,-87.98068047590218,38.44130447109741,7.655758851704948e-05,0.0006540991852515,0.0005775415967344,2.983107446994661,True,True,False,475.64726089062367,high
16,16,dyn,control,sotalol,170.8,194.1,212.8,267.8,97.0,73.70000000000002,55.0,172.5,266.1,323.1,140.1,246.9,123.7,0.0607306716652443,2.858560038302308,256.64530887334195,-87.98021579969378,38.46252714882966,7.697130736153995e-05,0.0006889394992744,0.0006119681919129,2.7978293666370635,True,True,False,474.5583076639029,high
17,17,dyn,control,sotalol,171.9,195.2,214.0,269.6,97.70000000000002,74.40000000000003,55.60000000000002,200.2,307.4,374.2,211.3,390.4,136.8,0.176755550190614,2.8186118840843624,256.49792576791657,-87.98212354681786,38.32991247902295,7.569598448639589e-05,0.0005831883889098,0.0005074924044234,2.6418563338937484,True,True,False,478.2747636177161,high
18,18,dyn,control,sotalol,171.3,194.5,213.3,268.6,97.3,74.10000000000002,55.30000000000001,183.2,281.9,341.9,148.0,260.1,121.4,0.0739413505390784,2.95512586913336,256.57411967974446,-87.98004242402466,38.39157188636965,7.699380450727353e-05,0.0006417151486422,0.000564721344135,2.881184518594282,True,True,False,476.32285850046514,high
19,19,dyn,control,sotalol,171.2,194.5,213.2,268.6,97.40000000000003,74.10000000000002,55.400000000000034,183.8,282.2,343.2,211.4,422.0,139.6,0.0743287545462572,2.7040898136421783,256.6068270584944,-87.98221632300876,38.405467874556656,7.585070502701786e-05,0.0006438485341687,0.0005679978291417,2.629761059095921,True,True,False,475.8377107808318,high
20,20,dyn,control,sotalol,170.9,194.1,212.8,267.9,96.99999999999996,73.79999999999998,55.099999999999966,176.1,269.7,327.8,197.8,424.5,134.3,0.0358661995276872,2.257150874773306,256.6541277133949,-87.98142988920159,38.45214304421621,7.632367668332627e-05,0.000676891010811,0.0006005673341277,2.221284675245619,True,True,False,474.5514124483118,high
21,21,dyn,control,sotalol,171.3,194.6,213.4,268.7,97.39999999999998,74.1,55.29999999999998,185.4,284.8,345.4,150.5,265.0,130.0,0.077629770925337,2.964878518691114,256.56295010317,-87.98001672384125,38.395200557031366,7.698572906503238e-05,0.000633054485089,0.000556068756024,2.887248747765778,True,True,False,476.5466393259683,high
22,22,dyn,control,sotalol,170.7,193.9,212.6,267.5,96.8,73.6,54.900000000000006,171.0,262.0,318.4,162.0,340.9,135.7,0.0328049476334979,2.609928663755712,256.6786938529686,-87.9807706853152,38.4852950265793,7.668600113294074e-05,0.0007009763286416,0.0006242903275086,2.577123716122214,True,True,False,473.7615833759588,high
23,23,dyn,control,sotalol,171.5,194.8,213.6,269.1,97.60000000000002,74.30000000000001,55.50000000000003,192.5,293.9,357.3,181.8,364.1,137.9,0.0625629010184029,2.700356883948344,256.5568133785513,-87.98172334602934,38.35812561225287,7.601659979436596e-05,0.000611650972836,0.0005356343730416,2.6377939829299413,True,True,False,476.9891269450678,high
24,24,dyn,control,sotalol,170.6,193.9,212.6,267.5,96.9,73.6,54.900000000000006,167.8,261.0,317.6,193.6,360.3,130.5,0.1891340516940372,2.9317983044000866,256.6707866757618,-87.98049768196071,38.51473417373742,7.679162865159785e-05,0.0007095876848108,0.0006327960561592,2.7426642527060494,True,True,False,473.8687121567974,high
25,25,dyn,control,sotalol,170.9,194.1,212.8,267.9,96.99999999999996,73.79999999999998,55.099999999999966,173.4,268.3,326.4,161.1,307.5,117.0,0.0467983190751694,2.6396112589740928,256.64152433595683,-87.98044882872274,38.44368536086804,7.684198057453886e-05,0.0006847456141525,0.0006079036335779,2.5928129398989235,True,True,False,474.7316070153038,high
26,26,dyn,control,sotalol,171.2,194.5,213.2,268.3,97.10000000000002,73.80000000000001,55.10000000000002,182.1,279.2,341.3,116.9,230.2,108.6,0.0134206512881431,2.119653283073607,256.56855400399894,-87.97978646699148,38.387281840425885,7.71273675390336e-05,0.0006390535029572,0.0005619261354181,2.106232631785464,True,True,False,476.67436584769655,high
27,27,dyn,control,sotalol,170.9,194.2,212.9,267.9,96.99999999999996,73.69999999999999,54.99999999999997,173.5,268.3,325.9,129.7,236.1,110.5,0.043845118311062,2.864436011116757,256.6272850741717,-87.98007947360597,38.43516437706184,7.702237457161104e-05,0.0006809931046982,0.0006039707301266,2.820590892805695,True,True,False,475.104211587476,high
28,28,dyn,control,sotalol,171.0,194.3,213.1,268.2,97.2,73.89999999999998,55.1,177.9,274.7,334.1,146.3,275.5,116.6,0.0528521979940641,2.9474825138520786,256.6088857351066,-87.98024950775707,38.411545931840415,7.69226987267748e-05,0.0006637803082813,0.0005868576095546,2.8946303158580147,True,True,False,475.5496903558338,high
29,29,dyn,control,sotalol,171.2,194.5,213.2,268.5,97.3,74.0,55.30000000000001,181.4,280.7,341.3,146.3,266.7,113.9,0.051923855366495,2.7537744001897533,256.5739269664404,-87.9799390005034,38.399920028664006,7.703601846531845e-05,0.000645203922365,0.0005681679038997,2.7018505448232584,True,True,False,476.36895095482464,high
30,30,dyn,control,sotalol,171.0,194.3,213.0,268.2,97.2,73.89999999999998,55.19999999999999,177.8,273.7,332.9,157.3,299.1,129.6,0.0576308953625351,2.7731569666035285,256.6169918905235,-87.98033237870816,38.44052084765734,7.686398050851311e-05,0.0006651296261223,0.0005882656456138,2.715526071240993,True,True,False,475.28070563560834,high
31,31,dyn,control,sotalol,170.7,194.0,212.7,267.7,97.0,73.69999999999999,55.0,171.4,265.2,322.5,172.2,322.2,136.8,0.0830421962081349,2.935008066200312,256.6550631831713,-87.98045549176871,38.49151734978018,7.6810116673576e-05,0.0006936009877421,0.0006167908710685,2.8519658699921773,True,True,False,474.2830397433492,high
32,32,dyn,control,sotalol,171.3,194.5,213.2,268.4,97.09999999999997,73.89999999999998,55.19999999999999,183.2,280.9,341.1,126.6,246.2,110.8,0.0235670104267922,2.4552036633838545,256.57443795539155,-87.98005109527503,38.36743257855064,7.702081832995609e-05,0.0006395665751527,0.0005625457568227,2.4316366529570623,True,True,False,476.5142798069842,high
33,33,dyn,control,sotalol,170.6,193.8,212.5,267.3,96.70000000000002,73.5,54.80000000000001,168.4,259.9,316.8,128.2,269.1,112.4,0.0101845022095777,1.986077054819984,256.6735942317097,-87.98029914589726,38.49951094310301,7.695716638059003e-05,0.0007060760841692,0.0006291189177886,1.9758925526104063,True,True,False,473.9612088840304,high
34,34,dyn,control,sotalol,171.4,194.7,213.5,268.8,97.4,74.10000000000002,55.30000000000001,185.5,287.6,349.7,184.7,324.7,120.9,0.2370226204380807,3.186131152723658,256.55093807229986,-87.98018873460907,38.392999408605206,7.685893217410298e-05,0.0006299955705111,0.000553136638337,2.949108532285577,True,True,False,476.84607396882734,high
35,35,dyn,control,sotalol,170.7,194.0,212.7,267.6,96.90000000000003,73.60000000000002,54.900000000000034,170.4,263.4,320.6,141.0,268.0,121.4,0.0409219782964429,2.689867883239607,256.6578496867056,-87.98026948644689,38.48063542515884,7.694978137929072e-05,0.0006976764222248,0.0006207266408455,2.648945904943164,True,True,False,474.2696762001296,high
36,36,dyn,control,sotalol,171.1,194.4,213.1,268.2,97.1,73.79999999999998,55.1,180.1,275.3,333.7,120.7,222.3,114.8,0.0273555550033882,2.444590578718679,256.5950168113513,-87.97998212421803,38.39725053724707,7.705853939366952e-05,0.0006532741507629,0.0005762156113693,2.417235023715291,True,True,False,475.9385677553363,high
37,37,dyn,control,sotalol,171.6,194.9,213.7,269.2,97.6,74.29999999999998,55.5,193.1,295.8,359.3,157.1,297.0,125.7,0.0634890827337562,2.8391286328787086,256.5267000881092,-87.98028327972654,38.34297744975421,7.681977869052013e-05,0.0006057490402718,0.0005289292615813,2.775639550144952,True,True,False,477.5328221554921,high
38,38,dyn,control,sotalol,170.7,194.0,212.7,267.7,97.0,73.69999999999999,55.0,172.4,264.9,321.6,209.8,419.2,150.5,0.112101616769486,3.0821861357255784,256.674853628585,-87.9817025267702,38.47082065365701,7.617953169969202e-05,0.0006954534276149,0.0006192738959152,2.9700845189560923,True,True,False,473.93845304784713,high
39,39,dyn,control,sotalol,171.2,194.5,213.2,268.5,97.3,74.0,55.30000000000001,184.3,281.3,341.9,150.8,303.9,128.2,0.028823528959957,2.3384950988567894,256.591133658136,-87.98046175062659,38.396778641828966,7.680124847453722e-05,0.0006400751651289,0.0005632739166543,2.309671569896832,True,True,False,476.00537309979984,high
40,40,dyn,control,sotalol,171.0,194.3,213.0,268.1,97.10000000000002,73.80000000000001,55.10000000000002,176.4,272.0,329.7,138.3,243.8,115.4,0.0609556077583686,2.898753679000446,256.61669358456805,-87.9801467432774,38.41946810081332,7.698814723499766e-05,0.0006705036691658,0.0005935155219308,2.837798071242077,True,True,False,475.3267179428798,high
41,41,dyn,control,sotalol,170.8,194.0,212.7,267.4,96.59999999999997,73.39999999999998,54.69999999999999,169.3,262.9,323.6,110.3,213.6,93.8,0.0078496429532517,1.7520203132723289,256.6380921745587,-87.98003930252196,38.44581369842936,7.705585785503946e-05,0.0006926442876034,0.0006155884297484,1.744170670319077,True,True,False,475.0824010196888,high
42,42,dyn,control,sotalol,171.4,194.7,213.5,269.0,97.6,74.30000000000001,55.5,189.6,290.2,352.2,174.1,325.1,131.0,0.0775883262343136,2.8412104597072023,256.56119873578166,-87.98076965548529,38.35988444545707,7.656951646315851e-05,0.0006216679120535,0.0005450983955903,2.7636221334728885,True,True,False,476.7493976575186,high
43,43,dyn,control,sotalol,170.9,194.1,212.8,267.7,96.79999999999998,73.6,54.89999999999998,172.5,267.5,326.1,124.9,243.3,103.7,0.0164197652938324,2.212711824156886,256.6280121981689,-87.98003926280312,38.44498967003535,7.704301013699122e-05,0.0006817754549592,0.0006047324448223,2.1962920588630537,True,True,False,475.1716420456529,high
44,44,dyn,control,sotalol,170.9,194.2,212.9,267.9,96.99999999999996,73.69999999999999,54.99999999999997,173.4,269.4,327.8,128.6,236.1,104.6,0.0344023041714483,2.651443591686062,256.6149403148031,-87.97990603848996,38.43927987771588,7.708569138175469e-05,0.000677112414885,0.0006000267235032,2.6170412875146134,True,True,False,475.4321550637853,high
45,45,dyn,control,sotalol,171.2,194.6,213.3,268.6,97.40000000000003,74.00000000000003,55.30000000000001,181.2,282.5,344.1,245.2,435.5,148.3,0.8391925869311488,3.292275826458659,256.561407958022,-87.98006389632995,38.47427952831902,7.687699652180256e-05,0.0006417294503789,0.0005648524538571,2.45308323952751,True,True,False,476.405769556076,high
46,46,dyn,control,sotalol,171.6,194.9,213.6,269.2,97.6,74.29999999999998,55.6,193.1,296.1,359.7,183.8,343.4,130.1,0.0819032599429637,2.8294442150168866,256.54133441804646,-87.98109590107507,38.3453292946704,7.631990021544177e-05,0.0006085265594842,0.0005322066592687,2.747540955073923,True,True,False,477.2877325825134,high
47,47,dyn,control,sotalol,171.2,194.5,213.3,268.6,97.40000000000003,74.10000000000002,55.30000000000001,184.7,281.8,342.1,157.2,301.2,141.6,0.0651054404753778,2.934746615717676,256.59023368639663,-87.98051070189359,38.402281922806495,7.67497368814521e-05,0.0006405132097299,0.0005637634728484,2.869641175242298,True,True,False,475.9407686211785,high
48,48,dyn,control,sotalol,170.7,193.9,212.7,267.6,96.90000000000003,73.70000000000002,54.900000000000034,168.4,261.9,318.8,151.2,271.3,114.4,0.0703340545969144,3.05065753964236,256.6630873736016,-87.98030176404536,38.4780275122443,7.693878447496585e-05,0.000706909372505,0.00062997058803,2.9803234850454454,True,True,False,474.1368864344364,high
49,49,dyn,control,sotalol,171.1,194.5,213.2,268.4,97.29999999999998,73.89999999999998,55.19999999999999,179.8,279.3,339.8,208.5,364.1,141.1,0.5373601288557012,3.267407856686008,256.579937714116,-87.98005447599915,38.47104170854539,7.692561264884214e-05,0.0006499474236287,0.0005730218109799,2.7300477278303066,True,True,False,476.00043820912026,high
50,50,dyn,control,sotalol,170.8,194.1,212.8,267.8,97.0,73.70000000000002,55.0,173.6,267.3,325.0,161.4,318.9,129.9,0.0563357934376454,2.880433537416,256.6501699878005,-87.98058340033897,38.45637711645141,7.675959865240056e-05,0.0006861875485027,0.0006094279498503,2.824097743978354,True,True,False,474.4807349800562,high
51,51,dyn,control,sotalol,171.8,195.2,213.9,269.5,97.7,74.30000000000001,55.6,200.2,306.0,372.1,179.5,347.0,136.3,0.0743313236759877,2.737410110556236,256.50741457576,-87.9815031448462,38.32742342839765,7.60483981601203e-05,0.0005842236962828,0.0005081752981227,2.663078786880248,True,True,False,478.1378239096956,high
52,52,dyn,control,sotalol,170.9,194.2,212.9,267.9,96.99999999999996,73.69999999999999,54.99999999999997,177.1,270.2,327.9,121.7,239.3,119.5,0.0190757843116116,2.404846139910018,256.6309831150525,-87.98032146616433,38.41646523610833,7.693992849939689e-05,0.0006706790494806,0.0005937391209812,2.3857703555984062,True,True,False,475.06494566674746,high
53,53,dyn,control,sotalol,171.0,194.2,212.9,268.0,97.0,73.80000000000001,55.1,174.1,270.2,328.4,140.9,252.8,105.6,0.0754705654453763,2.943061322777315,256.6189337698561,-87.98011822794585,38.43090355207698,7.698676580501048e-05,0.0006776085506625,0.0006006217848575,2.8675907573319384,True,True,False,475.3030468737599,high
54,54,dyn,control,sotalol,171.4,194.6,213.4,268.7,97.29999999999998,74.1,55.29999999999998,186.6,286.8,348.8,151.0,296.9,115.5,0.0292991615487915,2.384943180621921,256.5602770969054,-87.98027393132874,38.363781117424274,7.68778892795796e-05,0.0006277265947241,0.0005508487054445,2.3556440190731296,True,True,False,476.8181807788344,high
55,55,dyn,control,sotalol,171.1,194.4,213.2,268.4,97.29999999999998,73.99999999999997,55.19999999999999,181.0,278.5,338.5,170.7,321.1,127.7,0.0647488493562615,2.741435998874762,256.60181666197667,-87.98052637092309,38.41028004863654,7.6742445410046e-05,0.0006527346124877,0.0005759921670776,2.6766871495185005,True,True,False,475.7043438821871,high
