,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,dyn,gomez,sotalol,204.6,243.5,274.8,357.7,153.1,114.19999999999999,82.89999999999998,360.1,493.1,588.2,189.4,368.4,206.9,0.14372705990135248,1.1429578689247748,241.56772289766576,-87.78357135114135,40.29467995113827,9.211626370621632e-05,0.00025925789005653687,0.00016714162635032056,0.9992308090234223,False,False,False,54.554071419244195
1,dyn,gomez,sotalol,204.5,243.4,274.7,357.4,152.89999999999998,113.99999999999997,82.69999999999999,352.9,487.9,593.6,171.4,346.5,200.1,0.07494791265420785,0.800437497226143,241.52331415325915,-87.78152759044877,40.29528930963303,9.24155210293803e-05,0.0002610046531447017,0.0001685891321153214,0.7254895845719351,False,False,False,54.69586935116669
2,dyn,gomez,sotalol,204.2,243.2,274.8,358.0,153.8,114.80000000000001,83.19999999999999,356.9,490.9,576.1,196.6,369.9,236.3,0.24951263757042155,1.6123833462872579,241.71286278866853,-87.78900815564026,40.29671654578722,9.127786008091793e-05,0.0002646077560095483,0.00017332989592863036,1.3628707087168364,False,False,False,53.948300660692865
3,dyn,gomez,sotalol,205.4,244.1,275.1,357.5,152.1,113.4,82.39999999999998,363.3,511.9,622.7,165.4,403.0,214.2,0.09423860969727817,0.7439116822241814,241.48974468502362,-87.78180018199815,40.27750950302725,9.246530224651006e-05,0.0002531286144656113,0.00016066331221910123,0.6496730725269032,False,False,False,54.41727837731375
4,dyn,gomez,sotalol,204.1,243.1,274.7,357.9,153.79999999999998,114.79999999999998,83.19999999999999,353.9,481.8,571.9,187.1,359.7,217.8,0.16686752948928696,1.3363190399634115,241.67377280784882,-87.78708811290696,40.31644410023969,9.154841914092632e-05,0.000265539870869842,0.0001739914517289157,1.1694515104741245,False,False,False,53.6039375349269
5,dyn,gomez,sotalol,205.0,243.9,275.1,358.0,153.0,114.1,82.89999999999998,365.6,502.2,599.3,187.6,384.9,222.1,0.09005160202879388,0.8500909158267581,241.58190573165967,-87.7850051122138,40.29824566822811,9.195765586630331e-05,0.0002558984246136867,0.0001639407687473834,0.7600393137979642,False,False,False,53.679742738884
6,dyn,gomez,sotalol,204.4,243.4,274.7,357.6,153.20000000000002,114.20000000000002,82.90000000000003,356.7,487.9,586.7,182.6,368.0,200.1,0.11800169872662893,1.0557519018075008,241.57519765515437,-87.7835752365901,40.316012815523116,9.210186910521284e-05,0.00026094973229479095,0.0001688478631895781,0.9377502030808719,False,False,False,54.080474565259266
7,dyn,gomez,sotalol,203.8,242.9,274.5,357.7,153.89999999999998,114.79999999999998,83.19999999999999,350.0,483.2,571.8,206.6,400.2,213.3,0.23731732096141703,1.5350822965471287,241.72851506723987,-87.78886192249827,40.315415042009604,9.125050585173615e-05,0.0002681677668891576,0.00017691726103742143,1.2977649755857117,False,False,False,54.435624609390345
8,dyn,gomez,sotalol,204.4,243.4,274.8,357.9,153.49999999999997,114.49999999999997,83.09999999999997,361.5,499.6,589.8,206.8,403.2,221.3,0.3255713228054283,1.7468399918569404,241.7158136742414,-87.78964856575789,40.31002541364106,9.119802822640307e-05,0.00026038821094380926,0.0001691901827174062,1.4212686690515122,False,False,False,54.288168147044445
9,dyn,gomez,sotalol,204.6,243.5,274.7,357.5,152.9,114.0,82.80000000000001,362.5,504.3,600.8,207.9,420.3,204.2,0.3249106627573778,1.5829821898498457,241.64718191776805,-87.7870663250119,40.30203034362059,9.159520509054984e-05,0.00025752164109033374,0.0001659264359997839,1.258071527092468,False,False,False,55.37580253829934
10,dyn,gomez,sotalol,204.5,243.5,274.7,357.6,153.10000000000002,114.10000000000002,82.90000000000003,362.2,503.1,599.5,204.8,415.7,204.4,0.37924087634705755,1.829056719786782,241.65842617185578,-87.78746937563619,40.30583960393364,9.15299940923311e-05,0.0002579857794019068,0.0001664557853095757,1.4498158434397244,False,False,False,55.227377662766386
11,dyn,gomez,sotalol,206.0,244.7,275.5,358.0,152.0,113.30000000000001,82.5,384.5,526.1,629.8,196.7,411.5,215.8,0.18496699851043719,1.1018543215067738,241.53822622423215,-87.78488389546057,40.30464907251309,9.20151911120334e-05,0.0002448305511675788,0.00015281536005554538,0.9168873229963366,False,False,False,53.65511319665475
12,dyn,gomez,sotalol,204.8,243.8,275.0,357.9,153.09999999999997,114.09999999999997,82.89999999999998,366.1,500.6,598.0,194.2,392.1,209.4,0.15445855893915267,1.1793601702580732,241.6349629219074,-87.78692665969615,40.31888997037206,9.162849350465535e-05,0.000256244064608395,0.00016461557110373967,1.0249016113189204,False,False,False,53.694138251998965
13,dyn,gomez,sotalol,203.6,242.8,274.4,357.5,153.9,114.69999999999999,83.10000000000002,346.2,475.4,569.7,193.5,382.7,194.2,0.15351664151945535,1.2817922639279573,241.6788140175647,-87.78649964163921,40.321696923241745,9.158316986289984e-05,0.00026939300488191533,0.00017780983501901549,1.128275622408502,False,False,False,54.63034967740262
14,dyn,gomez,sotalol,204.7,243.7,274.9,357.8,153.10000000000002,114.10000000000002,82.90000000000003,365.7,506.5,599.7,208.7,414.0,221.5,0.35830425119129083,1.706234527485168,241.69073048494712,-87.78913575490243,40.30586587677137,9.13027739941171e-05,0.00025704306491895794,0.00016574029092484085,1.3479302762938772,False,False,False,54.55612848106989
15,dyn,gomez,sotalol,203.9,243.0,274.5,357.6,153.70000000000002,114.60000000000002,83.10000000000002,352.5,489.0,583.2,225.0,447.1,231.2,0.5805699564270357,2.1587786045862916,241.7253549030279,-87.7890687608317,40.30197509115158,9.124626601488696e-05,0.0002658100229925218,0.00017456375697763485,1.5782086481592559,False,False,False,55.35157283515741
16,dyn,gomez,sotalol,203.5,242.7,274.3,357.4,153.89999999999998,114.69999999999999,83.09999999999997,343.7,472.0,566.5,189.8,376.2,194.1,0.17308277907215514,1.369050753076361,241.67855043193225,-87.78621376758606,40.315204975795496,9.161135807505137e-05,0.0002712503378237646,0.0001796389797487132,1.1959679740042057,False,False,False,54.84492525068177
17,dyn,gomez,sotalol,205.6,244.4,275.3,358.0,152.4,113.6,82.69999999999999,381.4,531.6,628.6,227.2,449.7,241.6,0.4095670657353655,1.6057041911067094,241.69960300677974,-87.79122625757192,40.29493270033645,9.107987780455429e-05,0.0002480793647386639,0.00015699948693410963,1.1961371253713438,False,False,False,54.516969413166024
18,dyn,gomez,sotalol,204.3,243.3,274.6,357.6,153.3,114.30000000000001,83.0,356.8,491.4,589.5,194.4,392.7,198.5,0.2170051303252768,1.4192689711626125,241.64374979315477,-87.78631596308809,40.30876327101625,9.167128469637671e-05,0.00026139961071310747,0.00016972832601673077,1.2022638408373356,False,False,False,54.803199853930735
19,dyn,gomez,sotalol,204.5,243.5,274.9,358.0,153.5,114.5,83.10000000000002,362.1,502.6,593.2,224.7,434.2,238.4,0.2468701994293143,1.3931034751296867,241.7741060053945,-87.7921451605616,40.30559241856305,9.083342949614877e-05,0.00026091431167623105,0.00017008088218008226,1.1462332757003724,False,False,False,54.06432468104222
20,dyn,gomez,sotalol,204.2,243.2,274.8,358.0,153.8,114.80000000000001,83.19999999999999,356.1,490.1,582.4,208.7,429.9,233.8,0.09338275970704198,0.9422967211468765,241.74970305925578,-87.79058423295403,40.308411624524155,9.104349739534915e-05,0.00026490155296913576,0.0001738580555737866,0.8489139614398344,False,False,False,53.60905465194192
21,dyn,gomez,sotalol,204.3,243.3,274.7,357.6,153.3,114.30000000000001,82.90000000000003,357.8,491.6,588.1,192.5,384.9,204.5,0.20293687855384301,1.4237732101794947,241.64625497151079,-87.78648837178484,40.30201000138988,9.164791732323145e-05,0.00026134483395253333,0.00016969691662930186,1.2208363316256516,False,False,False,54.68757393792589
22,dyn,gomez,sotalol,203.9,242.9,274.5,357.5,153.6,114.6,83.0,346.1,479.0,576.4,176.1,394.7,211.2,0.11474680237049512,0.9247447544597827,241.67245981974438,-87.78659130653324,40.30453595776869,9.15987283193548e-05,0.0002688853986427908,0.00017728667032343602,0.8099979520892875,False,False,False,54.41360158836892
