,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,iso,control,sotalol,175.3,198.8,216.9,271.9,96.59999999999997,73.09999999999997,54.99999999999997,235.1,386.2,478.7,125.3,257.6,152.0,0.0614926471521218,32.78783092110084,255.95588744682718,-87.97589827730525,38.2124938192952,7.806839274956804e-05,0.00046321840379177985,0.0003851500110422118,32.72633827394872,False,False,False,478.7822163483287
1,iso,control,sotalol,173.4,196.9,215.3,270.7,97.29999999999998,73.79999999999998,55.39999999999998,214.2,344.5,423.6,107.9,223.8,135.0,0.023561482137450206,17.53646139764941,256.15706679745745,-87.97769996003531,38.296167069668385,7.75520825815453e-05,0.0005188945451862774,0.00044134246260473214,17.512899915511962,True,True,False,476.1561966822916
2,iso,control,sotalol,174.7,198.2,216.5,271.5,96.80000000000001,73.30000000000001,55.0,227.5,372.7,461.5,148.4,291.7,209.6,0.1515703829458472,37.182607542467096,256.0154154157433,-87.97644793574244,38.24361643217799,7.792077665616551e-05,0.00048037957845445666,0.00040245880179829113,37.03103715952125,False,True,False,478.0737644464371
3,iso,control,sotalol,174.4,197.9,216.2,271.4,96.99999999999997,73.49999999999997,55.19999999999999,226.9,368.3,454.4,116.1,237.1,172.5,0.025081674313193206,18.766794291770285,256.0474751054853,-87.97688439403187,38.24355670524575,7.779301743050969e-05,0.00048442231046085584,0.0004066292930303461,18.741712617457093,False,True,False,477.7215969564508
4,iso,control,sotalol,174.1,197.6,216.0,271.2,97.1,73.6,55.19999999999999,225.2,362.6,446.2,132.4,250.4,188.5,0.07907815539790204,25.143197114636262,256.08166550635104,-87.97730484527429,38.24587165922264,7.766565135769286e-05,0.0004909580811998202,0.00041329242984212733,25.06411895923836,False,True,False,477.3120166649344
5,iso,control,sotalol,174.3,197.9,216.2,271.3,97.0,73.4,55.10000000000002,228.0,368.0,453.1,131.9,285.0,155.7,0.03307728045246465,16.600839434195613,256.0570514856788,-87.97710481841128,38.23507933580016,7.772342066782254e-05,0.0004837612586269994,0.00040603783795917686,16.56776215374315,False,True,False,477.6427629701742
6,iso,control,sotalol,174.5,198.0,216.2,271.4,96.89999999999998,73.39999999999998,55.19999999999999,230.4,371.3,456.9,119.6,238.2,150.0,0.04623925673615337,22.956064205885077,256.04646798648173,-87.9771004054574,38.2235977679595,7.771590434593711e-05,0.0004790038783075432,0.0004012879739616061,22.909824949148923,False,True,False,477.8063729280712
7,iso,control,sotalol,173.8,197.4,215.7,271.0,97.19999999999999,73.6,55.30000000000001,220.7,355.5,437.4,135.7,280.9,157.6,0.102905493323193,33.851769294435975,256.10993932641435,-87.97743352831088,38.26698838746931,7.763167170464876e-05,0.000501700712596612,0.00042406904089196327,33.74886380111278,False,True,False,476.8854357905096
8,iso,control,sotalol,176.1,199.6,217.7,272.4,96.29999999999998,72.79999999999998,54.69999999999999,249.5,408.8,506.3,158.3,315.1,180.0,0.1855906425912223,41.084937749274616,255.86770470196458,-87.97516095933629,38.15511352000027,7.826885383666208e-05,0.0004361970098602059,0.00035792815602354384,40.89934710668339,False,False,False,479.7531906028459
9,iso,control,sotalol,176.6,200.1,218.0,272.7,96.1,72.6,54.69999999999999,253.4,417.8,518.5,151.0,312.8,142.1,0.20009588696783115,36.17373169526939,255.81909928421715,-87.97442766592474,38.14164907575894,7.850076305668209e-05,0.0004277765408917861,0.000349275777835104,35.97363580830156,False,False,False,480.1608385175874
10,iso,control,sotalol,177.3,200.8,218.6,273.1,95.80000000000001,72.30000000000001,54.50000000000003,262.1,434.1,539.4,159.9,319.8,159.5,0.2979790369195628,47.960048908252844,255.74037932281595,-87.97329283995157,38.11130287115251,7.88665621039806e-05,0.0004124185355502252,0.0003335519734462446,47.66206987133328,False,False,False,480.7775199924388
11,iso,control,sotalol,180.5,203.8,221.3,274.9,94.39999999999998,71.09999999999997,53.599999999999966,295.7,501.4,626.3,159.3,329.4,165.4,0.09553801478467855,31.585538731448775,255.33403154960598,-87.96476593635859,38.00398528731828,8.18513711128044e-05,0.0003607620059720092,0.0002789106348592048,31.490000716664095,False,False,False,482.72703626198006
12,iso,control,sotalol,176.2,199.6,217.7,272.5,96.30000000000001,72.9,54.80000000000001,251.0,410.2,507.5,136.1,273.8,160.8,0.07007286693634907,28.703797076347445,255.86752881856864,-87.97526991453621,38.1491747813011,7.823037300443092e-05,0.0004343412103448857,0.00035611083734045476,28.633724209411096,False,False,False,479.77885304313264
13,iso,control,sotalol,173.4,196.9,215.3,270.7,97.29999999999998,73.79999999999998,55.39999999999998,214.8,344.2,422.6,114.9,234.0,139.5,0.06219722925767177,28.958578089606902,256.1636863563054,-87.97783233191774,38.289313753623105,7.750704642181179e-05,0.0005186468758697548,0.00044113982944794295,28.896380860349232,True,True,False,476.0846296715978
14,iso,control,sotalol,176.8,200.3,218.3,272.8,96.0,72.5,54.5,257.9,424.9,527.1,162.9,328.0,179.5,0.25863251320012914,36.738859412305956,255.7912901683435,-87.9741463615183,38.12562003010684,7.858643253226884e-05,0.00042046331160700885,0.00034187687907474,36.48022689910583,False,False,False,480.40960037310356
15,iso,control,sotalol,174.8,198.3,216.6,271.6,96.80000000000001,73.30000000000001,55.00000000000003,233.2,378.4,467.0,168.4,342.4,182.3,0.590593341996302,42.21059458616535,256.006608171849,-87.97661642183711,38.216648182742105,7.785360925037095e-05,0.0004707058307082381,0.0003928522214578672,41.620001244169046,False,True,False,478.2647444198693
16,iso,control,sotalol,173.2,196.8,215.2,270.6,97.40000000000003,73.80000000000001,55.400000000000034,211.5,340.3,418.4,116.8,225.7,150.7,0.06942564131229932,26.946981877297727,256.1739191781575,-87.97776989919842,38.30955886173983,7.753283115639152e-05,0.0005260903218908294,0.00044855749073443793,26.877556235985427,True,True,False,475.874381579562
17,iso,control,sotalol,178.9,202.3,220.0,274.0,95.1,71.69999999999999,54.0,281.0,470.6,586.4,196.3,414.0,182.8,0.5180497862022356,30.96729839941961,255.54467295589924,-87.9697409220305,38.05095840412617,8.008157197096549e-05,0.00038239904665679264,0.0003023174746858272,30.449248613217375,False,False,False,481.9199591947731
