,Unnamed: 0,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet,risk
0,0,iso,gomez,sotalol,210.6,248.2,276.5,354.4,143.79999999999998,106.2,77.89999999999998,473.9,693.2,811.8,188.2,435.0,285.9,0.4817968825498818,8.69116936932124,239.98028148575224,-87.729862054341,40.10142444590406,0.0001006838693482,0.0001977797604657,9.709589111747712e-05,8.20937248677136,False,False,False,60.49340274503729,high
1,1,iso,gomez,sotalol,208.8,246.9,275.9,355.3,146.5,108.4,79.40000000000003,442.9,644.8,765.0,162.6,365.7,265.7,0.1091182437729953,3.296049054661931,240.7216604171352,-87.75781479832878,40.1607807287755,9.649505580977972e-05,0.0002110819717966,0.0001145869159868,3.186930810888936,False,False,False,58.33448762450166,high
2,2,iso,gomez,sotalol,210.1,247.8,276.3,354.6,144.50000000000003,106.8,78.30000000000001,464.5,679.6,799.4,212.6,454.0,330.2,1.190503826065858,15.875285221531277,240.2151550556593,-87.73870160768696,40.11586234618808,9.937142127911167e-05,0.0002015295744565,0.0001021581531773,14.684781395465418,False,False,False,60.05344495762033,high
3,3,iso,gomez,sotalol,209.9,247.7,276.3,354.8,144.9,107.10000000000002,78.5,461.9,674.4,794.2,160.8,348.5,292.5,0.1783794519812129,3.715631020086255,240.3245586215521,-87.74296226753984,40.12940167353324,9.874527292146627e-05,0.0002029197082971,0.0001041744353757,3.5372515681050416,False,False,False,59.45516497510707,high
4,4,iso,gomez,sotalol,209.7,247.6,276.3,355.0,145.3,107.4,78.69999999999999,458.5,668.0,787.8,191.2,419.1,305.6,0.5497884100234921,9.44746223080988,240.4423048988014,-87.74752031872187,40.14449879589783,9.807001347322431e-05,0.0002046185347593,0.000106548521286,8.89767382078639,False,False,False,58.84228468732569,high
5,5,iso,gomez,sotalol,209.9,247.7,276.3,354.9,144.99999999999997,107.2,78.59999999999997,462.5,674.2,793.8,193.0,435.5,291.4,0.1961676417081106,4.074512090008606,240.3495191984856,-87.74402308805652,40.137352610393926,9.859556463862084e-05,0.000202929518402,0.0001043339537634,3.878344448300496,False,False,False,59.09217149535931,high
6,6,iso,gomez,sotalol,210.1,247.9,276.4,354.8,144.70000000000002,106.9,78.40000000000003,465.5,678.1,797.3,178.4,412.2,277.8,0.3032402996358516,6.351596364061293,240.3016959213608,-87.74228705288745,40.13791001332535,9.886087778646295e-05,0.0002018560644779,0.0001029951866914,6.048356064425441,False,False,False,59.038172270446864,high
7,7,iso,gomez,sotalol,209.4,247.3,276.1,355.1,145.70000000000002,107.8,79.0,452.3,659.2,779.3,199.2,450.0,285.8,0.9259884646914012,11.987404165523484,240.5523983652382,-87.75157376609847,40.14926750785455,9.745134503161074e-05,0.0002070762634064,0.0001096249183747,11.061415700832082,False,False,False,58.71775289408347,high
8,8,iso,gomez,sotalol,211.4,248.9,276.9,354.1,142.70000000000002,105.20000000000002,77.20000000000005,489.6,713.3,829.1,231.0,505.4,309.3,2.7070360235261126,19.73979501847651,239.60135478147376,-87.71573725310022,40.08938650468373,0.0001027646908766,0.0001921464352272,8.938174435059274e-05,17.0327589949504,False,False,False,60.66870122051133,high
9,9,iso,gomez,sotalol,211.7,249.1,277.0,353.9,142.2,104.79999999999998,76.89999999999998,494.0,719.8,834.8,225.7,517.8,282.6,2.3297935789805218,15.35277808688114,239.42165891832545,-87.7089006420177,40.075682595579615,0.0001037477647919,0.0001902698152632,8.652205047127497e-05,13.02298450790062,False,False,False,61.15650554934784,high
