,mech_type,hf_type,drug_type,APD_30,APD_40,APD_50,APD_90,Tri90_30,Tri90_40,Tri90_50,CaTD_50,CaTD_80,CaTD_90,RT50,RT90,TTP,Ta_min,Ta_max,dvdt_max,RMP,V_peak,diast_Ca,syst_Ca,CaTA,DevF,EAD,pos_calc,repol_fail,qNet
0,dyn,gomez,tamoxifen,201.0,238.5,268.3,348.3,147.3,109.80000000000001,80.0,357.4,490.3,585.8,185.6,364.3,207.7,0.14283050534437966,1.1289630412464449,241.77726093345444,-87.78539754174625,40.238173954208435,9.179451075954713e-05,0.0002573773134073815,0.00016558280264783437,0.9861325359020652,False,False,False,73.57144560394202
1,dyn,gomez,tamoxifen,200.9,238.4,268.3,348.1,147.20000000000002,109.70000000000002,79.80000000000001,350.2,485.3,591.8,167.9,342.8,201.0,0.07437333052809462,0.7895083284205037,241.73381761140863,-87.78343068159384,40.238701700835016,9.208481362127957e-05,0.00025907663812332025,0.00016699182450204068,0.7151349978924091,False,False,False,73.7038073231259
2,dyn,gomez,tamoxifen,200.7,238.2,268.3,348.7,148.0,110.5,80.39999999999998,354.2,488.1,573.5,193.6,366.6,236.5,0.2481923650164614,1.5948795787944634,241.9218899583626,-87.79076081028359,40.24106458800944,9.096313018961335e-05,0.0002627122981020797,0.00017174916791246636,1.346687213778002,False,False,False,73.00784180273752
3,dyn,gomez,tamoxifen,201.9,239.2,268.7,348.2,146.29999999999998,109.0,79.5,360.8,509.8,620.9,162.7,400.8,214.9,0.09343363657500417,0.7330913357880262,241.7001142726204,-87.78368894460908,40.22016763349612,9.213767353586093e-05,0.00025124578706116693,0.000159108113525306,0.6396576992130221,False,False,False,73.44438753319034
4,dyn,gomez,tamoxifen,200.5,238.2,268.2,348.6,148.10000000000002,110.40000000000003,80.40000000000003,351.2,478.9,569.3,183.9,355.9,218.2,0.16593251337056975,1.321163393868554,241.88222612519027,-87.78884233008809,40.259700608549814,9.123490100766721e-05,0.0002636066872636369,0.00017237178625596967,1.1552308804979843,False,False,False,72.65472019673585
5,dyn,gomez,tamoxifen,201.5,238.9,268.6,348.6,147.10000000000002,109.70000000000002,80.0,362.8,499.6,597.1,184.3,381.6,222.6,0.08941079222860554,0.8392988106266551,241.7909897448209,-87.7867984189561,40.24061070759808,9.164056793682358e-05,0.0002540787980238276,0.00016243823008700402,0.7498880183980496,False,False,False,72.72544863401778
6,dyn,gomez,tamoxifen,200.8,238.4,268.3,348.3,147.5,109.9,80.0,353.9,485.1,584.4,178.9,363.9,200.9,0.11724400153321803,1.0427122120701282,241.78463225046352,-87.7854003981298,40.25854005636258,9.178037303930659e-05,0.0002590380902027461,0.0001672577171634395,0.9254682105369102,False,False,False,73.09673618974182
7,dyn,gomez,tamoxifen,200.2,237.9,268.0,348.3,148.10000000000002,110.4,80.30000000000001,347.3,480.3,569.2,203.3,396.5,214.0,0.23545028649911337,1.5194847769705608,241.93818734791185,-87.79064217847943,40.25974008047107,9.093145916829818e-05,0.00026620421361594733,0.00017527275444764915,1.2840344904714476,False,False,False,73.4618171588276
8,dyn,gomez,tamoxifen,200.9,238.4,268.3,348.5,147.6,110.1,80.19999999999999,358.7,496.7,587.0,203.4,399.6,221.8,0.3233237378343694,1.7310373198937359,241.92605396414078,-87.79141725108089,40.253646471175045,9.087941615399022e-05,0.00025858901230084365,0.00016770959614685344,1.4077135820593665,False,False,False,73.30778451826453
9,dyn,gomez,tamoxifen,201.0,238.5,268.3,348.2,147.2,109.69999999999999,79.89999999999998,359.6,501.3,598.1,204.2,416.6,204.9,0.32277103071363894,1.5691609725794735,241.8580709580704,-87.78887938797901,40.24598053131622,9.127144035716484e-05,0.0002557566302843438,0.00016448518992717899,1.2463899418658346,False,False,False,74.3592164828026
